A Goblin standard;Uno standard dei Goblin
Inconspicuous rocks (elite);Rocce poco appariscenti (elite)
Hull;Scafo
Ice chunks;Pezzi di ghiaccio
Ice storm;Tempesta di ghiaccio
Icon of Bob;Icona di Bob
Inconspicuous crate (master);Cassa poco appariscente (master)
Inconspicuous rocks (easy);Rocce poco appariscenti (facile)
Hurdle;Ostacolo
Iasor plant;Stabilimento Iasor
Ice covered boulder;Masso coperto di ghiaccio
Igloo;Iglù
Inconspicuous bush (easy);Cespuglio poco appariscente (facile)
Inconspicuous bush (elite);Cespuglio poco appariscente (élite)
Inconspicuous crate (hard);Cassa poco appariscente (difficile)
Inconspicuous rocks (master);Rocce poco appariscenti (master)
History;Storia
Hot vent door;Porta di ventilazione calda
Huge vat;Iva enorme
Icicle;Ghiacciolo
Incomplete map;Mappa incompleta
Inconspicuous bush (beginner);Cespuglio poco appariscente (principiante)
Inconspicuous rocks (medium);Rocce poco appariscenti (medie)
Hopper;Tramoggia
Ice blockage;Blocco del ghiaccio
Ice bridge;Ponte di ghiaccio
Icthlarin's statue;La statua di Icthlarin
Holding area;Zona di trattenimento
Hollow log;Tronco cavo
Holy Barrier;Sacra Barriera
Hosidius statue;Statua di Osidio
Hot Coals;Carboni ardenti
House Advertisement;Pubblicità della casa
Ice;Ghiaccio
Icy rock;Roccia ghiacciata
Inconspicuous hole (easy);Buco poco appariscente (facile)
Inconspicuous rocks (hard);Rocce poco appariscenti (dure)
Hope bridge;Ponte della speranza
Hops Patch;Patch di luppolo
Hospital shelves;Scaffali dell'ospedale
Huge plant;Pianta enorme
Ice Column;Colonna di ghiaccio
Ice Troll King;Re dei Troll dei Ghiacci
Incense burner;Bruciatore di incenso
Hollow tree;Albero cavo
Horn of Death;Corno della Morte
Icon of Saradomin;Icona di Saradomin
Icy Cavern;Caverna ghiacciata
Inconspicuous bush (medium);Cespuglio poco appariscente (medio)
Huge Spider;Ragno enorme
Icon space;Spazio delle icone
Inactive Symbol;Simbolo inattivo
Huge Mushroom;Fungo enorme
Hurt fairy;Fata ferita
Icon of Guthix;Icona di Guthix
Inconspicuous crate (medium);Cassa poco appariscente (media)
Incubation chamber;Camera di incubazione
Horn of glory;Corno di gloria
Icyene Statue;Statua di Icyene
Inconspicuous bush (master);Cespuglio poco appariscente (master)
Human Flag;Bandiera umana
Ice cube;Cubo di ghiaccio
Icicles;Ghiaccioli
Inanimate Altar;Altare inanimato
Hook briar;Radica a gancio
Hopper controls;Comandi della tramoggia
Ice Throne;Trono di ghiaccio
Ice gate;Porta di ghiaccio
Inconspicuous crate (elite);Cassa poco appariscente (elite)
Incubator;Incubatrice
Iron Winch;Verricello in ferro
Kebab;Kebab
Kelda Hops;Kelda luppolo
Kitchen Drawers;Cassetti Della Cucina
Lab table;Tavolo da laboratorio
Lalli's Stew;Lo Stufato di Lalli
Ithell Banner;L'Ill Banner
Jangerberry bush;Cespuglio di bacche di jangerberry
Javelin;Giavellotto
Junction box;Scatola di giunzione
Karamja painting;Dipinto di Karamja
Key;Chiave
Kitchen gate;Cancello della cucina
Jail Door;Porta della prigione
Jungle Grass;Erba della giungla
Jungle Tree;Albero della giungla
Kourend map display case;Vetrina per mappa Kourend
Lamp;Lampada
Intermediate Flag;Bandiera intermedia
Item Chest;Cassa degli oggetti
Kalphite Queen Topiary;Topiaria da regina Kalphite
Jacky Jester;Jacky Giullare
Jewellery stall;Bancarella di gioielli
Kalphite Queen display;Visualizzazione della regina Kalphite
Kharyrll Portal;Portale Kharyrll
King Arthur;Re Artù
Kronos plant;Impianto di Crono
Kurask head;Testa di Kurask
Ladder;Scala
Ladder space;Spazio scala
Jagged wall;Muro frastagliato
Jenkins;Jenkins
Jolly Roger;Jolly Roger
Jungle Tree Stump;Ceppo di albero della giungla
Junk;Robaccia
Kettle;Bollitore
Kharidian cactus (Healthy);Cactus Kharidian (sano)
Kitchen cabinet;Mobile da cucina
Lamppost;Lampione
Ivory table;Tavolo in avorio
Juna;Juna
Jutting wall;Muro sporgente
Kalphite Soldier;Soldato Kalfita
Kelp;Fuco
Kharidian cactus (Dry);Cactus Kharidian (secco)
Lab tube;Tubo da laboratorio
Lancalliums;Lancallium
Landscape space;Spazio paesaggistico
Keg;Barile
Keyhole;Buco della serratura
Lamp space;Spazio lampada
Isafdar painting;Dipinto di Isafdar
Jungle Flower;Fiore della giungla
KQ head;Testa KQ
Kelda Hops Patch;Patch di luppolo Kelda
Knight;Cavaliere
Kraken display;Visualizzazione Kraken
Information;Informazioni
Iron railings;Ringhiere in ferro
Ironman & Ultimate Ironwoman;Ironman e Ironwoman definitiva
Jungle plant;Pianta della giungla
Justiciar armour;Armatura del giudice
Krandorian Hops;Luppolo Krandoriano
Lamp still;Lampada ferma
Information booth;Stand informativo
Insurance stall;Stallo assicurativo
Kourend sigil;Sigillo Kurend
Lamp oil still;Ancora olio per lampade
Lamp stall;Stallo della lampada
Jewellery box space;Spazio portagioielli
KBD heads;Teste KBD
Kalphite queen legs;Gambe della regina Kalphite
Kennith's ball;La palla di Kennith
Kings' ladder;La scala dei re
Kite shield;Scudo dell'aquilone
Knight Statue;Statua del cavaliere
Kourend Portal;Portale Kurend
Ladder top;Parte superiore della scala
Injured fairy;Fata ferita
Iorwerth Banner;Stendardo Iorwerth
Iron ladder;Scala in ferro
Kaleef's body;Il corpo di Kaleef
Information scroll;Scorrimento delle informazioni
Jungle Plant;Pianta della giungla
Kitchen table;Tavolo da cucina
Kraken Topiary;Topiaria Kraken
Lander hatch;Portello del lander
Juliet;Giulietta
Jungle Bush;Cespuglio della giungla
Justiciar Statue;Statua del giudice
Jute;Iuta
Kalphite Queen;Regina Kalfita
Lander boat;Barca da sbarco
Information Scroll;Scorrimento delle informazioni
Interdimensional rift;Spaccatura interdimensionale
Interrogation chair;Sedia per interrogatori
Jungle Palm;Palma della giungla
Jungle flower;Fiore della giungla
Kelda Stout;Kelda Stout
Landscape;Paesaggio
Large rock;Grande roccia
Leafy Palm Tree;Palma frondosa
Lever B;Leva B
Lifelilly;Lifelilly
Limestone fireplace;Camino in pietra calcarea
Large Barrel;Barile Grande
Lava;Lava
Lava forge;Fucina di lava
Lizardman corpse;Cadavere dell'Uomo Lucertola
Lizardman eggs;Uova di uomo lucertola
Large grave;Tomba grande
Lathe;Tornio
Lift;Sollevare
Linum Tirinum (Depleted);Linum Tirinum (esaurito)
Large Rock;Grande Roccia
Large grave stone;Grande pietra tombale
Lazim's statue;La statua di Lazim
Large Geyser;Grande geyser
Large open cupboard;Ampio armadio aperto
Larran's big chest;Il grande baule di Larran
Letter;Lettera
Life buoy;Salvagente
Lifeless Matter;Materia senza vita
Light Jungle;Giungla leggera
Large Fossil Support;Supporto fossile di grandi dimensioni
Laundry Basket;Cesto della biancheria
League Accomplishment Scroll;Pergamena dei risultati della lega
Lift Platform;Piattaforma elevatrice
Large Table;Tavolo grande
Large boulder;Grande masso
Large cupboard;Grande armadio
Leaflet;Foglio illustrativo
Leaves;Foglie
Lever C;Leva C
Lava trough;Depressione lavica
Lantern;Lanterna
Large doors;Grandi porte
Large hole;Foro grande
Large orrery;Grande planetario
Large table;Tavolo grande
Law rift;Spaccatura della legge
Leather shields;Scudi in pelle
Leviathan;Leviatano
Lift Engine;Motore di sollevamento
Large crystals;Grandi cristalli
Large urn;Urna grande
Lever space;Spazio della leva
Levers;Leve
Larder;Dispensa
Large Display;Ampio display
Large oven;Forno grande
Large sewer pipe;Tubo fognario di grandi dimensioni
Large storage unit;Ampio ripostiglio
Lightning conductor;Parafulmine
Linum Tirinum;Linum Tirino
Little boulder;Piccolo masso
Leaflets;Volantini
League statue;Statua della Lega
Lectern space;Spazio leggio
Ledge;Sporgenza
Left side of a fireplace;Lato sinistro di un camino
Lever;Leva
Lever D;Leva D
Light;Leggero
Light door;Porta leggera
Lighting mechanism;Meccanismo di illuminazione
Large Crystal;Cristallo grande
Large geyser;Grande geyser
League Firsts Board;Tabellone dei primi campionati
Leak;Perdere
Leftovers;Avanzi
Legends Guild door;Porta della Gilda delle Leggende
Lighting space;Spazio luminoso
Large door;Porta grande
Large fountain;Grande fontana
Large vase;Vaso grande
Large-leaf Plant;Pianta a foglia larga
Lava crater;Cratere di lava
Lectern;Leggio
Limpwurt plant;Pianta di limpwurt
Little crack;Piccola crepa
Large Boulder;Grande masso
Large Fossil Display;Grande esposizione di fossili
Large bone;Osso grande
Large cave;Grande grotta
Large stalagmite;Grande stalagmite
Larran's small chest;Il piccolo scrigno di Larran
Lava Monster;Mostro di lava
Lava gap;Spacco lavico
Leafy tree;Albero frondoso
Lever A;Leva A
Larder space;Spazio dispensa
Large Cage;Gabbia grande
Lever E;Leva E
Lever F;Leva F
Lever bracket;Staffa a leva
Lightning;Fulmine
Lion Statue;Statua del leone
Little tent;Piccola tenda
Lizard dwelling;Dimora della lucertola
Locked gate;Cancello chiuso a chiave
Log Store;Negozio di registri
Magic Mirror;Specchio magico
Magical symbol;Simbolo magico
Lumpy rug;Tappeto bitorzoluto
Magic guild door;Porta della gilda magica
Mahogany chest;Cassapanca in mogano
Mahogany wall decoration;Decorazione murale in mogano
Lobstrosity;Lobstrosità
Low wall;Muretto basso
Machine;Macchina
Magenta Crystal;Cristallo magenta
Magic cape rack;Porta mantelli magici
Magic chest;Petto magico
Magic spell;Incantesimo magico
Magic wardrobe;Guardaroba magico
Mahogany;Mogano
Locked Ogre chest;Forziere dell'Orco chiuso a chiave
Log balance;Saldo del registro
Long branched tree;Albero dai rami lunghi
Magic Mushtree;Fungo Magico
Magic Portal;Portale magico
Magic wardrobe space;Spazio guardaroba magico
Magical Barrier;Barriera Magica
Locked chest;Petto chiuso a chiave
Locked door;Porta chiusa a chiave
Log raft;Zattera di tronchi
Lure cave;Grotta dell'esca
Magic Stall;Stalla magica
Magic birdhouse;Casetta per gli uccelli magica
Magic birdhouse (empty);Casetta per uccelli magica (vuota)
Magic tree;Albero magico
Mahogany cape rack;Portamantello in mogano
Mahogany sapling;Alberello di mogano
Lizardman lair;La tana dell'Uomo Lucertola
Logavano plant;Stabilimento di Logavano
Loose panel;Pannello allentato
Magic Tree Stump;Ceppo di albero magico
Logs;Registri
Lunar Altar;Altare Lunare
Lunar Isle Portal;Portale dell'Isola Lunare
Lunar globe;Globo lunare
Magic Gate;Porta Magica
Magic box;Scatola magica
Magical wheat;Grano magico
Mahogany house;Casa in mogano
Machine panel;Pannello della macchina
Magic ball;Palla magica
Magic box failed;La scatola magica non è riuscita
Magic table;Tavolo magico
Magical pumpkin;Zucca magica
Mahogany table;Tavolo in mogano
Mahogany tree;Albero di mogano
Mahogany trophy case;Custodia per trofei in mogano
Loose Mud;Fango sciolto
Loose rocks;Rocce sciolte
Lumbridge painting;Dipinto di Lumbridge
Magic wheat;Grano magico
Magical Fire;Fuoco magico
Magical Obelisk;Obelisco Magico
Magical shield;Scudo magico
Loader;Caricatore
Magic door;Porta magica
Mahogany Wardrobe;Armadio in mogano
Mahogany birdhouse;Casetta per gli uccelli in mogano
Mahogany feeder;Alimentatore in mogano
Log pile;Pila di tronchi
Lumbridge Portal;Portale Lumbridge
Mahogany outfit stand;Stand per abiti in mogano
Log storage;Archiviazione dei registri
Long grass;Erba alta
Lovakengj statue;Statua di Lovakengj
Machinery;Macchinari
Magenta crystal;Cristallo magenta
Magic circle;Cerchio magico
Magical fire;Fuoco magico
Lovakite furnace;Fornace di Lovakite
Low fence;Recinzione bassa
Magic well;Magia bene
Mahogany bench;Panca in mogano
Lizardman head;Testa di uomo lucertola
Lock;Serratura
Longhall door;Porta di Longhall
Loose Railing;Ringhiera allentata
Magic Tree;Albero magico
Magical Animator;Animatore Magico
Mahogany Adventure Log;Registro delle avventure in mogano
Mahogany prize chest;Forziere premio in mogano
Mahogany scratching post;Tiragraffi in mogano
Long planks;Assi lunghe
Loom;Telaio
Magenta door;Porta magenta
Mahogany tree stump;Ceppo di albero di mogano
Locker;Armadietto
Lockers;Armadietti
Logavano seedling;Piantina di Logavano
Lumbridge Guide;Guida di Lumbridge
Magic barrier;Barriera magica
Magical Chest;Forziere magico
Mahogany birdhouse (empty);Casetta per uccelli in mogano (vuota)
Map space;Spazio della mappa
Master clue scroll display;Visualizzazione dello scorrimento dell'indizio principale
Mature Asgarnian Ale;Birra asgarniana matura
Medivaemia root;Radice di Medivaemia
Mirror;Specchio
Mithril door;Porta in mithril
Mole hill;Collina della talpa
Monkey Madness 2 display;Visualizzazione di Monkey Madness 2
Mature Cider;Sidro maturo
Mature juniper tree;Albero di ginepro maturo
Mausoleum door;Porta del mausoleo
Melting Pot;Crogiolo
Mill;Mulino
Man trap;Trappola per uomini
Mangle;Mangano
Meilyr Banner;Stendardo Meilyr
Metal door;Porta in metallo
Mine cart sign;Segno del carrello minerario
Map table;Tabella della mappa
Massive ribs;Costole enormi
Meat tree;Albero della carne
Mine cave;La mia grotta
Mandibular Maximus;Massimo mandibolare
Marble trap;Trappola di marmo
Marshy jungle vine;Vite della giungla paludosa
Marv (ghastly!);Marv (orribile!)
Medpack Box;Scatola del pacchetto medico
Milk Urns;Urne per il latte
Minecart;Carrello da miniera
Man hidden;L'uomo nascosto
Marble bench;Panca in marmo
Mark of Darkness;Marchio dell'Oscurità
Marker;Marcatore
Market Stall;Bancarella del mercato
Marv (Well);Marv (bene)
Medical table;Tavolo medico
Metal;Metallo
Mine cart;Il mio carrello
Molanisk;Molanisk
Marble hidden;Marmo nascosto
Mausoleum Door;Porta del Mausoleo
Metal pieces;Pezzi di metallo
Millstones;Macine
Mine Cart;Il mio carrello
Making Friends with My Arm display;Fare amicizia con il display del mio braccio
Manhole;Tombino
Maple birdhouse;Casetta per gli uccelli in acero
Massive storage unit;Unità di stoccaggio enorme
Mature Wizards Mind Bomb;Bomba mentale dei maghi maturi
Medium Boulder;Masso medio
Mercenary;Mercenario
Merfolk Skeleton;Scheletro di tritoni
Map;Mappa
Marble adventure log;Registro delle avventure in marmo
Marble fireplace;Camino in marmo
Marim Portal;Portale Marim
Medium fence;Recinzione media
Mature Dragon Bitter;Drago Amaro Maturo
Medium storage unit;Contenitore medio
Metal bird;Uccello di metallo
Metal stand;Supporto in metallo
Marigold;Calendula
Marv (sick);Marv (malato)
Mast;Albero
Medium Jungle;Giungla media
Money Pot;Vaso di soldi
Market stall;Bancarella del mercato
Mature Chef's Delight;La delizia dello chef maturo
Meat table;Tavolo di carne
Medium Fossil Display;Visualizzazione fossile media
Memoriam Device;Dispositivo di memoria
Mighty torrent;Potente torrente
Mind Altar Portal;Portale dell'altare della mente
Maple Tree;Albero di acero
Maple birdhouse (empty);Casetta per gli uccelli in acero (vuota)
Marble wall;Parete in marmo
Mark of Power;Marchio del potere
Marv (very sick);Marv (molto malato)
Mature Moonlight Mead;Idromele maturo al chiaro di luna
Mind Door;Porta della Mente
Mannequin;Manichino
Marigolds;Calendule
Mature Axeman's Folly;La follia del maturo Axeman
Memorial;Memoriale
Metal gate;Cancello in metallo
Mine door;La mia porta
Mithril armour;Armatura di mithril
Marble cape rack;Portamantelli in marmo
Marked wall;Muro segnato
Mature Dwarven Stout;Stout nanico maturo
Mausoleum;Mausoleo
Metal ladder;Scala in metallo
Mind rift;Spaccatura mentale
Manhole cover;Chiusino
Maple tree;Albero di acero
Mature Greenmans Ale;Greenmans Ale matura
Mature Slayer's Respite;La tregua della cacciatrice matura
Metal Press;Pressa metallica
Mine door entrance;Porta d'ingresso della miniera
Mineral vein;Vena minerale
Mounted Firemaking Cape;Mantello antincendio montato
Mounted Music Cape;Mantello musicale montato
Mounted Slayer Cape (t);Mantello dell'assassino a cavallo (t)
Mounted Xeric's Warrior;Guerriero di Xeric a cavallo
Monkey bars;Barre di scimmia
Moonlight Mead;Idromele al chiaro di luna
Mossy rock;Roccia muschiosa
Mound of earth;Tumulo di terra
Mounted Achievement Diary Cape;Mantello per diario degli obiettivi montato
Mounted Crafting Cape;Mantello da lavorazione montato
Mounted Herblore Cape;Capo Herblore montato
Mounted Hitpoints Cape;Mantello dei punti ferita montato
Mounted Hunting Cape;Mantello da caccia montato
Mounted Runecrafting Cape;Mantello da lavorazione runica montato
Mounted Smithing Cape;Mantello da forgiatore a cavallo
Mounted swordfish;Pesce spada montato
Mud;Fango
Mounted Agility Cape (t);Mantello dell'Agilità a cavallo (t)
Mud mound;Tumulo di fango
Mud patch;Zona di fango
Morytania painting;Dipinto di Moritania
Mounted Head Space;Spazio di testa montato
Mounted Prayer Cape (t);Mantello da preghiera a cavallo (t)
Mounted Xeric's Guard;Guardia di Xeric a cavallo
Mounted Hunting Cape (t);Mantello da caccia a cavallo (t)
Mounted Infernal Cape;Capo Infernale montato
Mounted Magic Cape (t);Mantello magico montato (t)
Mouse hole;Buco del topo
Mud pit;Fossa di fango
Mushroom;Fungo
Mounted Attack Cape (t);Mantello d'attacco a cavallo (t)
Mounted Defence Cape;Mantello di difesa a cavallo
Mounted Fletching Cape;Mantello per impennare montato
Mounted Runecrafting Cape (t);Mantello da costruzione runica a cavallo (t)
Mounted Slayer Cape;Mantello dell'assassino montato
Monkey trap;Trappola per scimmie
Mounted Coins;Monete montate
Mounted Cooking Cape;Mantella da cucina montata
Mounted Fire Cape;Mantello di fuoco montato
Mounted Fishing Cape;Mantello da pesca montato
Mounted Woodcutting Cape;Mantello da taglialegna montato
Muddy patch;Zona fangosa
Mudpile;Mucchio di fango
Mummy;Mummia
Mushroo;Fungo
Mounted Firemaking Cape (t);Mantella antincendio montata (t)
Mounted Fishing Cape (t);Mantello da pesca montato (t)
Mounted Xeric's Champion;Campione di Xeric a cavallo
Mushtoise;Mushtoise
Monkeybars;Monkeybar
Moths;Falene
Mounted Agility Cape;Mantello dell'Agilità montato
Mounted Cooking Cape (t);Mantella da cucina montata (t)
Mounted Hitpoints Cape (t);Mantello punti ferita montato (t)
Mounted Xeric's General;Generale di Xeric a cavallo
Mourner;Persona in lutto
Multicannon parts;Parti multicannone
Mounted Prayer Cape;Mantello da preghiera montato
Monkey Statue;Statua della scimmia
Mould;Muffa
Mounted Construction Cape;Mantello da costruzione montato
Mounted Fletching Cape (t);Mantello per l'impennaggio a cavallo (t)
Mounted Head;Testa montata
Mounted Magic Cape;Mantello magico montato
Mounted Mythical Cape;Mantello mitico montato
Mounted Ranged Cape (t);Mantello a distanza montato (t)
Mounted Thieving Cape (t);Mantello del Ladro a cavallo (t)
Mounted Xeric's Sentinel;Monta la Sentinella di Xeric
Mounted shark;Squalo montato
Monument;Monumento
Mounted Construction Cape (t);Capo da costruzione montato (t)
Mounted Max Cape;Mantello Max montato
Mounted Woodcutting Cape (t);Mantello da taglialegna montato (t)
Mounted harpoonfish;Pesce fiocina montato
Mounted sea bass;Branzino montato
Mushrooms;Funghi
Moth;Falena
Mounted Champion's Cape;Mantello del Campione a cavallo
Mounted Crafting Cape (t);Mantello da lavoro a cavallo (t)
Mounted Emblem;Emblema montato
Mounted Quest Cape;Mantello da missione montato
Mounted Strength Cape;Mantello della Forza montato
Mounted Strength Cape (t);Mantello di resistenza montato (t)
Mushroom patch;Patch di funghi
Monumental chest;Cassapanca monumentale
Mounted Defence Cape (t);Mantello di difesa a cavallo (t)
Mounted Farming Cape (t);Mantello agricolo a cavallo (t)
Mounted Herblore Cape (t);Capo Herblore a cavallo (t)
Mounted Thieving Cape;Mantello da ladro a cavallo
Mud pile;Mucchio di fango
Mossy branch;Ramo muschioso
Mounted Attack Cape;Mantello d'attacco montato
Mounted Mining Cape (t);Capo minerario montato (t)
Mounted Ranged Cape;Mantello a distanza montato
Mushroom torch;Torcia per funghi
Monster space;Spazio dei mostri
Mounted Farming Cape;Mantello agricolo a cavallo
Mounted Mining Cape;Mantello minerario montato
Mounted Smithing Cape (t);Mantello da Forgiatore a cavallo (t)
Mural;Murale
Mystic symbol;Simbolo mistico
Nasturtium;Nasturzio
New farming patch;Nuova zona agricola
Noxious tendrils;Viticci nocivi
Oak birdhouse;Casetta per gli uccelli in quercia
Oak house;Casa in quercia
Obelisk of Water;Obelisco dell'Acqua
Odd looking wall;Muro dall'aspetto strano
Mysterious statue;Statua misteriosa
Net;Netto
Nightmare;Incubo
Oak wardrobe;Armadio in rovere
Ogre Coffin;Bara dell'Orco
Mysterious pool;Piscina misteriosa
Navigator's table;Tavola del navigatore
Noticeboard;Bacheca
Oak wall decoration;Decorazione murale in rovere
Oaknock statue;Statua di Oaknock
Obstacle pipe;Tubo di ostacolo
Nettles;Ortiche
Nightmare zone display;Visualizzazione della zona da incubo
Notice;Avviso
Oak prize chest;Forziere premio in quercia
Oaknock's exchanger;Lo scambiatore di Oaknock
Oaknock's machine;La macchina di Oaknock
Obelisk of Air;Obelisco dell'Aria
Occupied Cormorant perch;Pesce persico cormorano occupato
Ogre barricade;Barricata degli orchi
Music Scores;Spartiti musicali
Musical space;Spazio musicale
Mystical mirror;Specchio mistico
Mythic Statue;Statua mitica
Note;Nota
Oak scratching post;Tiragraffi in rovere
Oak table;Tavolo in rovere
Nightmare Berries;Bacche dell'incubo
Nightmare Topiary;Topiaria da incubo
Obsidian bench;Panca in ossidiana
Mystic portal;Portale mistico
Nails;Unghia
Notices;Avvisi
Novice Flag;Bandiera del principiante
Obelisk of Earth;Obelisco della Terra
Musty bookshelf;Libreria ammuffita
Mysterious ruins;Rovine misteriose
Mystical barrier (orange);Barriera mistica (arancione)
Mythical cape;Mantello mitico
Nature rift;Spaccatura della natura
Neutral Barrier;Barriera Neutrale
Oak outfit stand;Stand per abiti in quercia
Oak tree stump;Ceppo di quercia
Obelisk;Obelisco
Official Order of Construction;Ordine ufficiale di costruzione
Mysterious pipe;Pipa misteriosa
Nature house;Casa della natura
Ned's Table;Il tavolo di Ned
Nest;Nido
Nightmare Blossom;Fiore da incubo
Oak bench;Panca in rovere
Oak drawers;Cassetti in rovere
Oak trophy case;Custodia per trofei in quercia
Obstacle;Ostacolo
Mushy Bed;Letto molle
Narrow wall;Muro stretto
Oak;Quercia
Oak feeder;Alimentatore di quercia
Oaknock's Machine;La macchina di Oaknock
Obsidian fence;Recinto di ossidiana
Office table;Tavolo da ufficio
Mysterious stone;Pietra misteriosa
Newspapers;Giornali
Nightmare display;Visualizzazione da incubo
Nine;Nove
Node;Nodo
Oak chair;Sedia in quercia
My life;La mia vita
Narrow gap;Divario stretto
Oak Tree;Quercia
Oak birdhouse (empty);Casetta per uccelli in quercia (vuota)
Oak chest;Cassapanca in rovere
Oak tree;Quercia
Ogre bed;Letto dell'orco
Notice board;Bacheca
Occupied perch;Posatoio occupato
Odd markings;Segni strani
Mystical door;Porta mistica
Mushtree;Fungo
Music Stand;Leggio
Mystical barrier;Barriera mistica
Nothing;Niente
Novice flag;Bandiera del principiante
Ogre bench;Panca dell'orco
Mysterious glow;Bagliore misterioso
Mystical barrier (red);Barriera mistica (rossa)
Net trap;Trappola netta
Oak cape rack;Appendiabiti in quercia
Obelisk of Fire;Obelisco del fuoco
Obsidian fence post;Palo di recinzione in ossidiana
Obstacle net;Rete di ostacoli
Ogre Drums;Tamburi dell'Orco
Old Crane;Vecchia gru
Old Shrine;Vecchio Santuario
Old tools;Vecchi strumenti
Old wall;Vecchio muro
Olmic pillar;Pilastro olmico
Opulent rug;Tappeto opulento
Orange tree;Arancio
Ore crate;Cassa di minerali
Ornate banner stand;Supporto per banner decorato
Ornate kalphite combat dummy;Manichino da combattimento kalphite decorato
Ornate railing;Ringhiera ornata
Palm tree;Palma
Onion seeds;Semi di cipolla
Open hot vent door;Aprire lo sportello di ventilazione dell'acqua calda
Open trapdoor;Botola aperta
Opulent table;Tavola opulenta
Ornamental fountain;Fontana ornamentale
Palm;Palma
Old Memorial;Vecchio memoriale
Old tree;Vecchio albero
Operation table;Tavolo operatorio
Ornament;Ornamento
Ornamental anvil;Incudine ornamentale
Ornate combat dummy;Manichino da combattimento decorato
Ornate vampyre combat dummy;Manichino da combattimento vampiro decorato
Panning point;Punto di panoramica
Ogre fire;Fuoco dell'orco
Old fire pit;Vecchio pozzo del fuoco
Operation chair;Sedia operativa
Ornate vase;Vaso ornato
Overhanging rock;Roccia strapiombante
Overload potion;Pozione di sovraccarico
Old ruin entrance;Vecchio ingresso in rovina
Old sacks;Vecchi sacchi
Oozing barrier;Barriera trasudante
Orange door;Porta arancione
Ornate dragon combat dummy;Manichino da combattimento con drago decorato
Painting;Pittura
Panning tray;Vassoio per padella
Old bookshelf;Vecchia libreria
Onion plant;Pianta di cipolla
Opening;Apertura
Orchids;Orchidee
Ornate kurask combat dummy;Manichino da combattimento kurask decorato
Ornate undead combat dummy;Manichino da combattimento non morto decorato
Output Tap;Rubinetto di uscita
Oven;Forno
Pack;Pacchetto
Old well;Vecchio pozzo
One;Uno
Opened gold chest;Cassa d'oro aperta
Operating Table;Tavolo operatorio
Ore stones;Pietre minerali
Paladin;Paladino
Ore sack;Sacco di minerali
Olaf's boat;La barca di Olaf
Old Stall;Vecchia stalla
Oojimaflip;Oojimaflip
Open Chest;Apri il baule
Open Door;Porta aperta
Ornamental globe;Globo ornamentale
Owl Statue;Statua del gufo
Oil lamp;Lampada ad olio
Onion;Cipolla
Open Cupboard;Armadio aperto
Operating table;Tavolo operatorio
Ore table;Tavolo dei minerali
Ornate candle;Candela decorata
Palm tree stump;Ceppo di palma
Open statue;Statua aperta
Ore vein;Vena di minerale
Ornate league statue;Statua della lega decorata
Ornate pool of Rejuvenation;Piscina ornata di ringiovanimento
Orange tree stump;Ceppo di arancio
Ornate Jewellery Box;Portagioie decorato
Ornate lockbox;Cassetta di sicurezza decorata
Ogre spit-roast;Orco allo spiedo
Ogre stone door;Porta in pietra dell'orco
Old Bookshelf;Vecchia libreria
Old log;Vecchio registro
Onion basket;Cestino di cipolle
Ornate trophy pedestal;Piedistallo trofeo decorato
Ornate wilderness combat dummy;Manichino da combattimento decorato nella natura selvaggia
Outfit stand space;Spazio stand per abiti
Painting stand;Supporto per verniciatura
Panel;Pannello
Ominous Fishing Spot;Luogo di pesca minaccioso
Open chest;Petto aperto
Open gate;Cancello aperto
Orb;Sfera
Pagoda Fungus;Fungo della pagoda
Old crane;Vecchia gru
Orchid;Orchidea
Organ;Organo
Old axe;Vecchia ascia
Old passageway;Vecchio passaggio
Orrery;Planetario
Otherworldly garden;Giardino ultraterreno
Otherworldly theme;Tema ultraterreno
Our lives;Le nostre vite
Pedestal;Piedistallo
Peephole;Spioncino
Penance Fighter statue;Statua del combattente della penitenza
Pendulum;Pendolo
Pie stall;Bancarella di torte
Pipe machine;Macchina per tubi
Piping;Tubazioni
Passage;Passaggio
Patched Wall;Muro rattoppato
Penance Ranger statue;Statua del Ranger della Penitenza
Pew;Banco
Phren Roots;Phren Radici
Pigeon;Piccione
Pile of bricks;Mucchio di mattoni
Pillar;Pilastro
Pine;Pino
Pet list;Elenco degli animali domestici
Pile of fish;Mucchio di pesce
Pin;Spillo
Pirate map;Mappa dei pirati
Pit;Fossa
Plant;Pianta
Paper;Carta
Passageway;Passaggio
Penance Healer statue;Statua del guaritore della penitenza
Picnic bench;Panca da picnic
Plantpot;Vaso per piante
Papaya tree;Albero di papaia
Pentamid Pile;Pila pentamidica
Petrified Mushtree;Fungo pietrificato
Petrified Spine Plant;Pianta della colonna vertebrale pietrificata
Piano stool;Sgabello per pianoforte
Pile of Rock;Mucchio di roccia
Pile of rubble.;Mucchio di macerie.
Platform edge;Bordo della piattaforma
Partial fence;Recinzione parziale
Pebbles;Ciottoli
Perch;Pertica
Pile of Fishbowls;Mucchio di bocce per pesci
Pile of canes;Mucchio di canne
Pinboard;Bacheca
Pirate Captain;Capitano pirata
Pile of rubble;Mucchio di macerie
Pillar of Light;Colonna di luce
Pirate Pete;Pietro il pirata
Papaya tree stump;Ceppo di albero di papaia
Penance Queen spawn statue;Statua della regina della penitenza
Pet list space;Spazio elenco animali domestici
