Follow;Seguire
View Torsos;Visualizza i torsi
View Bottoms;Visualizza fondi
View Body types;Visualizza i tipi di corporatura
Upgrades;Aggiornamenti
Benefits;Vantaggi
Lookup-entity;Entità di ricerca
Deposit-1181;Deposito-1181
Withdraw-1181;Ritiro-1181
Buy: 1 x Rune crossbow;Acquista: 1 x balestra runica
Deposit-8;Deposito-8
Withdraw-8;Ritiro-8
Select <col=ff891f>Shattered Relic Hunter (T1);Seleziona <col=ff891f>Cacciatore di reliquie infrante (T1)
Select <col=ff891f>Shattered Mystic Orn Kit;Seleziona <col=ff891f>Kit dell'Orno Mistico Infranto
Select <col=ff891f>Trailblazer Graceful Kits x6;Seleziona <col=ff891f>Kit aggraziati Trailblazer x6
Select <col=ff891f>Leagues IV Bulwark Orn Kit;Seleziona <col=ff891f>Kit Orno del Baluardo della Lega IV
Select <col=ff891f>Demonic Skin Sample;Seleziona <col=ff891f>Campione di pelle demoniaca
Select <col=ff891f>Twisted Horns;Seleziona <col=ff891f>Corna attorcigliate
Select <col=ff891f>Leagues IV Relic Hunter (T2);Seleziona <col=ff891f>Cacciatore di reliquie della Lega IV (T2)
Select <col=ff891f>Echo Virtus Robes Orn Kit;Seleziona <col=ff891f>Kit Orno Vesti Echo Virtus
Select <col=ff891f>Demonic Staff Ornament Kit;Seleziona <col=ff891f>Kit ornamenti per bastone demoniaco
Select <col=ff891f>Leagues V NPC Contact;Seleziona <col=ff891f>Contatto NPC Lega V
Select <col=ff891f>Leagues V Relic Hunter (T1);Seleziona <col=ff891f>Cacciatore di reliquie della lega V (T1)
Select <col=ff891f>Leagues IV Alchemy Scroll;Seleziona la <col=ff891f>Pergamena alchemica della Lega IV
Select <col=ff891f>Leagues IV Teleport Scroll;Seleziona <col=ff891f>La pergamena di teletrasporto della Lega IV
Select <col=ff891f>Trailblazer Tool Orn Kit;Seleziona <col=ff891f>Kit strumento Orn Trailblazer
Select <col=ff891f>Leagues IV Rejuvination Pool;Seleziona <col=ff891f>Pool di ringiovanimento della Lega IV
Select <col=ff891f>Echo Ahrim's Pieces Orn Kit;Seleziona <col=ff891f>Kit Orn con pezzi di Echo Ahrim
Select <col=ff891f>Shattered Relic Hunter (T3);Seleziona <col=ff891f>Cacciatore di reliquie infrante (T3)
Select <col=ff891f>Trailblazer Globe;Seleziona <col=ff891f>Globo apripista
Select <col=ff891f>Trailblazer Teleport Scroll;Seleziona <col=ff891f>La pergamena del teletrasporto Trailblazer
Select <col=ff891f>Echo Venator Bow Orn Kit;Seleziona <col=ff891f>Kit arco arco Echo Venator
Recoil Settings;Impostazioni di rinculo
Deposit-339;Deposito-339
Default quantity: 339;Quantità predefinita: 339
Recoil settings;Impostazioni di rinculo
Withdraw-6000000;Ritiro-6000000
Bandit Camp;Campo dei banditi
Lava Maze;Labirinto di lava
Chaos Temple;Tempio del caos
Withdraw-6000;Ritiro-6000
Deposit-6000;Deposito-6000
Buy: 13 x Rune platebody;Acquista: 13 x Platebody runico
Buy: 1 x Mithril full helm;Acquista: 1 elmo completo Mithril
Check completion;Controlla il completamento
Channel (Kandarin);Canale (Kandarin)
Make <col=ff9040>Onyx amulet (u)</col>;Crea <col=ff9040>Amuleto di onice (u)</col>
Make <col=ff9040>Onyx bracelet</col>;Realizza <col=ff9040>braccialetto in onice</col>
Buy sets:;Acquista set:
Jump-from;Salta da
Channel (Karamja);Canale (Karamja)
Default quantity: 6,000;Quantità predefinita: 6.000
Buy: 1 x Adamant full helm;Acquista: 1 x Elmo completo Adamant
Buy: 150 x Rune dagger;Acquista: 150 x Pugnali runici
Master;Maestro
Make <col=ff9040>Slayer ring (8)</col>;Crea <col=ff9040>Anello dell'uccisore (8)</col>
Sell: 1 x Uncut emerald;Vendi: 1 x smeraldo non tagliato
Make-cuppa;Prepara la tazza
Buy: 1 x Armadyl rune armour set (lg);Acquista: 1 set di armature runiche Armadyl (lg)
Sell: 1 x Armadyl platelegs;Vendita: 1 x gambe piastre Armadyl
Deposit-499;Deposito-499
Withdraw-499;Ritiro-499
Buy: 15 x Rune platebody;Acquista: 15 x Platebody delle rune
Sell: 500 x Amulet of strength;Vendi: 500 x Amuleto della forza
Buy: 1 x Rune platebody;Acquista: 1 x piastra runica
Buy: 1 x Rune longsword;Acquista: 1 x spada lunga runica
Unstore;Annulla memorizzazione
Ring-last-destination (DJP);Chiama l'ultima destinazione (DJP)
Rustle;Fruscio
Ring-last-destination (CJQ);Chiama l'ultima destinazione (CJQ)
Enchant;Incantare
Ring-last-destination (BJS);Chiama l'ultima destinazione (BJS)
Aim and Fire;Mira e fuoco
Amy;Amy
View Info;Visualizza informazioni
Buy: 20 x Rune platebody;Acquista: 20 x Platebody delle rune
Buy: 40 x Rune full helm;Acquista: 40 x Elmo completo runico
Deposit-38;Deposito-38
Buy: 80 x Adamant platebody;Acquista: 80 x Platebody Adamant
Buy: 100 x Sapphire amulet;Acquista: 100 amuleti di zaffiro
Withdraw-5000000;Preleva-5000000
Deposit-5000000;Deposito-5000000
Default quantity: 5,000,000;Quantità predefinita: 5.000.000
Deposit-3000000;Deposito-3000000
Deposit-13500000;Deposito-13500000
Withdraw-13500000;Ritiro-13500000
Deposit-15000000;Deposito-15000000
Withdraw-3000000;Ritiro-3000000
Withdraw-15000000;Ritiro-15000000
Withdraw-108;Ritiro-108
Deposit-108;Deposito-108
Deposit-542;Deposito-542
Withdraw-542;Ritiro-542
Teleport to <col=ff8040>Castle Wars</col>;Teletrasportati a <col=ff8040>Castle Wars</col>
Join <col=ff8040>Castle Wars</col> channel;Unisciti al canale <col=ff8040>Castle Wars</col>
Make <col=ff9040>Diamond bracelet</col>;Realizza <col=ff9040>braccialetto di diamanti</col>
Blackout;Blackout
Withdraw-23;Ritiro-23
Deposit-23;Deposito-23
Default quantity: 23;Quantità predefinita: 23
Select <col=ff891f>Tier 1 Adventurer's Outfit;Seleziona <col=ff891f>Vestito da avventuriero livello 1
Select <col=ff891f>Tier 2 Adventurer's Outfit;Seleziona <col=ff891f>Vestito da avventuriero di livello 2
Select <col=ff891f>Speedy Teleport Scroll;Seleziona <col=ff891f>Scorrimento per teletrasporto veloce
Select <col=ff891f>Tier 3 Adventurer's Outfit;Seleziona <col=ff891f>Vestito da avventuriero di livello 3
Select <col=ff891f>Giant Stopwatch;Seleziona <col=ff891f>Cronometro gigante
Collections overview;Panoramica delle collezioni
Stairs to Timeline exhibit;Mostra Scale per la cronologia
Collections Overview;Panoramica delle collezioni
Last-destination (ALR);Ultima destinazione (ALR)
Default quantity: 542;Quantità predefinita: 542
Select <col=ff9040>Pineapple punch;Seleziona <col=ff9040>Punch all'ananas
Select <col=ff9040>Fruit blast;Seleziona <col=ff9040>Esplosione di frutta
Select <col=ff9040>Blurberry special;Seleziona <col=ff9040>Mirtillo speciale
Mix-cocktail;Mix-cocktail
Select <col=ff9040>Chocolate saturday;Seleziona <col=ff9040>Sabato al cioccolato
Select <col=ff9040>Drunk dragon;Seleziona <col=ff9040>Drago ubriaco
Select <col=ff9040>Short green guy;Seleziona <col=ff9040>Tipo basso verde
Default quantity: 2;Quantità predefinita: 2
Magic XP: 1 point;XP magici: 1 punto
Magic XP: 100 points;XP magici: 100 punti
Strength XP: 100 points;Punti Forza: 100 punti
Magic XP: 10 points;XP magici: 10 punti
Ranged XP: 100 points;XP a distanza: 100 punti
Buy: 70 x Ruby amulet;Acquista: 70 amuleti di rubino
Buy: 1,000 x Ruby amulet;Acquista: 1.000 amuleti di rubino
Steal;Rubare
Buy: 2,000 x Cosmic rune;Acquista: 2.000 Rune cosmiche
Toggle-activity;Attiva/disattiva attività
Buy: 1,320 x Cosmic rune;Acquista: 1.320 x Runa cosmica
Default quantity: 6,000,000;Quantità predefinita: 6.000.000
Release all placeholders (38);Rilascia tutti i segnaposto (38)
Deposit-6000000;Deposito-6000000
Dissolve;Sciogliere
Sell: 826 x Amulet of strength;Vendi: 826 x Amuleto della forza
BJS;BJS
BJP;BJP
Ring-last-destination (CKQ);Chiama l'ultima destinazione (CKQ)
Buy: 1 x Gilded platelegs;Acquista: 1 x gambe in piastra dorate
Buy: 1 x Bones;Acquista: 1 x ossa
Sell: 13,000 x Steel nails;Vendita: 13.000 chiodi in acciaio
View <col=ff9040>Smithing</col> guide;Visualizza la guida alla <col=ff9040>Forgiatura</col>
Clan name;Nome del clan
Permission access;Accesso ai permessi
Notifications;Notifiche
Clan Hall;Sala del clan
Management;Gestione
View Clan Count;Visualizza il conteggio dei clan
Report name;Nome del rapporto
View clan;Visualizza clan
Back to Recruitment Board;Torniamo al Consiglio di reclutamento
Cortar;Corter
Lista de amigos;Lista degli amici
Negocie com;Negoziazione com
Esconder;Esconder
Denúnciar;Denunziar
Caminhe até aqui;Caminhe até aqui
Opções de Combate;Opzioni di combattimento
Jogar;Jogar
Atacar;Atacar
Configurações;Configurazioni
Falar com;Falar com
Controles;Controlli
Conta;Conta
Habilidades;Abilità
Previous page;Pagina precedente
Buy: 1,990 x Ruby amulet;Acquista: 1.990 x Amuleto di rubino
Sell: 1,310 x Amulet of strength;Vendi: 1.310 x Amuleto della forza
Buy: 90 x Rune platebody;Acquista: 90 x Platebody delle rune
Move Left;Sposta a sinistra
Move Right;Spostati a destra
Move Down;Sposta giù
Fire!;Fuoco!
Capture;Catturare
Diários de conquistas;Diari di conquista
View <col=ff9040>Construction</col> guide;Visualizza la guida alla <col=ff9040>Costruzione</col>
Largar;Largo
Subida;Subida
Saber mais;Saber mais
Empunhar;Empunhar
Digitar;Digitale
Inventário;Inventario
Ver caixa de entrada;Ver caixa de entrada
Fechar;Fechar
Abrir;Apri
Vestir;Vestir
Lançar;Lançar
Pegar;Pegaro
Depósito;Deposito
Coletar;Coletar
Sair;Sair
Trocador de mundo;Trocador de mundo
Close Info;Chiudi informazioni
Selecione;Selezione
História;Historia
Trocar;Trocar
Confirmar;Conferma
Conjuntos;Congiunti
Withdraw-727;Ritiro-727
Buy: 1 x Emerald;Acquista: 1 x Smeraldo
Ver oferta;Vedi l'offerta
Abortar oferta;Interrompere l'offerta
Depósito-X;Deposito-X
Preços;Prezzi
Depósitar-1;Deposito-1
Depósitar-10;Deposito-10
Deposit-727;Deposito-727
Depósito-Tudo;Deposito-Tudo
Depósitar-5;Deposito-5
Insira o preço;Inserisci il prezzo
Make <col=ff9040>Emerald necklace</col>;Realizza <col=ff9040>Collana di smeraldi</col>
Adicionar amigo;Aggiungo amico
Mostrar no mapa:;Non mostrare mappa:
Leia o diário:;Leia o diário:
Sell: 50 x Emerald necklace;Vendi: 50 x Collana di smeraldi
Saque;Saque
Withdraw-4000;Prelievo-4000
Recompensas;Ricompensa
Compre 5;Compre 5
Vender 50<col=ff9040>;Venditore 50<col=ff9040>
Vender 10<col=ff9040>;Venditore 10<col=ff9040>
Vender 1<col=ff9040>;Venditore 1<col=ff9040>
Compre 50;Compre 50
Valor<col=ff9040>;Valore<col=ff9040>
Compre 10;Compre 10
Vender 5<col=ff9040>;Venditore 5<col=ff9040>
Compre 1;Compre 1
Default quantity: 4,000;Quantità predefinita: 4.000
Chefes;Chef
Tarefas;Tarefas
Registro de coleta;Registro de coleta
Visão geral;Vista generale
Visão geral da coleção;Vista generale della collezione
Resgatar;Resgatar
Compre-50;Compre-50
Remover;Dispositivo di rimozione
Default quantity: 15,000,000;Quantità predefinita: 15.000.000
Deposit-6;Deposito-6
Ver estatísticas do equipamento;Vedi statistiche dell'attrezzatura
Empty Dish;Piatto vuoto
Sell: 1,500 x Iron arrow;Vendi: 1.500 frecce di ferro
Buy: 1,500 x Headless arrow;Acquista: 1.500 frecce senza testa
Buy: 3 x Chocolate bar;Acquista: 3 barrette di cioccolato
Look-in;Guarda dentro
Look in;Guarda dentro
Info:;Informazioni:
Mostrar no mapa;Non mostrare mappa
Mostrar;Mostrare
Clear them all;Cancellali tutti
Buy: 1 x Adamant platelegs;Acquista: 1 x gambe piastre Adamant
Retaliação automática;Ritorsione automatica
Pedágio (10gp);Pedagogia (10mo)
Excluir amigo;Escludi amico
Soco;Soco
Bloquear;Bloquear
Deposit-18000;Deposito-18000
Withdraw-18000;Prelievo-18000
Add friend OmfgitsJezus;Aggiungi amico OmfgitsJezus
Add friend lunaluna;Aggiungi amico lunaluna
Add ignore SPINOZA78;Aggiungi ignora SPINOZA78
Add ignore YoungJimz;Aggiungi ignora YoungJimz
Add ignore New Burial;Aggiungi ignora nuova sepoltura
Add friend ReadSR;Aggiungi amico ReadSR
Add ignore WyattsWildy;Aggiungi ignora WyattsWildy
Add friend Wheat312;Aggiungi amico Grano312
Add friend Pow3rmaxsk1l;Aggiungi amico Pow3rmaxsk1l
Add ignore OmfgitsJezus;Aggiungi ignora OmfgitsJezus
Add ignore Marc Ecko;Aggiungi ignora Marc Ecko
Add friend LinuxS3XTips;Aggiungi amico LinuxS3XTips
Add friend pedromain;Aggiungi amico Pedromain
Add ignore Pimptime69;Aggiungi ignora Pimptime69
Add ignore Macdin;Aggiungi ignora Macdin
Add ignore Pow3rmaxsk1l;Aggiungi ignora Pow3rmaxsk1l
Add friend SirPudrick;Aggiungi amico SirPudrick
Add friend Runsirongi;Aggiungi amico Runsirongi
Add friend Tim Sanchez;Aggiungi amico Tim Sanchez
Add ignore pedromain;Aggiungi ignora pedodominio
Add friend WyattsWildy;Aggiungi amico WyattsWildy
Add ignore Voidloser;Aggiungi ignora Voidloser
Add friend MavenDracan;Aggiungi amico MavenDracan
Add friend Marc Ecko;Aggiungi l'amico Marc Ecko
Add friend YoungJimz;Aggiungi amico YoungJimz
Add friend Pimptime69;Aggiungi amico Pimptime69
Add ignore TerpyHigh;Aggiungi ignora TerpyHigh
Add friend SPINOZA78;Aggiungi amico SPINOZA78
Add friend YBN Aleedarg;Aggiungi amico YBN Aleedarg
Add ignore YBN Aleedarg;Aggiungi ignora YBN Aleedarg
Add ignore Runsirongi;Aggiungi ignora Runsirongi
Add ignore ReadSR;Aggiungi ignora ReadSR
Add ignore Wheat312;Aggiungi ignora Wheat312
Add ignore LinuxS3XTips;Aggiungi ignora LinuxS3XTips
Add ignore MavenDracan;Aggiungi ignora MavenDracan
Add ignore x DAPPER DAN;Aggiungi ignora x DAPPER DAN
Add friend Voidloser;Aggiungi amico Voidloser
Add friend New Burial;Aggiungi amico Nuova sepoltura
Add friend Macdin;Aggiungi amico Macdin
Add friend x DAPPER DAN;Aggiungi amico x DAPPER DAN
Add friend Tylon561;Aggiungi amico Tylon561
Add friend TerpyHigh;Aggiungi amico TerpyHigh
Add friend Serve God;Aggiungi un amico Servi Dio
Add ignore Tim Sanchez;Aggiungi ignora Tim Sanchez
Add ignore SirPudrick;Aggiungi ignora SirPudrick
Add ignore Serve God;Aggiungi ignora Servi Dio
Add ignore lunaluna;Aggiungi ignora lunaluna
Add ignore Tylon561;Aggiungi ignora Tylon561
Void Knight Seal;Sigillo del Cavaliere del Vuoto
Void Knight Top;Parte superiore del Cavaliere del Vuoto
Void Ranger Helm;Elmo del Ranger del Vuoto
Void Knight Gloves;Guanti del Cavaliere del Vuoto
Add ignore Goth Girl XO;Aggiungi ignora Goth Girl XO
Add ignore Perry2fly;Aggiungi ignora Perry2fly
Add friend LAMPTIONED;Aggiungi amico LAMPTIONED
Add friend J a c k e l;Aggiungi l'amico J a c k e l
Add friend Zul n Dro;Aggiungi l'amico Zul n Dro
Add friend SekiroTank;Aggiungi amico SekiroTank
Add ignore NotSeeGIM;Aggiungi ignora NotSeeGIM
Add ignore Lumberg;Aggiungi ignora Lumberg
Add ignore LAMPTIONED;Aggiungi ignora LAMPTIONED
Add ignore Pontiff1;Aggiungi ignora Pontefice1
Add ignore Yunglitho;Aggiungi ignora Yunglitho
Add friend NotSeeGIM;Aggiungi amico NotSeeGIM
Add ignore KisaMiaow;Aggiungi ignora KisaMiaow
Add ignore Sibyllistes;Aggiungi ignora Sibilliste
Add ignore ZeroPolone;Aggiungi ignora ZeroPolone
Add friend Leo LaRocca;Aggiungi l'amico Leo LaRocca
Add ignore J a c k e l;Aggiungi ignora J a c k e l
Add friend YurBoiFrost;Aggiungi amico YurBoiFrost
Add friend Ostehbos;Aggiungi amico Ostehbos
Add ignore Kat Kill U;Aggiungi ignora Kat Kill U
Add friend Kat Kill U;Aggiungi l'amico Kat Kill U
Add ignore nerdnd;Aggiungi ignora nerd
Add friend ToughShitMF;Aggiungi amico ToughShitMF
Add friend ZeroPolone;Aggiungi amico ZeroPolone
Add friend sky roarrent;Aggiungi amico sky roarrent
Add friend Sibyllistes;Aggiungi amico Sibilliste
Add friend Goth Girl XO;Aggiungi un amico Goth Girl XO
Add ignore Ostehbos;Aggiungi ignora Ostehbos
Add ignore Zul n Dro;Aggiungi ignora Zul n Dro
Add ignore YurBoiFrost;Aggiungi ignora YurBoiFrost
Add ignore R O S I T A;Aggiungi ignora R O S I T A
Add ignore TBAGMASTER66;Aggiungi ignora TBAGMASTER66
Add friend nerdnd;Aggiungi amico nerd
Add friend Iron Typhil;Aggiungi amico Iron Typhil
Add ignore Iron Typhil;Aggiungi ignora Ferro Tiphil
Add ignore sky roarrent;Aggiungi ignora il ruggito del cielo
Add friend Lumberg;Aggiungi amico Lumberg
Add ignore SekiroTank;Aggiungi ignora SekiroTank
Add ignore S00prman;Aggiungi ignora S00prman
Add friend R O S I T A;Aggiungi amico R O S I T A
Add friend TBAGMASTER66;Aggiungi amico TBAGMASTER66
Add ignore Leo LaRocca;Aggiungi ignora Leo LaRocca
Add friend Yunglitho;Aggiungi amico Yunglitho
Add friend S00prman;Aggiungi amico S00prman
Add ignore ToughShitMF;Aggiungi ignora ToughShitMF
Add friend KisaMiaow;Aggiungi amico KisaMiaow
Add friend Pontiff1;Aggiungi amico Pontefice1
Add friend Perry2fly;Aggiungi amico Perry2fly
Add ignore ValconNE;Aggiungi ignora ValconNE
Add friend The Fe Boi;Aggiungi amico The Fe Boi
Add friend Uncle Rustus;Aggiungi l'amico zio Rustus
Add ignore WarheartRahl;Aggiungi ignora WarheartRahl
Add ignore Uncle Rustus;Aggiungi ignora zio Rustus
Add ignore V B Stubby;Aggiungi ignora V B Stubby
Leave <col=ff8040>Barbarian Assault</col> channel;Abbandona il canale <col=ff8040>Assalto barbarico</col>
Add ignore uwu sad;Aggiungi ignora uwu triste
Add friend thyhighone;Aggiungi amico tuohighone
Add ignore The Fe Boi;Aggiungi ignora The Fe Boi
Add ignore weedy;Aggiungi ignora erbaccia
Switch <col=ff8040>306</col>;Cambia <col=ff8040>306</col>
Add ignore Turk Grimsby;Aggiungi ignora Turk Grimsby
Join <col=ff8040>Barbarian Assault</col> channel;Unisciti al canale <col=ff8040>Barbarian Assault</col>
Add friend Turk Grimsby;Aggiungi amico Turk Grimsby
Add friend WarheartRahl;Aggiungi amico WarheartRahl
Add friend V B Stubby;Aggiungi l'amico V B Stubby
Add friend uwu sad;Aggiungi un amico uwu triste
Add ignore thyhighone;Aggiungi ignora tuo alto
Teleport to <col=ff8040>Barbarian Assault</col>;Teletrasportarsi all'<col=ff8040>Assalto barbarico</col>
Add friend ValconNE;Aggiungi amico ValconNE
Add friend weedy;Aggiungi l'amico Weedy
Take-Tofu;Take-Tofu
Stock-Up;Fare scorta
Take-Crackers;Cracker da prendere
Take-Worms;Prendi-Vermi
Add friend YarpiYarpi;Aggiungi amico YarpiYarpi
Add ignore Vamp Wook;Aggiungi ignora Vamp Wook
Add friend Vamp Wook;Aggiungi un amico Vamp Wook
Add ignore Zomaeris X;Aggiungi ignora Zomaeris X
Add friend Zomaeris X;Aggiungi amico Zomaeris X
Add friend Zenoo;Aggiungi l'amico Zenoo
Add ignore YarpiYarpi;Aggiungi ignora YarpiYarpi
Add ignore Zenoo;Aggiungi ignora Zenoo
Add friend wookiearmpit;Aggiungi amico wookieascella
Add ignore WarluciaIM;Aggiungi ignora WarluciaIM
Reset-wave;Onda di reset
Add ignore ThatVietCong;Aggiungi ignora ThatVietCong
Add friend ThatVietCong;Aggiungi amico ThatVietCong
Add ignore wookiearmpit;Aggiungi ignora wookieascella
Add friend WarluciaIM;Aggiungi amico WarluciaIM
Write-Role;Ruolo di scrittura
Add ignore PearlLight21;Aggiungi ignora PearlLight21
Add friend swar0vski;Aggiungi amico swar0vski
Teleport to <col=ff8040>Soul Wars</col>;Teletrasportati a <col=ff8040>Guerre delle anime</col>
Add friend shayboshark;Aggiungi amico shayboshark
Add friend treterr;Aggiungi amico treterr
Add friend SwitchHeel;Aggiungi amico SwitchHeel
Add ignore treterr;Aggiungi ignora treterr
Leave <col=ff8040>Tombs of Amascut</col> channel;Lascia il canale <col=ff8040>Tombe di Amascut</col>
Add friend Seward Park;Aggiungi un amico Seward Park
Add ignore toxicsnopipe;Aggiungi ignora tubo tossico
Add ignore Willem Engel;Aggiungi ignora Willem Engel
Add ignore so258;Aggiungi ignora so258
Add friend SarpanchJr;Aggiungi amico SarpanchJr
Add ignore xMysiq;Aggiungi ignora xMysiq
Add friend PearlLight21;Aggiungi amico PearlLight21
Switch <col=ff8040>320</col>;Cambia <col=ff8040>320</col>
Add friend so258;Aggiungi amico so258
Teleport to <col=ff8040>Tombs of Amascut</col>;Teletrasportati alle <col=ff8040>Tombe di Amascut</col>
Add friend verba gladii;Aggiungi amico verba gladii
Join <col=ff8040>Soul Wars</col> channel;Unisciti al canale <col=ff8040>Soul Wars</col>
Add ignore TasteSeeker;Aggiungi ignora TasteSeeker
Add friend Mr Fou;Aggiungi l'amico Mr Fou
Add ignore swar0vski;Aggiungi ignora swar0vski
Add ignore SwitchHeel;Aggiungi ignora SwitchHeel
Add ignore sinsavage3;Aggiungi ignora sinsavage3
Add friend TheBadWo1f;Aggiungi amico TheBadWo1f
Add friend Willem Engel;Aggiungi l'amico Willem Engel
Add ignore WhiiiteRaven;Aggiungi ignora WhiiiteRaven
Leave <col=ff8040>Soul Wars</col> channel;Lascia il canale <col=ff8040>Soul Wars</col>
Add ignore Seward Park;Aggiungi ignora Seward Park
Switch <col=ff8040>338</col>;Cambia <col=ff8040>338</col>
Add ignore shayboshark;Aggiungi ignora shayboshark
Add friend xMysiq;Aggiungi amico xMysiq
Add ignore TheBadWo1f;Aggiungi ignora TheBadWo1f
Teleport to <col=ff8040>God Wars</col>;Teletrasportati a <col=ff8040>God Wars</col>
Add friend WhiiiteRaven;Aggiungi amico WhiiiteRaven
Add ignore SarpanchJr;Aggiungi ignora SarpanchJr
Add friend sinsavage3;Aggiungi amico sinsavage3
Add ignore RoughNRaw;Aggiungi ignora RoughNRaw
Add ignore Tyrolls;Aggiungi ignora Tyrolls
Add friend Sun Kannon;Aggiungi l'amico Sun Kannon
Add friend bballfrk11;Aggiungi amico bballfrk11
Add ignore Jojofatdong;Aggiungi ignora Jojofatdong
Add friend Jojofatdong;Aggiungi amico Jojofatdong
Add ignore verba gladii;Aggiungi ignorare verba gladii
Add ignore Im Tweedd;Aggiungi ignora, sono Tweedd
Leave <col=ff8040>God Wars</col> channel;Lascia il canale <col=ff8040>God Wars</col>
Add friend RoughNRaw;Aggiungi amico RoughNRaw
Join <col=ff8040>Tombs of Amascut</col> channel;Unisciti al canale <col=ff8040>Tombe di Amascut</col>
Add ignore Sun Kannon;Aggiungi ignora Sun Kannon
Add friend TasteSeeker;Aggiungi amico TasteSeeker
Join <col=ff8040>God Wars</col> channel;Unisciti al canale <col=ff8040>God Wars</col>
Add friend Tyrolls;Aggiungi amico Tyrolls
Add ignore Mr Fou;Aggiungi ignora Mr Fou
Add friend Im Tweedd;Aggiungi l'amico Im Tweedd
Add ignore bballfrk11;Aggiungi ignora bballfrk11
Add friend toxicsnopipe;Aggiungi amico tossicosnopipe
Add friend Ziconic222;Aggiungi amico Ziconic222
Add friend waudakwoody;Aggiungi amico Waudakwoody
Add ignore RockApe101;Aggiungi ignora RockApe101
Teleport to <col=ff8040>Shooting Stars</col>;Teletrasportati alle <col=ff8040>Stelle cadenti</col>
Add ignore Wildy Powian;Aggiungi ignora Wildy Powian
Add friend Zunestro;Aggiungi amico Zunestro
Add friend pull an pray;Aggiungi un amico fai una preghiera
Add ignore Bxrly;Aggiungi ignora Bxrly
Add ignore zChap;Aggiungi ignora zChap
Add friend Salvinate262;Aggiungi amico Salvinate262
Leave <col=ff8040>Shooting Stars</col> channel;Lascia il canale <col=ff8040>Stelle cadenti</col>
Add friend youngMendo;Aggiungi amico youngMendo
Add ignore youngMendo;Aggiungi ignora youngMendo
Add ignore WiseOldDuke;Aggiungi ignora WiseOldDuke
Join <col=ff8040>Volcanic Mine</col> channel;Unisciti al canale <col=ff8040>Miniera Vulcanica</col>
Add friend Wildy Powian;Aggiungi l'amico Wildy Powian
Add friend Bxrly;Aggiungi amico Bxrly
Add friend Wyvnex;Aggiungi amico Wyvnex
Add friend xNeoPure;Aggiungi amico xNeoPure
Add friend zChap;Aggiungi amico zChap
Add friend WiseOldDuke;Aggiungi amico WiseOldDuke
Add ignore Wyvnex;Aggiungi ignora Wyvnex
Add ignore Ziconic222;Aggiungi ignora Ziconic222
Add ignore Yeahnope;Aggiungi ignora Sì, no
Join <col=ff8040>Shooting Stars</col> channel;Unisciti al canale <col=ff8040>Stelle cadenti</col>
Add friend Yeahnope;Aggiungi amico Sì, no
Add ignore Wheresblanky;Aggiungi ignora Wheresblanky
Add friend Wheresblanky;Aggiungi amico Wheresblanky
Add ignore Zunestro;Aggiungi ignora Zunestro
Add ignore Salvinate262;Aggiungi ignora Salvinate262
Add ignore xNeoPure;Aggiungi ignora xNeoPure
Add ignore waudakwoody;Aggiungi ignora waudakwoody
Switch <col=ff8040>323</col>;Cambia <col=ff8040>323</col>
Add friend RockApe101;Aggiungi amico RockApe101
Add ignore pull an pray;Aggiungi ignora, tira una preghiera
Teleport to <col=ff8040>Volcanic Mine</col>;Teletrasportati alla <col=ff8040>Miniera vulcanica</col>
Resources;Risorse
Leave <col=ff8040>Volcanic Mine</col> channel;Lascia il canale <col=ff8040>Miniera vulcanica</col>
Coletar no banco;Coletar no banco
View Hunter on the Wiki;Visualizza Hunter sul Wiki
Karamja Shipyard;Cantiere navale Karamja
Deposit-30000;Deposito-30000
Withdraw-30000;Preleva-30000
Withdraw-220000;Prelievo-220000
Deposit-220000;Deposito-220000
Teleport to <col=ff8040>Shades of Mort'ton</col>;Teletrasportati a <col=ff8040>Ombra di Mort'ton</col>
Join <col=ff8040>Shades of Mort'ton</col> channel;Unisciti al canale <col=ff8040>Shades of Mort'ton</col>
Switch <col=ff8040>377</col>;Cambia <col=ff8040>377</col>
Show time remaining;Mostra il tempo rimanente
Teleport to last boat;Teletrasportarsi all'ultima barca
Summon last boat;Evoca l'ultima barca
Deposit-pickaxe;Deposito-piccone
Quick-Use;Utilizzo rapido
Quick-Pass;Passaggio rapido
Quick-Enter;Inserimento rapido
Resupply;Rifornimento
View Fishing on the Wiki;Visualizza Pesca sul Wiki
Reset Streak;Reimposta serie
Comprar-1;Acquista-1
Saída;Saida
Open Livestream;Apri Livestream
Aya;Già
Deposit-3500;Deposito-3500
Withdraw-3500;Prelievo-3500
Comprar-5;Acquista-5
Cambio de imagen;Cambio dell'immagine
Buy: 10,000 x Stew;Acquista: 10.000 x Stufato
Sell: 2 x Nature rune;Vendi: 2 x Runa della natura
Sync your collection log with Temple;Sincronizza il registro della tua raccolta con Temple
Sell: 1 x Logs;Vendo: 1 x tronchi
Sell: 1 x Bear fur;Vendo: 1 x pelliccia d'orso
Stairs to Dig Site exhibit;Mostra Scale per scavare il sito
Stairs to Natural History exhibit;Mostra Scale per la Storia Naturale
Chute;Scivolo
Charter-to Port Khazard;Charter per Port Khazard
Excluir;Escluso
Buy: 1 x White bead;Acquista: 1 x perla bianca
Buy: 1 x Bucket of milk;Acquista: 1 secchio di latte
