 Sneaky undead fowl;Uccelli non morti subdoli
King Scorpion;Re Scorpione
King Thoros;Re Thoros
King Vargas;Re Vargas
King kurask;Re Kurask
King rat;Re ratto
King's Messenger;Messaggero del Re
Kitten;Gattino
Kjedelig Uppsen;Kjedelig Uppsen
Kjut;Kjut
Klank;Klank
Klarense;Klarense
Klenter;Klenter
Knight;Cavaliere
Knight of Ardougne;Cavaliere d'Ardougne
Knight of Saradomin;Cavaliere di Saradomin
Knight of Varlamore;Cavaliere di Varlamore
Knight of the Lion;Cavaliere del Leone
Knight of the Owl;Cavaliere del Gufo
Knight of the Unicorn;Cavaliere dell'Unicorno
Knight of the Wolf;Cavaliere del Lupo
Koanee;Koanee
Kob;Kob
Koftik;Koftik
Kolodion;Kolodion
Konar quo Maten;Konar quo Maten
Konoo;Konoo
Kormar quo Maten;Kormar quo Maten
Kortan;Kortan
Koschei the Deathless;Koschei l'Immortale
Koschei the deathless;Koschei l'immortale
Kragen;Kragen
Kraka;Kraka
Kraken;Kraken
Krato;Krato
Kree'arra;Kree'arra
Kree'arra Jr.;Kree'arra Jr.
Kroy;Kroy
Kruk;Kruk
Kryket bat;Mazza Kryket
Krystilia;Kristilia
Ksenia;Ksenia
Kualti;Kualti
Kubec Unkar;Kubec Unkar
Kurask;Kurask
Kurt;Kurt
Kylie Minnow;Kylie Minnow
Lacey;Lacey
Lady Carys Hefin;Lady Carys Hefin
Lady Crombwick;Signora Crombwick
Lady Ffion Meilyr;Lady Ffion Meilyr
Lady Keli;Signora Keli
Lady Kelyn Ithell;Lady Kelyn Ithell
Lady Nadezhda Shadum;Signora Nadezhda Shadum
Lady Servil;Signora Servil
Lady Shauna Piscarilius;Lady Shauna Piscarilius
Lady Table;Signora Tavola
Lady Tangwen Trahaearn;Signora Tangwen Trahaearn
Lady Vulcana Lovakengj;Signora Vulcana Lovakengj
Lahsram;Lahsram
Lalli;Lalli
Lamb;Agnello
Lammy Langle;Lammy Langle
Lan the Butcher;Lan il macellaio
Lanthus;Lanto
Lanzig;Lanzig
Large mosquito;Grande zanzara
Large zombie monkey;Grande scimmia zombi
Larran;Larran
Larrissa;Larrissa
Larry;Larry
Larxus;Larxus
Lasenna Rasputin;Lasenna Rasputin
Lathas;Lathas
Latlink Fastbell;Latlink Fastbell
Launa;Launa
Lauretta;Lauretta
Lava beast;Bestia lavica
Lava dragon;Drago di lava
Layleen;Layleen
Lazim;Lazim
Lazy cat;Gatto pigro
Lazy hellcat;Gatto infernale pigro
Le-sabrè;Le-sabrè
Lead Navigator;Navigatore principale
Leagues Assistant;Assistente della Lega
Leagues Tutor;Tutor delle leghe
Leatherworker;Lavoratore di pelle
Lector Gura;Lettore Gura
Leech;Sanguisuga
Leech display;Visualizzazione della sanguisuga
Leela;Leela
Leenz;Leenz
Left head;Testa sinistra
Legends guard;Guardia delle leggende
Leke quo Keran;Leke quo Keran
Lenny;Lenny
Lensa;Lensa
Lenwe;Lenwe
Lenyig Karna;Lenyig Karna
Leo;Leone
Leon;Leone
Leon d'Cour;Leon di Cour
Lesser Demon Champion;Campione Demone Minore
Lesser Fanatic;Fanatico minore
Lesser demon;Demone minore
Lesser ghostly thrall;Schiavitù spettrale minore
Lesser skeletal thrall;Schiavo scheletrico minore
Lesser zombified thrall;Schiavo zombificato minore
Lev;liv
Li'l lamb;Piccolo agnello
Liam;Liam
Librarian;Bibliotecario
Lidio;Lidio
Lieutenant Schepbur;Tenente Schepbur
Lieve McCracken;Lieve McCracken
Light creature;Creatura leggera
Lil' Bloat;Piccolo gonfiore
Lil' Creator;Piccolo Creatore
Lil' Destructor;Piccolo distruttore
Lil' Maiden;Piccola fanciulla
Lil' Nylo;Il piccolo Nylo
Lil' Sot;Lil' Sot
Lil' Xarp;Il piccolo Xarp
Lil' Zik;Piccolo Zik
Lilifang;Lilifang
Liliwen;Liliwen
Liliya;Liliya
Lillia;Lillia
Lilly;Lilly
Lindir;Lindir
Linen worker;Operaio della biancheria
Lisa;Lisa
Lisse Isaakson;Lisse Isaakson
Litara;Litara
Lithil;Lithil
Little Nightmare;Piccolo incubo
Little Parasite;Piccolo parassita
Lizard;Lucertola
Lizard display;Esposizione di lucertole
Lizardman;Uomo Lucertola
Lizardman brute;Bruto dell'Uomo Lucertola
Lizardman shaman;Sciamano lucertola
Lleidr Golau;Lleidr Golau
Lliann;Lliann
Llio;Llio
Loading crane;Gru di carico
Loar Shade;Loar Ombra
Loar Shadow;Loar Ombra
Lobstrosity;Lobstrosità
Local;Locale
Local Gnome;Gnomo locale
Locust;Locusta
Locust rider;Cavaliere delle locuste
Lofu;Lofu
Logava;Logava
Logios;Logios
Logosia;Logosia
Loinur;Loinur
Lokar Searunner;Lokar corridore marino
Loki;Loki
Lokraa quo Sihar;Lokraa quo Sihar
Lollk;Lollk
Long-tailed Wyvern;Viverna dalla coda lunga
Longbow Ben;Ben con l'arco lungo
Longhall Bouncer;Buttafuori di Longhall
Look-out;Attenzione
Looming shadow;Ombra incombente
Lord Alexei Jovkai;Signore Alexei Jovkai
Lord Baxtorian Cadarn;Lord Baxtorian Cadarn
Lord Crombwick;Lord Crombwick
Lord Daquarius;Signore Daquarius
Lord Iestin Iorwerth;Lord Iestin Iorwerth
Lord Ieuan Amlodd;Lord Ieuan Amlodd
Lord Iorwerth;Signore Iorwerth
Lord Kandur Hosidius;Lord Kandur Hosidius
Lord Marshal Brogan;Lord Maresciallo Brogan
Lord Mischa Myrmel;Lord Mischa Myrmel
Lord Pandur Hosidius;Lord Pandur Hosidius
Lord Piquan Crwys;Lord Piquan Crwys
Lord Rologarth;Lord Rologarth
Lord Shiro Shayzien;Signore Shiro Shayzien
Lord Trobin Arceuus;Lord Trobin Arceuus
Lorelai;Lorelai
Lornor quo Narga;Lornor quo Narga
Lorraine;Lorena
Lost barbarian;Barbaro perduto
Louie Legs;Louie Gambe
Louisa;Luisa
Lovada;Lovada
Lovakengj Engineer;Ingegnere Lovakengj
Love Cats;Adoro i gatti
Lowe;Lowe
Lowerniel Drakan;Lowerniel Drakan
Lubufu;Lubufu
Lucien;Lucien
Lucky impling;Implicazione fortunata
Lucy;Lucia
Lumberjack Leif;Il taglialegna Leif
Lumbridge Guide;Guida di Lumbridge
Lumdo;Lumdo
Lumiere;Lumiere
Luminata;Luminata
Lumo;Lumo
Luna;Luna
Lundail;Lundail
Lunderwin;Lunderwin
Lurgon;Lurgon
Luscion;Luscione
Luthas;Lutha
Lutwidge;Lutwidge
Lux grub;Grub Lux
Lynx;Lince
Lynx Tamer;Domatore di linci
Lyra;Lira
Mac;Mac
Macaroni Penguin;Pinguino Di Maccheroni
Mad skavid;Skavid pazzo
Madame Caldarium;Madame Caldarium
Maedhros;Maedhros
Maeglin;Maeglin
Mage (easy);Mago (facile)
Mage of Zamorak;Mago di Zamorak
Magic Instructor;Istruttore di magia
Magic axe;Ascia magica
Magic combat tutor;Insegnante di combattimento magico
Magnus Gram;Magnus Gram
Magpie impling;Implicamento della gazza
Mahtan;Mahtan
Maid;Domestica
Mairin;Mairin
Maisa;Maisa
Major Attack;Attacco maggiore
Major Collect;Maggiore Colletta
Major Defend;Maggiore Difendi
Major Heal;Maggiore Guarigione
Make-over mage;Mago del rinnovamento
Malak;Malak
Male slave;Schiavo maschio
Malevolent Mage;Mago Malevolo
Malignius Mortifer;Maligno Mortifero
Mallak quo Keran;Mallak quo Keran
Mama;Mamma
Mamma Bufetta;Mamma Bufetta
Mammoth;Mammut
Man;Uomo
Mandrith;Mandrito
Mandy;Mandy
Maniacal Monkey Archer;Arciere scimmia maniacale
Maniacal monkey;Scimmia maniacale
Manni the Reveller;Manni il festaiolo
Marble gargoyle;Gargoyle di marmo
Marfet;Marfet
Maria Gadderanks;Maria Gadderranks
Maria Gunnars;Maria Gunnar
Mariah;Mariah
Marisi;Marisi
Marius;Mario
Marius Giste;Mario Giste
Mark;Segno
Market Guard;Guardia del mercato
Market seller;Venditore del mercato
Markog;Markog
Marley;Marley
Marlo;Marlo
Marmor quo Narga;Marmor quo Narga
Marten;Martora
Martha Rehnison;Martha Rehnison
Martin Holt;Martin Holt
Martin Thwait;Martin Thwait
Martin the Master Gardener;Martin il maestro giardiniere
Martina Scorsby;Martina Scorsby
Marwolaeth Dawnsio;Marwolaeth Dawnsio
Mary;Maria
Master Chef;Maestro Cuoco
Master Crafter;Maestro artigiano
Master Farmer;Maestro Contadino
Master Navigator;Maestro Navigatore
Master fisher;Maestro pescatore
Master smithing tutor;Tutor del maestro fabbro
Matilda;Matilde
Matthew;Matteo
Matthias;Mattia
Mattimeo;Mattimeo
Mawnis Burowgar;Mawnis Burowgar
Mawrth;Mawrth
Mayor Hobb;Il sindaco Hobb
Maz;Maz
Mazchna;Mazchna
Maze Guardian;Guardiano del labirinto
Mazion;Mazion
Me;Me
Me (hard);Io (difficile)
Meddwl Ymlaen Llaw;Meddwl Ymlaen Llaw
Medium ninja monkey;Scimmia ninja media
Meegle;Meegle
Megan;Megan
Meiyerditch citizen;Cittadino di Meiyerditch
Meiyerditch miner;Minatore di Meiyerditch
Mekritus A'hara;Mecrito A'hara
Melana Moonlander;Melana Moonlander
Melee combat tutor;Insegnante di combattimento corpo a corpo
Meleti;Meleti
Melina;Melina
Melvin;Melvin
Melzar the Mad;Melzar il Pazzo
Memory of Seren;Memoria di Seren
Menaphite Leader;Leader menafita
Menaphite Thug;Delinquente menafita
Menaphite guard;Guardia menafita
Mercenary;Mercenario
Mercenary Captain;Capitano mercenario
Mercy;Misericordia
Meredith;Meredith
Merlin;Merlino
Mernia;Mernia
Mernik;Mernik
Meskhenet;Meskhenet
Metarialus;Metariale
Meteora;Meteora
Mi-Gor;Mi-Gor
Mia;Mia
Miala;Miala
Miazrqa;Miazrqa
Middle head;Testa media
Midnight;Mezzanotte
Mihail;Mihai
Mike;Microfono
Miles;Miglia
Milla;Milla
Milli Rehnison;Milli Rehnison
Millie Miller;Millie Miller
Miltog;Miltog
Mime;Mimo
Mimm;Mimm
Mind Golem;Mente Golem
Mine Cart;Il mio carrello
Mine cart;Il mio carrello
Mine cart driver;Autista del carro minerario
Mine supervisor;Supervisore della miniera
Miner;Minatore
Miner Magnus;Minatore Magnus
Miniature chaotic clouds;Nuvole caotiche in miniatura
Mining Instructor;Istruttore minerario
Mining tutor;Tutor minerario
Minotaur;Minotauro
Miodvetnir;Miodvetnir
Miriam;Miriam
Miriel;Miriel
Mischievous ghost;Fantasma dispettoso
Misdrievus Shadum;Misdrievus Shadum
Mishkal'un Dorn;Mishkal'un Dorn
Miss Cheevers;La signorina Cheevers
Miss Schism;Signorina Scisma
Mist;Nebbia
Mistag;Errore
Mithrellas;Mithrellas
Mithril dragon;Drago di Mithril
Mithril ore;Minerale di mithril
Mittens;Guanti
Mizaru;Mizaru
Moe;Moe
Mofina;Mofina
Moggy;Moggy
Mogre;Mogre
Mogre Guard;Guardia Mogre
Mogrim;Mogrim
Molanisk;Molanisk
Moldof;Moldof
Mole display;Esposizione di talpe
Molly;Molly
Monk;Monaco
Monk of Entrana;Monaco di Entrana
Monk of Zamorak;Monaco di Zamorak
Monkey;Scimmia
Monkey Archer;Scimmia arciere
Monkey Child;Scimmia bambino
Monkey Guard;Guardia delle scimmie
Monkey Zombie;Scimmia Zombie
Monkey display;Esposizione delle scimmie
Monkey guard;Guardia delle scimmie
Monkey minder;Guardiano della scimmia
Monkey on unicorn;Scimmia sull'unicorno
Monstrous Basilisk;Basilisco mostruoso
Monstrous basilisk;Basilisco mostruoso
Mord Gunnars;Mord Gunnar
Mordan Nikazsi;Mordan Nikazsi
Morgan;Morgan
Morgan Le Faye;Morgan Le Faye
Mori;Mori
Morris;Morris
Mort Nightshade;Mort Nightshade
Mort'ton Local;Mort'ton locale
Mort'ton local;Locale di Morton
Morten Holdstrom;Morten Holdstrom
Mortina Daubenton;Mortina Daubenton
Morvran;Morvran
Mosol Rei;Mosol Rei
Mosquito swarm;Sciame di zanzare
Moss Giant;Muschio Gigante
Moss Guardian;Guardiano del muschio
Moss Guardian (hard);Guardiano del muschio (difficile)
Moss giant;Gigante del muschio
Most of a Zombie;Quasi uno zombie
Mother;Madre
Mother Mallum;Madre Mallum
Moths;Falene
Mountain Dwarf;Nano di montagna
Mountain Goat;Capra di montagna
Mountain Guide;Guida Alpina
Mountain goat;Capra di montagna
Mountain troll;Troll di montagna
Mounted terrorbird gnome;Gnomo uccello terrore montato
Mounted terrorchick gnome;Gnomo pulcino del terrore a cavallo
Mourner;Persona in lutto
Mouse;Topo
Movario;Movario
Mr. Mordaut;Signor Mordaut
Ms. Hynn Terprett;La signora Hynn Terprett
Mubariz;Mubariz
Mudskipper;Mudskipper
Mugger;Rapinatore
Mummy;Mummia
Mummy ashes;Ceneri della mummia
Munty;Munty
Murcaily;Murcaily
Murfet;Murfet
Murky Matt (runes);Fosky Matt (rune)
Murky Pat;Pat oscuro
Murng bat;Pipistrello Murng
Murphy;Murphy
Muruwoi;Muruwoi
Museum guard;Guardia del museo
Mushroom;Fungo
Mutant tarn;Tarn mutante
Mutated Bloodveld;Bloodveld mutato
Muttadile;Muttadile
My Arm;Il mio braccio
Myndill;Myndill
Myre Blamish Snail;Myre Blamish Lumaca
Mysterious Adventurer;Avventuriero misterioso
Mysterious Figure;Figura misteriosa
Mysterious Old Man;Vecchio misterioso
Mysterious Stranger;Straniero misterioso
Mysterious Voice;Voce misteriosa
Mysterious ghost;Fantasma misterioso
Mystery figure;Figura misteriosa
Naghead;Naghead
Nail beast;Bestia delle unghie
Nakasa Jovkai;Nakasa Jovkai
Nardah Banker;Nardah banchiere
Nardok;Nardok
Narf;Narf
Natalidae Shadum;Natalidae Shadum
Nathifa;Natifa
Natural Historian;Storico naturale
Natural historian;Storico naturale
Nature Spirit;Spirito della natura
Nature impling;La natura implica
Nazastarool;Nazastarol
Nazastarool (hard);Nazastarool (difficile)
Nechryael;Nechryael
Nechryarch;Necriarca
Necromancer;Negromante
Necrovarus;Necrovaro
Ned;Ned
Neferti the Camel;Neferti il ​​cammello
Neil;Nei
Neite;Neite
Nellas;Nellas
Nemishka;Nemishka
Nerdanel;Nerdanel
Nesty;Nido
New Recruit Tony;Nuova recluta Tony
Newtroost;Newtroost
Nezikchened;Nezikchened
Nezikchened (hard);Nezikchened (difficile)
Nia;Nia
Nicholas;Nicola
Nick;Nick
Nickolaus;Nicolao
Nicoleta;Nicoletta
Nieve;Nieve
Nigel;Nigel
Night beast;Bestia notturna
Nikita;Nikita
Nikkie;Nikkie
Nikolai;Nicolai
Niles;Niles
Niloof;Niloof
Nimloth;Nimloth
Nimrodel;Nimrodel
Ninja impling;Ninja che implica
Nipper;Pinza
Nirrie;Nirrie
Nisha;Nisha
Nkuku;Nkuku
Noctillion Lugosi;Noctillion Lugosi
Noella;Noella
Nolar;Nolar
Nomad;Nomade
Noodle;Tagliatella
Noon;Mezzogiorno
Nora T. Hagg;Nora T. Hagg
Noranna Tytanin;Noranna Tytanin
Norman;Normanno
Not Bob;Non Bob
Noterazzo;Notarazzo
Novice;Novizio
Nuclear smoke devil;Diavolo del fumo nucleare
Nulodion;Nulodio
Numpty;Numpty
Nung;Non
Nurmof;Nurmof
Nurse Boubou;L'infermiera Boubou
Nurse Emma Gentsy;L'infermiera Emma Gentsy
Nurse Inn'Juree;L'infermiera Inn'Juree
Nurse Sarah;L'infermiera Sara
Nurse Wooned;L'infermiera Wooned
Nylocas;Nylocas
Nylocas Athanatos;Nylocas Atanatos
Nylocas Hagios;Nylocas Hagios
Nylocas Ischyros;Nylocas Ischyros
Nylocas Matomenos;Nylocas Matomenos
Nylocas Prinkipas;Nylocas Prinkipas
Nylocas Queen;La regina Nyloca
Nylocas Toxobolos;Nylocas Toxobolos
Nylocas Vasilias;Nylocas Vasilias
Oaknock the Engineer;Oaknock l'ingegnere
Oath Lord D'rows;Giuramento Lord D'rows
Oathbreaker B'ats;Oathbreaker B'ats
Oathbreaker E'piws;E'piws del Giuramento
Oathbreaker M'als;M'als del Giuramento
Obli;Obbligo
Obor;Obor
Observatory assistant;Assistente dell'Osservatorio
Observatory professor;Professore dell'Osservatorio
Ocga;Ocga
Ochre Blamish Snail;Lumaca Blamish ocra
Odd Mushroom;Strano fungo
Odd Old Man;Strano vecchio
Odd Stone;Strana pietra
Odmar;Odmar
Odovacar;Odovacar
Odysseus;Ulisse
Og;Og
Ogre;Orco
Ogre boat;Barca dell'orco
Ogre chieftain;Capo degli orchi
Ogre guard;Guardia dell'orco
Ogre merchant;Mercante di orchi
Ogre shaman;Sciamano orco
Ogre trader;Commerciante di orchi
Ogress Shaman;Sciamano dell'Orca
Ogress Warrior;Guerriero dell'Orca
Oipuis;Oipuis
Olaf Hradson;Olaf Hradson
Olaf the Bard;Olaf il Bardo
Olbertus;Olbertus
Old Man Ral;Il vecchio Ral
Old Man Yarlo;Il vecchio Yarlo
Old crone;Vecchia vecchia
Old dwarf;Vecchio nano
Old man;Vecchio
Oldak;Oldak
Olivia;Olivia
Ollie the Camel;Ollie il cammello
Olmlet;Olmlet
Omart;Omart
Oneiromancer;Oniromante
Oobapohk;Oobapohk
Oomlie bird;Oomlie uccello
Oozing barrier;Barriera trasudante
Operator;Operatore
Oracle;Oracolo
Orange salamander;Salamandra arancione
Ordan;Ordine
Ork;Ok
Orlando Smith;Orlando Smith
Oronwen;Oronwen
Oropher;Orofo
Orophin;Orofina
Orrvor quo Maten;Orrvor quo Maten
Osian;Osiano
Osman;Osman
Ospak;Ospak
Osten;Osten
Osvald;Osvaldo
Oswald;Osvaldo
Oswallt;Oswallt
Othainian;Othainiano
Other Half-Zombie;L'altro mezzo zombie
Otherworldly being;Essere ultraterreno
Otto Godblessed;Ottone benedetto
Ouditor;Revisore
Ouhai;Ouhai
Outlaw;Fuorilegge
Overgrown cat;Gatto troppo cresciuto
Overgrown hellcat;Gatto infernale troppo cresciuto
Owl;Gufo
Oxi;Oxi
Oziach;Oziach
PKMaster0036;PKMaster0036
Padulah;Padulah
Pagida;Pagida
Painted One;Uno dipinto
Paladin;Paladino
Palmer;Palmer
Pandur Hosidius;Pandur Osidio
Panning guide;Guida alla panoramica
Parasite;Parassita
Parrot;Pappagallo
Parrots;Pappagalli
Parroty Pete;Parrot Pete
Party Pete;Partito Pete
Passive Tar Monster;Mostro di catrame passivo
Patchy;Irregolare
Patrick;Patrizio
Patrolman;Poliziotto
Patrolwoman;Donna di pattuglia
Pauline Polaris;Paolina Polaris
Peaceful barbarian spirit;Spirito barbaro pacifico
Peasant;Contadino
Pebble;Ciottolo
Pee Hat;Cappello da pipì
Peer the Seer;Scruta il Veggente
Peksa;Peksa
Pelican;Pellicano
Penance Fighter;Combattente della penitenza
Penance Healer;Guaritore della Penitenza
Penance Pet;Penitenza Animale Domestico
Penance Queen;Regina della Penitenza
Penance Ranger;Ranger della Penitenza
Penance Runner;Corridore di penitenza
Penda;Penda
Penguin;Pinguino
Penguin display;Esposizione dei pinguini
Penguin suit;Costume da pinguino
Pennant;Gagliardetto
Pentyn;Pentyn
Penwie;Penwie
Perdu;Perdu
Perfect gold ore;Minerale d'oro perfetto
Perrdur;Perdur
Perry;Perry
Pescaling Pax;Pesca Pesca Pax
Pestilent Bloat;Gonfiore Pestilenziale
Pet rock;Roccia per animali domestici
Peter;Pietro
Petra Fiyed;Petra Fied
Petrified Pete;Pietro pietrificato
Phabelle Bile;Phabelle Bile
Phantom Hand;Mano Fantasma
Phantuwti Fanstuwi Farsight;Phantuwti Fanstuwi Farsight
Pheasant;Fagiano
Phials;Fiale
Phileas Rimor;Phileas Rimor
Philipe Carnillean;Filippo Carnillean
Phillipa;Filippo
Philop;Filop
Phingspet;Phingspet
Phluxia bat;Pipistrello Phluxia
Phoenix;Fenice
Phosani's Nightmare;L'incubo di Phosani
Phrin Shade;Phrin Ombra
Phrin Shadow;Phrin Ombra
Pierre;Pierre
Pieve;Pieve
Pig;Maiale
Pig Thing;Cosa del maiale
Piglet;Maialino
Pile of bones;Mucchio di ossa
Piles;Mucchi
Pilg;Pellegrinaggio
Piliar;Pilar
Pillory Guard;Guardia della gogna
Ping;Ping
Pipistrelle Draynar;Pipistrelle Draynar
Pirate;Pirata
Pirate Guard;Guardia dei pirati
Pirate Jackie the Fruit;Pirata Jackie il frutto
Pirate Pete;Pietro il pirata
Pit Scorpion;Scorpione delle fosse
Pizazz Hat;Cappello Pizazz
Plague cow;Mucca della peste
Plague frog;Rana della peste
Poison Salesman;Venditore di veleni
Poison Scorpion;Scorpione velenoso
Poison spider;Ragno velenoso
Polar eagle;Aquila polare
Polmafi Ferdygris;Polmafi Ferdygris
Poltenip;Poltenip
Pong;Pongo
Pontak;Pontak
Ponts the Bridgemaster;Ponts il Maestro di Ponte
Poor looking man;Un uomo dall'aspetto povero
Poor looking woman;Donna dall'aspetto povero
Porazdir;Porazdir
Port Official;Ufficiale del porto
Port worker;Lavoratore portuale
Portal;Portale
Portal of Death;Portale della Morte
Portobello;Portobello
Possessed Priest;Sacerdote posseduto
Possessed pickaxe;Piccone posseduto
Postie Pete;Postie Pete
Pox;Vaiolo
Prael bat;Pipistrello Prael
Praistan Ebola;Praistan Ebola
Prayer tutor;Tutore della preghiera
Preswylwyr Dall;Preswylwyr Dall
Prickly kebbit;Kebbit spinoso
Priest;Sacerdote
Priestess Zul-Gwenwynig;Sacerdotessa Zul-Gwenwynig
Prifddinas guard;Guardia di Prifdinas
Primula;Primula
Prince Ali;Il principe Ali
Prince Black Dragon;Il principe Drago Nero
Prince Brand;Principe Marca
Princess Astrid;La principessa Astrid
Prison Pete;Pete della prigione
Prisoner;Prigioniero
Prissy Scilla;Perfetta Scilla
Private Paldo;Paldo privato
Private Paldon;Privato Paldon
Private Pendron;Pendron privato
Private Pierreb;Il soldato Pierreb
Probita;Probit
Professor Gracklebone;Professor Gracklebone
Professor Imblewyn;Il professor Imblewyn
Professor Manglethorp;Professor Manglethorp
Professor Oddenstein;Professor Oddenstein
Professor Onglewip;Professor Onglewip
Prosecutor;Pubblico Ministero
Prospector Percy;Il cercatore Percy
Protest Leader;Leader della protesta
Protester;Manifestante
Psykk bat;Pipistrello psichico
Puffer Fish;Pesce palla
Puffin;Puffin
Pumpy;Pompato
Puppadile;Puppy
Purepker895;Purepker895
Purple Pewter Director;Direttore del Peltro Viola
Purple Pewter Secretary;Segretario in peltro viola
Pusskins;Pelli
Pyramid block;Blocco piramidale
Pyrefiend;Demone di Piro
Pyrelord;Signore dei Pire
Pyromancer;Piromante
Quartermaster;Quartiermastro
Queen Ellamaria;La regina Ellamaria
Queen Sigrid;La regina Sigrid
Queen Zyanyi Arkan;La regina Zyanyi Arkan
Queen spawn;La regina genera
Quest Guide;Guida alle missioni
Quiz Master;Maestro dei quiz
Qutiedoll;Qutiedoll
R4ng3rNo0b889;R4ng3rNo0b889
Rabbit;Coniglio
Raccoon;Procione
Rachael;Rachele
Radat;Radat
Radigad Ponfit;Radigad Ponfit
Radimus Erkle;Radimus Erkle
Radu;Radu
Raeli;Raeli
Raetul;Raetul
Ragnar;Ragnar
Ragnvald;Ragnvald
Rakkar;Rakkar
Ram;Ram
Ramara du Croissant;Ramara del croissant
Ramarno;Ramarno
Ramocean;Ramocean
Ranael;Ranael
Ranalph Devere;Ranalph Devere
Randivor;Randivor
Ranged combat tutor;Tutor di combattimento a distanza
Ranger;Ranger
Ranger (medium);Ranger (medio)
Ranging Guild Doorman;Portiere della Gilda Vagante
Ranis Drakan;Ranis Drakan
Rannveig;Rannveig
Rantz;Rantz
Raqueel;Rachele
Rashiliyia;Rashiliyia
Rasolo;Rasolo
Rassain;Rassain
Rat;Ratto
Rat Burgiss;Ratto Burgis
Rauborn;Rauborn
Raulyn;Raulyn
Raum Urda-Stein;Raum Urda-Stein
Ravager;Devastatore
Raven;Corvo
Razmire Keelgan;Razmir Keelgan
Razvan;Razvan
Reach;Portata
Reacher;Raggiungitore
Reanimated TzHaar;TzHaar rianimato
Reanimated abyssal;Abissale rianimato
Reanimated aviansie;Aviansie rianimato
Reanimated bear;Orso rianimato
Reanimated bloodveld;Bloodveld rianimato
Reanimated chaos druid;Druido del caos rianimato
Reanimated dagannoth;Dagannoth rianimato
Reanimated demon;Demone rianimato
Reanimated demon spawn;Progenie demoniaca rianimata
Reanimated dog;Cane rianimato
Reanimated dragon;Drago rianimato
Reanimated elf;Elfo rianimato
Reanimated giant;Gigante rianimato
Reanimated goblin;Goblin rianimato
Reanimated horror;Orrore rianimato
Reanimated imp;Imp. rianimato
Reanimated kalphite;Kalphite rianimato
Reanimated minotaur;Minotauro rianimato
Reanimated monkey;Scimmia rianimata
Reanimated ogre;Orco rianimato
Reanimated scorpion;Scorpione rianimato
Reanimated troll;Troll rianimato
Reanimated unicorn;Unicorno rianimato
Rebel Archer;Arciere ribelle
Rebel Scout;Esploratore ribelle
Rebel Warrior;Guerriero ribelle
Recruiter;Reclutatore
Red;Rosso
Red Axe Cat;Gatto Ascia Rossa
Red Axe Director;Direttore dell'Ascia Rossa
Red Axe Henchman;Scagnozzo dell'Ascia Rossa
Red Axe Secretary;Segretario dell'Ascia Rossa
Red Monkey;Scimmia Rossa
Red Panda;Panda Rosso
Red Sheep;Pecora Rossa
Red dragon;Drago rosso
Red fireflies;Lucciole rosse
Red salamander;Salamandra rossa
Redbeard Frank;Frank Barbarossa
Reese;Reese
Reeso;Reeso
Ref;Rif
Refugee;Rifugiato
Regath;Regath
Reginald;Reginald
Reinald;Reinaldo
Reinn;Reinn
Reldak;Reldak
Reldo;Reldo
Relobo Blinyo (logs);Relobo Blinyo (registri)
Remsai;Remsai
Remus Kaninus;Remus Kaninus
Renegade Knight;Cavaliere Rinnegato
Renegade knight;Cavaliere rinnegato
Repugnant spectre;Spettro ripugnante
Researcher;Ricercatore
Reshi;Reshi
Resistance Fighter;Combattente della Resistenza
Respiratory system;Sistema respiratorio
Restless ghost;Fantasma inquieto
Retired sailor;Marinaio in pensione
Revenant cyclops;Ciclope revenant
Revenant dark beast;Revenant bestia oscura
Revenant demon;Demone ritornante
Revenant dragon;Drago rinascimentale
Revenant goblin;Goblin Revenant
Revenant hellhound;Segugio infernale revenant
Revenant hobgoblin;Hobgoblin Revenant
Revenant imp;Imp. Revenant
Revenant knight;Cavaliere Revenant
Revenant ork;Revenant orco
Revenant pyrefiend;Demone di piro Revenant
Rewards Guardian;Guardiano dei premi
Rhazien;Rhazien
Rhiannon;Rhiannon
Rhoddwr Tan;Rhoddwr Tan
Rhonen;Rhonen
Rhyfel;Rhyfel
Richard;Riccardo
Richard Flintmaul;Richard Flintmaul
Rick;Rick
Rick Turpentine;Rick trementina
Ricketty door;Porta traballante
Rift guardian;Guardiano della spaccatura
Right head;Testa destra
Riki the sculptor's model;Il modello di Riki lo scultore
Rimae Sirsalis;Rimae Sirsalis
Rind the gardener;Scorza il giardiniere
Rionasta;Rionasta
River troll;Troll di fiume
Riyl Shade;Riyl Ombra
Riyl Shadow;Riyl Ombra
Riyl shadow;L'ombra di Riyl
Roachey;Roachey
Roavar;Roavar
Robert Boss;Roberto Capo
Robert O'Reilly;Robert O'Reilly
Robert the Strong;Roberto il Forte
Robin;Robin
Robyn;Robyn
Rock;Roccia
Rock Crab;Granchio di roccia
Rock Golem;Golem di roccia
Rock lobster;Aragosta di roccia
Rock pile;Mucchio di rocce
Rocks;Rocce
Rockslug;Lumaca di roccia
Rocky;Roccioso
Rocnar;Rocnar
Rod Fishing spot;Punto di pesca con la canna
Rogue;Briccone
Rogue Guard;Guardia canaglia
Rohak;Rohak
Rokuh;Rokuh
Rolad;Rollad
Rolayne Twickit (hard);Rolayne Twickit (difficile)
Romeo;Romeo
Rometti;Rometti
Romily Weaklax;Romily Weaklax
Rommik;Rommik
Ron Gadderanks;Ron Gadderranks
Rooster;Gallo
