 Sneaky undead fowl;Stiekeme ondode kip
Kolodion;Kolodion
Konar quo Maten;Konar quo Maten
Konoo;Konoo
Kormar quo Maten;Kormar quo Maten
Kortan;Kortan
Koschei the Deathless;Koschei de onsterfelijke
Koschei the deathless;Koschei de onsterfelijke
Kragen;Kragen
Kraka;Kraka
Kraken;Kraken
Krato;Krato
Kree'arra;Kree'arra
Kree'arra Jr.;Kree'arra Jr.
Kroy;Kroy
Kruk;Kruk
Kryket bat;Kryket-vleermuis
Krystilia;Krystilia
Ksenia;Ksenia
Kualti;Kualti
Kubec Unkar;Kubec Unkar
Kurask;Kurask
Kurt;Kurt
Kylie Minnow;Kylie Minnow
Lacey;Lacey
Lady Carys Hefin;Vrouwe Carys Hefin
Lady Crombwick;Vrouwe Crombwick
Lady Ffion Meilyr;Vrouwe Ffion Meilyr
Lady Keli;Dame Keli
Lady Kelyn Ithell;Vrouwe Kelyn Ithell
Lady Nadezhda Shadum;Vrouwe Nadezjda Shadum
Lady Servil;Dame Servil
Lady Shauna Piscarilius;Vrouwe Shauna Piscarilius
Lady Table;Dame tafel
Lady Tangwen Trahaearn;Dame Tangwen Trahaearn
Lady Vulcana Lovakengj;Dame Vulcana Lovakengj
Lahsram;Lahsram
Lalli;Lalli
Lamb;Lam
Lammy Langle;Lammy Langle
Lan the Butcher;Lan de Slager
Lanthus;Lanthus
Lanzig;Lanzig
Large mosquito;Grote mug
Large zombie monkey;Grote zombie-aap
Larran;Larran
Larrissa;Larissa
Larry;Larry
Larxus;Larxus
Lasenna Rasputin;Lasenna Raspoetin
Lathas;Latha's
Latlink Fastbell;Latlink Fastbell
Launa;Launa
Lauretta;Lauretta
Lava beast;Lava beest
Lava dragon;Lava draak
Layleen;Layleen
Lazim;Lazim
Lazy cat;Luie kat
Lazy hellcat;Luie hellekat
Le-sabrè;Le-sabrè
Lead Navigator;Hoofdnavigator
Leagues Assistant;Liga Assistent
Leagues Tutor;Liga-leraar
Leatherworker;Leerbewerker
Lector Gura;Lector Gura
Leech;Bloedzuiger
Leech display;Leech-display
Leela;Leela
Leenz;Leenz
Left head;Linker hoofd
Legends guard;Legenden bewaken
Leke quo Keran;Zoals Keran
Lenny;Lenny
Lensa;Lensa
Lenwe;Lenwe
Lenyig Karna;Lenyig Karna
Leo;Leeuw
Leon;Leon
Leon d'Cour;Leon d'Cour
Lesser Demon Champion;Kleinere demonkampioen
Lesser Fanatic;Kleinere fanaticus
Lesser demon;Kleinere demon
Lesser ghostly thrall;Kleinere spookachtige slaaf
Lesser skeletal thrall;Kleinere skeletachtige slaaf
Lesser zombified thrall;Kleinere zombified slaaf
Lev;Lev
Li'l lamb;Klein lam
Liam;Liam
Librarian;Bibliothecaris
Lidio;Lidio
Lieutenant Schepbur;Luitenant Schepbur
Lieve McCracken;Lieve McCracken
Light creature;Licht wezen
Lil' Bloat;Kleine opgeblazenheid
Lil' Creator;Kleine Schepper
Lil' Destructor;Kleine vernietiger
Lil' Maiden;Kleine meid
Lil' Nylo;Kleine Nylo
Lil' Sot;Kleine sot
Lil' Xarp;Kleine Xarp
Lil' Zik;Lil' Zik
Lilifang;Lilifan
Liliwen;Liliwen
Liliya;Liliya
Lillia;Lillia
Lilly;Lelie
Lindir;Lindir
Linen worker;Linnenwerker
Lisa;Lisa
Lisse Isaakson;Lisse Isaakson
Litara;Litara
Lithil;Lithil
Little Nightmare;Kleine nachtmerrie
Little Parasite;Kleine parasiet
Lizard;Hagedis
Lizard display;Hagedis weergave
Lizardman;Hagedisman
Lizardman brute;Hagedisman bruut
Lizardman shaman;Lizardman-sjamaan
Lleidr Golau;Lleidr Golau
Lliann;Lliann
Llio;Llio
Loading crane;Laadkraan
Loar Shade;Loar schaduw
Loar Shadow;Loar schaduw
Lobstrosity;Lobstrositeit
Local;Lokaal
Local Gnome;Lokale kabouter
Locust;Sprinkhaan
Locust rider;Sprinkhaan ruiter
Lofu;Lofu
Logava;Logava
Logios;Logies
Logosia;Logosie
Loinur;Loinur
Lokar Searunner;Lokar Zeeloper
Loki;Loki
Lokraa quo Sihar;Lokraa quo Sihar
Lollk;Lollk
Long-tailed Wyvern;Wyvern met lange staart
Longbow Ben;Handboog Ben
Longhall Bouncer;Longhall-uitsmijter
Look-out;Kijk uit
Looming shadow;Opdoemende schaduw
Lord Alexei Jovkai;Heer Alexei Jovkai
Lord Baxtorian Cadarn;Lord Baxtorian Cadarn
Lord Crombwick;Heer Crombwick
Lord Daquarius;Heer Daquarius
Lord Iestin Iorwerth;Heer Iestin Iorwerth
Lord Ieuan Amlodd;Heer Ieuan Amlodd
Lord Iorwerth;Heer Iorwerth
Lord Kandur Hosidius;Heer Kandur Hosidius
Lord Marshal Brogan;Heer maarschalk Brogan
Lord Mischa Myrmel;Heer Mischa Myrmel
Lord Pandur Hosidius;Heer Pandur Hosidius
Lord Piquan Crwys;Heer Piquan Crwys
Lord Rologarth;Heer Rologarth
Lord Shiro Shayzien;Heer Shiro Shayzien
Lord Trobin Arceuus;Heer Trobin Arceuus
Lorelai;Lorelai
Lornor quo Narga;Lornor quo Narga
Lorraine;Lotharingen
Lost barbarian;Verloren barbaar
Louie Legs;Louie Benen
Louisa;Louisa
Lovada;Lovada
Lovakengj Engineer;Lovakengj-ingenieur
Love Cats;Houd van katten
Lowe;Laag
Lowerniel Drakan;Lowerniel Drakan
Lubufu;Lubufu
Lucien;Lucien
Lucky impling;Gelukkig impliceren
Lucy;Lucy
Lumberjack Leif;Houthakker Leif
Lumbridge Guide;Lumbridge-gids
Lumdo;Lumdo
Lumiere;Lumière
Luminata;Luminata
Lumo;Lumo
Luna;Luna
Lundail;Lundail
Lunderwin;Lunderwin
Lurgon;Lurgon
Luscion;Luscion
Luthas;Lutha's
Lutwidge;Lutwidge
Lux grub;Lux grub
Lynx;Lynx
Lynx Tamer;Lynx Tamer
Lyra;Lyra
Mac;Mac
Macaroni Penguin;Macaroni-pinguïn
Mad skavid;Gekke skavid
Madame Caldarium;Mevrouw Caldarium
Maedhros;Maedros
Maeglin;Maeglin
Mage (easy);Magiër (makkelijk)
Mage of Zamorak;Magiër van Zamorak
Magic Instructor;Magische instructeur
Magic axe;Magische bijl
Magic combat tutor;Magische gevechtsleraar
Magnus Gram;Magnus Gram
Magpie impling;Ekster implicerend
Mahtan;Mahtan
Maid;Huishoudelijke hulp
Mairin;Mairin
Maisa;Maisa
Major Attack;Grote aanval
Major Collect;Grote Verzameling
Major Defend;Majoor verdediging
Major Heal;Grote genezing
Make-over mage;Make-over magiër
Malak;Malak
Male slave;Mannelijke slaaf
Malevolent Mage;Kwaadwillige magiër
Malignius Mortifer;Malignius Mortifer
Mallak quo Keran;Mallak quo Keran
Mama;Mama
Mamma Bufetta;Mama buffet
Mammoth;Mammoet
Man;Man
Mandrith;Mandrit
Mandy;Mandy
Maniacal Monkey Archer;Maniakale aapschutter
Maniacal monkey;Maniakale aap
Manni the Reveller;Manni de feestvierder
Marble gargoyle;Marmeren waterspuwer
Marfet;Marfet
Maria Gadderanks;Maria Gadderanks
Maria Gunnars;Maria Gunnars
Mariah;Mariah
Marisi;Marisi
Marius;Marius
Marius Giste;Marius Giste
Mark;Markering
Market Guard;Marktwachter
Market seller;Markt verkoper
Markog;Markog
Marley;Marley
Marlo;Marlo
Marmor quo Narga;Marmor quo Narga
Marten;Marter
Martha Rehnison;Martha Rehnison
Martin Holt;Martin Holt
Martin Thwait;Martin Thwait
Martin the Master Gardener;Martin de Meestertuinman
Martina Scorsby;Martina Scorsby
Marwolaeth Dawnsio;Marwolaeth Dawnsio
Mary;Maria
Master Chef;Meesterkok
Master Crafter;Meester Crafter
Master Farmer;Meester Boer
Master Navigator;Meester-navigator
Master fisher;Meester visser
Master smithing tutor;Meester smeeddocent
Matilda;Matilda
Matthew;Mattheüs
Matthias;Mattias
Mattimeo;Mattimeo
Mawnis Burowgar;Mawnis Burowgar
Mawrth;Mawrth
Mayor Hobb;Burgemeester Hobb
Maz;Maz
Mazchna;Matsjna
Maze Guardian;Doolhof Bewaker
Mazion;Mazion
Me;Mij
Me (hard);Ik (moeilijk)
Meddwl Ymlaen Llaw;Meddwl Ymlaen Llaw
Medium ninja monkey;Middelgrote ninja-aap
Meegle;Meegle
Megan;Megan
Meiyerditch citizen;Meiyerditch-burger
Meiyerditch miner;Mijnwerker Meiyerditch
Mekritus A'hara;Mekritus A'hara
Melana Moonlander;Melana Maanlander
Melee combat tutor;Melee-gevechtsleraar
Meleti;Meleti
Melina;Melina
Melvin;Melvin
Melzar the Mad;Melzar de gekke
Memory of Seren;Herinnering aan Seren
Menaphite Leader;Menafieten leider
Menaphite Thug;Menaphite misdadiger
Menaphite guard;Menaphite bewaker
Mercenary;Huurling
Mercenary Captain;Huurling Kapitein
Mercy;Genade
Meredith;Meredith
Merlin;Merlin
Mernia;Mernia
Mernik;Mernik
Meskhenet;Meshenet
Metarialus;Metarialus
Meteora;Meteora
Mi-Gor;Mi-Gor
Mia;Mia
Miala;Miala
Miazrqa;Miazrqa
Middle head;Middelste hoofd
Midnight;Middernacht
Mihail;Mihail
Mike;Mike
Miles;Mijlen
Milla;Milla
Milli Rehnison;Milli Rehnison
Millie Miller;Millie Molenaar
Miltog;Miltog
Mime;Mime
Mimm;Mimm
Mind Golem;Denk aan Golem
Mine Cart;Mijnkar
Mine cart;Mijn kar
Mine cart driver;Mijnwagenchauffeur
Mine supervisor;Mijnopzichter
Miner;Mijnwerker
Miner Magnus;Mijnwerker Magnus
Miniature chaotic clouds;Miniatuur chaotische wolken
Mining Instructor;Mijnbouwinstructeur
Mining tutor;Mijnbouw docent
Minotaur;Minotaurus
Miodvetnir;Miodvetnir
Miriam;Mirjam
Miriel;Miriël
Mischievous ghost;Ondeugende geest
Misdrievus Shadum;Misdrievus Shadum
Mishkal'un Dorn;Mishkal'un Dorn
Miss Cheevers;Mevrouw Cheevers
Miss Schism;Mevrouw Schisma
Mist;Mist
Mistag;Mistag
Mithrellas;Mithrella's
Mithril dragon;Mithril-draak
Mithril ore;Mithril-erts
Mittens;Wanten
Mizaru;Mizaru
Moe;Moe
Mofina;Mofina
Moggy;Moggy
Mogre;Mogre
Mogre Guard;Mogre-wacht
Mogrim;Mogrim
Molanisk;Molanisk
Moldof;Moldof
Mole display;Mol weergave
Molly;Molly
Monk;Monnik
Monk of Entrana;Monnik van Entrana
Monk of Zamorak;Monnik van Zamorak
Monkey;Aap
Monkey Archer;Aap Boogschutter
Monkey Child;Aap kind
Monkey Guard;Apenwacht
Monkey Zombie;Aap-zombie
Monkey display;Aap weergave
Monkey guard;Aap bewaker
Monkey minder;Aap oppasser
Monkey on unicorn;Aap op eenhoorn
Monstrous Basilisk;Monsterlijke Basilisk
Mord Gunnars;Mord Gunnars
Mordan Nikazsi;Mordan Nikazsi
Morgan;Morgan
Morgan Le Faye;Morgan Le Faye
Mori;Mori
Morris;Morris
Mort Nightshade;Mort Nachtschade
Mort'ton Local;Mort'ton Lokaal
Mort'ton local;Mort'ton lokaal
Morten Holdstrom;Morten Holdström
Mortina Daubenton;Mortina Daubenton
Morvran;Morvran
Mosol Rei;Mosol Rei
Mosquito swarm;Muggenzwerm
Moss Giant;Mos reus
Moss Guardian;Mos Bewaker
Moss Guardian (hard);Mos Guardian (hard)
Moss giant;Mos reus
Most of a Zombie;Het grootste deel van een zombie
Mother;Moeder
Mother Mallum;Moeder Mallum
Moths;Motten
Mountain Dwarf;Berg dwerg
Mountain Goat;Berggeit
Mountain Guide;Berggids
Mountain goat;Berggeit
Mountain troll;Berg trol
Mounted terrorbird gnome;Opgezette terreurvogelkabouter
Mounted terrorchick gnome;Opgezette terreurkuikenkabouter
Mourner;Rouwende
Mouse;Muis
Movario;Movario
Mr. Mordaut;Meneer Mordaut
Ms. Hynn Terprett;Mevrouw Hynn Terprett
Mubariz;Mubariz
Mudskipper;Modderkapper
Mugger;Overvaller
Mummy;Mama
Mummy ashes;Mummie as
Munty;Munty
Murcaily;Murcaily
Murfet;Murfet
Murky Matt (runes);Murky Matt (runen)
Murky Pat;Duistere Pat
Murng bat;Murng vleermuis
Murphy;Murphy
Muruwoi;Muruwoi
Museum guard;Museumbewaker
Mushroom;Paddestoel
Mutant tarn;Mutante tarn
Mutated Bloodveld;Gemuteerd Bloedveld
Muttadile;Muttadile
My Arm;Mijn arm
Myndill;Myndill
Myre Blamish Snail;Myre Blamish Slak
Mysterious Adventurer;Mysterieuze avonturier
Mysterious Figure;Mysterieus figuur
Mysterious Old Man;Mysterieuze oude man
Mysterious Stranger;Mysterieuze vreemdeling
Mysterious Voice;Mysterieuze stem
Mysterious ghost;Mysterieuze geest
Mystery figure;Mysterie figuur
Naghead;Zeurderig
Nail beast;Nagel beest
Nakasa Jovkai;Nakasa Jovkai
Nardah Banker;Nardah bankier
Nardok;Nardok
Narf;Narf
Natalidae Shadum;Natalidae Shadum
Nathifa;Nathifa
Natural Historian;Natuurhistoricus
Natural historian;Natuurhistoricus
Nature Spirit;Natuur geest
Nature impling;De natuur impliceert
Nazastarool;Nazastarool
Nazastarool (hard);Nazastarool (hard)
Nechryael;Nechryaël
Nechryarch;Nechryarch
Necromancer;Necromancer
Necrovarus;Necrovarus
Ned;Ned
Neferti the Camel;Neferti de Kameel
Neil;Neil
Neite;Nee
Nellas;Nella's
Nemishka;Nemishka
Nerdanel;Nerdanel
Nesty;Nesty
New Recruit Tony;Nieuwe rekruut Tony
Newtroost;Nieuwtroost
Nezikchened;Nezikchened
Nezikchened (hard);Nezikchened (hard)
Nia;Nia
Nicholas;Nicolaas
Nick;Nick
Nickolaus;Nickolaus
Nicoleta;Nicoleta
Nieve;Nieve
Nigel;Nigel
Night beast;Nacht beest
Nikita;Nikita
Nikkie;Nikkie
Nikolai;Nikolai
Niles;Nijlen
Niloof;Niloof
Nimloth;Nimloth
Nimrodel;Nimrodel
Ninja impling;Ninja impliciet
Nipper;Nipper
Nirrie;Nirrie
Nisha;Nisha
Nkuku;Nkuku
Noctillion Lugosi;Noctillion Lugosi
Noella;Noella
Nolar;Nolar
Nomad;Nomade
Noodle;Noedel
Noon;Middag
Nora T. Hagg;Nora T. Hagg
Noranna Tytanin;Noranna Tytanin
Norman;Normandisch
Not Bob;Niet Bob
Noterazzo;Notazzo
Novice;Beginner
Nuclear smoke devil;Nucleaire rookduivel
Nulodion;Nulodion
Numpty;Numpty
Nung;Nung
Nurmof;Nurmof
Nurse Boubou;Verpleegster Boubou
Nurse Emma Gentsy;Verpleegster Emma Gentsy
Nurse Inn'Juree;Verpleegster Inn'Juree
Nurse Sarah;Verpleegster Sara
Nurse Wooned;Verpleegster Wooned
Nylocas;Nyloca's
Nylocas Athanatos;Nylocas Athanatos
Nylocas Hagios;Nylocas Hagios
Nylocas Ischyros;Nylocas Ischyros
Nylocas Matomenos;Nylocas Matomenos
Nylocas Prinkipas;Nylocas Prinkipas
Nylocas Queen;Nylocas Koningin
Nylocas Toxobolos;Nylocas Toxobolos
Nylocas Vasilias;Nylocas Vasilias
Oaknock the Engineer;Oaknock de ingenieur
Oath Lord D'rows;Eed Lord D'rows
Oathbreaker B'ats;Eedbreker B'ats
Oathbreaker E'piws;Eedbreker E'piws
Oathbreaker M'als;Eedbreker M'als
Obli;Obli
Obor;Obor
Observatory assistant;Observatorium assistent
Observatory professor;Observatorium hoogleraar
Ocga;Ocga
Ochre Blamish Snail;Oker Blamish Slak
Odd Mushroom;Vreemde paddestoel
Odd Old Man;Vreemde oude man
Odd Stone;Vreemde steen
Odmar;Odmar
Odovacar;Odovacar
Odysseus;Odysseus
Og;Og
Ogre;Boeman
Ogre boat;Ogre-boot
Ogre chieftain;Ogre-opperhoofd
Ogre guard;Ogre-bewaker
Ogre merchant;Ogre-handelaar
Ogre shaman;Ogre-sjamaan
Ogre trader;Oger-handelaar
Ogress Shaman;Ogress-sjamaan
Ogress Warrior;Ogress-krijger
Oipuis;Oipuis
Olaf Hradson;Olaf Hradson
Olaf the Bard;Olaf de Bard
Olbertus;Olbertus
Old Man Ral;Oude man Ral
Old Man Yarlo;Oude man Yarlo
Old crone;Oud wijf
Old dwarf;Oude dwerg
Old man;Oude man
Oldak;Oudak
Olivia;Olivia
Ollie the Camel;Ollie de Kameel
Olmlet;Olmlet
Omart;Omart
Oneiromancer;Oneiromancer
Oobapohk;Oobapohk
Oomlie bird;Oomlie vogel
Oozing barrier;Sijpelende barrière
Operator;Exploitant
Oracle;Orakel
Orange salamander;Oranje salamander
Ordan;Ordan
Ork;Ork
Orlando Smith;Orlando Smit
Oronwen;Oronwen
Oropher;Orofer
Orophin;Orophine
Orrvor quo Maten;Orrvor quo Maten
Osian;Osian
Osman;Osman
Ospak;Ospak
Osten;Oosten
Osvald;Osvald
Oswald;Oswald
Other Half-Zombie;Andere halfzombie
Otherworldly being;Buitenaards wezen
Otto Godblessed;Otto Godgezegend
Ouditor;Ouditor
Ouhai;Ouhai
Outlaw;Balling
Overgrown cat;Overwoekerde kat
Overgrown hellcat;Overgroeide hellekat
Owl;Uil
Oxi;Oxi
Oziach;Oziach
PKMaster0036;PKMaster0036
Padulah;Padulah
Pagida;Pagida
Painted One;Eén geschilderd
Paladin;Paladijn
Palmer;Palmer
Pandur Hosidius;Pandur Hosidius
Panning guide;Gids voor pannen
Parasite;Parasiet
Parrot;Papegaai
Parrots;Papegaaien
Parroty Pete;Papegaai Piet
Party Pete;Partij Piet
Passive Tar Monster;Passief teermonster
Patchy;Fragmentarisch
Patrick;Patrick
Patrolman;Patrouille
Patrolwoman;Patrouillevrouw
Pauline Polaris;Pauline Polaris
Peaceful barbarian spirit;Vreedzame barbaarse geest
Peasant;Boer
Pebble;Kiezelsteen
Pee Hat;Pee hoed
Peer the Seer;Kijk naar de ziener
Peksa;Peksa
Pelican;Pelikaan
Penance Fighter;Boetevechter
Penance Healer;Boetegenezer
Penance Pet;Boetedoening huisdier
Penance Queen;Boete Koningin
Penance Ranger;Boete Ranger
Penance Runner;Boete Runner
Penda;Penda
Penguin;Pinguïn
Penguin display;Pinguin-vertoning
Penguin suit;Pinguïn pak
Pennant;Wimpel
Pentyn;Pentan
Penwie;Penwie
Perdu;Perdu
Perfect gold ore;Perfect gouderts
Perrdur;Perrdur
Perry;Perrie
Pescaling Pax;Pescale Pax
Pestilent Bloat;Pestilente zwelling
Pet rock;Huisdier rots
Peter;Petrus
Petra Fiyed;Petra Fijed
Petrified Pete;Versteende Piet
Phabelle Bile;Phabelle Bile
Phantom Hand;Fantoomhand
Phantuwti Fanstuwi Farsight;Phantuwti Fanstuwi Verziendheid
Pheasant;Fazant
Phials;Flesjes
Phileas Rimor;Phileas Rimor
Philipe Carnillean;Filipe Carnillean
Phillipa;Filipa
Philop;Filip
Phingspet;Phingspet
Phluxia bat;Phluxia-vleermuis
Phoenix;Phoenix
Phosani's Nightmare;Phosani's nachtmerrie
Phrin Shade;Phrin Schaduw
Phrin Shadow;Phrin Schaduw
Pierre;Pierre
Pieve;Pieve
Pig;Varken
Pig Thing;Varken ding
Piglet;Knorretje
Pile of bones;Stapel botten
Piles;Stapels
Pilg;Pilg
Piliar;Pilaar
Pillory Guard;Schandpaalbewaker
Ping;Ping
Pipistrelle Draynar;Dwergvleermuis Draynar
Pirate;Piraat
Pirate Guard;Piratenwacht
Pirate Jackie the Fruit;Piraat Jackie de vrucht
Pirate Pete;Piraat Piet
Pit Scorpion;Pit Schorpioen
Pizazz Hat;Pizzazz-hoed
Plague cow;Pest koe
Plague frog;Pest kikker
Poison Salesman;Vergifverkoper
Poison Scorpion;Vergif Schorpioen
Poison spider;Gif spin
Polar eagle;Polaire adelaar
Polmafi Ferdygris;Polmafi Ferdygris
Poltenip;Poltenip
Pong;Pong
Pontak;Pontak
Ponts the Bridgemaster;Ponts de Brugmeester
Poor looking man;Arm uitziende man
Poor looking woman;Arm ogende vrouw
Porazdir;Porazdir
Port Official;Havenambtenaar
Port worker;Havenarbeider
Portal;Portaal
Portal of Death;Portaal van de dood
Portobello;Portobello
Possessed Priest;Bezeten priester
Possessed pickaxe;Bezeten pikhouweel
Postie Pete;Postie Piet
Pox;Pokken
Prael bat;Prael vleermuis
Praistan Ebola;Praistan Ebola
Prayer tutor;Gebedsleraar
Preswylwyr Dall;Preswylwyr Dall
Prickly kebbit;Stekelige kebab
Priest;Priester
Priestess Zul-Gwenwynig;Priesteres Zul-Gwenwynig
Prifddinas guard;Prifddina's bewaker
Primula;Primula
Prince Ali;Prins Ali
Prince Black Dragon;Prins Zwarte Draak
Prince Brand;Prins Merk
Princess Astrid;Prinses Astrid
Prison Pete;Gevangenis Piet
Prisoner;Gevangene
Prissy Scilla;Prissy Scilla
Private Paldo;Privé Paldo
Private Paldon;Privé Paldon
Private Pendron;Privé Pendron
Private Pierreb;Privé Pierreb
Probita;Probita
Professor Gracklebone;Professor Gracklebone
Professor Imblewyn;Professor Imblewyn
Professor Manglethorp;Professor Manglethorp
Professor Oddenstein;Professor Oddenstein
Professor Onglewip;Professor Onglewip
Prosecutor;Aanklager
Prospector Percy;Goudzoeker Percy
Protest Leader;Protestleider
Protester;Protesteerder
Psykk bat;Psykk-vleermuis
Puffer Fish;Kogelvis
Puffin;Papegaaiduiker
Pumpy;Pompig
Puppadile;Pupadile
Purepker895;Puurker895
Purple Pewter Director;Paars Pewter-regisseur
Purple Pewter Secretary;Paarse tinnen secretaris
Pusskins;Poesjes
Pyramid block;Piramide blok
Pyrefiend;Pyrefiel
Pyrelord;Pyrelord
Pyromancer;Pyromancer
Quartermaster;Kwartiermeester
Queen Ellamaria;Koningin Ellamaria
Queen Sigrid;Koningin Sigrid
Queen Zyanyi Arkan;Koningin Zyanyi Arkan
Queen spawn;Koningin spawnen
Quest Guide;Zoektochtgids
Quiz Master;Quizmeester
Qutiedoll;Qutiedoll
R4ng3rNo0b889;R4ng3rNee0b889
Rabbit;Konijn
Raccoon;Wasbeer
Rachael;Rachel
Radat;Radat
Radigad Ponfit;Radigad Ponfit
Radimus Erkle;Radimus Erkle
Radu;Radu
Raeli;Raëlië
Raetul;Raetul
Ragnar;Ragnar
Ragnvald;Ragnvald
Rakkar;Rakkar
Ram;Ram
Ramara du Croissant;Ramara du Croissant
Ramarno;Ramarno
Ramocean;Ramocean
Ranael;Ranael
Ranalph Devere;Ranalph Devere
Randivor;Randivor
Ranged combat tutor;Leraar voor afstandsgevechten
Ranger;Ranger
Ranger (medium);Ranger (middel)
Ranging Guild Doorman;Variërende Gildeportier
Ranis Drakan;Ranis Drakan
Rannveig;Rannveig
Rantz;Rantz
Raqueel;Raquel
Rashiliyia;Rasiliyia
Rasolo;Rasolo
Rassain;Rassain
Rat;Rat
Rat Burgiss;Rat Burgiss
Rauborn;Rauborn
Raulyn;Raulyn
Raum Urda-Stein;Raum Urda-Stein
Ravager;Ravager
Raven;Raaf
Razmire Keelgan;Razmire Keelgan
Razvan;Razvan
Reach;Bereik
Reacher;Reacher
Reanimated TzHaar;Gereanimeerde TzHaar
Reanimated abyssal;Gereanimeerde afgrond
Reanimated aviansie;Gereanimeerde vogel
Reanimated bear;Gereanimeerde beer
Reanimated bloodveld;Gereanimeerd bloedveld
Reanimated chaos druid;Gereanimeerde chaosdruïde
Reanimated dagannoth;Gereanimeerde dagannoth
Reanimated demon;Gereanimeerde demon
Reanimated demon spawn;Gereanimeerde demonenspawn
Reanimated dog;Gereanimeerde hond
Reanimated dragon;Gereanimeerde draak
Reanimated elf;Gereanimeerde elf
Reanimated giant;Gereanimeerde reus
Reanimated goblin;Gereanimeerde kobold
Reanimated horror;Gereanimeerde horror
Reanimated imp;Gereanimeerde imp
Reanimated kalphite;Gereanimeerde kalphiet
Reanimated minotaur;Gereanimeerde minotaurus
Reanimated monkey;Gereanimeerde aap
Reanimated ogre;Gereanimeerde boeman
Reanimated scorpion;Gereanimeerde schorpioen
Reanimated troll;Gereanimeerde trol
Reanimated unicorn;Gereanimeerde eenhoorn
Rebel Archer;Rebellen Boogschutter
Rebel Scout;Rebellenverkenner
Rebel Warrior;Rebellenstrijder
Recruiter;Recruiter
Red;Rood
Red Axe Cat;Rode Bijl Kat
Red Axe Director;Rode Bijl Directeur
Red Axe Henchman;Handlanger van de rode bijl
Red Axe Secretary;Secretaris van de Rode Bijl
Red Monkey;Rode Aap
Red Panda;Rode Panda
Red Sheep;Rode schapen
Red dragon;Rode draak
Red fireflies;Rode vuurvliegjes
Red salamander;Rode salamander
Redbeard Frank;Roodbaard Frank
Reese;Reese
Reeso;Reeso
Ref;Ref
Refugee;Vluchteling
Regath;Regath
Reginald;Reginald
Reinald;Reinald
Reinn;Rein
Reldak;Reldak
Reldo;Reldo
Relobo Blinyo (logs);Relobo Blinyo (logboeken)
Remsai;Remsai
Remus Kaninus;Remus Kaninus
Renegade Knight;Afvallige Ridder
Renegade knight;Afvallige ridder
Repugnant spectre;Weerzinwekkend spook
Researcher;Onderzoeker
Reshi;Reshi
Resistance Fighter;Verzetsstrijder
Respiratory system;Ademhalingssysteem
Restless ghost;Rusteloze geest
Retired sailor;Gepensioneerde matroos
Revenant cyclops;Wrekende cyclops
Revenant dark beast;Wrekend donker beest
Revenant demon;Wrekende demon
Revenant dragon;Wrekende draak
Revenant goblin;Wrekende kobold
Revenant hellhound;Een wraakzuchtige hellehond
Revenant hobgoblin;Wrekende kobold
Revenant imp;Wraak imp
Revenant knight;Wrekende ridder
Revenant ork;Revenant ork
Revenant pyrefiend;Wrekende pyrofiend
Rewards Guardian;Beloningen Guardian
Rhazien;Rhazien
Rhiannon;Rhiannon
Rhoddwr Tan;Rhoddwr Tan
Rhonen;Rhönen
Rhyfel;Rhyfel
Richard;Richard
Richard Flintmaul;Richard Flintmaul
Rick;Rik
Rick Turpentine;Rick Terpentijn
Ricketty door;Gammele deur
Rift guardian;Rift-bewaker
Right head;Rechter hoofd
Riki the sculptor's model;Riki het model van de beeldhouwer
Rimae Sirsalis;Rimae Sirsalis
Rind the gardener;Schil de tuinman
Rionasta;Rionasta
River troll;Rivier trol
Riyl Shade;Riyl schaduw
Riyl Shadow;Riyl Schaduw
Riyl shadow;Riyl schaduw
Roachey;Roachey
Roavar;Roavar
Robert Boss;Robert Boss
Robert O'Reilly;Robert O'Reilly
Robert the Strong;Robert de Sterke
Robin;Robin
Robyn;Robin
Rock;Steen
Rock Crab;Rots Krab
Rock Golem;Rots Golem
Rock lobster;Rotskreeft
Rock pile;Rots stapel
Rocks;Rotsen
Rockslug;Rotsslak
Rocky;Rotsachtig
Rocnar;Rocnar
Rod Fishing spot;Hengel visplek
Rogue;Schurk
Rogue Guard;Schurkenwachter
Rohak;Rohak
Rokuh;Rokuh
Rolad;Rolad
Rolayne Twickit (hard);Rolayne Twickit (hard)
Romeo;Romeo
Rometti;Rometti
Romily Weaklax;Romily Weaklax
Rommik;Rommik
Ron Gadderanks;Ron Gadderanks
Rooster;Haan
Root;Wortel
Rory;Rory
Rosie;Rosie
Ross;Roos
Ross and Ben;Roos en Ben
Rowdy Guard;Rowdy-bewaker
Rowdy dwarf;Een luidruchtige dwerg
Rowdy slave;Ruige slaaf
Roy;Roy
Roy jr.;Roy jr.
Royal Guard;Koninklijke Garde
Ruantun;Ruantun
Ruby harvest;Robijnrode oogst
Rufus;Rufus
Rug Merchant;Tapijthandelaar
Runa;Runa
Rune dragon;Rune draak
Runite Golem;Runiet Golem
Runite Minor;Runiet mineur
Runite ore;Runiet erts
Runolf;Runolf
Runvastr;Runvastr
Rupert the Beard;Rupert de Baard
Rusty;Roestig
Saba;Saba
Sabeil;Sabeel
Saboteur;Saboteur
Sabre-toothed kebbit;Sabeltandkebbit
Sabre-toothed kyatt;Sabeltandkyatt
Sabreen;Sabreen
Sacrifice;Offer
Sadwrn;Verdrietig
Saeros;Saëros
Saeth;Saeth
