 Sneaky undead fowl;Aves no muertas furtivas
Lava dragon;dragón de lava
Layleen;layleen
Lazim;Lazim
Lazy cat;gato perezoso
Lazy hellcat;gato perezoso
Le-sabrè;le-sabré
Lead Navigator;Navegador principal
Leagues Assistant;Asistente de ligas
Leagues Tutor;Tutor de ligas
Leatherworker;peletero
Lector Gura;Lector Gura
Leech;Sanguijuela
Leech display;Pantalla de sanguijuela
Leela;leela
Leenz;Leenz
Left head;cabeza izquierda
Legends guard;guardia de leyendas
Leke quo Keran;Leke quo Keran
Lenny;lenny
Lensa;lente
Lenwe;lenwe
Lenyig Karna;Lenyig Karna
Leo;León
Leon;León
Leon d'Cour;León d'Cour
Lesser Demon Champion;Campeón Demonio Menor
Lesser Fanatic;Fanático menor
Lesser demon;demonio menor
Lesser ghostly thrall;Esclavo fantasmal menor
Lesser skeletal thrall;Esclavo esquelético menor
Lesser zombified thrall;Esclavo zombificado menor
Lev;Lev
Li'l lamb;pequeño cordero
Liam;Liam
Librarian;Bibliotecario
Lidio;lidio
Lieutenant Schepbur;Teniente Schepbur
Lieve McCracken;Lieve McCracken
Light creature;Criatura ligera
Lil' Bloat;Pequeña hinchazón
Lil' Creator;Pequeño creador
Lil' Destructor;Pequeño destructor
Lil' Maiden;pequeña doncella
Lil' Nylo;Lil' Nylo
Lil' Sot;pequeño sot
Lil' Xarp;Lil' Xarp
Lil' Zik;pequeño zik
Lilifang;Lilifang
Liliwen;Liliwen
Liliya;Lilia
Lillia;lilia
Lilly;lirio
Lindir;Lindir
Linen worker;trabajador de lino
Lisa;Lisa
Lisse Isaakson;Lisse Isaakson
Litara;Litara
Lithil;litil
Little Nightmare;pequeña pesadilla
Little Parasite;pequeño parásito
Lizard;Lagarto
Lizard display;exhibición de lagarto
Lizardman;hombre lagarto
Lizardman brute;hombre lagarto bruto
Lizardman shaman;chamán hombre lagarto
Lleidr Golau;Lleidr Golau
Lliann;Lliann
Llio;Llio
Loading crane;Grúa de carga
Loar Shade;Sombra Loar
Loar Shadow;Sombra Loar
Lobstrosity;langosta
Local;Local
Local Gnome;Gnomo local
Locust;Langosta
Locust rider;Jinete de langostas
Lofu;lofu
Logava;Logava
Logios;Logios
Logosia;Logosía
Loinur;loinur
Lokar Searunner;Corredor marino Lokar
Loki;Loki
Lokraa quo Sihar;Lokraa quo Sihar
Lollk;Lolk
Long-tailed Wyvern;Wyvern de cola larga
Longbow Ben;Ben arco largo
Longhall Bouncer;Gorila de Longhall
Look-out;Estar atento
Looming shadow;Sombra que se avecina
Lord Alexei Jovkai;Señor Alexei Jovkai
Lord Baxtorian Cadarn;Señor Baxtorian Cadarn
Lord Crombwick;Señor Crombwick
Lord Daquarius;Señor Dacuario
Lord Iestin Iorwerth;Señor Iestin Iorwerth
Lord Ieuan Amlodd;Señor Ieuan Amlodd
Lord Iorwerth;Señor Iorwerth
Lord Kandur Hosidius;Señor Kandur Hosidio
Lord Marshal Brogan;Lord Mariscal Brogan
Lord Mischa Myrmel;Señor Mischa Myrmel
Lord Pandur Hosidius;Señor Pandur Hosidio
Lord Piquan Crwys;Señor Piquan Crwys
Lord Rologarth;Señor Rologarth
Lord Shiro Shayzien;Señor Shiro Shayzien
Lord Trobin Arceuus;Señor Trobin Arceuus
Lorelai;lorelai
Lornor quo Narga;Lornor quo Narga
Lorraine;lorena
Lost barbarian;bárbaro perdido
Louie Legs;Piernas de Louie
Louisa;luisa
Lovada;Lovada
Lovakengj Engineer;Ingeniero Lovakengj
Love Cats;Amo a los gatos
Lowe;Lowe
Lowerniel Drakan;Lowerniel Drakan
Lubufu;Lubufu
Lucien;lucien
Lucky impling;implicación suerte
Lucy;lucía
Lumberjack Leif;Leif leñador
Lumbridge Guide;Guía de Lumbridge
Lumdo;lumdo
Lumiere;Lumière
Luminata;Luminata
Lumo;lumo
Luna;luna
Lundail;Lundail
Lunderwin;lunderwin
Lurgon;Lurgón
Luscion;luscion
Luthas;lutas
Lutwidge;Lutwidge
Lux grub;comida de lujo
Lynx;Lince
Lynx Tamer;Domador de lince
Lyra;Lira
Mac;Impermeable
Macaroni Penguin;pingüino macarrones
Mad skavid;skavid loco
Madame Caldarium;Señora Caldarium
Maedhros;Maedros
Maeglin;Maeglin
Mage (easy);Mago (fácil)
Mage of Zamorak;Mago de Zamorak
Magic Instructor;Instructor de magia
Magic axe;hacha magica
Magic combat tutor;Tutor de combate mágico
Magnus Gram;Magnus Gramo
Magpie impling;Urraca implícita
Mahtan;Mahtán
Maid;Mucama
Mairin;Mairín
Maisa;Maisa
Major Attack;Ataque mayor
Major Collect;Coleccion mayor
Major Defend;Defensa mayor
Major Heal;Curación mayor
Make-over mage;Mago de cambio de imagen
Malak;Malak
Male slave;esclavo masculino
Malevolent Mage;Mago malévolo
Malignius Mortifer;Maligno Mortifer
Mallak quo Keran;Mallak quo Keran
Mama;Mamá
Mamma Bufetta;Mamá Bufetta
Mammoth;Mamut
Man;Hombre
Mandrith;mandrith
Mandy;mandi
Maniacal Monkey Archer;Arquero mono maníaco
Maniacal monkey;mono maníaco
Manni the Reveller;Manni el juerguista
Marble gargoyle;Gárgola de mármol
Marfet;marfet
Maria Gadderanks;Maria Gadderanks
Maria Gunnars;María Gunnars
Mariah;maria
Marisi;marisi
Marius;Mario
Marius Giste;Marius Giste
Mark;Marca
Market Guard;Guardia del mercado
Market seller;vendedor de mercado
Markog;Markog
Marley;Marley
Marlo;marlo
Marmor quo Narga;Marmor quo Narga
Marten;Marta
Martha Rehnison;Marta Rehnison
Martin Holt;Martín Holt
Martin Thwait;Martín Thwait
Martin the Master Gardener;Martín el maestro jardinero
Martina Scorsby;martina scorseby
Marwolaeth Dawnsio;Marwolaeth Dawnsio
Mary;María
Master Chef;Maestro cocinero
Master Crafter;Maestro artesano
Master Farmer;Maestro granjero
Master Navigator;Maestro Navegante
Master fisher;Maestro pescador
Master smithing tutor;Tutor maestro herrería
Matilda;matilda
Matthew;Mateo
Matthias;Matías
Mattimeo;mattimeo
Mawnis Burowgar;Mawnis Burowgar
Mawrth;Mawrth
Mayor Hobb;alcalde hobb
Maz;maz
Mazchna;Mazchna
Maze Guardian;guardián del laberinto
Mazion;Mazión
Me;A mí
Me (hard);Yo (duro)
Meddwl Ymlaen Llaw;Meddwl Ymlaen Llaw
Medium ninja monkey;Mono ninja mediano
Meegle;Meegle
Megan;megan
Meiyerditch citizen;ciudadano de Meiyerditch
Meiyerditch miner;Minero de Meiyerditch
Mekritus A'hara;Mekritus A'hara
Melana Moonlander;Melana Luna Lunar
Melee combat tutor;Tutor de combate cuerpo a cuerpo
Meleti;Meleti
Melina;melina
Melvin;Melvin
Melzar the Mad;Melzar el Loco
Memory of Seren;Memoria de Seren
Menaphite Leader;Líder menafita
Menaphite Thug;Matón menafita
Menaphite guard;guardia menafita
Mercenary;Mercenario
Mercenary Captain;Capitán mercenario
Mercy;Merced
Meredith;Meredith
Merlin;Esmerejón
Mernia;mernia
Mernik;Mérnik
Meskhenet;mesjenet
Metarialus;Metarialus
Meteora;Meteora
Mi-Gor;Mi Gor
Mia;Desaparecido en combate
Miala;Miala
Miazrqa;Miazrqa
Middle head;cabeza media
Midnight;Medianoche
Mihail;mihail
Mike;Micro
Miles;Millas
Milla;milla
Milli Rehnison;Milli Rehnison
Millie Miller;Millie Miller
Miltog;Miltog
Mime;Mímica
Mimm;mimm
Mind Golem;Gólem mental
Mine Cart;Carro de mina
Mine cart;Carro de mina
Mine cart driver;Conductor de carro minero
Mine supervisor;supervisor de mina
Miner;Minero
Miner Magnus;Magnus minero
Miniature chaotic clouds;Nubes caóticas en miniatura
Mining Instructor;Instructor de Minería
Mining tutor;profesor de minería
Minotaur;Minotauro
Miodvetnir;Miodvetnir
Miriam;Miriam
Miriel;Miriel
Mischievous ghost;fantasma travieso
Misdrievus Shadum;Misdrievus Shadum
Mishkal'un Dorn;Mishkal'un Dorn
Miss Cheevers;señorita cheevers
Miss Schism;Señorita cisma
Mist;Neblina
Mistag;Error de etiqueta
Mithrellas;mitrellas
Mithril dragon;dragón de mitril
Mithril ore;mineral de mitril
Mittens;Guantes de boxeo
Mizaru;mizaru
Moe;moe
Mofina;mofina
Moggy;Gatito
Mogre;Mogre
Mogre Guard;Guardia Mogre
Mogrim;Mogrím
Molanisk;molanisco
Moldof;Moldof
Mole display;visualización de lunares
Molly;muchacha
Monk;Monje
Monk of Entrana;Monje de Entradana
Monk of Zamorak;Monje de Zamorak
Monkey;Mono
Monkey Archer;Arquero mono
Monkey Child;niño mono
Monkey Guard;Guardia mono
Monkey Zombie;mono zombi
Monkey display;exhibición de mono
Monkey guard;guardia mono
Monkey minder;cuidador de monos
Monkey on unicorn;Mono sobre unicornio
Monstrous Basilisk;Basilisco monstruoso
Monstrous basilisk;Basilisco monstruoso
Mord Gunnars;Mord Gunnars
Mordan Nikazsi;Mordan Nikazsi
Morgan;morgan
Morgan Le Faye;Morgan Le Faye
Mori;mori
Morris;morris
Mort Nightshade;Mort Belladona
Mort'ton Local;Mort'ton Local
Mort'ton local;Mort'ton local
Morten Holdstrom;Morten Holdström
Mortina Daubenton;Mortina Daubenton
Morvran;Morvran
Mosol Rei;Mosol Rey
Mosquito swarm;enjambre de mosquitos
Moss Giant;Gigante de musgo
Moss Guardian;guardián del musgo
Moss Guardian (hard);Guardián del musgo (difícil)
Moss giant;gigante musgo
Most of a Zombie;La mayor parte de un zombi
Mother;Madre
Mother Mallum;Madre Mallum
Moths;polillas
Mountain Dwarf;Enano de montaña
Mountain Goat;Cabra Montés
Mountain Guide;Guía de Montaña
Mountain goat;cabra montesa
Mountain troll;troll de montaña
Mounted terrorbird gnome;Gnomo pájaro terror montado
Mounted terrorchick gnome;Gnomo terrorchick montado
Mourner;Doliente
Mouse;Ratón
Movario;Movario
Mr. Mordaut;Sr. Mordaut
Ms. Hynn Terprett;Sra. Hynn Terprett
Mubariz;Mubáriz
Mudskipper;saltador de barro
Mugger;Asaltador
Mummy;Momia
Mummy ashes;Cenizas de momia
Munty;Munty
Murcaily;Murcaily
Murfet;murfet
Murky Matt (runes);Murky Matt (runas)
Murky Pat;Pat turbia
Murng bat;murciélago murng
Murphy;murphy
Muruwoi;Muruwoi
Museum guard;guardia del museo
Mushroom;Champiñón
Mutant tarn;Tarn mutante
Mutated Bloodveld;Veld sangriento mutado
Muttadile;Muttadile
My Arm;mi brazo
Myndill;Myndill
Myre Blamish Snail;Caracol Myre Blamish
Mysterious Adventurer;Aventurero misterioso
Mysterious Figure;figura misteriosa
Mysterious Old Man;Viejo misterioso
Mysterious Stranger;Extraño misterioso
Mysterious Voice;voz misteriosa
Mysterious ghost;fantasma misterioso
Mystery figure;figura misteriosa
Naghead;Naghead
Nail beast;Bestia de uñas
Nakasa Jovkai;Nakasa Jovkai
Nardah Banker;banquero nardah
Nardok;nardok
Narf;Narf
Natalidae Shadum;Natalidae Shadum
Nathifa;Nathifa
Natural Historian;Historiador natural
Natural historian;historiador natural
Nature Spirit;Espíritu de la naturaleza
Nature impling;naturaleza implicada
Nazastarool;Nazastarool
Nazastarool (hard);Nazastarool (duro)
Nechryael;Necriael
Nechryarch;Necriarca
Necromancer;Nigromante
Necrovarus;Necrovaro
Ned;ned
Neferti the Camel;Neferti el camello
Neil;neil
Neite;Neite
Nellas;Nellas
Nemishka;Nemishka
Nerdanel;Nerdanel
Nesty;Nesty
New Recruit Tony;Nuevo recluta Tony
Newtroost;Nuevo troost
Nezikchened;Nezikchened
Nezikchened (hard);Nezikchened (duro)
Nia;nia
Nicholas;nicolás
Nick;Mella
Nickolaus;nicolás
Nicoleta;nicoleta
Nieve;nieva
Nigel;nigel
Night beast;bestia nocturna
Nikita;nikita
Nikkie;nikkie
Nikolai;nicolás
Niles;niles
Niloof;Niloof
Nimloth;Nimloth
Nimrodel;Nimrodel
Ninja impling;Ninja implicando
Nipper;Chiquillo
Nirrie;nirri
Nisha;nisha
Nkuku;Nkuku
Noctillion Lugosi;Nocillion Lugosi
Noella;noella
Nolar;Nolar
Nomad;Nómada
Noodle;Cabeza
Noon;Mediodía
Nora T. Hagg;Nora Hagg
Noranna Tytanin;Noranna Tytanin
Norman;normando
Not Bob;no bob
Noterazzo;Notarazzo
Novice;Principiante
Nuclear smoke devil;Diablo de humo nuclear
Nulodion;nulodión
Numpty;Numpty
Nung;Nung
Nurmof;Nurmof
Nurse Boubou;Enfermera Boubou
Nurse Emma Gentsy;Enfermera Emma Gentsy
Nurse Inn'Juree;Enfermera Inn'Juree
Nurse Sarah;enfermera sara
Nurse Wooned;enfermera cortejada
Nylocas;Nylocas
Nylocas Athanatos;Nylocas Athánatos
Nylocas Hagios;Nylocas Hagios
Nylocas Ischyros;Nylocas Isquiros
Nylocas Matomenos;Nylocas Matomenos
Nylocas Prinkipas;Nylocas Prinkipas
Nylocas Queen;Reina Nylocas
Nylocas Toxobolos;Nylocas Toxobolos
Nylocas Vasilias;Nylocas Vasilias
Oaknock the Engineer;Oaknock el ingeniero
Oath Lord D'rows;Juramento Señor D'rows
Oathbreaker B'ats;B'ats rompejuramentos
Oathbreaker E'piws;E'piws rompejuramentos
Oathbreaker M'als;M'als rompejuramentos
Obli;Oblí
Obor;Obor
Observatory assistant;asistente de observatorio
Observatory professor;profesor del observatorio
Ocga;ocga
Ochre Blamish Snail;Caracol Blamish Ocre
Odd Mushroom;Hongo extraño
Odd Old Man;Viejo extraño
Odd Stone;Piedra extraña
Odmar;Odmar
Odovacar;Odovacar
Odysseus;Odiseo
Og;og
Ogre;Ogro
Ogre boat;barco ogro
Ogre chieftain;Cacique ogro
Ogre guard;guardia ogro
Ogre merchant;comerciante ogro
Ogre shaman;chamán ogro
Ogre trader;comerciante de ogros
Ogress Shaman;Ogresa chamán
Ogress Warrior;Guerrero Ogresa
Oipuis;Oipuis
Olaf Hradson;Olaf Hradson
Olaf the Bard;Olaf el bardo
Olbertus;Olbertus
Old Man Ral;viejo ral
Old Man Yarlo;Viejo Yarlo
Old crone;vieja bruja
Old dwarf;viejo enano
Old man;Viejo
Oldak;viejo
Olivia;Olivia
Ollie the Camel;Ollie el camello
Olmlet;Olmlet
Omart;omart
Oneiromancer;oniromante
Oobapohk;Oobapohk
Oomlie bird;pájaro oomlie
Oozing barrier;Barrera rezumante
Operator;Operador
Oracle;Oráculo
Orange salamander;salamandra naranja
Ordan;Ordan
Ork;Orko
Orlando Smith;Orlando Smith
Oronwen;Oronwen
Oropher;oropher
Orophin;Orofín
Orrvor quo Maten;Orrvor quo Maten
Osian;osiano
Osman;Osmán
Ospak;Ospak
Osten;Osten
Osvald;Osvaldo
Oswald;Osvaldo
Oswallt;Oswallt
Othainian;othainiano
Other Half-Zombie;Otro medio zombi
Otherworldly being;ser de otro mundo
Otto Godblessed;Otto bendito
Ouditor;auditor
Ouhai;Ohai
Outlaw;Proscrito
Overgrown cat;gato demasiado grande
Overgrown hellcat;Gato infernal demasiado grande
Owl;Búho
Oxi;oxi
Oziach;Ozíach
PKMaster0036;PKMaster0036
Padulah;padulah
Pagida;Pagida
Painted One;uno pintado
Paladin;Paladín
Palmer;Palmero
Pandur Hosidius;Pandur Hosidio
Panning guide;Guía de panorámica
Parasite;Parásito
Parrot;Loro
Parrots;loros
Parroty Pete;Pete loro
Party Pete;fiesta pete
Passive Tar Monster;Monstruo de alquitrán pasivo
Patchy;Irregular de
Patrick;Patricio
Patrolman;Patrullero
Patrolwoman;Guardia
Pauline Polaris;Paulina Polaris
Peaceful barbarian spirit;Espíritu bárbaro pacífico
Peasant;Campesino
Pebble;Guijarro
Pee Hat;Sombrero de orina
Peer the Seer;Mira al vidente
Peksa;peksa
Pelican;Pelícano
Penance Fighter;Luchador de la penitencia
Penance Healer;Sanador de penitencia
Penance Pet;Mascota de penitencia
Penance Queen;Reina de la Penitencia
Penance Ranger;Guardabosques de penitencia
Penance Runner;Corredor de penitencia
Penda;Penda
Penguin;Pingüino
Penguin display;exhibición de pingüinos
Penguin suit;traje de pingüino
Pennant;Banderín
Pentyn;pentyn
Penwie;Penwie
Perdu;Perdón
Perfect gold ore;Mineral de oro perfecto
Perrdur;Perrdur
Perry;Sidra de pera
Pescaling Pax;Pescando Pax
Pestilent Bloat;Hinchazón pestilente
Pet rock;Roca mascota
Peter;Pedro
Petra Fiyed;Petra Fiyed
Petrified Pete;Pete petrificado
Phabelle Bile;Phabelle Bilis
Phantom Hand;Mano fantasma
Phantuwti Fanstuwi Farsight;Phantuwti Fanstuwi Visión lejana
Pheasant;Faisán
Phials;ampollas
Phileas Rimor;Phileas Rimor
Philipe Carnillean;Philippe Carnillean
Phillipa;felipa
Philop;filope
Phingspet;Phingspet
Phluxia bat;Murciélago Phluxia
Phoenix;Fénix
Phosani's Nightmare;La pesadilla de Phosani
Phrin Shade;Sombra Phrin
Phrin Shadow;Sombra Phrin
Pierre;Pedro
Pieve;Pieve
Pig;Cerdo
Pig Thing;cosa del cerdo
Piglet;Cerdito
Pile of bones;montón de huesos
Piles;Hemorroides
Pilg;peregrino
Piliar;Piliar
Pillory Guard;Guardia de picota
Ping;Silbido
Pipistrelle Draynar;Pipistrelle Draynar
Pirate;Pirata
Pirate Guard;Guardia Pirata
Pirate Jackie the Fruit;Pirata Jackie la fruta
Pirate Pete;Pete pirata
Pit Scorpion;Escorpión de pozo
Pizazz Hat;Sombrero de pizzazz
Plague cow;vaca plaga
Plague frog;rana plaga
Poison Salesman;Vendedor de veneno
Poison Scorpion;escorpión venenoso
Poison spider;araña venenosa
Polar eagle;Águila polar
Polmafi Ferdygris;Polmafi Ferdygris
Poltenip;Poltenip
Pong;Apestar
Pontak;Pontak
Ponts the Bridgemaster;Ponts el maestro de puentes
Poor looking man;hombre de pobre aspecto
Poor looking woman;mujer de aspecto pobre
Porazdir;Porazdir
Port Official;Oficial Portuario
Port worker;trabajador portuario
Portal;Portal
Portal of Death;Portal de la muerte
Portobello;Portobello
Possessed Priest;Sacerdote poseído
Possessed pickaxe;pico poseído
Postie Pete;Pete Postie
Pox;Viruela
Prael bat;murciélago prael
Praistan Ebola;Ébola en Praistán
Prayer tutor;tutor de oración
Preswylwyr Dall;Preswylwyr Dall
Prickly kebbit;Kebbit espinoso
Priest;Sacerdote
Priestess Zul-Gwenwynig;Sacerdotisa Zul-Gwenwynig
Prifddinas guard;Guardia de Prifddina
Primula;Prímula
Prince Ali;Príncipe Alí
Prince Black Dragon;Príncipe Dragón Negro
Prince Brand;Marca Príncipe
Princess Astrid;princesa astrid
Prison Pete;prisión pete
Prisoner;Prisionero
Prissy Scilla;Scilla remilgada
Private Paldo;Privado Paldo
Private Paldon;Paldón privado
Private Pendron;Pendrón privado
Private Pierreb;Privado Pierreb
Probita;probita
Professor Gracklebone;Profesor Gracklebone
Professor Imblewyn;Profesor Imblewyn
Professor Manglethorp;Profesor Manglethorp
Professor Oddenstein;Profesor Oddenstein
Professor Onglewip;Profesor Onglewip
Prosecutor;Fiscal
Prospector Percy;Prospector Percy
Protest Leader;Líder de la protesta
Protester;Protestador
Psykk bat;murciélago psikk
Puffer Fish;Pez globo
Puffin;Frailecillo
Pumpy;bombeo
Puppadile;cachorro
Purepker895;Purepker895
Purple Pewter Director;Director de peltre morado
Purple Pewter Secretary;Secretario de peltre morado
Pusskins;puskins
Pyramid block;bloque piramidal
Pyrefiend;Pyrefiend
Pyrelord;Pyrelord
Pyromancer;piromante
Quartermaster;Oficial de intendencia
Queen Ellamaria;Reina Ellamaría
Queen Sigrid;Reina Sigrid
Queen Zyanyi Arkan;Reina Zyanyi Arkan
Queen spawn;engendro de reina
Quest Guide;Guía de misiones
Quiz Master;Maestro de pruebas
Qutiedoll;Qutiedoll
R4ng3rNo0b889;R4ng3rNo0b889
Rabbit;Conejo
Raccoon;Mapache
Rachael;raquel
Radat;Radat
Radigad Ponfit;Radigad Ponfit
Radimus Erkle;Radimus Erkle
Radu;radu
Raeli;raeli
Raetul;Raetul
Ragnar;ragnar
Ragnvald;Ragnvald
Rakkar;Rakkar
Ram;RAM
Ramara du Croissant;Ramara del Croissant
Ramarno;ramarno
Ramocean;ramoceano
Ranael;raniel
Ranalph Devere;Ranalph Devere
Randivor;Randivor
Ranged combat tutor;Tutor de combate a distancia
Ranger;Guardabosque
Ranger (medium);Guardabosques (mediano)
Ranging Guild Doorman;Portero del gremio a distancia
Ranis Drakan;Ranis Drakan
Rannveig;Rannveig
Rantz;Rantz
Raqueel;raquel
Rashiliyia;Rashiliyia
Rasolo;rasolo
Rassain;rassain
Rat;Rata
Rat Burgiss;Burgiss rata
Rauborn;Rauborn
Raulyn;Raulyn
Raum Urda-Stein;Raum Urda-Stein
Ravager;devastador
Raven;Cuervo
Razmire Keelgan;Razmire Keelgan
Razvan;Razván
Reach;Alcanzar
Reacher;Alcanzador
Reanimated TzHaar;TzHaar reanimado
Reanimated abyssal;Abisal reanimado
Reanimated aviansie;Aviana reanimada
Reanimated bear;oso reanimado
Reanimated bloodveld;Manto de sangre reanimado
Reanimated chaos druid;Druida del caos reanimado
Reanimated dagannoth;Dagannoth reanimado
Reanimated demon;Demonio reanimado
Reanimated demon spawn;Engendro de demonio reanimado
Reanimated dog;perro reanimado
Reanimated dragon;dragón reanimado
Reanimated elf;Elfo reanimado
Reanimated giant;Gigante reanimado
Reanimated goblin;duende reanimado
Reanimated horror;Terror reanimado
Reanimated imp;diablillo reanimado
Reanimated kalphite;Calfita reanimada
Reanimated minotaur;Minotauro reanimado
Reanimated monkey;mono reanimado
Reanimated ogre;Ogro reanimado
Reanimated scorpion;Escorpión reanimado
Reanimated troll;troll reanimado
Reanimated unicorn;Unicornio reanimado
Rebel Archer;Arquero rebelde
Rebel Scout;Explorador rebelde
Rebel Warrior;guerrero rebelde
Recruiter;Reclutador
Red;Rojo
Red Axe Cat;Gato hacha roja
Red Axe Director;Director del hacha roja
Red Axe Henchman;Secuaz del hacha roja
Red Axe Secretary;Secretario del hacha roja
Red Monkey;mono rojo
Red Panda;panda rojo
Red Sheep;oveja roja
Red dragon;dragón rojo
Red fireflies;Luciérnagas rojas
Red salamander;salamandra roja
Redbeard Frank;Frank Barba Roja
Reese;reese
Reeso;reeso
Ref;Árbitro
Refugee;Refugiado
Regath;Regath
Reginald;reginald
Reinald;Reinaldo
Reinn;reinn
Reldak;Reldák
Reldo;Reldo
Relobo Blinyo (logs);Relobo Blinyo (troncos)
Remsai;Remsai
Remus Kaninus;Remus Kanino
Renegade Knight;Caballero renegado
Renegade knight;caballero renegado
Repugnant spectre;Espectro repugnante
Researcher;Investigador
Reshi;Reshi
Resistance Fighter;Luchador de la Resistencia
Respiratory system;Sistema respiratorio
Restless ghost;Fantasma inquieto
Retired sailor;marinero jubilado
Revenant cyclops;cíclope renacido
Revenant dark beast;Bestia oscura retornada
Revenant demon;Demonio aparecido
Revenant dragon;dragón aparecido
Revenant goblin;Duende aparecido
Revenant hellhound;Perro del infierno renacido
Revenant hobgoblin;Duende renacido
Revenant imp;diablillo aparecido
Revenant knight;Caballero renacido
Revenant ork;Orko aparecido
Revenant pyrefiend;Pyrefiend retornado
Rewards Guardian;Guardián de recompensas
Rhazien;Razien
Rhiannon;Rhiannon
Rhoddwr Tan;Rhoddwr Tan
Rhonen;Ródano
Rhyfel;Rhyfel
Richard;ricardo
Richard Flintmaul;Richard Flintmaul
Rick;Almiar
Rick Turpentine;Rick trementina
Ricketty door;puerta desvencijada
Rift guardian;guardián de la grieta
Right head;cabeza derecha
Riki the sculptor's model;Riki el modelo del escultor
Rimae Sirsalis;Rimae Sirsalis
Rind the gardener;Corteza al jardinero
Rionasta;Rionasta
River troll;troll de río
Riyl Shade;Sombra Riyl
Riyl Shadow;Sombra Riyl
Riyl shadow;sombra riyl
Roachey;cucaracha
Roavar;Roavar
Robert Boss;Roberto Boss
Robert O'Reilly;Robert O'Reilly
Robert the Strong;Roberto el fuerte
Robin;Petirrojo
Robyn;Robyn
Rock;Roca
Rock Crab;Cangrejo de roca
Rock Golem;Gólem de roca
Rock lobster;langosta de roca
Rock pile;pila de rocas
Rocks;rocas
Rockslug;babosa de roca
Rocky;Rocoso
Rocnar;Rocnar
Rod Fishing spot;Lugar de pesca con caña
Rogue;Pícaro
Rogue Guard;Guardia pícaro
Rohak;Rohak
Rokuh;Rokuh
Rolad;rolad
Rolayne Twickit (hard);Rolayne Twickit (duro)
Romeo;Romeo
Rometti;Rometti
Romily Weaklax;Romily Weaklax
Rommik;rommik
Ron Gadderanks;Ron Gadderanks
Rooster;Gallo
Root;Raíz
Rory;rory
Rosie;Rosie
Ross;ross
Ross and Ben;ross y ben
Rowdy Guard;Guardia ruidosa
Rowdy dwarf;enano ruidoso
Rowdy slave;esclavo ruidoso
Roy;roy
Roy jr.;Roy jr.
Royal Guard;Guardia Real
Ruantun;Ruantún
Ruby harvest;Cosecha de rubíes
Rufus;Rufo
Rug Merchant;Comerciante de alfombras
Runa;runa
Rune dragon;dragón runa
Runite Golem;Golem de runita
Runite Minor;Runita menor
Runite ore;mineral de runita
Runolf;Runolf
Runvastr;Runvastr
Rupert the Beard;Ruperto la Barba
Rusty;Oxidado
Saba;Sabá
Sabeil;Sabil
Saboteur;Saboteador
Sabre-toothed kebbit;Kebbit dientes de sable
Sabre-toothed kyatt;Kyatt dientes de sable
Sabreen;sable
Sacrifice;Sacrificio
Sadwrn;triste
Saeros;Saeros
Saeth;Saeth
Safalaan Hallow;Reliquia de Safalaan
Safta Doc;Doctor Safta
Sagira;sagira
Sailor;Marinero
Salarin the twisted;salarín el retorcido
Salenab;Salenab
Salgant;salgante
Sam;Sam
Sammy Servil;Sammy Servil
San Fan;San Fan
San Tojalon;San Tojalón
Sand Crab;Cangrejo de arena
Sand Snake;Serpiente de arena
Sand Snake (hard);Serpiente de arena (difícil)
Sand storm;tormenta de arena
Sandicrahb;sandicrahb
Sandwich lady;señora sándwich
Sandy;Arenoso
Sandy Boulder;Roca arenosa
Sandy rocks;Rocas arenosas
Sanfew;sanfew
Sani Piliu;Sani Piliu
Saniboch;saniboch
Santiri;Santiri
Sapphire glacialis;Zafiro glacial
Sarachnis;sarachnis
Saradomin priest;sacerdote saradomin
Saradomin wizard;mago saradomin
Saradominist recruiter;Reclutador saradominista
Sarah;sara
Sarble;Sarble
Sarius Guile;Sarius Guile
Saro;saro
Sassilik;sassilik
Savant;Sabio
Sawmill Operator;Operador de Aserradero
Sawmill operator;operador de aserradero
Sbott;sbott
Scabaras;Scabaras
Scarab mage;mago escarabajo
Scarab swarm;enjambre de escarabajos
Scarabs;escarabajos
Scared skavid;Skavid asustado
Scarg;cicatriz
Scavenger beast;bestia carroñera
Scavvo;scavvo
Schoolboy;Colegial
Schoolgirl;Colegiala
Scion;Vástago
Scorpia;Escorpio
Scorpia's guardian;guardián de escorpia
Scorpia's offspring;La descendencia de Escorpia
Scorpion;Escorpión
Scout;Explorar
Screaming banshee;alma en pena gritando
Screaming twisted banshee;Gritando alma en pena retorcida
Scrubfoot;Pie de fregado
Sea Snake Hatchling;Cría de serpiente marina
Sea Snake Young;Serpiente Marina Joven
Sea Troll General;General trol marino
Sea Troll Queen;Reina trol marino
Sea slug;babosa de mar
Sea slugs display;Exhibición de babosas marinas
Sea troll;troll de mar
Seagull;Gaviota
Seaman Lorris;marinero lorris
Seaman Morris;marinero morris
Seaman Thresnor;Marinero Thresnor
Secretary;Secretario
Security Guard;Guardia de seguridad
Seddu;sedu
Sedridor;Sedridor
Seer;Vidente
Selena;selena
Selene;selene
Seravel;Seravel
Seren;serenidad
Sergeant;Sargento
Sergeant Damien;Sargento Damián
Sergeant Grimspike;Sargento Grimspike
Sergeant Mossfists;Sargento Puños de Moss
Sergeant Ricardo;sargento ricardo
Sergeant Sambur;Sargento Sambur
Sergeant Slimetoes;Sargento Slimetoes
Sergeant Steelwill;Sargento Steelwill
