 Sneaky undead fowl;Ovela epäkuolleet linnut
Killerwatt;Killerwatt
Kilron;Kilron
Kineer;Kineer
King Arthur;Kuningas Arthur
King Artur Hosidius;Kuningas Artur Hosidius
King Awowogei;Kuningas Awowogei
King Black Dragon;King Black Dragon
King Bolren;Kuningas Bolren
King Gjuki Sorvott IV;Kuningas Gjuki Sorvott IV
King Healthorg;Kuningas Healthorg
King Kandur Hosidius;Kuningas Kandur Hosidius
King Lathas;Kuningas Lathas
King Narnode Shareen;Kuningas Narnode Shareen
King Percival;Kuningas Percival
King Roald;Kuningas Roald
King Roald (hard);King Roald (kova)
King Sand Crab;Kuningas hiekkarapu
King Scorpion;Kuningas Skorpioni
King Thoros;Kuningas Thoros
King Vargas;Kuningas Vargas
King kurask;King kurask
King rat;Kuningas rotta
King's Messenger;Kuninkaan lähettiläs
Kitten;Kissanpentu
Kjedelig Uppsen;Kjedelig Uppsen
Kjut;Kjut
Klank;Klank
Klarense;Klarense
Klenter;Klenter
Knight;Ritari
Knight of Ardougne;Ardougnen ritari
Knight of Saradomin;Saradomin ritari
Knight of Varlamore;Varlamoren ritari
Knight of the Lion;Leijonan ritari
Knight of the Owl;Pöllön ritari
Knight of the Unicorn;Yksisarvisen ritari
Knight of the Wolf;Suden ritari
Koanee;Koanee
Kob;Kob
Koftik;Koftik
Kolodion;Kolodion
Konar quo Maten;Konar quo Maten
Konoo;Konoo
Kormar quo Maten;Kormar quo Maten
Kortan;Kortan
Koschei the Deathless;Koschei Kuolematon
Koschei the deathless;Koschei kuolematon
Kragen;Kragen
Kraka;Kraka
Kraken;Kraken
Krato;Krato
Kree'arra;Kree'arra
Kree'arra Jr.;Kree'arra Jr.
Kroy;Kroy
Kruk;Kruk
Kryket bat;Kryket-lepakko
Krystilia;Krystilia
Ksenia;Ksenia
Kualti;Kualti
Kubec Unkar;Kubec Unkar
Kurask;Kurask
Kurt;Kurt
Kylie Minnow;Kylie Minnow
Lacey;Lacey
Lady Carys Hefin;Lady Carys Hefin
Lady Crombwick;Lady Crombwick
Lady Ffion Meilyr;Lady Ffion Meilyr
Lady Keli;Lady Keli
Lady Kelyn Ithell;Lady Kelyn Ithell
Lady Nadezhda Shadum;Lady Nadezhda Shadum
Lady Servil;Lady Servil
Lady Shauna Piscarilius;Lady Shauna Piscarilius
Lady Table;Lady Table
Lady Tangwen Trahaearn;Lady Tangwen Trahaearn
Lady Vulcana Lovakengj;Lady Vulcana Lovakengj
Lahsram;Lahsram
Lalli;Lalli
Lamb;Lammas
Lammy Langle;Lammy Langle
Lan the Butcher;Teurastaja Lan
Lanthus;Lanthus
Lanzig;Lanzig
Large mosquito;Suuri hyttynen
Large zombie monkey;Suuri zombie-apina
Larran;Larran
Larrissa;Larrissa
Larry;Larry
Larxus;Larxus
Lasenna Rasputin;Lasenna Rasputin
Lathas;Lathas
Latlink Fastbell;Latlink Fastbell
Launa;Launa
Lauretta;Lauretta
Lava beast;Laava peto
Lava dragon;Laava lohikäärme
Layleen;Layleen
Lazim;Lazim
Lazy cat;Laiska kissa
Lazy hellcat;Laiska helvetinkissa
Le-sabrè;Le-sabrè
Lead Navigator;Päänavigaattori
Leagues Assistant;Liigan assistentti
Leagues Tutor;Liigan ohjaaja
Leatherworker;Nahkatyöläinen
Lector Gura;Lektori Gura
Leech;Iilimato
Leech display;Leech näyttö
Leela;Leela
Leenz;Leenz
Left head;Vasen pää
Legends guard;Legendojen vartija
Leke quo Keran;Leke quo Keran
Lenny;Lenny
Lensa;Lensa
Lenwe;Lenwe
Lenyig Karna;Lenyig Karna
Leo;Leo
Leon;Leon
Leon d'Cour;Leon d'Cour
Lesser Demon Champion;Pienen demonin mestari
Lesser Fanatic;Pieni fanaattinen
Lesser demon;Pieni demoni
Lesser ghostly thrall;Pienempi aavemainen jännitys
Lesser skeletal thrall;Pienempi luuranko
Lesser zombified thrall;Vähemmän zombisoitunutta jännitystä
Lev;Lev
Li'l lamb;Li' lammas
Liam;Liam
Librarian;Kirjastonhoitaja
Lidio;Lidio
Lieutenant Schepbur;Luutnantti Schepbur
Lieve McCracken;Lieve McCracken
Light creature;Kevyt olento
Lil' Bloat;Lil' Bloat
Lil' Creator;Lil' Luoja
Lil' Destructor;Lil' Destructor
Lil' Maiden;Lil' Maiden
Lil' Nylo;Lil' Nylo
Lil' Sot;Lil' Sot
Lil' Xarp;Lil' Xarp
Lil' Zik;Lil' Zik
Lilifang;Lilifang
Liliwen;Liliwen
Liliya;Lilija
Lillia;Lillia
Lilly;Lilly
Lindir;Lindir
Linen worker;Pellavatyöläinen
Lisa;Lisa
Lisse Isaakson;Lisse Isaakson
Litara;Litara
Lithil;Lithil
Little Nightmare;Pikku painajainen
Little Parasite;Pieni loinen
Lizard;Lisko
Lizard display;Liskon näyttö
Lizardman;Lizardman
Lizardman brute;Lizardman brute
Lizardman shaman;Lizardman shamaani
Lleidr Golau;Lleidr Golau
Lliann;Lliann
Llio;Llio
Loading crane;Lastausnosturi
Loar Shade;Loar Shade
Loar Shadow;Loar Shadow
Lobstrosity;Hummeri
Local;Paikallinen
Local Gnome;Paikallinen Gnome
Locust;Heinäsirkka
Locust rider;Heinäsirkan ratsastaja
Lofu;Lofu
Logava;Logava
Logios;Logis
Logosia;Logosia
Loinur;Loinur
Lokar Searunner;Lokar Searunner
Loki;Loki
Lokraa quo Sihar;Lokraa quo Sihar
Lollk;Lollk
Long-tailed Wyvern;Pitkähäntäinen Wyvern
Longbow Ben;Pitkäjousi Ben
Longhall Bouncer;Longhall Bouncer
Look-out;Varo
Looming shadow;Näyttävä varjo
Lord Alexei Jovkai;Lordi Aleksei Jovkai
Lord Baxtorian Cadarn;Lordi Baxtorian Cadarn
Lord Crombwick;Lordi Crombwick
Lord Daquarius;Lordi Daquarius
Lord Iestin Iorwerth;Lordi Iestin Iorwerth
Lord Ieuan Amlodd;Lordi Ieuan Amlodd
Lord Iorwerth;Lordi Iorwerth
Lord Kandur Hosidius;Lordi Kandur Hosidius
Lord Marshal Brogan;Lordi marsalkka Brogan
Lord Mischa Myrmel;Lordi Mischa Myrmel
Lord Pandur Hosidius;Lordi Pandur Hosidius
Lord Piquan Crwys;Lordi Piquan Crwys
Lord Rologarth;Lordi Rologarth
Lord Shiro Shayzien;Lordi Shiro Shayzien
Lord Trobin Arceuus;Lordi Trobin Arceuus
Lorelai;Lorelai
Lornor quo Narga;Lornor quo Narga
Lorraine;Lorraine
Lost barbarian;Kadonnut barbaari
Louie Legs;Louie Jalat
Louisa;Louisa
Lovada;Lovada
Lovakengj Engineer;Lovakengj insinööri
Love Cats;Rakasta Kissoja
Lowe;Lowe
Lowerniel Drakan;Lowerniel Drakan
Lubufu;Lubufu
Lucien;Lucien
Lucky impling;Onnekas impling
Lucy;Lucy
Lumberjack Leif;Metsämies Leif
Lumbridge Guide;Lumbridgen opas
Lumdo;Lumdo
Lumiere;Lumiere
Luminata;Luminata
Lumo;Lumo
Luna;Luna
Lundail;Lundail
Lunderwin;Lunderwin
Lurgon;Lurgon
Luscion;Luscion
Luthas;Luthas
Lutwidge;Lutwidge
Lux grub;Lux grub
Lynx;Ilves
Lynx Tamer;Lynx Tamer
Lyra;Lyra
Mac;Mac
Macaroni Penguin;Makaroni pingviini
Mad skavid;Hullu skavid
Madame Caldarium;Madame Caldarium
Maedhros;Maedhros
Maeglin;Maeglin
Mage (easy);Mage (helppo)
Mage of Zamorak;Zamorakin maagi
Magic Instructor;Taikuuden opettaja
Magic axe;Maaginen kirves
Magic combat tutor;Taikataisteluopettaja
Magnus Gram;Magnus mummi
Magpie impling;Harakka impling
Mahtan;Mahtan
Maid;Maid
Mairin;Mairin
Maisa;Maisa
Major Attack;Suuri hyökkäys
Major Collect;Major kerätä
Major Defend;Major Defend
Major Heal;Major Heal
Make-over mage;Make-over taikuri
Malak;Malak
Male slave;Miesorja
Malevolent Mage;Pahanlaatuinen Mage
Malignius Mortifer;Malignius Mortifer
Mallak quo Keran;Mallak quo Keran
Mama;Mama
Mamma Bufetta;Mamma Bufetta
Mammoth;Mammutti
Man;Mies
Mandrith;Mandrith
Mandy;Mandy
Maniacal Monkey Archer;Maniacal Monkey Archer
Maniacal monkey;Maniakaalinen apina
Manni the Reveller;Juhlailija Manni
Marble gargoyle;Marmorinen gargoyle
Marfet;Marfet
Maria Gadderanks;Maria Gadderanks
Maria Gunnars;Maria Gunnars
Mariah;Mariah
Marisi;Marisi
Marius;Marius
Marius Giste;Marius Giste
Mark;Mark
Market Guard;Markkinavartija
Market seller;Markkinoiden myyjä
Markog;Markog
Marley;Marley
Marlo;Marlo
Marmor quo Narga;Marmor quo Narga
Marten;Näätä
Martha Rehnison;Martha Rehnison
Martin Holt;Martin Holt
Martin Thwait;Martin Thwait
Martin the Master Gardener;Martin mestaripuutarhuri
Martina Scorsby;Martina Scorsby
Marwolaeth Dawnsio;Marwolaeth Dawnsio
Mary;Mary
Master Chef;Mestarikokki
Master Crafter;Mestari Crafter
Master Farmer;Mestari maanviljelijä
Master Navigator;Päänavigaattori
Master fisher;Mestari kalastaja
Master smithing tutor;Sepän mestariopettaja
Matilda;Matilda
Matthew;Matthew
Matthias;Matthias
Mattimeo;Mattimeo
Mawnis Burowgar;Mawnis Burowgar
Mawrth;Mawrth
Mayor Hobb;Pormestari Hobb
Maz;Maz
Mazchna;Mazchna
Maze Guardian;Maze Guardian
Mazion;Mazion
Me;Minulle
Me (hard);minä (kova)
Meddwl Ymlaen Llaw;Meddwl Ymlaen Llaw
Medium ninja monkey;Keskikokoinen ninja-apina
Meegle;Meegle
Megan;Megan
Meiyerditch citizen;Meiyerditchin kansalainen
Meiyerditch miner;Meiyerditch kaivosmies
Mekritus A'hara;Mekritus A'hara
Melana Moonlander;Melana Moonlander
Melee combat tutor;Lähitaistelun opettaja
Meleti;Meleti
Melina;Melina
Melvin;Melvin
Melzar the Mad;Melzar hullu
Memory of Seren;Serenin muisto
Menaphite Leader;Menafiittien johtaja
Menaphite Thug;Menaphite Thug
Menaphite guard;Menafiittinen vartija
Mercenary;Palkkasoturi
Mercenary Captain;Palkkasoturikapteeni
Mercy;Armo
Meredith;Meredith
Merlin;Merlin
Mernia;Mernia
Mernik;Mernik
Meskhenet;Meskhenet
Metarialus;Metarialus
Meteora;Meteora
Mi-Gor;Mi-Gor
Mia;Mia
Miala;Miala
Miazrqa;Miazrqa
Middle head;Keskipää
Midnight;Keskiyö
Mihail;Mihail
Mike;Mike
Miles;Mailia
Milla;Milla
Milli Rehnison;Milli Rehnison
Millie Miller;Millie Miller
Miltog;Miltog
Mime;Miimi
Mimm;Mimm
Mind Golem;Mieli Golem
Mine Cart;Minun kori
Mine cart;Minun kärry
Mine cart driver;Minun kärryn kuljettaja
Mine supervisor;Kaivoksen valvoja
Miner;Kaivosmies
Miner Magnus;Kaivosmies Magnus
Miniature chaotic clouds;Miniatyyri kaoottiset pilvet
Mining Instructor;Kaivoskouluttaja
Mining tutor;Kaivostoiminnan ohjaaja
Minotaur;Minotaurus
Miodvetnir;Miodvetnir
Miriam;Miriam
Miriel;Miriel
Mischievous ghost;Kurja haamu
Misdrievus Shadum;Misdrievus Shadum
Mishkal'un Dorn;Mishkal'un Dorn
Miss Cheevers;Neiti Cheevers
Miss Schism;Neiti Skisma
Mist;Sumu
Mistag;Mistag
Mithrellas;Mithrellas
Mithril dragon;Mithril lohikäärme
Mithril ore;Mitrilin malmi
Mittens;Rukkaset
Mizaru;Mizaru
Moe;Moe
Mofina;Mofina
Moggy;Katti
Mogre;Mogre
Mogre Guard;Mogren vartija
Mogrim;Mogrim
Molanisk;Molanisk
Moldof;Moldof
Mole display;Myyränäyttö
Molly;Molly
Monk;Munkki
Monk of Entrana;Entranan munkki
Monk of Zamorak;Zamorakin munkki
Monkey;Apina
Monkey Archer;Apina Archer
Monkey Child;Apinan lapsi
Monkey Guard;Apinavartija
Monkey Zombie;Apina Zombie
Monkey display;Apinan näyttö
Monkey guard;Apinan vartija
Monkey minder;Apinanhoitaja
Monkey on unicorn;Apina yksisarvisen päällä
Monstrous Basilisk;Hirviömäinen basiliski
Monstrous basilisk;Hirviömäinen basiliski
Mord Gunnars;Mord Gunnars
Mordan Nikazsi;Mordan Nikazsi
Morgan;Morgan
Morgan Le Faye;Morgan Le Faye
Mori;Mori
Morris;Morris
Mort Nightshade;Mort Nightshade
Mort'ton Local;Mort'tonin paikallinen
Mort'ton local;Mort'tonin paikallinen
Morten Holdstrom;Morten Holdstrom
Mortina Daubenton;Mortina Daubenton
Morvran;Morvran
Mosquito swarm;Hyttysparvi
Moss Giant;Moss jättiläinen
Moss Guardian;Moss Guardian
Moss Guardian (hard);Moss Guardian (kova)
Moss giant;Sammaleen jättiläinen
Most of a Zombie;Suurin osa zombista
Mother;Äiti
Mother Mallum;Äiti Mallum
Moths;Koit
Mountain Dwarf;Vuoristokääpiö
Mountain Goat;Vuorivuohi
Mountain Guide;Vuoristoopas
Mountain goat;Vuorivuohi
Mountain troll;Vuoripeikko
Mounted terrorbird gnome;Asennettu terrorbird gnome
Mounted terrorchick gnome;Asennettu terrorchick gnome
Mourner;Sureva
Mouse;Hiiri
Movario;Movario
Mr. Mordaut;Herra Mordaut
Ms. Hynn Terprett;Rouva Hynn Terprett
Mubariz;Mubariz
Mudskipper;Mudskipper
Mugger;Ryöstäjä
Mummy;Muumio
Mummy ashes;Äiti tuhkaa
Munty;Munty
Murcaily;Murcaily
Murfet;Murfet
Murky Matt (runes);Murky Matt (riimuja)
Murky Pat;Hämärä Pat
Murng bat;Murng lepakko
Murphy;Murphy
Muruwoi;Muruwoi
Museum guard;Museon vartija
Mushroom;Sieni
Mutant tarn;Mutantti tarn
Mutated Bloodveld;Mutoitunut Bloodveld
Muttadile;Muttadile
My Arm;Minun Käsi
Myndill;Myndill
Myre Blamish Snail;Myre Blamish Snail
Mysterious Adventurer;Salaperäinen seikkailija
Mysterious Figure;Salaperäinen hahmo
Mysterious Old Man;Salaperäinen vanha mies
Mysterious Stranger;Salaperäinen muukalainen
Mysterious Voice;Salaperäinen Ääni
Mysterious ghost;Salaperäinen haamu
Mystery figure;Mysteeri hahmo
Naghead;Naghead
Nail beast;Nail peto
Nakasa Jovkai;Nakasa Jovkai
Nardah Banker;Nardah pankkiiri
Nardok;Nardok
Narf;Narf
Natalidae Shadum;Natalidae Shadum
Nathifa;Nathifa
Natural Historian;Luonnonhistorioitsija
Natural historian;Luonnonhistorioitsija
Nature Spirit;Luonnon henki
Nature impling;Luonto vaikuttaa
Nazastarool (hard);Nazastarool (kova)
Nechryael;Nechryael
Nechryarch;Nechryarch
Necromancer;Necromancer
Necrovarus;Necrovarus
Ned;Ned
Neferti the Camel;Kameli Neferti
Neil;Neil
Neite;Ei
Nellas;Nellas
Nemishka;Nemishka
Nerdanel;Nerdanel
Nesty;Nesty
New Recruit Tony;Uusi värvätty Tony
Newtroost;Newtroost
Nezikchened;Nezikchened
Nezikchened (hard);Nezikchened (kova)
Nia;Nia
Nicholas;Nicholas
Nick;Nick
Nickolaus;Nickolaus
Nicoleta;Nicoleta
Nieve;Nieve
Nigel;Nigel
Night beast;Yön peto
Nikita;Nikita
Nikkie;Nikkie
Nikolai;Nikolai
Niles;Niles
Niloof;Niloof
Nimloth;Nimloth
Nimrodel;Nimrodel
Ninja impling;Ninja vihjailee
Nipper;Nipper
Nirrie;Nirrie
Nisha;Nisha
Nkuku;Nkuku
Noctillion Lugosi;Noctillion Lugosi
Noella;Noella
Nolar;Nolar
Nomad;Nomad
Noodle;Nuudeli
Noon;Keskipäivä
Nora T. Hagg;Nora T. Hagg
Noranna Tytanin;Noranna Tytanin
Norman;Norman
Not Bob;Ei Bob
Noterazzo;Noterazzo
Novice;Noviisi
Nuclear smoke devil;Ydinsavupaholainen
Nulodion;Nulodion
Numpty;Nuhjuinen
Nung;Nung
Nurmof;Nurmof
Nurse Boubou;Sairaanhoitaja Boubou
Nurse Emma Gentsy;Sairaanhoitaja Emma Gentsy
Nurse Inn'Juree;Sairaanhoitaja Inn'Juree
Nurse Sarah;Sairaanhoitaja Saara
Nurse Wooned;Sairaanhoitaja Wooned
Nylocas;Nylocas
Nylocas Athanatos;Nylocas Athanatos
Nylocas Hagios;Nylocas Hagios
Nylocas Ischyros;Nylocas Ischyros
Nylocas Matomenos;Nylocas Matomenos
Nylocas Prinkipas;Nylocas Prinkipas
Nylocas Queen;Nylocas Queen
Nylocas Toxobolos;Nylocas Toxobolos
Nylocas Vasilias;Nylocas Vasilias
Oaknock the Engineer;Oaknock the Engineer
Oath Lord D'rows;Oath Lord D'rows
Oathbreaker B'ats;Oathbreaker B'ats
Oathbreaker E'piws;Oathbreaker E'piws
Oathbreaker M'als;Valanmurtaja M'als
Obli;Obli
Obor;Obor
Observatory assistant;Observatorion assistentti
Observatory professor;Observatorion professori
Ocga;Ocga
Ochre Blamish Snail;Ocher Blamish Snail
Odd Mushroom;Outo Sieni
Odd Old Man;Outo Vanhus
Odd Stone;Outo Kivi
Odmar;Odmar
Odovacar;Odovacar
Odysseus;Odysseus
Og;Og
Ogre;Ogre
Ogre boat;Ogre vene
Ogre chieftain;Ogren päällikkö
Ogre guard;Ogren vartija
Ogre merchant;Ogren kauppias
Ogre shaman;Ogren shamaani
Ogre trader;Ogre kauppias
Ogress Shaman;Ogressin shamaani
Ogress Warrior;Ogress Warrior
Oipuis;Oipuis
Olaf Hradson;Olaf Hradson
Olaf the Bard;Olaf Bard
Olbertus;Olbertus
Old Man Ral;Vanha mies Ral
Old Man Yarlo;Vanha mies Yarlo
Old crone;Vanha kruunu
Old dwarf;Vanha kääpiö
Old man;Vanha mies
Oldak;Oldak
Olivia;Olivia
Ollie the Camel;Kameli Ollie
Olmlet;Olmlet
Omart;Omart
Oneiromancer;Oneiromancer
Oobapohk;Oobapohk
Oomlie bird;Oomlie lintu
Oozing barrier;Tihkuva este
Operator;Operaattori
Oracle;Oraakkeli
Orange salamander;Oranssi salamanteri
Ordan;Ordan
Ork;Ork
Orlando Smith;Orlando Smith
Oronwen;Oronwen
Oropher;Oropher
Orophin;Orophin
Orrvor quo Maten;Orrvor quo Maten
Osian;Osian
Osman;Osman
Ospak;Ospak
Osten;Osten
Osvald;Osvald
Oswald;Oswald
Oswallt;Oswallt
Othainian;Othainialainen
Other Half-Zombie;Muu Half-Zombie
Otherworldly being;Toisen maailman oleminen
Otto Godblessed;Otto Jumalan siunattu
Ouditor;Tarkastaja
Ouhai;Ouhai
Outlaw;Lainsuojaton
Overgrown cat;Liian kasvanut kissa
Overgrown hellcat;Ylikasvanut helvetinkissa
Owl;Pöllö
Oxi;Oxi
Oziach;Oziach
PKMaster0036;PKMaster0036
Padulah;Padulah
Pagida;Pagida
Painted One;Maalattu yksi
Paladin;Paladin
Palmer;Palmer
Pandur Hosidius;Pandur Hosidius
Panning guide;Panorointiopas
Parasite;Loinen
Parrot;Papukaija
Parrots;Papukaijat
Parroty Pete;Papukaija Pete
Party Pete;Juhla Pete
Passive Tar Monster;Passiivinen tervahirviö
Patchy;Hajanainen
Patrick;Patrick
Patrolman;partiomies
Patrolwoman;Partionainen
Pauline Polaris;Pauline Polaris
Peaceful barbarian spirit;Rauhallinen barbaarihenki
Peasant;Talonpoika
Pebble;Kivi
Pee Hat;Pissahattu
Peer the Seer;Katso näkijää
Peksa;Peksa
Pelican;Pelikaani
Penance Fighter;Penance Fighter
Penance Healer;Katumuksen parantaja
Penance Pet;Penance Pet
Penance Queen;Katumuksen kuningatar
Penance Ranger;Penance Ranger
Penance Runner;Penance Runner
Penda;Penda
Penguin;Pingviini
Penguin display;Pingviinien näyttö
Penguin suit;Pingviinien puku
Pennant;Viiri
Pentyn;Pentyn
Penwie;Penwie
Perdu;Perdu
Perfect gold ore;Täydellinen kultamalmi
Perrdur;Perrdur
Perry;Perry
Pescaling Pax;Pescaling Pax
Pestilent Bloat;Pestilent Bloat
Pet rock;Lemmikkikivi
Peter;Peter
Petra Fiyed;Petra Fiyed
Petrified Pete;Kivettynyt Pete
Phabelle Bile;Phabelle Bile
Phantom Hand;Phantom käsi
Phantuwti Fanstuwi Farsight;Phantuwti Fanstuwi Farsight
Pheasant;Fasaani
Phials;Pullot
Phileas Rimor;Phileas Rimor
Philipe Carnillean;Philipe Carnillean
Phillipa;Phillipa
Philop;Philop
Phingspet;Phingspet
Phluxia bat;Phluxia lepakko
Phoenix;Phoenix
Phosani's Nightmare;Phosanin painajainen
Phrin Shade;Phrin Shade
Phrin Shadow;Phrin varjo
Pierre;Pierre
Pieve;Pieve
Pig;Sika
Pig Thing;Possujuttu
Piglet;Porsas
Pile of bones;Kasa luita
Piles;Paalut
Pilg;Pilg
Piliar;Piliar
Pillory Guard;Pillerivartija
Ping;Ping
Pipistrelle Draynar;Pipistrelle Draynar
Pirate;Merirosvo
Pirate Guard;Merirosvovartija
Pirate Jackie the Fruit;Merirosvo Jackie the Fruit
Pirate Pete;Piraatti Pete
Pit Scorpion;Pit Scorpion
Pizazz Hat;Pizazz-hattu
Plague cow;Rutto lehmä
Plague frog;Rutto sammakko
Poison Salesman;Myrkkyjen myyjä
Poison Scorpion;Poison Scorpion
Poison spider;Myrkkyhämähäkki
Polar eagle;Jääkotka
Polmafi Ferdygris;Polmafi Ferdygris
Poltenip;Poltenip
Pong;Pong
Pontak;Pontak
Ponts the Bridgemaster;Ponts the Bridgemaster
Poor looking man;Huono näköinen mies
Poor looking woman;Huono näköinen nainen
Porazdir;Porazdir
Port Official;Sataman virkamies
Port worker;Sataman työntekijä
Portal;Portaali
Portal of Death;Kuoleman portaali
Portobello;Portobello
Possessed Priest;Valtuutettu pappi
Possessed pickaxe;Omistanut hakku
Postie Pete;Posti Pete
Pox;Pox
Prael bat;Prael lepakko
Praistan Ebola;Praistan Ebola
Prayer tutor;Rukousopettaja
Preswylwyr Dall;Preswylwyr Dall
Prickly kebbit;Piikikäs kebbit
Priest;Pappi
Priestess Zul-Gwenwynig;Pappitar Zul-Gwenwynig
Prifddinas guard;Prifddinas vartija
Primula;Primula
Prince Ali;Prinssi Ali
Prince Black Dragon;Prinssi musta lohikäärme
Prince Brand;Prinssi Brand
Princess Astrid;Prinsessa Astrid
Prison Pete;Vankila Pete
Prisoner;Vanki
Prissy Scilla;Prissy Scilla
Private Paldo;Yksityinen Paldo
Private Paldon;Yksityinen Paldon
Private Pendron;Yksityinen Pendron
Private Pierreb;Yksityinen Pierreb
Probita;Probita
Professor Gracklebone;Professori Gracklebone
Professor Imblewyn;Professori Imblewyn
Professor Manglethorp;Professori Manglethorp
Professor Oddenstein;Professori Oddenstein
Professor Onglewip;Professori Onglewip
Prosecutor;Syyttäjä
Prospector Percy;Etsijä Percy
Protest Leader;Protestin johtaja
Protester;Mielenosoittaja
Psykk bat;Psykk bat
Puffer Fish;Puffer Fish
Puffin;Lunni
Pumpy;Pumpuinen
Puppadile;Puppadile
Purepker895;Purepker895
Purple Pewter Director;Purple Pewterin johtaja
Purple Pewter Secretary;Purple Pewter sihteeri
Pusskins;Pusskins
Pyramid block;Pyramidi lohko
Pyrefiend;Pyrefiend
Pyrelord;Pyrelord
Pyromancer;Pyromancer
Quartermaster;Varsinainen mestari
Queen Ellamaria;Kuningatar Ellamaria
Queen Sigrid;Kuningatar Sigrid
Queen Zyanyi Arkan;Kuningatar Zyanyi Arkan
Queen spawn;Queen spawn
Quest Guide;Seikkailuopas
Quiz Master;Tietokilpailun mestari
Qutiedoll;Quitiedoll
R4ng3rNo0b889;R4ng3rNo0b889
Rabbit;Kani
Raccoon;Pesukarhu
Rachael;Rachael
Radat;Radat
Radigad Ponfit;Radigad Ponfit
Radimus Erkle;Radimus Erkle
Radu;Radu
Raeli;Raeli
Raetul;Raetul
Ragnar;Ragnar
Ragnvald;Ragnvald
Rakkar;Rakkar
Ram;Ram
Ramara du Croissant;Ramara du Croissant
Ramarno;Ramarno
Ramocean;Ramosealainen
Ranael;Ranael
Ranalph Devere;Ranalph Devere
Randivor;Randivor
Ranged combat tutor;Kantaman taisteluohjaaja
Ranger;Ranger
Ranger (medium);Ranger (keskikokoinen)
Ranging Guild Doorman;Range Guild Doorman
Ranis Drakan;Ranis Drakan
Rannveig;Rannveig
Rantz;Rantz
Raqueel;Raqueel
Rashiliyia;Rashiliyia
Rasolo;Rasolo
Rassain;Rassain
Rat;Rotta
Rat Burgiss;Rotta Burgiss
Rauborn;Rauborn
Raulyn;Raulyn
Raum Urda-Stein;Raum Urda-Stein
Ravager;Ravager
Raven;Korppi
Razmire Keelgan;Razmire Keelgan
Razvan;Razvan
Reach;Tavoita
Reacher;Reacher
Reanimated TzHaar;Reanimoitu TzHaar
Reanimated abyssal;Reanimoitu kuilu
Reanimated aviansie;Reanimoitu lintu
Reanimated bear;Reanimoitu karhu
Reanimated bloodveld;Reanimoitu verisuoni
Reanimated chaos druid;Elvytetty kaaosdruidi
Reanimated dagannoth;Reanimoitu dagannoth
Reanimated demon;Reanimoitu demoni
Reanimated demon spawn;Elvytetty demonien kuteminen
Reanimated dog;Reanimoitu koira
Reanimated dragon;Elvytetty lohikäärme
Reanimated elf;Reanimoitu tonttu
Reanimated giant;Reanimoitu jättiläinen
Reanimated goblin;Reanimoitu peikko
Reanimated horror;Reanimoitu kauhu
Reanimated imp;Reanimoitu imp
Reanimated kalphite;Reanimoitu kalfiitti
Reanimated minotaur;Reanimoitu minotaurus
Reanimated monkey;Reanimoitu apina
Reanimated ogre;Elvytetty ogre
Reanimated scorpion;Elvytetty skorpioni
Reanimated troll;Reanimoitu trolli
Reanimated unicorn;Reanimoitu yksisarvinen
Rebel Archer;Kapinallinen Archer
Rebel Scout;Kapinallinen Scout
Rebel Warrior;Kapinallissoturi
Recruiter;Rekrytoija
Red;Punainen
Red Axe Cat;Punainen kirves kissa
Red Axe Director;Red Axe johtaja
Red Axe Henchman;Punainen kirves kätyrimies
Red Axe Secretary;Punaisen kirvesen sihteeri
Red Monkey;Punainen apina
Red Panda;Punainen Panda
Red Sheep;Punainen lammas
Red dragon;Punainen lohikäärme
Red fireflies;Punaiset tulikärpäset
Red salamander;Punainen salamanteri
Redbeard Frank;Punaparta Frank
Reese;Reese
Reeso;Reeso
Ref;Viite
Refugee;pakolainen
Regath;Regath
Reginald;Reginald
Reinald;Reinald
Reinn;Reinn
Reldak;Reldak
Reldo;Reldo
Relobo Blinyo (logs);Relobo Blinyo (tukit)
Remsai;Remsai
Remus Kaninus;Remus Kaninus
Renegade Knight;Renegade ritari
Renegade knight;Renegade ritari
Repugnant spectre;vastenmielinen haamu
Researcher;Tutkija
Reshi;Reshi
Resistance Fighter;Vastarintataistelija
Respiratory system;Hengitysjärjestelmä
Restless ghost;Levoton aave
Retired sailor;Eläkkeellä oleva merimies
Revenant cyclops;Revenant kykloopit
Revenant dark beast;Revenant tumma peto
Revenant demon;Revenant demoni
Revenant dragon;Revenant lohikäärme
Revenant goblin;Revenant goblin
Revenant hellhound;Revenant helvetinkoira
Revenant hobgoblin;Revenant Hobgoblin
Revenant imp;Revenant imp
Revenant knight;Revenant ritari
Revenant ork;Revenant ork
Revenant pyrefiend;Revenant Pyrefiend
Rewards Guardian;Palkkiot Guardian
Rhazien;Rhazien
Rhiannon;Rhiannon
Rhoddwr Tan;Rhoddwr Tan
Rhonen;Rhonen
Rhyfel;Rhyfel
Richard;Richard
Richard Flintmaul;Richard Flintmaul
Rick;Rick
Rick Turpentine;Rick Terpentine
Ricketty door;Ricketty ovi
Rift guardian;Rift vartija
Right head;Oikea pää
Riki the sculptor's model;Kuvanveistäjä Riki -malli
Rimae Sirsalis;Rimae Sirsalis
Rind the gardener;Kuori puutarhuri
Rionasta;Rionasta
River troll;Jokipeikko
Riyl Shade;Riyl Shade
Riyl Shadow;Riyl Shadow
Riyl shadow;Riyl varjo
