A Goblin standard;Goblin-standardi
Grotesque Guardians' display;Groteski Guardiansin näyttö
Hammers;Vasarat
Hank (very sick);Hank (erittäin sairas)
Hardwood Grove Doors;Hardwood Grove Ovet
Hardy goutweed;Hardy goutweed
Haystack;Heinäsuovasta
Hidden Statue;Piilotettu patsas
Hill;Hill
Hammer;Vasara
Hank (Well);Hank (No)
Guitar;Kitara
Hanging dye;Riippuva väriaine
Grotto tree;Grotto puu
Hard rock;Kovaa rockia
Hay bale;Heinäpaali
Headless statue;Päätön patsas
Heater;Lämmitin
Hollowed rock;Ontto kivi
Hoop Snake;Hoop Snake
Hutch;Häkki
Iban's Throne;Ibanin valtaistuin
Ice Light;Jäävalo
Ice crystal;Jääkristalli
Icon of Zamorak;Zamorakin ikoni
Imposing Doors;Näyttävät ovet
Incinerator;Polttolaitos
Hoisted sail;Nostettu purje
Hole in wall;Reikä seinässä
Huge Gate;Valtava portti
Icon of Gnome Child;Tonttulapsen ikoni
Hobgoblin;Peikko
Hole;Reikä
Hole in the wall;Reikä seinässä
Hollow Log;Ontto Log
Howling Snow Storm;Ulvova lumimyrsky
Ice ledge;Jääreuna
Icosahedron Pile;Ikosaedrin kasa
Illuminated Symbol;Valaistu symboli
Inconspicuous bush (hard);Huomaamaton pensas (kova)
Inconspicuous hole (elite);Huomaamaton reikä (eliitti)
Inconspicuous hole (master);Huomaamaton reikä (mestari)
Inconspicuous hole (medium);Huomaamaton reikä (keskikokoinen)
Infernal chart;Helvetin kaavio
Holy barrier;Pyhä este
Ice steps;Jääportaat
Icy rocks;Jäiset kivet
Inconspicuous crate (easy);Huomaamaton laatikko (helppo)
Inconspicuous hole (hard);Huomaamaton reikä (kova)
Inconspicuous rocks (elite);Huomaamattomat kivet (eliitti)
Hull;Hull
Ice chunks;Jääpalat
Ice storm;Jäämyrsky
Icon of Bob;Bobin ikoni
Inconspicuous crate (master);Huomaamaton laatikko (mestari)
Inconspicuous rocks (easy);Huomaamattomat kivet (helppo)
Hurdle;Este
Iasor plant;Iasorin kasvi
Ice covered boulder;Jään peittämä lohkare
Igloo;Iglu
Inconspicuous bush (easy);Huomaamaton pensas (helppo)
Inconspicuous bush (elite);Huomaamaton pensas (eliitti)
Inconspicuous crate (hard);Huomaamaton laatikko (kova)
Inconspicuous rocks (master);Huomaamattomat kivet (mestari)
History;Historia
Hot vent door;Kuuma tuuletusovi
Huge vat;Valtava alv
Icicle;Jääpuikko
Incomplete map;Epätäydellinen kartta
Inconspicuous bush (beginner);Huomaamaton pensas (aloittelija)
Inconspicuous rocks (medium);Huomaamattomat kivet (keskikokoiset)
Hopper;Hopper
Ice blockage;Jäätukos
Ice bridge;Jää silta
Icthlarin's statue;Icthlarinin patsas
Holding area;Pitoalue
Hollow log;Ontto hirsi
Holy Barrier;Pyhä este
Hosidius statue;Hosidius-patsas
Hot Coals;Kuumia hiiliä
House Advertisement;Talon mainos
Ice;Jäätä
Icy rock;Jäinen kivi
Inconspicuous hole (easy);Huomaamaton reikä (helppo)
Inconspicuous rocks (hard);Huomaamattomat kivet (kovat)
Hope bridge;Toivon silta
Hops Patch;Humala Patch
Hospital shelves;Sairaalan hyllyt
Huge plant;Valtava kasvi
Ice Column;Jääpylväs
Ice Troll King;Jääpeikkokuningas
Incense burner;Suitsukepoltin
Hollow tree;Ontto puu
Horn of Death;Kuoleman sarvi
Icon of Saradomin;Saradominin ikoni
Icy Cavern;Jäinen luola
Inconspicuous bush (medium);Huomaamaton pensas (keskikokoinen)
Huge Spider;Valtava Hämähäkki
Icon space;Ikoni avaruus
Inactive Symbol;Ei-aktiivinen symboli
Huge Mushroom;Valtava Sieni
Hurt fairy;Loukkaantunut keiju
Icon of Guthix;Guthixin ikoni
Inconspicuous crate (medium);Huomaamaton laatikko (keskikokoinen)
Incubation chamber;Inkubointikammio
Horn of glory;Kirkkauden sarvi
Icyene Statue;Icyenen patsas
Inconspicuous bush (master);Huomaamaton pensas (mestari)
Human Flag;Ihmisen lippu
Ice cube;Jääpala
Icicles;Jääpuikkoja
Inanimate Altar;Eloton alttari
Hook briar;Koukku briar
Hopper controls;Suppilon ohjaimet
Ice Throne;Jäävaltaistuin
Ice gate;Jääportti
Inconspicuous crate (elite);Huomaamaton laatikko (eliitti)
Incubator;Hautomo
Iron Winch;Rautainen vinssi
Kebab;Kebab
Kelda Hops;Kelda Humala
Kitchen Drawers;Keittiön laatikot
Lab table;Laboratoriopöytä
Lalli's Stew;Lallin muhennos
Ithell Banner;Ithell Banner
Jangerberry bush;Jangermarjan pensas
Javelin;Keihäs
Junction box;Kytkentälaatikko
Karamja painting;Karamja maalaus
Key;Avain
Kitchen gate;Keittiön portti
Jail Door;Vankilan ovi
Jungle Grass;Viidakon ruoho
Jungle Tree;Viidakkopuu
Kourend map display case;Kourend karttavitriinit
Lamp;Lamppu
Intermediate Flag;Väliaikainen lippu
Item Chest;Tuote Rinta
Kalphite Queen Topiary;Kalphite Queen Topiary
Jacky Jester;Jacky Jester
Jewellery stall;Korukioski
Kalphite Queen display;Kalphite Queen -näyttö
Kharyrll Portal;Kharyrll-portaali
King Arthur;Kuningas Arthur
Kronos plant;Kronoksen kasvi
Kurask head;Kuraskin pää
Ladder;Tikapuut
Ladder space;Tikkaat tilaa
Jagged wall;rosoinen seinä
Jenkins;Jenkins
Jolly Roger;Iloinen Roger
Jungle Tree Stump;Viidakon kanto
Junk;Roskaa
Kettle;Vedenkeitin
Kharidian cactus (Healthy);Kharidian kaktus (terveellinen)
Kitchen cabinet;Keittiön kaappi
Lamppost;Lyhtypylväs
Ivory table;Norsunluupöytä
Juna;Juna
Jutting wall;Koskettava seinä
Kalphite Soldier;Kalphite sotilas
Kelp;Rakkolevä
Kharidian cactus (Dry);Kharidian kaktus (kuiva)
Lab tube;Laboratorioputki
Lancalliums;Lancalliums
Landscape space;Maisematilaa
Keg;tynnyri
Keyhole;Avaimenreikä
Lamp space;Lampputila
Isafdar painting;Isafdar maalaus
Jungle Flower;Viidakon kukka
KQ head;KQ pää
Kelda Hops Patch;Kelda Hops Patch
Knight;Ritari
Kraken display;Krakenin näyttö
Information;Tiedot
Iron railings;Rautaiset kaiteet
Ironman & Ultimate Ironwoman;Ironman & Ultimate Ironwoman
Jungle plant;Viidakon kasvi
Justiciar armour;Justician panssari
Krandorian Hops;Krandorian humala
Lamp still;Lamppu edelleen
Information booth;Tietokoppi
Insurance stall;Vakuutuskoju
Kourend sigil;Kourend merkki
Lamp oil still;Lamppuöljy edelleen
Lamp stall;Lampun pysähdys
Jewellery box space;Korulaatikon tila
KBD heads;KBD päät
Kalphite queen legs;Kalphite kuningatar jalat
Kennith's ball;Kennithin pallo
Kings' ladder;Kuninkaiden tikkaat
Kite shield;Leijan suoja
Knight Statue;Ritarin patsas
Kourend Portal;Kourend portaali
Ladder top;Tikkaiden yläosa
Injured fairy;Loukkaantunut keiju
Iorwerth Banner;Iorwerth Banner
Iron ladder;Rautatikkaat
Kaleef's body;Kaleefin ruumis
Information scroll;Tietorulla
Jungle Plant;Viidakon kasvi
Kitchen table;Keittiön pöytä
Kraken Topiary;Kraken Topiary
Lander hatch;Lander-luukku
Juliet;Julia
Jungle Bush;Viidakkopensas
Justiciar Statue;Tuomari-patsas
Jute;Juutti
Kalphite Queen;Kalphiten kuningatar
Lander boat;Lander vene
Information Scroll;Tietorulla
Interdimensional rift;Moniulotteinen repeämä
Interrogation chair;Kuulustelu tuoli
Jungle Palm;Viidakon palmu
Jungle flower;Viidakon kukka
Kelda Stout;Kelda Stout
Landscape;Maisema
Large rock;Iso kivi
Leafy Palm Tree;Lehtinen palmu
Lever B;Vipu B
Lifelilly;Lifelilly
Limestone fireplace;Kalkkikivitakka
Large Barrel;Iso tynnyri
Lava;Laava
Lava forge;Laava takomo
Lizardman corpse;Lizardmanin ruumis
Lizardman eggs;Lizardman munat
Large grave;Suuri hauta
Lathe;Sorvi
Lift;Hissi
Linum Tirinum (Depleted);Linum Tirinum (tyhjentynyt)
Large Rock;Suuri kivi
Large grave stone;Suuri hautakivi
Lazim's statue;Lazimin patsas
Large Geyser;Suuri geysiri
Large open cupboard;Suuri avoin kaappi
Larran's big chest;Larranin iso rinta
Letter;Kirje
Life buoy;Pelastusrengas
Lifeless Matter;Eloton aine
Light Jungle;Kevyt viidakko
Large Fossil Support;Suuri fossiilinen tuki
Laundry Basket;Pyykkikori
League Accomplishment Scroll;Liigan saavutusrulla
Lift Platform;Nostolava
Large Table;Suuri pöytä
Large boulder;Iso lohkare
Large cupboard;Suuri kaappi
Leaflet;Esite
Leaves;Lehdet
Lever C;Vipu C
Lava trough;Laava-astia
Lantern;Lyhty
Large doors;Suuret ovet
Large hole;Iso reikä
Large orrery;Suuri orrery
Large table;Iso pöytä
Law rift;Lakiero
Leather shields;Nahkaiset suojat
Leviathan;Leviatan
Lift Engine;Nosta moottori
Large crystals;Isoja kristalleja
Large urn;Suuri uurna
Lever space;Viputila
Levers;Vivut
Larder;Ruokakaappi
Large Display;Suuri näyttö
Large oven;Suuri uuni
Large sewer pipe;Iso viemäriputki
Large storage unit;Suuri säilytysyksikkö
Lightning conductor;Ukkosenjohdatin
Linum Tirinum;Linum Tirinum
Little boulder;Pieni lohkare
Leaflets;Esitteitä
League statue;Liigan patsas
Lectern space;Puhujan tila
Ledge;Ledge
Left side of a fireplace;Takan vasen puoli
Lever;Vipu
Lever D;Vipu D
Light;Kevyt
Light door;Kevyt ovi
Lighting mechanism;Valaistusmekanismi
Large Crystal;Suuri kristalli
Large geyser;Iso geysir
League Firsts Board;Liigan ykköslautakunta
Leak;Vuotaa
Leftovers;Ylijäämät
Legends Guild door;Legends Guildin ovi
Lighting space;Valaistustila
Large door;Suuri ovi
Large fountain;Suuri suihkulähde
Large vase;Suuri maljakko
Large-leaf Plant;Suurilehtinen kasvi
Lava crater;Laavan kraatteri
Lectern;Puhujan puhuja
Limpwurt plant;Limpwurt kasvi
Little crack;Pieni halkeama
Large Boulder;Iso Boulder
Large Fossil Display;Suuri fossiilinen näyttö
Large bone;Suuri luu
Large cave;Suuri luola
Large stalagmite;Suuri stalagmiitti
Larran's small chest;Larranin pieni rintakehä
Lava Monster;Laava hirviö
Lava gap;Laava-aukko
Leafy tree;Lehtinen puu
Lever A;Vipu A
Larder space;Suurempi tila
Large Cage;Suuri häkki
Lever E;Vipu E
Lever F;Vipu F
Lever bracket;Vivun kannatin
Lightning;Salama
Lion Statue;Leijona patsas
Little tent;Pieni teltta
Lizard dwelling;Liskojen asunto
Locked gate;Lukittu portti
Log Store;Hirsikauppa
Magic Mirror;Maaginen peili
Magical symbol;Maaginen symboli
Lumpy rug;Möykkyinen matto
Magic guild door;Taikakiltan ovi
Mahogany chest;Mahoninen rintakehä
Mahogany wall decoration;Mahoninen seinäkoristelu
Lobstrosity;Hummeri
Low wall;Matala seinä
Machine;Kone
Magenta Crystal;Magenta kristalli
Magic cape rack;Maaginen viittateline
Magic chest;Maaginen rintakehä
Magic spell;Maaginen loitsu
Magic wardrobe;Maaginen vaatekaappi
Mahogany;Mahonki
Locked Ogre chest;Lukittu Ogre-rintakehä
Log balance;Lokin saldo
Long branched tree;Pitkä haarautunut puu
Magic Mushtree;Magic Mushtree
Magic Portal;Maaginen portaali
Magic wardrobe space;Maaginen vaatekaappitila
Magical Barrier;Maaginen este
Locked chest;Lukittu rintakehä
Locked door;Lukittu ovi
Log raft;Hirsilautta
Lure cave;Viehe luola
Magic Stall;Magic Stall
Magic birdhouse;Maaginen lintumaja
Magic birdhouse (empty);Maaginen lintumaja (tyhjä)
Magic tree;Maaginen puu
Mahogany cape rack;Mahoninen viittateline
Mahogany sapling;Mahonkin taimi
Lizardman lair;Lizardmanin luola
Logavano plant;Logavanon kasvi
Loose panel;Löysä paneeli
Magic Tree Stump;Taikapuun kanto
Logs;Lokit
Lunar Altar;Kuun alttari
Lunar Isle Portal;Lunar Isle -portaali
Lunar globe;Kuun maapallo
Magic Gate;Maaginen portti
Magic box;Taikalaatikko
Magical wheat;Maaginen vehnä
Mahogany house;Mahonkitalo
Machine panel;Koneen paneeli
Magic ball;Maaginen pallo
Magic box failed;Taikalaatikko epäonnistui
Magic table;Maaginen pöytä
Magical pumpkin;Maaginen kurpitsa
Mahogany table;Mahoninen pöytä
Mahogany tree;Mahonkipuu
Mahogany trophy case;Mahonki palkintokotelo
Loose Mud;Irtonaista mutaa
Loose rocks;Irrallisia kiviä
Lumbridge painting;Lumbridgen maalaus
Magic wheat;Maaginen vehnä
Magical Fire;Maaginen tuli
Magical Obelisk;Maaginen obeliski
Magical shield;Maaginen kilpi
Loader;Loader
Magic door;Maaginen ovi
Mahogany Wardrobe;Mahoninen vaatekaappi
Mahogany birdhouse;Mahoninen lintumaja
Mahogany feeder;Mahoninen syöttölaite
Log pile;Hirsipino
Lumbridge Portal;Lumbridgen portaali
Mahogany outfit stand;Mahoninen asusteline
Log storage;Tukkivarasto
Long grass;Pitkä ruoho
Lovakengj statue;Lovakengj-patsas
Machinery;Koneet
Magenta crystal;Magenta kristalli
Magic circle;Maaginen ympyrä
Magical fire;Maaginen tuli
Lovakite furnace;Lovakite-uuni
Low fence;Matala aita
Magic well;Magic hyvin
Mahogany bench;Mahoninen penkki
Lizardman head;Lizardmanin pää
Lock;Lukko
Longhall door;Longhall ovi
Loose Railing;Löysä kaide
Magic Tree;Taikapuu
Magical Animator;Maaginen animaattori
Mahogany Adventure Log;Mahoninen seikkailuloki
Mahogany prize chest;Mahonki palkintoarkku
Mahogany scratching post;Mahoninen raapimistolppa
Long planks;Pitkät lankut
Loom;Kangaspuut
Magenta door;Magenta ovi
Mahogany tree stump;Mahonkipuun kanto
Locker;Kaappi
Lockers;Kaapit
Logavano seedling;Logavanon taimi
Lumbridge Guide;Lumbridgen opas
Magic barrier;Maaginen este
Magical Chest;Maaginen rinta
Mahogany birdhouse (empty);Mahonki lintumaja (tyhjä)
Map space;Karttatila
Master clue scroll display;Master clue vieritysnäyttö
Mature Asgarnian Ale;Aikuinen Asgarnian Ale
Medivaemia root;Medivaemian juuri
Mirror;Peili
Mithril door;Mithril ovi
Mole hill;Myyrämäki
Monkey Madness 2 display;Monkey Madness 2 -näyttö
Mature Cider;Kypsä siideri
Mature juniper tree;Aikuinen katajapuu
Mausoleum door;Mausoleumin ovi
Melting Pot;Sulatusuuni
Mill;Mill
Man trap;Mies ansa
Mangle;Mankeli
Meilyr Banner;Meilyr Banner
Metal door;Metallinen ovi
Mine cart sign;Minun kärrymerkki
Map table;Karttataulukko
Massive ribs;Massiiviset kylkiluut
Meat tree;Lihapuu
Mine cave;Minun luola
Mandibular Maximus;Mandibulaarinen Maximus
Marble trap;Marmori ansa
Marshy jungle vine;Suoinen viidakon viiniköynnös
Marv (ghastly!);Marv (kammottavaa!)
Medpack Box;Medpack Box
Milk Urns;Maito Urnit
Minecart;Minecart
Man hidden;Mies piilossa
Marble bench;Marmori penkki
Mark of Darkness;Pimeyden merkki
Marker;Merkki
Market Stall;Market Stall
Marv (Well);Marv (No)
Medical table;Lääketieteellinen pöytä
Metal;Metalli
Mine cart;Minun kärry
Molanisk;Molanisk
Marble hidden;Marmori piilossa
Mausoleum Door;Mausoleumin ovi
Metal pieces;Metalliosat
Millstones;Myllynkivet
Mine Cart;Minun kori
Making Friends with My Arm display;Ystävien saaminen My Arm -näytöllä
Manhole;Kaivo
Maple birdhouse;Vaahtera lintumaja
Massive storage unit;Massiivinen säilytysyksikkö
Mature Wizards Mind Bomb;Mature Wizards Mind Bomb
Medium Boulder;Keskikokoinen lohkare
Mercenary;Palkkasoturi
Merfolk Skeleton;Merfolk Skeleton
Map;Kartta
Marble adventure log;Marmorinen seikkailulokki
Marble fireplace;Marmoritakka
Marim Portal;Marim-portaali
Medium fence;Keskikokoinen aita
Mature Dragon Bitter;Aikuinen Dragon Bitter
Medium storage unit;Keskikokoinen säilytysyksikkö
Metal bird;Metallilintu
Metal stand;Metallinen teline
Marigold;Kehäkukka
Marv (sick);Marv (sairas)
Mast;Masto
Medium Jungle;Keskikokoinen viidakko
Money Pot;Rahapotti
Market stall;Markkinatalo
Mature Chef's Delight;Aikuisen kokin herkku
Meat table;Lihapöytä
Medium Fossil Display;Keskikokoinen fossiilinen näyttö
Memoriam Device;Memoriam-laite
Mighty torrent;Voimakas torrent
Mind Altar Portal;Mind Altar -portaali
Maple Tree;Vaahterapuu
Maple birdhouse (empty);Vaahtera lintumaja (tyhjä)
Marble wall;Marmori seinä
Mark of Power;Voiman merkki
Marv (very sick);Marv (erittäin sairas)
Mature Moonlight Mead;Aikuinen Moonlight Mead
Mind Door;Mielen ovi
Mannequin;Mannekiini
Marigolds;Marigolds
Mature Axeman's Folly;Kypsän Axeman's Folly
Memorial;Muistomerkki
Metal gate;Metalli portti
Mine door;Minun ovi
Mithril armour;Mithril panssari
Marble cape rack;Marmorinen viittateline
Marked wall;Merkitty seinä
Mature Dwarven Stout;Aikuinen Dwarven Stout
Mausoleum;Mausoleumi
Metal ladder;Metalliset tikkaat
Mind rift;Mielen repeämä
Manhole cover;Kaivon kansi
Maple tree;Vaahterapuu
Mature Greenmans Ale;Aikuinen Greenmans Ale
Mature Slayer's Respite;Mature Slayer's Respite
Metal Press;Metallipuristin
Mine door entrance;Minun oven sisäänkäynti
Mineral vein;Mineraali suoni
Mounted Firemaking Cape;Asennettu Firemaking Cape
Mounted Music Cape;Asennettu Music Cape
Mounted Slayer Cape (t);Asennettu Slayer Cape (t)
Mounted Xeric's Warrior;Asennettu Xeric's Warrior
Monkey bars;Apinabaarit
Moonlight Mead;Moonlight Mead
Mossy rock;Sammaleinen kivi
Mound of earth;Maan kasa
Mounted Achievement Diary Cape;Asennettu saavutuspäiväkirjaviitta
Mounted Crafting Cape;Asennettu Crafting Cape
Mounted Herblore Cape;Asennettu Herblore-niemi
Mounted Hitpoints Cape;Asennettu Hitpoints Cape
Mounted Hunting Cape;Kiinnitetty metsästysniemi
Mounted Runecrafting Cape;Asennettu Runecrafting-viitta
Mounted Smithing Cape;Kiinnitetty Smithing Cape
Mounted swordfish;Asennettu miekkakala
Mud;Muta
Mounted Agility Cape (t);Asennettu Agility-viitta (t)
Mud mound;Mutakammua
Mud patch;Mutalappu
Morytania painting;Morytanian maalaus
Mounted Head Space;Asennettu päätila
Mounted Prayer Cape (t);Asennettu rukousviitta (t)
Mounted Xeric's Guard;Asennettu Xeric's Guard
Mounted Hunting Cape (t);Kiinnitetty metsästysniemi (t)
Mounted Infernal Cape;Kiinnitetty Infernal Cape
Mounted Magic Cape (t);Asennettu Magic Cape (t)
Mouse hole;Hiiren reikä
Mud pit;Mutakuoppa
Mushroom;Sieni
Mounted Attack Cape (t);Asennettu hyökkäyspää (t)
Mounted Defence Cape;Kiinnitetty puolustusniemi
Mounted Fletching Cape;Asennettu Fletching Cape
Mounted Runecrafting Cape (t);Asennettu Runecrafting-viitta (t)
Mounted Slayer Cape;Asennettu Slayer Cape
Monkey trap;Apinan ansa
Mounted Coins;Asennetut kolikot
Mounted Cooking Cape;Asennettu Cooking Cape
Mounted Fire Cape;Asennettu Fire Cape
Mounted Fishing Cape;Kiinnitetty kalastusniemi
Mounted Woodcutting Cape;Asennettu puunleikkausviitta
Muddy patch;Mutainen paikka
Mudpile;Mutakasa
Mummy;Muumio
Mushroo;Mushroo
Mounted Firemaking Cape (t);Asennettu Firemaking Cape (t)
Mounted Fishing Cape (t);Kiinnitetty kalastusniemi (t)
Mounted Xeric's Champion;Asennettu Xeric's Champion
Mushtoise;Mushtoise
Monkeybars;Monkeybars
Moths;Koit
Mounted Agility Cape;Asennettu Agility-viitta
Mounted Cooking Cape (t);Asennettu keittoviitta (t)
Mounted Hitpoints Cape (t);Kiinnitetty Hitpoints Cape (t)
Mounted Xeric's General;Asennettu Xeric's General
Mourner;Sureva
Multicannon parts;Multicannon osat
Mounted Prayer Cape;Asennettu rukousviite
Monkey Statue;Apinan patsas
Mould;Muotti
Mounted Construction Cape;Asennettu Rakennusviita
Mounted Fletching Cape (t);Asennettu Fletching Cape (t)
Mounted Head;Asennettu pää
Mounted Magic Cape;Asennettu Magic Cape
Mounted Mythical Cape;Asennettu myyttinen niemi
Mounted Ranged Cape (t);Asennettu Ranged Cape (t)
Mounted Thieving Cape (t);Asennettu Thieving Cape (t)
Mounted Xeric's Sentinel;Asennettu Xeric's Sentinel
Mounted shark;Asennettu hai
Monument;Monumentti
Mounted Construction Cape (t);Asennettu rakennusviita (t)
Mounted Max Cape;Asennettu Max Cape
Mounted Woodcutting Cape (t);Asennettu puunleikkausviitta (t)
Mounted harpoonfish;Kiinnitetty harppuunakala
Mounted sea bass;Asennettu meribassi
Mushrooms;Sienet
Moth;Koi
Mounted Champion's Cape;Asennettu Champion's Cape
Mounted Crafting Cape (t);Asennettu askarteluviitta (t)
Mounted Emblem;Kiinnitetty tunnus
Mounted Quest Cape;Asennettu Quest Cape
Mounted Strength Cape;Asennettu vahvuusviitta
Mounted Strength Cape (t);Asennettu voimavarsi (t)
Mushroom patch;Sienilappu
Monumental chest;Monumentaalinen rintakehä
Mounted Defence Cape (t);Kiinnitetty puolustusniemi (t)
Mounted Farming Cape (t);Kiinnitetty maatalousniemi (t)
Mounted Herblore Cape (t);Asennettu Herblore-niemi (t)
Mounted Thieving Cape;Asennettu Thieving Cape
Mud pile;Mutakasa
Mossy branch;Sammaleinen oksa
Mounted Attack Cape;Asennettu Attack Cape
Mounted Mining Cape (t);Kiinnitetty kaivosniemi (t)
Mounted Ranged Cape;Asennettu Ranged Cape
Mushroom torch;Sieni taskulamppu
Monster space;Monsterin avaruus
Mounted Farming Cape;Kiinnitetty Farming Cape
Mounted Mining Cape;Asennettu Mining Cape
Mounted Smithing Cape (t);Kiinnitetty Smithing Cape (t)
Mural;Seinämaalaus
Mystic symbol;Mystinen symboli
Nasturtium;Koristekrassi
New farming patch;Uusi maanviljelyspaikka
Noxious tendrils;Haitallisia lonkeroita
Oak birdhouse;Tamminen lintumaja
Oak house;Tammitalo
Obelisk of Water;Veden obeliski
Odd looking wall;Erikoisen näköinen seinä
Mysterious statue;Salaperäinen patsas
Net;Net
Nightmare;Painajainen
Oak wardrobe;Tammi vaatekaappi
Ogre Coffin;Ogren arkku
Mysterious pool;Salaperäinen allas
Navigator's table;Navigaattorin pöytä
Noticeboard;Ilmoitustaulu
Oak wall decoration;Tammi seinäkoristelu
Oaknock statue;Oaknock-patsas
Obstacle pipe;Esteputki
Nettles;Nokkonen
Nightmare zone display;Painajainen vyöhykkeen näyttö
Notice;Huomaa
Oak prize chest;Tammi palkintoarkku
Oaknock's exchanger;Oaknockin vaihdin
Oaknock's machine;Oaknockin kone
Obelisk of Air;Ilman obeliski
Occupied Cormorant perch;Miehitetty merimetsoahven
Ogre barricade;Ogren barrikadi
Music Scores;Musiikkimusiikkia
Musical space;Musiikillinen tila
Mystical mirror;Mystinen peili
Mythic Statue;Myyttinen patsas
Note;Huom
Oak scratching post;Tamminen raapimistolppa
Oak table;Tammi pöytä
Nightmare Berries;Painajaisen marjat
Nightmare Topiary;Painajainen Topiary
Obsidian bench;Obsidiaani penkki
Mystic portal;Mystinen portaali
Nails;Kynnet
Notices;Ilmoitukset
Novice Flag;Aloittelijan lippu
Obelisk of Earth;Maan obeliski
Musty bookshelf;Nuhjuinen kirjahylly
Mysterious ruins;Salaperäisiä raunioita
Mystical barrier (orange);Mystinen este (oranssi)
Mythical cape;Myyttinen viitta
Nature rift;Luontoero
Neutral Barrier;Neutraali este
Oak outfit stand;Tammipukuteline
Oak tree stump;Tammen kanto
Obelisk;Obeliski
Official Order of Construction;Virallinen rakennusjärjestys
Mysterious pipe;Salaperäinen putki
Nature house;Luontotalo
Ned's Table;Nedin pöytä
Nest;Pesä
Nightmare Blossom;Painajaisen kukka
Oak bench;Tammipenkki
Oak drawers;Tammilaatikot
Oak trophy case;Oak Trophy laukku
Obstacle;Este
Mushy Bed;Muhkea sänky
Narrow wall;Kapea seinä
Oak;Tammi
Oak feeder;Tammen syöttölaite
Oaknock's Machine;Oaknockin kone
Obsidian fence;Obsidiaani-aita
Office table;Toimistopöytä
Mysterious stone;Salaperäinen kivi
Newspapers;Sanomalehdet
Nightmare display;Painajainen näyttö
Nine;Yhdeksän
Node;Solmu
Oak chair;Tammi tuoli
My life;elämäni
Narrow gap;Kapea väli
Oak Tree;Tammipuu
Oak birdhouse (empty);Tammen lintumaja (tyhjä)
Oak chest;Tammi rintakehä
Oak tree;Tammi puu
Ogre bed;Ogre sänky
Notice board;Ilmoitustaulu
Occupied perch;Miehitetty ahven
Odd markings;Outoja merkintöjä
Mystical door;Mystinen ovi
Mushtree;Mushtree
Music Stand;Nuottiteline
Mystical barrier;Mystinen este
Nothing;Ei mitään
Novice flag;Aloittelijan lippu
Ogre bench;Ogren penkki
Mysterious glow;Salaperäinen hehku
Mystical barrier (red);Mystinen este (punainen)
Net trap;Verkko ansa
Oak cape rack;Tamminen viittateline
Obelisk of Fire;Tulen obeliski
Obsidian fence post;Obsidiaani aidan pylväs
Obstacle net;Esteverkko
Ogre Drums;Ogre rummut
Old Crane;Vanha nosturi
Old Shrine;Vanha pyhäkkö
Old tools;Vanhat työkalut
Old wall;Vanha seinä
Olmic pillar;Olminen pilari
Opulent rug;Runsas matto
Orange tree;Appelsiinipuu
Ore crate;Malmilaatikko
Ornate banner stand;Koristeellinen banneriteline
Ornate kalphite combat dummy;Koristeellinen kalfiittitaistelunukke
Ornate railing;Koristeellinen kaide
Palm tree;Palmu
Onion seeds;Sipulin siemenet
Open hot vent door;Avaa kuumailman ovi
Open trapdoor;Avaa luukku
Opulent table;Laadukas pöytä
Ornamental fountain;Koristeellinen suihkulähde
Palm;Palm
Old Memorial;Vanha muistomerkki
Old tree;Vanha puu
Operation table;Toimintapöytä
Ornament;Ornamentti
Ornamental anvil;Koristeellinen alasin
Ornate combat dummy;Koristeellinen taistelunukke
Ornate vampyre combat dummy;Koristeellinen vampyyritaistelunukke
Panning point;Panorointipiste
Ogre fire;Ogre tuli
Old fire pit;Vanha palopaikka
Operation chair;Operaatiotuoli
Ornate vase;Koristeellinen maljakko
Overhanging rock;Ulkoneva kivi
Overload potion;Ylikuormitusjuoma
Old ruin entrance;Vanhan raunion sisäänkäynti
Old sacks;Vanhat säkit
Oozing barrier;Tihkuva este
Orange door;Oranssi ovi
Ornate dragon combat dummy;Koristeellinen lohikäärmeen taistelunukke
Painting;Maalaus
Panning tray;Panorointialusta
Old bookshelf;Vanha kirjahylly
Onion plant;Sipuli kasvi
Opening;Avaaminen
Orchids;Orkideat
Ornate kurask combat dummy;Koristeellinen kurask taistelunukke
Ornate undead combat dummy;Koristeellinen epäkuolleiden taistelunukke
Output Tap;Output Tap
Oven;Uuni
Pack;Pakata
Old well;Vanha hyvin
One;Yksi
Opened gold chest;Avattu kultainen rintakehä
Operating Table;Leikkauspöytä
Ore stones;Malmikiviä
Paladin;Paladin
Ore sack;Malmisäkki
Olaf's boat;Olafin vene
Old Stall;Vanha Talli
Oojimaflip;Oojimaflip
Open Chest;Avaa rintakehä
Open Door;Avaa Ovi
Ornamental globe;Koristeellinen maapallo
Owl Statue;Pöllö patsas
Oil lamp;Öljylamppu
Onion;Sipuli
Open Cupboard;Avaa kaappi
Operating table;Leikkauspöytä
Ore table;Malmipöytä
Ornate candle;Koristeellinen kynttilä
Palm tree stump;Palmun kanto
Open statue;Avoin patsas
Ore vein;Malmi suoni
Ornate league statue;Koristeellinen liigapatsas
Ornate pool of Rejuvenation;Koristeellinen nuorennusallas
Orange tree stump;Appelsiinipuun kanto
Ornate Jewellery Box;Koristeellinen korurasia
Ornate lockbox;Koristeellinen lukkolaatikko
Ogre spit-roast;Ogre-varraspaisti
Ogre stone door;Ogre kiviovi
