hello;Hallo
Quando a torre pegou fogo, muita coisa foi perdida, incluindo um importante encantamento. Um feitiço que poderia ser usado para se teletransportar para uma mina de essência oculta.;Als der Nebel hochging, musste ich viel Geld verlieren, einschließlich einer wichtigen Verzauberung. Es ist üblich, dass das Gerät für den Ferntransport verwendet wird, um eine verborgene Essensquelle zu sein.
Quebra-cabeça?;Quebra-cabeça?
De fato! O legado perdido da primeira torre. Este talismã pode de fato ser a chave para encontrar a minha essência esquecida!;De fato! O legado perdido da primeira torre. Dieses Schicksal kann dazu führen, dass eine kleine, unerklärliche Essenz aufgedeckt wird!
Vá em frente.;Vá em frente.
Ok, aqui está você.;Ok, das ist es.
Desde que o encantamento foi perdido, temos lutado para manter nossos estoques de essência rúnica.;Nachdem wir ihn verzaubert hatten, wollten wir uns nur auf die Mühe konzentrieren, unsere Essenz zu retten.
Ah, minhas desculpas, aventureiro. Permita-me informá-lo.;Ah, Minhas Desculpas, Abenteuer. Erlauben Sie mir, mich zu informieren.
Precisamente. A essência rúnica é o material usado para fazer runas, mas é incrivelmente raro. Essa essência minha era o único lugar que nossa ordem conhecia.;Präzise. A essência rúnica é o material usado para fazer runas, mas é incrivelmente raro. Essa essência minha era o único lugar que nossa ordem conhecia.
Essas runas são criadas a partir de um material altamente exclusivo e depois imbuídas de poder mágico de vários altares rúnicos. Altares diferentes criam runas diferentes com efeitos mágicos diferentes.;Es sind Runas, die aus einem exklusiven Altarmaterial bestehen und von der Magie verschiedener alter Runen durchdrungen sind. Die unterschiedlichen Altar bestehen aus unterschiedlichen Runen und unterschiedlichen magischen Effekten.
Na verdade, não estou interessado.;Na ja, das ist kein Interesse.
A essência minha que você mencionou anteriormente, presumo?;Vermutlich, es ist kaum zu glauben, dass Sie vorher darüber nachgedacht haben?
Ele fez isso agora? Bem, entregue-o então e veremos o motivo de toda essa confusão.;Ele fes isso agora? Ich glaube, es ist eine Verwirrung, und das Motiv des heutigen Tages ist verwirrend.
Não, só darei ao Sedridor.;Nein, das ist Sedridor.
Hmm... Não parece ser nada muito especial. Apenas um talismã de ar normal pela aparência das coisas. Ainda assim, as aparências enganam. Deixe-me dar uma olhada mais de perto...;Hmm... Das ist nichts Besonderes. Es wird ein normaler Talismus angezeigt, bevor die Coisas geöffnet werden. Ainda assim, as aparências enganam. Deixe-me dar uma olhada mais de perto...
A redescoberta da criação de runas teve um impacto tão grande no mundo que marcou o início da Quinta Era. Também resultou no nascimento da nossa ordem e na construção da primeira Torre dos Feiticeiros.;Die Neugründung der Runen war ein großer Einfluss auf die Welt, als sie den Beginn der Quinta-Ära markierten. Dies führte dazu, dass unsere Bestellung und der Bau des ersten Torre dos Feiticeiros nicht in Angriff genommen wurden.
Se foi a primeira torre, suponho que não exista mais? O que aconteceu?;Wenn Sie zum ersten Mal hier sind, gibt es das nicht mehr? O que aconteceu?
Como você provavelmente sabe, quando lançamos feitiços, o fazemos usando o poder das runas.;Wie Sie wissen, wissen wir, wann wir die Feitiços betreten, ob wir sie verwenden oder die Runas verlassen.
Você é Sedridor?;Você é Sedridor?
Que interessante... Parece que falei cedo demais. Há mais neste talismã do que aparenta. Na verdade, pode muito bem ser a última peça do quebra-cabeça.;Que interessant... Parece que falei cedo demais. Es gibt noch mehr Dinge, die es zu entdecken gilt. Auf jeden Fall kann es sein, dass ich am Ende meiner Reise nach Hause komme.
Sério agora? Eu sou o Arquimago que você conhece.;Serio agora? Euer Arquimago, das ihr wisst.
Você estaria disposto a visitá-lo por mim? Eu mesmo iria, mas gostaria de estudar um pouco mais esse talismã.;Haben Sie sich für einen Besuch von mir entschieden? In letzter Zeit bin ich der Meinung, dass es sich um mehr als einen Talismus handelt.
É fundamental que eu compartilhe esta descoberta com meu associado, Aubury, o mais rápido possível. Ele não é um grande mago, mas é um especialista em criação de runas e sua visão será essencial.;Es ist von grundlegender Bedeutung, dass Ihr Partner dies mit meinem Partner Aubury tut, oder so schnell wie möglich. Er war kein großer Magier, aber er war ein Spezialist für die Erstellung von Runas und sein Blick war unbedingt erforderlich.
Sim, certamente.;Sim, sicher.
Então o que acontece agora?;Was meinst du, was ist los?
Teria sido levado muitas vezes à mina de essência, e as energias mágicas de lá terão deixado uma marca nele. E pensar que esteve escondido em Lumbridge todo esse tempo!;Teria sido levado levado muitas vezes à mina de esência, and as energias magicas de lá terão deixado uma marca nele. Ich denke, es ist Zeit, Lumbridge zu verlassen!
Não me lembro de ter dito meu nome... Como você sabe disso?;Ich habe das nicht von meinem Namen gelesen... Was hast du gesagt?
Estou começando a entender por que isso é tão importante. Então você acha que esse talismã pode te ajudar a redescobrir esse encantamento?;Es kommt darauf an, dass dies wichtig ist. Haben Sie gedacht, dass dieser Talismus so verzaubert sein könnte?
Aparentemente, há aqueles por aí que ainda sabem onde encontrar alguma, mas embora estivessem dispostos a vender-nos a essência, recusaram-se a partilhar conhecimentos sobre como encontrá-la nós próprios.;Es ist offensichtlich, dass wir, weil wir uns auf die Suche nach einer Sache gemacht haben, die Verkäufer, die wir im Geschäft haben, zu einem Teil unserer Meinungsverschiedenheiten aufgefordert haben, als wir mit unseren Kunden in Kontakt gekommen sind.
Eu faço! Toda magia deixa rastros e, pelo que sei, esse talismã foi muito usado na época da primeira torre.;Eu faço! Toda magia deixa rastros e, pelo que sei, esse talismã foi muito usado na época the primeira torre.
Não, estou ocupado.;Nein, du bist beschäftigt.
Boa sorte, [PLAYER_NAME].;Boa sorte, [PLAYER_NAME].
Ele dirige uma loja de runas no sudeste de Varrock. Por favor, leve este pacote de notas de pesquisa para ele. Se tudo correr bem, os segredos da minha essência poderão em breve ser nossos novamente!;Er führte einen Runas-Abenteuer vor Varrock. Bitte beachten Sie, dass es für Sie eine Reihe von Pesquisa-Notizen gibt. Ich bin mir sicher, dass die wenigen Menschen, die sie kennengelernt haben, in Kürze unsere Neuheiten sein werden!
Você quer dizer o encantamento?;Möchten Sie etwas verzaubern?
Isso... isso é incrível.;Isso... isso é incrível.
Eu adoraria uma xícara de chá.;Eu adoraria uma xícara de chá.
Você quer comprar algumas runas?;Möchten Sie Algumas Runas kaufen?
De Sedridor na Torre dos Feiticeiros.;De Sedridor na Torre dos Feiticeiros.
Sim, por favor!;Sim, bitte!
Fui enviado aqui com um pacote para você.;Ich habe Ihnen ein Paket für Sie geschickt.
Bem, quando combinamos a minha própria investigação com esta última descoberta, acho que poderíamos...;Gut, wenn ich mich mit meinen Ermittlungen zusammenschließe, um das Letzte zu erfahren, was ich sagen muss ...
Minha gratidão a você aventureiro por me trazer essas notas de pesquisa. Graças a você, acho que finalmente conseguimos.;Minha dankte mir für das Abenteuer, das ich aus den Pesquisa-Notizen herausgefunden habe. Graças a você, acho que finalmente conseguimos.
Antes de sair, por que não tomar uma xícara de chá?;Bevor Sie sich fragen, warum Sie noch nie ein Kind gefunden haben?
Não, não, estou me adiantando. The signs are promising, but let's not jump to any conclusions just yet.;Nein, nein, das hast du mir gesagt. Die Anzeichen sind vielversprechend, aber lassen Sie uns noch keine voreiligen Schlüsse ziehen.
Aqui, leve essas anotações para Sedridor. Esperançosamente, eles deveriam dar a ele tudo o que ele precisa.;Hier sind einige Anmerkungen zu Sedridor. Es ist klar, dass wir uns darauf verlassen müssen, dass wir es genau wissen.
Agora, vamos dar uma olhada...;Agora, vamos dar uma olhada...
Oh, é uma loja de runas. Não, obrigado, então.;Oh, das ist eine Runen-Loja. Nein, obrigado, então.
De Sedridor? Mas... certamente, ele não pode ter? Por favor, deixe-me ficar com ele. Deve ser extremamente importante para ele ter enviado um estranho.;De Sedridor? Aber sicher, konnte er das nicht tun? Por favor, deixe-me ficar com ele. Es muss äußerst wichtig sein, dass Sie einen Partner anrufen.
Um pacote? De quem?;Ähm Pacote? De quem?
Você pode me teletransportar para a Mina de Essência Rúnica?;Können Sie mich per Teletransport nach Mina de Essência Rúnica bringen?
Este é o seu livro de feitiços, contém todos os feitiços que você pode lançar. Para lançar um feitiço, você precisará ter o nível de magia necessário e a quantidade certa de runas usadas para lançar o feitiço.;Dies ist Ihr Buch über Feitiços. Es handelt sich um alle Feitiços, die Sie sich vorstellen können. Um ein Projekt zu starten, müssen Sie das erforderliche Maß an Magie und eine gewisse Menge an Runen angeben, die für das Projekt benötigt werden.
O prazer é meu!;O prazer é meu!
When you have a combat spell available, click on it once, then select your target. A good target would be a monster that is below your combat level.;Wenn Ihnen ein Kampfzauber zur Verfügung steht, klicken Sie einmal darauf und wählen Sie dann Ihr Ziel aus. Ein gutes Ziel wäre ein Monster, das unter deiner Kampfstufe liegt.
Conte-me sobre o combate mágico, por favor.;Conte-me, um die Magie zu bekämpfen, por favor.
Também compartilharei o encantamento com outras pessoas, incluindo Aubury. Quando eu fizer isso, avisarei que você terá acesso ilimitado à mina.;Dazu gehörte auch die Verzauberung anderer Menschen, darunter Aubury. Sobald Sie dies getan haben, wird mir empfohlen, dass Sie keinen Zugriff mehr haben.
Olá aventureiro, sou o tutor de combate mágico. Você gostaria de aprender sobre combate mágico ou talvez como fazer runas?;Olá abenteuerlustiger Mensch, der Lehrer des magischen Kampfes. Haben Sie versucht, mit Magie zu kämpfen oder zu kämpfen, als ob Sie Runas hätten?
Há algumas coisas que você precisará para fazer runas, essência rúnica e um talismã para entrar nas ruínas do templo.;Ich weiß, dass Sie sich darauf verlassen müssen, Runas, Runenessenz und einen Talismus zu bewältigen, um in die Ruinen der Zeit einzudringen.
Se você quiser acessar a minha essência por conta própria, é só me avisar. É o mínimo que posso fazer.;Wenn Sie nach einem persönlichen Gespräch suchen, empfehlen wir Ihnen, dies zu tun. Das ist das Mindeste, was Sie tun können.
Caso você não saiba, o talismã pode ser usado para criar runas aéreas. Basta levá-lo para o Altar Aéreo ao sul de Falador junto com um pouco de essência rúnica.;Wenn Sie das nicht wissen, kann der Talismus verwendet werden, um Gebiete zu erschließen. Basta levá-lo para o Altar Aéreo sul de Falador junto com ein pouco de esência rúnica.
Então você poderá acessar essa minha essência agora?;Könnten Sie schon vor wenigen Tagen auf den Zugriff stoßen?
Vamos discutir como minhas runas agem quando eu as pego.;Vamos discutir como minhas runas agem quando eu as pego.
If you want to save yourself an inventory space, you could always try binding the talisman to a tiara.;Wenn Sie Platz im Inventar sparen möchten, können Sie jederzeit versuchen, den Talisman an eine Tiara zu binden.
Como faço runas?;Was sind die Runas?
When you find the ruined altar, use the talisman on it to be transported to a temple where you can craft your runes.;Wenn Sie den zerstörten Altar finden, verwenden Sie den darauf befindlichen Talisman, um ihn zu einem Tempel zu transportieren, wo Sie Ihre Runen herstellen können.
Nemarti, the Ranged Combat tutor and I both give out items every 30 minutes, however you must choose whether you want runes or ranged equipment.;Nemarti, der Fernkampflehrer und ich, geben beide alle 30 Minuten Gegenstände aus, Sie müssen sich jedoch entscheiden, ob Sie Runen oder Fernkampfausrüstung möchten.
Sim, eu tenho. Ele me deu algumas notas para entregar a você.;Sim, eu tenho. Ich habe einige Notizen gemacht, um mit Ihnen in Kontakt zu treten.
Quem mais conhece o teletransporte para a Mina de Essência Rúnica?;Was steckt hinter einem Ferntransport zur Mina de Essência Rúnica?
Try rats in the castle or, if you're feeling brave, the goblins to the west have been causing a nuisance of themselves.;Versuchen Sie es mit Ratten im Schloss oder, wenn Sie mutig sind, mit den Goblins im Westen, die sich selbst ein Ärgernis bereitet haben.
Clicking on the temple's altar will imbue your rune essence with the altar's magical property.;Wenn Sie auf den Altar des Tempels klicken, wird Ihre Runenessenz mit der magischen Eigenschaft des Altars durchdrungen.
To make one, take a tiara and talisman to the ruins and use the tiara on the temple altar. This will bind the talisman to your tiara.;Um eine herzustellen, bringen Sie eine Tiara und einen Talisman zu den Ruinen und verwenden Sie die Tiara auf dem Tempelaltar. Dadurch wird der Talisman an Ihre Tiara gebunden.
You will need a talisman for the rune you would like to create. You can right-click on it and select the Locate option. This will tell you the rough location of the altar.;Sie benötigen einen Talisman für die Rune, die Sie erstellen möchten. Sie können mit der rechten Maustaste darauf klicken und die Option „Suchen“ auswählen. Dadurch erfahren Sie den ungefähren Standort des Altars.
To claim runes, right-click on me and choose Claim, to claim ranged equipment right-click on the Ranged Combat tutor and select Claim.;Um Runen einzufordern, klicken Sie mit der rechten Maustaste auf mich und wählen Sie „Anfordern“. Um Fernkampfausrüstung einzufordern, klicken Sie mit der rechten Maustaste auf den Fernkampf-Tutor und wählen Sie „Anfordern“.
Não se preocupe se não conseguir encontrar o altar. O talismã pode guiá-lo até lá. Você também pode encontrar talismãs para outros altares enquanto se aventura. Eles permitirão que você crie outros tipos de runas.;Machen Sie sich keine Gedanken darüber, dass Sie nicht auf den Altar stoßen. O talismã könnte guiá-lo até lá. Sie können auch auf andere Abenteuer stoßen, die Sie benötigen. Ich erlaube Ihnen, weitere Runentipps zu schreien.
Ah, [PLAYER_NAME]. How goes your quest? Have you delivered my research to Aubury yet?;Ah, [PLAYER_NAME]. Wie läuft deine Suche? Haben Sie meine Forschungsergebnisse schon nach Aubury geliefert?
Maravilhoso! Vamos dar uma olhada então.;Maravilhoso! Vamos dar uma olhada então.
Ótimo! Obrigado!;Gut! Obrigado!
Isso mesmo! Por sua causa, nossa ordem finalmente tem uma fonte adequada de essência rúnica novamente! Obrigado, amigo.;Isso Mesmo! Aus diesem Grund hat unsere Bestellung endlich eine neue, dem Essen entsprechende Quelle! Obrigado, Freund.
Sim, é isso! O encantamento perdido!;Sim, das ist! O encantamento perdido!
As you're fairly new to runecrafting you should start with air runes and mind runes.;Da Sie noch relativ neu im Runenhandwerk sind, sollten Sie mit Luftrunen und Gedankenrunen beginnen.
Há mais alguma coisa que você gostaria de saber?;Was ist mit der Tatsache, dass Sie sich für Sabre entschieden haben?
Não posso ajudá-lo com isso no momento, desculpe.;Es ist nicht möglich, dass es keinen Moment gibt, desculpe.
If you have the right amount of runes and the magic level the spell will light up, meaning you will be able to cast it.;Wenn Sie über die richtige Anzahl an Runen und die richtige Magiestufe verfügen, leuchtet der Zauber auf, was bedeutet, dass Sie ihn wirken können.
To check the level and runes required to cast a spell, hover your mouse cursor over the spell.;Um die Stufe und die Runen zu überprüfen, die zum Wirken eines Zaubers erforderlich sind, bewegen Sie den Mauszeiger über den Zauber.
Você poderia me contar sobre a antiga Torre dos Feiticeiros?;Möchten Sie, dass Sie sich über den Torre dos Feiticeiros freuen?
To get rune essence you will need to gather them somehow. You should talk to the Duke of Lumbridge, he may be able to help you with that. Alternatively, other players may sell you the essence.;Um Runenessenz zu erhalten, müssen Sie sie irgendwie sammeln. Du solltest mit dem Herzog von Lumbridge sprechen, vielleicht kann er dir dabei helfen. Alternativ können dir auch andere Spieler die Essenz verkaufen.
Ah, e você também pode ter esse talismã aéreo de volta. Não preciso mais dele e tenho certeza de que será útil para você.;Ah, und Sie können auch davon ausgehen, dass es Ihnen gut geht. Sie sind sich nicht sicher, ob dies für Sie von Nutzen ist.
Tudo bem, vamos ver o que Aubury tem para nós...;Tudo bem, vamos vero que Aubury tem für uns ...
Eu vou tentar.;Eu vou tentar.
O mago Grayzag da casa ao lado decidiu que não gostava de mim, então alistou um exército de centenas de diabinhos.;Der Mago Grayzag aus dem Haus, als er beschloss, dass er nicht von ihm erwartet wurde, musste sich ein paar Hunderttausend Tage lang anstrengen.
Esses diabinhos roubaram todo tipo de coisas minhas. A maioria dessas coisas eu realmente não me importo, apenas ovos e bolas de barbante e coisas assim.;Esses diabinhos roubaram todo tipo de coisas minhas. Im Grunde genommen war es für mich nicht wichtig, die Eier und die Barbante-Bälle zu essen und so viele Dinge zu tun.
Isso é ótimo, obrigado.;Isso é ótimo, obrigado.
Iniciar a missão Imp Catcher?;Haben Sie eine Imp Catcher-Mission gestartet?
Esses diabinhos agora se espalharam por todo o reino. Você poderia pegar minhas contas de volta para mim?;Es sind Diabinhos Agora se espalharam por todo o reino. Können Sie mir sagen, dass Sie mir nicht helfen können?
Bem, visto que você pediu com educação... preciso de ajuda.;Gut, Sie sehen, dass Sie mit der Ausbildung beschäftigt sind... präzise von Ajuda.
Mas eles roubaram minhas quatro contas mágicas. Havia um vermelho, um amarelo, um preto e um branco.;Aber sie haben vier magische Charaktere. Havia ein Vermelho, ein Amarelo, ein Preto und ein Weiß.
Ah, so you are there, Master [PLAYER_NAME]. I'm so glad you summoned me. Please take this lamp and make your wish.;Ah, Sie sind also da, Meister [PLAYER_NAME]. Ich bin so froh, dass du mich gerufen hast. Bitte nehmen Sie diese Lampe und äußern Sie Ihren Wunsch.
T-hee! Você nunca ordenhou uma vaca antes, não é?;Dich! Sie haben nun einen Urlaub vorher bestellt, nicht wahr?
Como faço para usar o banco?;Wie können Sie Ihre Bank verwenden?
Greetings friend. I am a manufacturer of leather.;Grüße Freund. Ich bin ein Lederhersteller.
I see you have brought me some hides. Would you like me to tan them for you?;Wie ich sehe, hast du mir ein paar Häute mitgebracht. Möchten Sie, dass ich sie für Sie bräune?
Onde e o que devo pescar?;Warum willst du Pescar essen?
Ahoy, to fish, you click on the shrimp fishin' spot while ye'r carrying a net.;Ahoi, zum Angeln klickst du mit einem Kescher in der Hand auf den Garnelenfangplatz.
Você pode me ensinar o básico da pesca, por favor?;Du könntest mich auf die Grundlagen des Fischens aufmerksam machen, oder?
Conte-me sobre diferentes peixes.;Conte-me über verschiedene Peixes.
I see... is that it?;Ich verstehe... ist es das?
Ah, you've lost your net have you? Have another!;Ah, du hast dein Netz verloren, oder? Nimm noch einen!
About Will and Anne...;Über Will und Anne...
Shiver me timbers! I'm afraid not. Old Grog said he might try and track them down. Perhaps he has an idea of where to find them.;Lass mich zittern! Ich fürchte nein. Der alte Grog sagte, er könnte versuchen, sie aufzuspüren. Vielleicht hat er eine Idee, wo sie zu finden sind.
OlÃ¡!;Olá!
I'm looking for an adventure! This place is meant to be the perfect place to find one for a budding pirate like me!;Ich suche ein Abenteuer! Dieser Ort soll der perfekte Ort sein, um einen für einen angehenden Piraten wie mich zu finden!
What exactly is this one rule you keep mentioning?;Was genau ist diese eine Regel, die Sie immer wieder erwähnen?
What are you waiting here for?;Worauf wartest du hier?
[2] About Will and Anne...;[2] Über Will und Anne...
Ada! Nice to meet you!;Ada! Freut mich, Sie kennenzulernen!
Will and Anne threw me overboard and I washed up here. I did mention this earlier...;Will und Anne haben mich über Bord geworfen und ich bin hier gestrandet. Ich habe das schon früher erwähnt...
Nada, obrigado.;Nada, obrigado.
But I don't have a vessel...;Aber ich habe kein Schiff...
Those plundering seadogs! Did you speak to Ribs about them?;Diese plündernden Seehunde! Hast du mit Ribs darüber gesprochen?
I did. He seems to think they might have unleashed some sort of curse.;Das habe ich getan. Er scheint zu glauben, dass sie eine Art Fluch ausgelöst haben könnten.
And where would I find Old Grog?;Und wo würde ich Old Grog finden?
Blistering barnacles! Well, you won't be getting far without a boat of your own. You should head to the docks and speak with Junior Jim, our local shipwright. He'll get you sorted out.;Blasenbildende Seepocken! Ohne ein eigenes Boot kommen Sie nicht weit. Sie sollten zu den Docks gehen und mit Junior Jim, unserem örtlichen Schiffsbauer, sprechen. Er wird für dich sorgen.
Jolly Roger!;Piratenflagge!
Alright, I'll go and see him.;Okay, ich werde ihn besuchen gehen.
Ah, the curse of Barnacle Barnaby! It's one of Ribs' favourite tales. Just a myth of course, but the old dog does love his stories.;Ah, der Fluch von Barnacle Barnaby! Es ist eine von Ribs‘ Lieblingsgeschichten. Natürlich nur ein Mythos, aber der alte Hund liebt seine Geschichten.
What? But then how did you get here?;Was? Aber wie bist du dann hierher gekommen?
OlÃ¡. Quem Ã© vocÃª?;Olá. Was ist deine Stimme?
Vamos ver o que vocÃª tem.;Vamos vero que vocêtem.
Yo ho ho! A mighty good decision! It's a generous bounty indeed. You don't go breaking the one rule of the Pandemonium and expect to get away with it!;Yo ho ho! Eine wirklich gute Entscheidung! Es ist in der Tat eine großzügige Prämie. Man bricht nicht die eine Regel des Pandämoniums und erwartet, damit ungeschoren davonzukommen!
Well, myths aside, Ribs mentioned you'd put a bounty out for Will and Anne. I'd be quite keen to track them down myself.;Abgesehen von den Mythen erwähnte Ribs, dass Sie ein Kopfgeld für Will und Anne ausgesetzt hätten. Ich wäre sehr daran interessiert, sie selbst aufzuspüren.
Ah, the old scallywag left not that long ago, but he'll be back here before long. He enjoys a drink far too much! In the meantime, you should hoist the sails and ready your vessel!;Ah, der alte Schlingel ist noch nicht lange her, aber bald wird er wieder hier sein. Er genießt einen Drink viel zu sehr! In der Zwischenzeit sollten Sie die Segel hissen und Ihr Schiff bereit machen!
Yarr! What will it be?;Yarr! Was wird es sein?
Do you have any idea where Will and Anne might have gone?;Haben Sie eine Idee, wohin Will und Anne gegangen sein könnten?
Choose Dust Devils as your next task? It will cost 45 points and you won't have enough points to cancel it.;Wählen Sie „Dust Devils“ als Ihre nächste Aufgabe? Es kostet 45 Punkte und Sie haben nicht genug Punkte, um es zu stornieren.
This is the drainpipe running from the kitchen sink to the sewer. I can see a key just inside the drain.;Dies ist das Abflussrohr, das von der Küchenspüle zum Abwasserkanal führt. Ich kann einen Schlüssel direkt im Abfluss sehen.
\u003cstr\u003eFale-me novamente sobre lápides.\u003c/str\u003e;\u003cstr\u003eFale-me novamente sobre lápides.\u003c/str\u003e
Deixe-me explicar... Na maior parte das terras de Guilenor, quando você morre, alguns dos itens que você carrega são derrubados.;Deixe-me explicar... Auf dem größten Teil der Erde von Guilenor, als du noch mehr warst, gab es einige Dinge, die du verloren hast.
Além disso, dê uma olhada no meu Cofre aqui. Você pode trazer seus bens indesejados e sacrificá-los em meu Cofre. Contarei o valor deles em relação a quaisquer futuras taxas de lápide que você cobrar.;Além disso, dê ir a olhada no meu Cofre aqui. Du könntest deine eigenen Freunde finden und mein Herz opfern. Contarei o valor dels em relation to quaisquer Futuras de lapide que você cobrar.
Cuidarei desses itens, \u003ccol=9f0000\u003esem limite de tempo\u003c/col\u003e. No entanto, cobro mais pelos meus serviços. Seria mais barato recuperá-los diretamente da lápide, se você conseguir alcançá-la a tempo.;Cuidarei desses itens, \u003ccol=9f0000\u003esem limite de tempo\u003c/col\u003e. Keine Sorge, ich brauche nur meine Dienste. Sie erholten sich jedoch schnell wieder, nachdem Sie sich schnell um etwas gekümmert hatten.
Felizmente... Na maior parte das terras de Guilenor, quando você morre, alguns dos itens que você carrega são derrubados.;Herzlichen Glückwunsch... Auf dem größten Teil der Erde von Guilenor, als du noch mehr warst, waren es noch ein paar Tage, die dir schwerfielen.
Muito bem. Depois de passar pelo meu portal, você terá 15 minutos para chegar à sua lápide.;Muito bem. Nachdem Sie mein Portal betreten haben, dauert es etwa 15 Minuten, bis Sie wieder auf Ihrem Gerät sind.
Quanto tempo tenho para voltar à minha lápide?;Wie lange dauert es, bis ich mich auf den Weg mache?
Acredito que estava explicando as lápides para você. Ainda temos mais alguns tópicos para abordar.;Acredito que estava explicando as lapides para você. Ainda temos mais alguns topicos para abordar.
Como posso saber o que acontecerá com meus itens quando eu morrer?;Wie könnte es sein, dass ich mich über meine Zeit verantworte, bevor ich morriere?
Ainda não terminei de falar com você, [PLAYER_NAME]. Por favor, não se preocupe com sua lápide – ela esperará até você sair deste lugar.;Ainda não té falar com você, [PLAYER_NAME]. Bitte beunruhigen Sie sich nicht mit Ihrer Hilfe – Sie warten darauf, dass Sie sich auf den Weg machen.
Receio que tenhamos mais tópicos para abordar antes de você partir. Fale comigo quando estiver pronto para continuar.;Receio que tenhamos mais thepicos para abord vor você partir. Fale comigo quando estiver pronto para continar.
Então, mortal... você morreu, como todos os mortais morrem. Como você sofreu a perda de alguns itens nesta ocasião, trouxe você aqui para explicar como isso funciona.;Então, mortal... você morreu, como todos os mortais morrem. Wenn Sie sich gerade in diesem Moment aufhalten, müssen Sie uns diese Funktion erklären.
\u003cstr\u003eQuanto tempo tenho para retornar à minha lápide?\u003c/str\u003e;\u003cstr\u003eQuanto tempo tenho para retornar à minha lapide?\u003c/str\u003e
Conte-me sobre lápides novamente.;Conte-me sobre lapides novamente.
Como faço para pagar uma taxa de lápide?;Warum möchten Sie eine Lapide-Taxa bezahlen?
\u003cstr\u003eComo posso saber o que acontecerá com meus itens quando eu morrer?\u003c/str\u003e;cstr
Perhaps we should just talk instead.;Vielleicht sollten wir stattdessen einfach reden.
Acho que terminei aqui.;Acho que terminei aqui.
\u003cstr\u003eComo faço para pagar uma taxa de lápide?\u003c/str\u003e;\u003cstr\u003eComo faço para pagar uma taxa de lapide?\u003c/str\u003e
Existe um menu para prever essas coisas para você. Dê uma olhada no painel lateral de Itens Desgastados...;Es gibt ein Menü, mit dem Sie Ihre nächsten Tage verbringen können. Dê uma olhada no laterale Painel de Itens Desgastados...
Perdi itens? Posso recuperá-los?;Verdammt? Möchtest du dich erholen?
Dinheiro é sempre aceitável. Além disso, uma lápide pode ser retirada diretamente do seu banco, caso você não tenha o suficiente com você.;Es ist immer so, dass es nicht klappt. Aber ich sage Ihnen, dass Sie sich sofort von Ihrer Bank zurückziehen könnten, wenn Sie nicht genug davon hätten.
You're already here.;Du bist schon hier.
Here, I think this belongs to you.;Hier, ich denke, das gehört dir.
You cannot travel to that land at this time.;Sie können derzeit nicht in dieses Land reisen.
Oy! Get back from there, no JalYt allowed through.;Oy! Gehen Sie von dort zurück, kein JalYt darf durchkommen.
Is there much competition between you raccoons and the magpies?;Gibt es große Konkurrenz zwischen euch Waschbären und den Elstern?
*Whistles*;*Pfeife*
None of my brethren are at that location.;Keiner meiner Brüder ist an diesem Ort.
Espero que isso te preencha!;Espero que isso te preencha!
You look hungry to me. I tell you what - have a triangle sandwich on me.;Für mich siehst du hungrig aus. Ich sage dir was – nimm mir ein Dreieckssandwich.
Sorry, but you're not experienced enough to go in there.;Tut mir leid, aber Sie haben nicht genug Erfahrung, um da reinzugehen.
VocÃª pode vir me ajudar, [PLAYER_NAME]? Tenho um problema com algumas sepulturas.;Kannst du mir sagen, [PLAYER_NAME]? Es besteht ein Problem mit Grabsteinen.
Preciso que vocÃª pegue o caixÃ£o de cada sepultura, veja quem estÃ¡ dentro dele e enterre-o na sepultura com a lÃ¡pide correta.;Genauso wie Sie die Grabkammer jedes einzelnen Grabes betreten haben, müssen Sie die Grabstätte verlassen und mit der richtigen Leiche begraben werden.
Ok, vou ajudar com seus tÃºmulos.;Ok, du wirst mit deinen Túmulos zufrieden sein.
VocÃª tem que me ajudar, [PLAYER_NAME]! Coloquei os caixÃµes errados nestas sepulturas.;Sag es mir, [PLAYER_NAME]! Coloquei os caixés errados nestas sepulturas.
Bury the bones? (This grants Prayer XP);Die Knochen begraben? (Dies gewährt Gebets-XP)
Are you sure you wish to open it?;Sind Sie sicher, dass Sie es öffnen möchten?
Acho que terminei!;Acho que termei!
Maravilhoso! Isso Ã© cuidado com eles. Vou levÃ¡-lo de volta e lhe dar sua recompensa.;Maravilhoso! Isso é cuidado com eles. Du stehst unter Spannung und erhältst eine Belohnung.
Lembre-me do que devo fazer.;Lembre-me do que devo fazer.
Eu quero ir embora agora.;Eu quero ir embora agora.
Hello, it seems you've found a wild beehive. I'll pay you to help me rehome them.;Hallo, anscheinend haben Sie einen wilden Bienenstock gefunden. Ich werde dich dafür bezahlen, dass du mir hilfst, sie wieder unterzubringen.
OlÃ¡, o que estÃ¡ acontecendo?;Olá, o que está acontecendo?
NÃ£o estou interessado.;Es besteht kein Interesse.
Once a bee box is completed I will start a new one, let's see how many of these bees we can save.;Sobald eine Bienenbox fertig ist, werde ich eine neue beginnen. Mal sehen, wie viele dieser Bienen wir retten können.
It's easy, simply add logs to the unfinished bee boxes I create. Most common types of log work just fine.;Es ist ganz einfach: Fügen Sie einfach Baumstämme zu den unfertigen Bienenkästen hinzu, die ich erstellt habe. Die meisten gängigen Protokolltypen funktionieren einwandfrei.
Como posso ajudar?;Wie kann ich ajudar sein?
Un-note the banknote?;Die Banknote entnoten?
