A Clam Shell;Eine Muschelschale
Hollow Log;Hohler Baumstamm
Hollow log;Hohler Baumstamm
Hollow tree;Hohler Baum
Hollowed rock;Ausgehöhlter Stein
Holy Barrier;Heilige Barriere
Holy barrier;Heilige Barriere
Hook briar;Haken-Dornbusch
Hoop Snake;Hoop-Schlange
Hope bridge;Hoffnungsbrücke
Hopper;Trichter
Hopper controls;Hopper-Steuerung
Hops Patch;Hopfenbeet
Horn of Death;Horn des Todes
Horn of glory;Horn der Herrlichkeit
Hosidius statue;Hosidius-Statue
Hospital shelves;Krankenhausregale
Hot Coals;Heiße Kohlen
Hot vent door;Heiße Entlüftungstür
House Advertisement;Hauswerbung
Howling Snow Storm;Heulender Schneesturm
Huge Gate;Riesiges Tor
Huge Mushroom;Riesiger Pilz
Huge Spider;Riesige Spinne
Huge plant;Riesige Pflanze
Huge vat;Riesiger Bottich
Hull;Rumpf
Human Flag;Menschliche Flagge
Hurdle;Hürde
Hurt fairy;Verletzte Fee
Hutch;Stall
Iasor plant;Iasor-Anlage
Iban's Throne;Ibans Thron
Ice;Eis
Ice Column;Eissäule
Ice Light;Eislicht
Ice Throne;Eisthron
Ice Troll King;Eistrollkönig
Ice blockage;Eisblockade
Ice bridge;Eisbrücke
Ice chunks;Eisbrocken
Ice covered boulder;Eisbedeckter Felsbrocken
Ice crystal;Eiskristall
Ice cube;Eiswürfel
Ice gate;Eistor
Ice ledge;Eisvorsprung
Ice steps;Eisstufen
Ice storm;Eissturm
Icicle;Eiszapfen
Icicles;Eiszapfen
Icon of Bob;Ikone von Bob
Icon of Gnome Child;Ikone des Gnomenkindes
Icon of Guthix;Ikone von Guthix
Icon of Saradomin;Ikone von Saradomin
Icon of Zamorak;Ikone von Zamorak
Icon space;Symbolbereich
Icosahedron Pile;Ikosaeder-Stapel
Icthlarin's statue;Icthlarins Statue
Icy Cavern;Eisige Höhle
Icy rock;Eisiger Fels
Icy rocks;Eisige Felsen
Icyene Statue;Icyene-Statue
Igloo;Iglu
Illuminated Symbol;Beleuchtetes Symbol
Imposing Doors;Imposante Türen
Inactive Symbol;Inaktives Symbol
Inanimate Altar;Unbelebter Altar
Incense burner;Räuchergefäß
Incinerator;Verbrennungsanlage
Incomplete map;Unvollständige Karte
Inconspicuous bush (beginner);Unauffälliger Busch (Anfänger)
Inconspicuous bush (easy);Unauffälliger Busch (einfach)
Inconspicuous bush (elite);Unauffälliger Busch (Elite)
Inconspicuous bush (hard);Unscheinbarer Busch (hart)
Inconspicuous bush (master);Unauffälliger Busch (Meister)
Inconspicuous bush (medium);Unauffälliger Busch (mittel)
Inconspicuous crate (easy);Unauffällige Kiste (einfach)
Inconspicuous crate (elite);Unauffällige Kiste (Elite)
Inconspicuous crate (hard);Unauffällige Kiste (hart)
Inconspicuous crate (master);Unauffällige Kiste (Meister)
Inconspicuous crate (medium);Unauffällige Kiste (mittel)
Inconspicuous hole (easy);Unauffälliges Loch (einfach)
Inconspicuous hole (elite);Unauffälliges Loch (Elite)
Inconspicuous hole (hard);Unauffälliges Loch (hart)
Inconspicuous hole (master);Unauffälliges Loch (Meister)
Inconspicuous hole (medium);Unauffälliges Loch (mittel)
Inconspicuous rocks (easy);Unauffällige Felsen (einfach)
Inconspicuous rocks (elite);Unauffällige Steine ​​(Elite)
Inconspicuous rocks (hard);Unauffällige Steine ​​(hart)
Inconspicuous rocks (master);Unauffällige Steine ​​(Meister)
Inconspicuous rocks (medium);Unauffällige Steine ​​(mittel)
Incubation chamber;Inkubationskammer
Incubator;Inkubator
Infernal chart;Höllisches Diagramm
Information;Information
Information Scroll;Informationsrolle
Information booth;Informationsstand
Information scroll;Informationsrolle
Injured fairy;Verletzte Fee
Insurance stall;Versicherungsstand
Interdimensional rift;Interdimensionaler Riss
Intermediate Flag;Mittlere Flagge
Interrogation chair;Verhörstuhl
Iorwerth Banner;Iorwerth-Banner
Iron Winch;Eisenwinde
Iron ladder;Eisenleiter
Iron railings;Eisengeländer
Ironman & Ultimate Ironwoman;Ironman und ultimative Ironwoman
Isafdar painting;Isafdar-Gemälde
Item Chest;Gegenstandstruhe
Ithell Banner;Ithell-Banner
Ivory table;Elfenbeintisch
Jacky Jester;Jacky Jester
Jagged wall;Zerklüftete Wand
Jail Door;Gefängnistür
Jangerberry bush;Jangerberry-Busch
Javelin;Speer
Jenkins;Jenkins
Jewellery box space;Platz für eine Schmuckschatulle
Jewellery stall;Schmuckstand
Jolly Roger;Piratenflagge
Juliet;Julia
Juna;Juna
Junction box;Anschlussdose
Jungle Bush;Dschungelbusch
Jungle Flower;Dschungelblume
Jungle Grass;Dschungelgras
Jungle Palm;Dschungelpalme
Jungle Plant;Dschungelpflanze
Jungle Tree;Dschungelbaum
Jungle Tree Stump;Dschungelbaumstumpf
Jungle flower;Dschungelblume
Jungle plant;Dschungelpflanze
Junk;Müll
Justiciar Statue;Justizstatue
Justiciar armour;Justizielle Rüstung
Jute;Jute
Jutting wall;Vorstehende Wand
KBD heads;KBD-Köpfe
KQ head;KQ-Kopf
Kaleef's body;Kaleefs Körper
Kalphite Queen;Kalphite-Königin
Kalphite Queen Topiary;Formschnitt der Kalphitenkönigin
Kalphite Queen display;Ausstellung der Kalphitenkönigin
Kalphite Soldier;Kalphitischer Soldat
Kalphite queen legs;Beine der Kalphite-Königin
Karamja painting;Karamja-Gemälde
Kebab;Kebab
Keg;Fass
Kelda Hops;Kelda-Hopfen
Kelda Hops Patch;Kelda Hopfen-Patch
Kelda Stout;Kelda Stout
Kelp;Seetang
Kennith's ball;Kenniths Ball
Kettle;Wasserkocher
Key;Schlüssel
Keyhole;Schlüsselloch
Kharidian cactus (Dry);Kharidian-Kaktus (trocken)
Kharidian cactus (Healthy);Kharidian-Kaktus (gesund)
Kharyrll Portal;Kharyll-Portal
King Arthur;König Artus
Kings' ladder;Königsleiter
Kitchen Drawers;Küchenschubladen
Kitchen cabinet;Küchenschrank
Kitchen gate;Küchentor
Kitchen table;Küchentisch
Kite shield;Drachenschild
Knight;Ritter
Knight Statue;Ritterstatue
Kourend Portal;Kourend-Portal
Kourend map display case;Kourend-Kartenvitrine
Kourend sigil;Kourend-Siegel
Kraken Topiary;Kraken-Topiary
Kraken display;Kraken-Anzeige
Krandorian Hops;Krandorischer Hopfen
Kronos plant;Kronos-Pflanze
Kurask head;Kurask-Kopf
Lab table;Labortisch
Lab tube;Laborröhrchen
Ladder;Leiter
Ladder space;Leiterraum
Ladder top;Leiter oben
Lalli's Stew;Lallis Eintopf
Lamp;Lampe
Lamp oil still;Lampenöl noch
Lamp space;Lampenraum
Lamp stall;Lampenstand
Lamp still;Lampe noch
Lamppost;Laternenpfahl
Lancalliums;Lancallien
Lander boat;Landerboot
Lander hatch;Lander-Luke
Landscape;Landschaft
Landscape space;Landschaftsraum
Lantern;Laterne
Larder;Speisekammer
Larder space;Speisekammer
Large Barrel;Großes Fass
Large Boulder;Großer Felsbrocken
Large Cage;Großer Käfig
Large Crystal;Großer Kristall
Large Display;Großes Display
Large Fossil Display;Große Fossilienausstellung
Large Fossil Support;Große Fossilienunterstützung
Large Geyser;Großer Geysir
Large Rock;Großer Felsen
Large Table;Großer Tisch
Large bone;Großer Knochen
Large boulder;Großer Felsbrocken
Large cave;Große Höhle
Large crystals;Große Kristalle
Large cupboard;Großer Schrank
Large door;Große Tür
Large doors;Große Türen
Large fountain;Großer Brunnen
Large geyser;Großer Geysir
Large grave;Großes Grab
Large grave stone;Großer Grabstein
Large hole;Großes Loch
Large open cupboard;Großer offener Schrank
Large orrery;Großes Orrery
Large oven;Großer Ofen
Large rock;Großer Felsen
Large sewer pipe;Großes Abwasserrohr
Large stalagmite;Großer Stalagmit
Large storage unit;Große Lagereinheit
Large table;Großer Tisch
Large urn;Große Urne
Large vase;Große Vase
Large-leaf Plant;Großblattpflanze
Larran's big chest;Larrans große Brust
Larran's small chest;Larrans kleine Truhe
Lathe;Drehbank
Laundry Basket;Wäschekorb
Lava;Lava
Lava Monster;Lavamonster
Lava crater;Lavakrater
Lava forge;Lavaschmiede
Lava gap;Lavalücke
Lava trough;Lavarinne
Law rift;Gesetzeskonflikt
Lazim's statue;Lazims Statue
Leaflet;Broschüre
Leaflets;Flugblätter
Leafy Palm Tree;Blattpalme
Leafy tree;Belaubter Baum
League Accomplishment Scroll;Liga-Erfolgsschriftrolle
League Firsts Board;Vorstand der League Firsts
League statue;Liga-Statue
Leak;Leck
Leather shields;Lederschilde
Leaves;Blätter
Lectern;Rednerpult
Lectern space;Rednerpultplatz
Ledge;Leiste
Left side of a fireplace;Linke Seite eines Kamins
Leftovers;Reste
Legends Guild door;Tür der Legendengilde
Letter;Brief
Lever;Hebel
Lever A;Hebel A
Lever B;Hebel B
Lever C;Hebel C
Lever D;Hebel D
Lever E;Hebel E
Lever F;Hebel F
Lever bracket;Hebelhalterung
Lever space;Hebelraum
Levers;Hebel
Leviathan;Leviathan
Life buoy;Rettungsring
Lifeless Matter;Leblose Materie
Lifelilly;Lebenslilly
Lift;Aufzug
Lift Engine;Heben Sie den Motor an
Lift Platform;Hebeplattform
Light;Licht
Light Jungle;Leichter Dschungel
Light door;Leichte Tür
Lighting mechanism;Beleuchtungsmechanismus
Lighting space;Beleuchtungsraum
Lightning;Blitz
Lightning conductor;Blitzableiter
Limestone fireplace;Kamin aus Kalkstein
Limpwurt plant;Limpwurt-Pflanze
Linum Tirinum;Linum Tirinum
Linum Tirinum (Depleted);Linum Tirinum (abgereichert)
Lion Statue;Löwenstatue
Little boulder;Kleiner Felsbrocken
Little crack;Kleiner Riss
Little tent;Kleines Zelt
Lizard dwelling;Eidechsenwohnung
Lizardman corpse;Leiche eines Echsenmenschen
Lizardman eggs;Echsenmensch-Eier
Lizardman head;Echsenmannkopf
Lizardman lair;Das Versteck des Echsenmenschen
Loader;Lader
Lobstrosity;Lobstrosität
Lock;Sperren
Locked Ogre chest;Verschlossene Oger-Truhe
Locked chest;Verschlossene Truhe
Locked door;Verschlossene Tür
Locked gate;Verschlossenes Tor
Locker;Schließfach
Lockers;Schließfächer
Log Store;Protokollspeicher
Log balance;Protokollsaldo
Log pile;Holzstapel
Log raft;Blockfloß
Log storage;Protokollspeicher
Logavano plant;Logavano-Anlage
Logavano seedling;Logavano-Sämling
Logs;Protokolle
Long branched tree;Langer verzweigter Baum
Long grass;Langes Gras
Long planks;Lange Bretter
Longhall door;Longhall-Tür
Loom;Webstuhl
Loose Mud;Loser Schlamm
Loose Railing;Loses Geländer
Loose panel;Lose Platte
Loose rocks;Lose Steine
Lovakengj statue;Lovakengj-Statue
Lovakite furnace;Lovakite-Ofen
Low fence;Niedriger Zaun
Low wall;Niedrige Mauer
Lumbridge Guide;Lumbridge-Führer
Lumbridge Portal;Lumbridge-Portal
Lumbridge painting;Lumbridge-Gemälde
Lumpy rug;Klumpiger Teppich
Lunar Altar;Mondaltar
Lunar Isle Portal;Portal der Mondinsel
Lunar globe;Mondglobus
Lure cave;Lockhöhle
Machine;Maschine
Machine panel;Maschinentafel
Machinery;Maschinen
Magenta Crystal;Magentafarbener Kristall
Magenta crystal;Magentafarbener Kristall
Magenta door;Magentafarbene Tür
Magic Gate;Magisches Tor
Magic Mirror;Zauberspiegel
Magic Mushtree;Magischer Mushtree
Magic Portal;Magisches Portal
Magic Stall;Zauberstall
Magic Tree;Zauberbaum
Magic Tree Stump;Magischer Baumstumpf
Magic ball;Zauberball
Magic barrier;Magische Barriere
Magic birdhouse;Magisches Vogelhaus
Magic birdhouse (empty);Magisches Vogelhaus (leer)
Magic box;Zauberkiste
Magic box failed;Die Zauberbox ist fehlgeschlagen
Magic cape rack;Magischer Umhangständer
Magic chest;Zaubertruhe
Magic circle;Magischer Kreis
Magic door;Magische Tür
Magic guild door;Tür der Zaubergilde
Magic spell;Zauberspruch
Magic table;Zaubertisch
Magic tree;Zauberbaum
Magic wardrobe;Magische Garderobe
Magic wardrobe space;Magischer Kleiderschrankraum
Magic well;Magisch gut
Magic wheat;Magischer Weizen
Magical Animator;Magischer Animator
Magical Barrier;Magische Barriere
Magical Chest;Magische Truhe
Magical Fire;Magisches Feuer
Magical Obelisk;Magischer Obelisk
Magical fire;Magisches Feuer
Magical pumpkin;Zauberhafter Kürbis
Magical shield;Magischer Schild
Magical symbol;Magisches Symbol
Magical wheat;Magischer Weizen
Mahogany;Mahagoni
Mahogany Adventure Log;Mahagoni-Abenteuerprotokoll
Mahogany Wardrobe;Kleiderschrank aus Mahagoni
Mahogany bench;Bank aus Mahagoni
Mahogany birdhouse;Vogelhaus aus Mahagoni
Mahogany birdhouse (empty);Mahagoni-Vogelhaus (leer)
Mahogany cape rack;Umhangständer aus Mahagoni
Mahogany chest;Truhe aus Mahagoni
Mahogany feeder;Futterspender aus Mahagoni
Mahogany house;Mahagonihaus
Mahogany outfit stand;Kleiderständer aus Mahagoni
Mahogany prize chest;Preistruhe aus Mahagoni
Mahogany sapling;Mahagoni-Setzling
Mahogany scratching post;Kratzbaum aus Mahagoni
Mahogany table;Tisch aus Mahagoni
Mahogany tree;Mahagonibaum
Mahogany tree stump;Mahagonibaumstumpf
Mahogany trophy case;Trophäenkoffer aus Mahagoni
Mahogany wall decoration;Wanddekoration aus Mahagoni
Making Friends with My Arm display;Ausstellung „Freunde finden mit meinem Arm“.
Man hidden;Mann versteckt
Man trap;Menschenfalle
Mandibular Maximus;Unterkiefer Maximus
Mangle;Mangel
Manhole;Mannloch
Manhole cover;Schachtabdeckung
Mannequin;Mannequin
Map;Karte
Map space;Kartenraum
Map table;Kartentisch
Maple Tree;Ahornbaum
Maple birdhouse;Vogelhaus aus Ahorn
Maple birdhouse (empty);Ahorn-Vogelhaus (leer)
Maple tree;Ahornbaum
Marble adventure log;Marmor-Abenteuerprotokoll
Marble bench;Marmorbank
Marble cape rack;Umhangständer aus Marmor
Marble fireplace;Marmorkamin
Marble hidden;Marmor versteckt
Marble trap;Marmorfalle
Marble wall;Marmorwand
Marigold;Ringelblume
Marigolds;Ringelblumen
Marim Portal;Marim-Portal
Mark of Darkness;Zeichen der Dunkelheit
Mark of Power;Zeichen der Macht
Marked wall;Markierte Wand
Marker;Marker
Market Stall;Marktstand
Market stall;Marktstand
Marshy jungle vine;Sumpfige Dschungelrebe
Marv (Well);Marv (Nun)
Marv (ghastly!);Marv (schrecklich!)
Marv (sick);Marv (krank)
Marv (very sick);Marv (sehr krank)
Massive ribs;Massive Rippen
Massive storage unit;Riesige Aufbewahrungseinheit
Mast;Mast
Master clue scroll display;Meisterhinweis-Schriftrollenanzeige
Mature Asgarnian Ale;Reifes Asgarnian Ale
Mature Axeman's Folly;Die Torheit des reifen Axtkämpfers
Mature Chef's Delight;Ein Genuss für reife Köche
Mature Cider;Reifer Apfelwein
Mature Dragon Bitter;Reifer Drachenbitter
Mature Dwarven Stout;Reifes Zwergenbier
Mature Greenmans Ale;Reifes Greenmans Ale
Mature Moonlight Mead;Reifer Moonlight Met
Mature Slayer's Respite;Atempause des reifen Jägers
Mature Wizards Mind Bomb;Reife Zauberer-Gedankenbombe
Mature juniper tree;Reifer Wacholderbaum
Mausoleum;Mausoleum
Mausoleum Door;Mausoleumstür
Mausoleum door;Mausoleumstür
Meat table;Fleischtisch
Meat tree;Fleischbaum
Medical table;Medizinischer Tisch
Medium Boulder;Mittlerer Felsbrocken
Medium Fossil Display;Mittlere Fossilienausstellung
Medium Jungle;Mittlerer Dschungel
Medium fence;Mittlerer Zaun
Medium storage unit;Mittlere Lagereinheit
Medivaemia root;Medivemia-Wurzel
Medpack Box;Medpack-Box
Meilyr Banner;Meilyr-Banner
Melting Pot;Schmelztiegel
Memorial;Denkmal
Memoriam Device;Memoriam-Gerät
Mercenary;Söldner
Merfolk Skeleton;Meervolk-Skelett
Metal;Metall
Metal Press;Metallpresse
Metal bird;Metallvogel
Metal door;Metalltür
Metal gate;Metalltor
Metal ladder;Metallleiter
Metal pieces;Metallteile
Metal stand;Metallständer
Mighty torrent;Mächtiger Torrent
Milk Urns;Milchurnen
Mill;Mühle
Millstones;Mühlsteine
Mind Altar Portal;Mind-Altar-Portal
Mind Door;Gedankentür
Mind rift;Geistesriss
Mine Cart;Minenwagen
Mine cart;Mein Wagen
Mine cart sign;Minenwagenschild
Mine cave;Meine Höhle
Mine door;Meine Tür
Mine door entrance;Eingang zur Minentür
Minecart;Minecart
Mineral vein;Mineralader
Mirror;Spiegel
Mithril armour;Mithril-Rüstung
Mithril door;Mithril-Tür
Molanisk;Molanisk
Mole hill;Maulwurfshügel
Money Pot;Geldtopf
Monkey Madness 2 display;Monkey Madness 2-Anzeige
Monkey Statue;Affenstatue
Monkey bars;Klettergerüste
Monkey trap;Affenfalle
Monkeybars;Klettergerüste
Monster space;Monsterraum
Monument;Monument
Monumental chest;Monumentale Truhe
Moonlight Mead;Mondscheinmet
Morytania painting;Morytania-Gemälde
Mossy branch;Bemooster Zweig
Mossy rock;Moosiger Stein
Moth;Motte
Moths;Motten
Mould;Schimmel
Mound of earth;Erdhügel
Mounted Achievement Diary Cape;Berittener Leistungstagebuch-Umhang
Mounted Agility Cape;Berittener Agility-Umhang
Mounted Agility Cape (t);Berittener Agility-Umhang (t)
Mounted Attack Cape;Berittener Angriffsumhang
Mounted Attack Cape (t);Berittener Angriffsumhang (t)
Mounted Champion's Cape;Umhang des berittenen Champions
Mounted Coins;Aufgesetzte Münzen
Mounted Construction Cape;Befestigter Bauumhang
Mounted Construction Cape (t);Befestigter Bauumhang (t)
Mounted Cooking Cape;Befestigter Kochumhang
Mounted Cooking Cape (t);Montierter Kochumhang (t)
Mounted Crafting Cape;Berittener Handwerksumhang
Mounted Crafting Cape (t);Berittener Handwerksumhang (t)
Mounted Defence Cape;Berittener Verteidigungsumhang
Mounted Defence Cape (t);Berittener Verteidigungsumhang (t)
Mounted Emblem;Aufgesetztes Emblem
Mounted Farming Cape;Berittener Bauernumhang
Mounted Farming Cape (t);Berittener Bauernumhang (t)
Mounted Fire Cape;Berittener Feuerumhang
Mounted Firemaking Cape;Berittener Feuermacher-Umhang
Mounted Firemaking Cape (t);Berittener Feuermacherumhang (t)
Mounted Fishing Cape;Berittener Angelumhang
Mounted Fishing Cape (t);Angelumhang montiert (t)
Mounted Fletching Cape;Berittener Befiederungsumhang
Mounted Fletching Cape (t);Berittener Befiederungsumhang (t)
Mounted Head;Berittener Kopf
Mounted Head Space;Angebrachter Kopfraum
Mounted Herblore Cape;Berittener Herblore-Umhang
Mounted Herblore Cape (t);Berittener Herblore-Umhang (t)
Mounted Hitpoints Cape;Berittener Hitpoints-Umhang
Mounted Hitpoints Cape (t);Berittener Hitpoints-Umhang (t)
Mounted Hunting Cape;Berittener Jagdumhang
Mounted Hunting Cape (t);Berittener Jagdumhang (t)
Mounted Infernal Cape;Berittener Höllenumhang
Mounted Magic Cape;Berittener Zauberumhang
Mounted Magic Cape (t);Berittener Zauberumhang (t)
Mounted Max Cape;Berittener Max Cape
Mounted Mining Cape;Berittenes Bergbaukap
Mounted Mining Cape (t);Berittener Bergbaukap (t)
Mounted Music Cape;Berittener Musikumhang
Mounted Mythical Cape;Berittener mythischer Umhang
Mounted Prayer Cape;Berittener Gebetsumhang
Mounted Prayer Cape (t);Berittener Gebetsumhang (t)
Mounted Quest Cape;Berittenes Quest-Kap
Mounted Ranged Cape;Berittener Fernkampfkap
Mounted Ranged Cape (t);Berittener Fernkampfumhang (t)
Mounted Runecrafting Cape;Berittener Umhang der Runenfertigung
Mounted Runecrafting Cape (t);Berittener Runenfertigungsumhang (t)
Mounted Slayer Cape;Umhang des berittenen Jägers
Mounted Slayer Cape (t);Umhang des berittenen Jägers (t)
Mounted Smithing Cape;Berittener Schmiedeumhang
Mounted Smithing Cape (t);Berittener Schmiedeumhang (t)
Mounted Strength Cape;Berittener Kraftumhang
Mounted Strength Cape (t);Berittener Kraftumhang (t)
Mounted Thieving Cape;Berittener Diebesumhang
Mounted Thieving Cape (t);Berittener Diebesumhang (t)
Mounted Woodcutting Cape;Befestigter Holzfällerumhang
Mounted Woodcutting Cape (t);Berittener Holzfällerumhang (t)
Mounted Xeric's Champion;Xerics berittener Champion
Mounted Xeric's General;Berittener General von Xeric
Mounted Xeric's Guard;Berittene Xerics Wache
Mounted Xeric's Sentinel;Xerics Wächter beritten
Mounted Xeric's Warrior;Berittener Xerics Krieger
Mounted harpoonfish;Berittener Harpunenfisch
Mounted sea bass;Berittener Wolfsbarsch
Mounted shark;Berittener Hai
Mounted swordfish;Berittener Schwertfisch
Mourner;Trauernde
Mouse hole;Mauseloch
Mud;Dreck
Mud mound;Schlammhügel
Mud patch;Schlammfleck
Mud pile;Schlammhaufen
Mud pit;Schlammgrube
Muddy patch;Schlammiger Fleck
Mudpile;Schlammhaufen
Multicannon parts;Teile für mehrere Kanonen
Mummy;Mumie
Mural;Wandgemälde
Mushroo;Pilz
Mushroom;Pilz
Mushroom patch;Pilzbeet
Mushroom torch;Pilzfackel
Mushrooms;Pilze
Mushtoise;Mushtoise
Mushtree;Mushtree
Mushy Bed;Matschiges Bett
Music Scores;Musikpartituren
Music Stand;Notenständer
Musical space;Musikalischer Raum
Musty bookshelf;Muffiges Bücherregal
My life;Mein Leben
Mysterious glow;Geheimnisvolles Leuchten
Mysterious pipe;Geheimnisvolle Pfeife
Mysterious pool;Geheimnisvoller Pool
Mysterious ruins;Geheimnisvolle Ruinen
Mysterious statue;Geheimnisvolle Statue
Mysterious stone;Geheimnisvoller Stein
Mystic portal;Mystisches Portal
Mystic symbol;Mystisches Symbol
Mystical barrier;Mystische Barriere
Mystical barrier (orange);Mystische Barriere (orange)
Mystical barrier (red);Mystische Barriere (rot)
Mystical door;Mystische Tür
Mystical mirror;Mystischer Spiegel
Mythic Statue;Mythische Statue
Mythical cape;Mythischer Umhang
Nails;Nägel
Narrow gap;Enge Lücke
Narrow wall;Schmale Wand
Nasturtium;Kapuzinerkresse
Nature house;Naturhaus
Nature rift;Naturriss
Navigator's table;Navigatortisch
Ned's Table;Neds Tisch
Nest;Nest
Net;Netto
Net trap;Netzfalle
Nettles;Brennnesseln
Neutral Barrier;Neutrale Barriere
New farming patch;Neuer Landwirtschafts-Patch
Newspapers;Zeitungen
Nightmare;Alptraum
Nightmare Berries;Albtraumbeeren
Nightmare Blossom;Albtraumblüte
Nightmare Topiary;Albtraum-Topiary
Nightmare display;Albtraumdarstellung
Nightmare zone display;Anzeige der Albtraumzone
Nine;Neun
Node;Knoten
Note;Notiz
Nothing;Nichts
Notice;Beachten
Notice board;Schild
Noticeboard;Schwarzes Brett
Notices;Hinweise
Novice Flag;Anfängerflagge
Novice flag;Anfängerflagge
Noxious tendrils;Schädliche Ranken
Oak;Eiche
Oak Tree;Eiche
Oak bench;Eichenbank
Oak birdhouse;Vogelhaus aus Eiche
Oak birdhouse (empty);Vogelhaus aus Eiche (leer)
Oak cape rack;Umhangregal aus Eichenholz
Oak chair;Eichenstuhl
Oak chest;Truhe aus Eiche
Oak drawers;Schubladen aus Eiche
Oak feeder;Eichenfutterhäuschen
Oak house;Eichenhaus
Oak outfit stand;Kleiderständer aus Eichenholz
Oak prize chest;Preistruhe aus Eichenholz
Oak scratching post;Kratzbaum aus Eiche
Oak table;Eichentisch
Oak tree;Eiche
Oak tree stump;Eichenstumpf
Oak trophy case;Trophäenkoffer aus Eichenholz
Oak wall decoration;Wanddekoration aus Eiche
Oak wardrobe;Kleiderschrank aus Eiche
Oaknock statue;Oaknock-Statue
Oaknock's Machine;Oaknocks Maschine
Oaknock's exchanger;Oaknocks Austauscher
Oaknock's machine;Oaknocks Maschine
Obelisk;Obelisk
Obelisk of Air;Obelisk der Luft
Obelisk of Earth;Obelisk der Erde
Obelisk of Fire;Obelisk des Feuers
Obelisk of Water;Obelisk des Wassers
Obsidian bench;Obsidianbank
Obsidian fence;Obsidianzaun
Obsidian fence post;Obsidian-Zaunpfosten
Obstacle;Hindernis
Obstacle net;Hindernisnetz
Obstacle pipe;Hindernisrohr
Occupied Cormorant perch;Besetzter Kormoranbarsch
Occupied perch;Besetzter Barsch
Odd looking wall;Seltsam aussehende Wand
Odd markings;Seltsame Markierungen
Office table;Bürotisch
Official Order of Construction;Offizielle Bauordnung
Ogre Coffin;Oger-Sarg
Ogre Drums;Ogertrommeln
Ogre barricade;Oger-Barrikade
Ogre bed;Ogerbett
Ogre bench;Ogerbank
Ogre fire;Ogerfeuer
Ogre spit-roast;Oger-Spießbraten
Ogre stone door;Oger-Steintür
Oil lamp;Öllampe
Olaf's boat;Olafs Boot
Old Bookshelf;Altes Bücherregal
Old Crane;Alter Kran
Old Memorial;Altes Denkmal
Old Shrine;Alter Schrein
Old Stall;Alter Stall
Old axe;Alte Axt
Old bookshelf;Altes Bücherregal
Old crane;Alter Kran
Old fire pit;Alte Feuerstelle
Old log;Altes Protokoll
Old passageway;Alter Durchgang
Old ruin entrance;Alter Ruineneingang
Old sacks;Alte Säcke
Old tools;Alte Werkzeuge
Old tree;Alter Baum
Old wall;Alte Mauer
Old well;Alter Brunnen
Olmic pillar;Olmische Säule
Ominous Fishing Spot;Unheilvoller Angelplatz
One;Eins
Onion;Zwiebel
Onion basket;Zwiebelkorb
Onion plant;Zwiebelpflanze
Onion seeds;Zwiebelsamen
Oojimaflip;Oojimaflip
Oozing barrier;Nässende Barriere
Open Chest;Öffne die Truhe
Open Cupboard;Offener Schrank
Open Door;Offene Tür
Open chest;Offene Brust
Open gate;Tor öffnen
Open hot vent door;Heiße Entlüftungstür öffnen
Open statue;Offene Statue
Open trapdoor;Falltür öffnen
Opened gold chest;Geöffnete goldene Truhe
Opening;Öffnung
Operating Table;Operationstisch
Operating table;Operationstisch
Operation chair;Operationsstuhl
Operation table;Operationstisch
Opulent rug;Opulenter Teppich
Opulent table;Opulenter Tisch
Orange door;Orangefarbene Tür
Orange tree;Orangenbaum
Orange tree stump;Orangenbaumstumpf
Orb;Kugel
Orchid;Orchidee
Orchids;Orchideen
Ore crate;Erzkiste
Ore sack;Erzsack
Ore stones;Erzsteine
Ore table;Erztisch
Ore vein;Erzader
Organ;Orgel
Ornament;Ornament
Ornamental anvil;Zieramboss
Ornamental fountain;Zierbrunnen
Ornamental globe;Zierglobus
Ornate Jewellery Box;Verzierte Schmuckschatulle
Ornate banner stand;Verzierter Bannerständer
Ornate candle;Verzierte Kerze
Ornate combat dummy;Verzierte Kampfpuppe
Ornate dragon combat dummy;Verzierte Drachenkampfpuppe
Ornate kalphite combat dummy;Verzierte Kampfpuppe aus Kalphit
Ornate kurask combat dummy;Verzierte Kampfpuppe aus Kurask
Ornate league statue;Verzierte Ligastatue
Ornate lockbox;Verziertes Schließfach
Ornate pool of Rejuvenation;Kunstvoller Pool der Verjüngung
Ornate railing;Verziertes Geländer
Ornate trophy pedestal;Verzierter Trophäensockel
Ornate undead combat dummy;Verzierte Untoten-Kampfpuppe
Ornate vampyre combat dummy;Verzierte Vampir-Kampfpuppe
Ornate vase;Kunstvolle Vase
Ornate wilderness combat dummy;Verzierte Wildnis-Kampfattrappe
Orrery;Orrery
Otherworldly garden;Jenseitiger Garten
Otherworldly theme;Jenseitiges Thema
Our lives;Unser Leben
Outfit stand space;Platz für den Outfit-Stand
Output Tap;Ausgangshahn
Oven;Ofen
Overhanging rock;Überhängender Felsen
Overload potion;Überladungstrank
Owl Statue;Eulenstatue
Pack;Pack
Pagoda Fungus;Pagodenpilz
Painting;Malerei
Painting stand;Lackierständer
Paladin;Paladin
Palm;Palme
Palm tree;Palme
Palm tree stump;Palmenstumpf
Panel;Panel
Panning point;Schwenkpunkt
Panning tray;Schwenktablett
Papaya tree;Papayabaum
Papaya tree stump;Papaya-Baumstumpf
Paper;Papier
Parasol;Sonnenschirm
Parchment;Pergament
Partial fence;Teilweiser Zaun
