 Sneaky undead fowl;Heimtückisches untotes Geflügel
Knight of the Lion;Ritter des Löwen
Knight of the Owl;Ritter der Eule
Knight of the Unicorn;Ritter des Einhorns
Knight of the Wolf;Ritter des Wolfes
Koanee;Koanee
Kob;Kob
Koftik;Koftik
Kolodion;Kolodion
Konar quo Maten;Konar quo Maten
Konoo;Konoo
Kormar quo Maten;Kormar quo Maten
Kortan;Kortan
Koschei the Deathless;Koschei der Unsterbliche
Koschei the deathless;Koschei der Unsterbliche
Kragen;Kragen
Kraka;Kraka
Kraken;Krake
Krato;Krato
Kree'arra;Kree'arra
Kree'arra Jr.;Kree'arra Jr.
Kroy;Kroy
Kruk;Kruk
Kryket bat;Kryket-Fledermaus
Krystilia;Krystilia
Ksenia;Ksenia
Kualti;Kualti
Kubec Unkar;Kubec Unkar
Kurask;Kurask
Kurt;Kurt
Kylie Minnow;Kylie Minnow
Lacey;Lacey
Lady Carys Hefin;Lady Carys Hefin
Lady Crombwick;Lady Crombwick
Lady Ffion Meilyr;Lady Ffion Meilyr
Lady Keli;Lady Keli
Lady Kelyn Ithell;Lady Kelyn Ithell
Lady Nadezhda Shadum;Lady Nadezhda Shadum
Lady Servil;Lady Servil
Lady Shauna Piscarilius;Lady Shauna Piscarilius
Lady Table;Damentisch
Lady Tangwen Trahaearn;Lady Tangwen Trahaearn
Lady Vulcana Lovakengj;Lady Vulcana Lovakengj
Lahsram;Lahsram
Lalli;Lalli
Lamb;Lamm
Lammy Langle;Lammy Langle
Lan the Butcher;Lan der Metzger
Lanthus;Lanthus
Lanzig;Lanzig
Large mosquito;Große Mücke
Large zombie monkey;Großer Zombie-Affe
Larran;Larran
Larrissa;Larrissa
Larry;Larry
Larxus;Larxus
Lasenna Rasputin;Lasenna Rasputin
Lathas;Lathas
Latlink Fastbell;Latlink Fastbell
Launa;Launa
Lauretta;Lauretta
Lava beast;Lavabestie
Lava dragon;Lavadrache
Layleen;Layleen
Lazim;Lazim
Lazy cat;Faule Katze
Lazy hellcat;Faule Höllenkatze
Le-sabrè;Le-sabrè
Lead Navigator;Leitender Navigator
Leagues Assistant;Assistent der Liga
Leagues Tutor;Ligen-Tutor
Leatherworker;Lederarbeiter
Lector Gura;Lektor Gura
Leech;Blutegel
Leech display;Blutegel-Anzeige
Leela;Leela
Leenz;Leenz
Left head;Linker Kopf
Legends guard;Legendenwächter
Leke quo Keran;Leke quo Keran
Lenny;Lenny
Lensa;Lensa
Lenwe;Lenwe
Lenyig Karna;Lenyig Karna
Leo;Löwe
Leon;Leon
Leon d'Cour;Leon d'Cour
Lesser Fanatic;Geringerer Fanatiker
Lesser demon;Kleiner Dämon
Lesser ghostly thrall;Geringerer Geisterknecht
Lesser skeletal thrall;Geringerer Skelettknecht
Lev;Lev
Li'l lamb;Kleines Lamm
Liam;Liam
Librarian;Bibliothekar
Lidio;Lidio
Lieutenant Schepbur;Leutnant Schepbur
Lieve McCracken;Lieve McCracken
Light creature;Leichtes Wesen
Lil' Bloat;Lil' Bloat
Lil' Creator;Kleiner Schöpfer
Lil' Destructor;Kleiner Zerstörer
Lil' Maiden;Kleines Mädchen
Lil' Nylo;Lil' Nylo
Lil' Sot;Lil' Sot
Lil' Xarp;Lil' Xarp
Lil' Zik;Lil‘ Zik
Lilifang;Lilifang
Liliwen;Liliwen
Liliya;Liliya
Lillia;Lillia
Lilly;Lilly
Lindir;Lindir
Linen worker;Leinenarbeiter
Lisa;Lisa
Lisse Isaakson;Lisse Isaakson
Litara;Litara
Lithil;Lithil
Little Nightmare;Kleiner Albtraum
Little Parasite;Kleiner Parasit
Lizard;Eidechse
Lizard display;Eidechsenausstellung
Lizardman;Echsenmann
Lizardman brute;Echsenmensch, brutal
Lizardman shaman;Schamane des Echsenmenschen
Lleidr Golau;Lleidr Golau
Lliann;Lliann
Loading crane;Ladekran
Loar Shade;Loar Shade
Lobstrosity;Lobstrosität
Local;Lokal
Local Gnome;Lokaler Gnom
Locust;Heuschrecke
Locust rider;Heuschreckenreiter
Lofu;Lofu
Logava;Logava
Logios;Logios
Logosia;Logosia
Loinur;Loinur
Lokar Searunner;Lokar Searunner
Loki;Loki
Lokraa quo Sihar;Lokraa quo Sihar
Lollk;Lollk
Long-tailed Wyvern;Langschwanzwyvern
Longbow Ben;Langbogen Ben
Longhall Bouncer;Longhall-Türsteher
Look-out;Achtung
Looming shadow;Drohender Schatten
Lord Alexei Jovkai;Lord Alexei Jovkai
Lord Baxtorian Cadarn;Lord Baxtorian Cadarn
Lord Crombwick;Lord Crombwick
Lord Daquarius;Lord Daquarius
Lord Iestin Iorwerth;Lord Iestin Iorwerth
Lord Ieuan Amlodd;Lord Ieuan Amlodd
Lord Iorwerth;Lord Iorwerth
Lord Kandur Hosidius;Lord Kandur Hosidius
Lord Marshal Brogan;Lordmarschall Brogan
Lord Mischa Myrmel;Lord Mischa Myrmel
Lord Pandur Hosidius;Lord Pandur Hosidius
Lord Piquan Crwys;Lord Piquan Crwys
Lord Rologarth;Lord Rologarth
Lord Shiro Shayzien;Lord Shiro Shayzien
Lord Trobin Arceuus;Lord Trobin Arceuus
Lorelai;Lorelai
Lornor quo Narga;Lornor quo Narga
Lorraine;Lothringen
Lost barbarian;Verlorener Barbar
Louie Legs;Louie-Beine
Louisa;Louisa
Lovada;Lovada
Lovakengj Engineer;Lovakengj-Ingenieur
Love Cats;Liebe Katzen
Lowe;Lowe
Lowerniel Drakan;Lowerniel Drakan
Lubufu;Lubufu
Lucien;Lucien
Lucky impling;Glücksbringer
Lucy;Lucy
Lumberjack Leif;Holzfäller Leif
Lumbridge Guide;Lumbridge-Führer
Lumdo;Lumdo
Lumiere;Lumiere
Luminata;Luminata
Lumo;Lumo
Luna;Luna
Lundail;Lundail
Lunderwin;Lunderwin
Lurgon;Lurgon
Luscion;Luscion
Luthas;Luthas
Lutwidge;Lutwidge
Lux grub;Lux-Essen
Lynx;Luchs
Lynx Tamer;Luchsbändiger
Lyra;Lyra
Mac;Mac
Macaroni Penguin;Makkaroni-Pinguin
Mad skavid;Verrückter Skavid
Madame Caldarium;Madame Caldarium
Maedhros;Maedhros
Maeglin;Maeglin
Mage (easy);Magier (einfach)
Mage of Zamorak;Magier von Zamorak
Magic Instructor;Zauberlehrer
Magic axe;Zauberaxt
Magic combat tutor;Tutor für magischen Kampf
Magnus Gram;Magnus Gramm
Magpie impling;Elster fleht an
Mahtan;Mahtan
Maid;Dienstmädchen
Mairin;Mairin
Maisa;Maisa
Major Attack;Schwerer Angriff
Major Collect;Major Collect
Major Defend;Hauptverteidigung
Major Heal;Große Heilung
Make-over mage;Make-over-Magier
Malak;Malak
Male slave;Männlicher Sklave
Malevolent Mage;Böswilliger Magier
Malignius Mortifer;Malignius Mortifer
Mallak quo Keran;Mallak quo Keran
Mama;Mama
Mamma Bufetta;Mama Buffetta
Mammoth;Mammut
Man;Mann
Mandrith;Mandrith
Mandy;Mandy
Maniacal Monkey Archer;Wahnsinniger Affenbogenschütze
Maniacal monkey;Wahnsinniger Affe
Manni the Reveller;Manni der Nachtschwärmer
Marble gargoyle;Wasserspeier aus Marmor
Marfet;Marfet
Maria Gadderanks;Maria Gadderanks
Maria Gunnars;Maria Gunnars
Mariah;Mariah
Marisi;Marisi
Marius;Marius
Marius Giste;Marius Giste
Mark;Markieren
Market Guard;Marktwächter
Market seller;Marktverkäufer
Markog;Markog
Marley;Marley
Marlo;Marlo
Marmor quo Narga;Marmor quo Narga
Marten;Marder
Martha Rehnison;Martha Rehnison
Martin Holt;Martin Holt
Martin Thwait;Martin Thwait
Martin the Master Gardener;Martin der Meistergärtner
Martina Scorsby;Martina Scorsby
Marwolaeth Dawnsio;Marwolaeth Dawnsio
Mary;Maria
Master Chef;Meisterkoch
Master Crafter;Meisterhandwerker
Master Farmer;Meisterbauer
Master Navigator;Meisternavigator
Master fisher;Meisterfischer
Master smithing tutor;Meisterlehrer für Schmiedekunst
Matilda;Matilda
Matthew;Matthäus
Matthias;Matthias
Mattimeo;Mattimeo
Mawnis Burowgar;Mawnis Burowgar
Mawrth;Mawrth
Mayor Hobb;Bürgermeister Hobb
Maz;Maz
Mazchna;Mazchna
Maze Guardian;Labyrinthwächter
Mazion;Mazion
Me;Mich
Me (hard);Ich (hart)
Meddwl Ymlaen Llaw;Meddwl Ymlaen Llaw
Medium ninja monkey;Mittlerer Ninja-Affe
Meegle;Meegle
Megan;Megan
Meiyerditch citizen;Meiyerditch-Bürger
Meiyerditch miner;Meiyerditch-Bergmann
Mekritus A'hara;Mekritus A'hara
Melana Moonlander;Melana Moonlander
Melee combat tutor;Lehrer für Nahkampf
Meleti;Meleti
Melina;Melina
Melvin;Melvin
Melzar the Mad;Melzar der Verrückte
Memory of Seren;Erinnerung an Seren
Menaphite Leader;Menaphitischer Anführer
Menaphite Thug;Menaphitischer Schläger
Menaphite guard;Menaphitischer Wächter
Mercenary;Söldner
Mercenary Captain;Söldnerkapitän
Mercy;Barmherzigkeit
Meredith;Meredith
Merlin;Merlin
Mernia;Mernia
Mernik;Mernik
Meskhenet;Meschenet
Metarialus;Metarialos
Meteora;Meteora
Mi-Gor;Mi-Gor
Mia;Mia
Miala;Miala
Miazrqa;Miazrqa
Middle head;Mittlerer Kopf
Midnight;Mitternacht
Mihail;Michail
Mike;Mikrofon
Miles;Meilen
Milla;Milla
Milli Rehnison;Milli Rehnison
Millie Miller;Millie Miller
Miltog;Miltog
Mime;Mime
Mimm;Mimm
Mind Golem;Gedankengolem
Mine Cart;Minenwagen
Mine cart;Mein Wagen
Mine cart driver;Minenwagenfahrer
Mine supervisor;Minenaufseher
Miner;Bergmann
Miner Magnus;Bergmann Magnus
Miniature chaotic clouds;Miniatur-Chaotische Wolken
Mining Instructor;Bergbaulehrer
Mining tutor;Nachhilfelehrer für Bergbau
Minotaur;Minotaur
Miriam;Miriam
Miriel;Miriel
Mischievous ghost;Boshafter Geist
Misdrievus Shadum;Misdrievus Shadum
Mishkal'un Dorn;Mishkal'un Dorn
Miss Cheevers;Miss Cheevers
Miss Schism;Miss Schism
Mist;Nebel
Mistag;Mistag
Mithrellas;Mithrellas
Mithril dragon;Mithril-Drache
Mithril ore;Mithril-Erz
Mittens;Fäustlinge
Mizaru;Mizaru
Moe;Moe
Mofina;Mofina
Moggy;Moggy
Mogre;Mogre
Mogre Guard;Mogerwache
Mogrim;Mogrim
Molanisk;Molanisk
Moldof;Moldof
Mole display;Maulwurf-Anzeige
Molly;Molly
Monk;Mönch
Monk of Entrana;Mönch von Entrana
Monk of Zamorak;Mönch von Zamorak
Monkey;Affe
Monkey Archer;Affenschütze
Monkey Child;Affenkind
Monkey Guard;Affenwache
Monkey Zombie;Affen-Zombie
Monkey display;Affen-Display
Monkey guard;Affenwächter
Monkey minder;Affenbetreuer
Monkey on unicorn;Affe auf Einhorn
Monstrous Basilisk;Monströser Basilisk
Monstrous basilisk;Monströser Basilisk
Mord Gunnars;Mord Gunnars
Mordan Nikazsi;Mordan Nikazsi
Morgan;Morgan
Morgan Le Faye;Morgan Le Faye
Mori;Mori
Morris;Morris
Mort Nightshade;Mort Nachtschatten
Mort'ton Local;Mort'ton Local
Mort'ton local;Mort'ton lokal
Morten Holdstrom;Morten Holdstrom
Mortina Daubenton;Mortina Daubenton
Morvran;Morvran
Mosol Rei;Mosol Rei
Mosquito swarm;Mückenschwarm
Moss Giant;Moosriese
Moss Guardian;Mooswächter
Moss Guardian (hard);Mooswächter (schwer)
Moss giant;Moosriese
Most of a Zombie;Größtenteils ein Zombie
Mother;Mutter
Mother Mallum;Mutter Mallum
Moths;Motten
Mountain Dwarf;Bergzwerg
Mountain Goat;Bergziege
Mountain Guide;Bergführer
Mountain goat;Bergziege
Mountain troll;Bergtroll
Mounted terrorbird gnome;Berittener Terrorvogelzwerg
Mounted terrorchick gnome;Berittener Terrorkükenzwerg
Mourner;Trauernde
Mouse;Maus
Movario;Movario
Mr. Mordaut;Herr Mordaut
Ms. Hynn Terprett;Frau Hynn Terprett
Mubariz;Mubariz
Mudskipper;Schlammspringer
Mugger;Straßenräuber
Mummy;Mumie
Mummy ashes;Mumienasche
Munty;Munty
Murcaily;Murcaily
Murfet;Murfet
Murky Matt (runes);Murky Matt (Runen)
Murky Pat;Murky Pat
Murng bat;Murng-Fledermaus
Murphy;Murphy
Muruwoi;Muruwoi
Museum guard;Museumswächter
Mushroom;Pilz
Mutant tarn;Mutierter Tarn
Mutated Bloodveld;Mutiertes Bloodveld
Muttadile;Muttadile
My Arm;Mein Arm
Myndill;Myndill
Myre Blamish Snail;Myre Blamish Schnecke
Mysterious Adventurer;Geheimnisvoller Abenteurer
Mysterious Figure;Geheimnisvolle Figur
Mysterious Old Man;Geheimnisvoller alter Mann
Mysterious Stranger;Geheimnisvoller Fremder
Mysterious Voice;Geheimnisvolle Stimme
Mysterious ghost;Geheimnisvoller Geist
Mystery figure;Geheimnisvolle Figur
Naghead;Naghead
Nail beast;Nagelbiest
Nakasa Jovkai;Nakasa Jovkai
Nardah Banker;Nardah Banker
Nardok;Nardok
Narf;Narf
Natalidae Shadum;Natalidae Shadum
Nathifa;Nathifa
Natural Historian;Naturhistoriker
Natural historian;Naturhistoriker
Nature Spirit;Naturgeist
Nature impling;Die Natur impliziert
Nazastarool;Nazastarool
Nazastarool (hard);Nazastarool (hart)
Nechryael;Nechrjael
Nechryarch;Nechryarch
Necromancer;Nekromant
Necrovarus;Necrovarus
Ned;Ned
Neferti the Camel;Nofretete das Kamel
Neil;Neil
Neite;Neite
Nellas;Nellas
Nemishka;Nemishka
Nerdanel;Nerdanel
Nesty;Nesty
New Recruit Tony;Neuer Rekrut Tony
Newtroost;Newtroost
Nezikchened;Nezikchened
Nezikchened (hard);Nezikchened (hart)
Nia;Nia
Nicholas;Nikolaus
Nick;Nick
Nickolaus;Nickolaus
Nicoleta;Nicoleta
Nieve;Nieve
Nigel;Nigel
Night beast;Nachtbiest
Nikita;Nikita
Nikkie;Nikkie
Nikolai;Nikolai
Niles;Niles
Niloof;Niloof
Nimloth;Nimloth
Nimrodel;Nimrodel
Ninja impling;Ninja flehte an
Nipper;Zange
Nirrie;Nirrie
Nisha;Nisha
Nkuku;Nkuku
Noctillion Lugosi;Noctillion Lugosi
Noella;Noella
Nolar;Nolar
Nomad;Nomade
Noodle;Nudel
Noon;Mittag
Nora T. Hagg;Nora T. Hagg
Noranna Tytanin;Noranna Tytanin
Norman;normannisch
Not Bob;Nicht Bob
Noterazzo;Noterazzo
Novice;Anfänger
Nuclear smoke devil;Nuklearer Rauchteufel
Nulodion;Nulodion
Numpty;Numpty
Nung;Nung
Nurmof;Nurmof
Nurse Boubou;Schwester Boubou
Nurse Emma Gentsy;Krankenschwester Emma Gentsy
Nurse Inn'Juree;Schwester Inn'Juree
Nurse Sarah;Krankenschwester Sarah
Nurse Wooned;Krankenschwester Wooned
Nylocas;Nylocas
Nylocas Athanatos;Nylocas Athanatos
Nylocas Hagios;Nylocas Hagios
Nylocas Ischyros;Nylocas Ischyros
Nylocas Matomenos;Nylocas Matomenos
Nylocas Prinkipas;Nylocas Prinkipas
Nylocas Queen;Nylocas-Königin
Nylocas Toxobolos;Nylocas Toxobolos
Nylocas Vasilias;Nylocas Vasilias
Oaknock the Engineer;Oaknock der Ingenieur
Oath Lord D'rows;Eid, Lord D'rows
Oathbreaker B'ats;Eidbrecher-B'ats
Oathbreaker E'piws;Eidbrecher E'piws
Oathbreaker M'als;Eidbrecher M'als
Obli;Obli
Obor;Obor
Observatory assistant;Assistent des Observatoriums
Observatory professor;Professor am Observatorium
Ocga;Ocga
Ochre Blamish Snail;Ockerfarbene Blamish-Schnecke
Odd Mushroom;Seltsamer Pilz
Odd Old Man;Seltsamer alter Mann
Odd Stone;Seltsamer Stein
Odmar;Odmar
Odovacar;Odovacar
Odysseus;Odysseus
Og;Og
Ogre;Ungeheuer
Ogre boat;Ogerboot
Ogre chieftain;Ogerhäuptling
Ogre guard;Ogerwache
Ogre merchant;Oger-Händler
Ogre shaman;Oger-Schamane
Ogre trader;Oger-Händler
Ogress Shaman;Oger-Schamane
Ogress Warrior;Ogress-Krieger
Oipuis;Oipuis
Olaf Hradson;Olaf Hradson
Olaf the Bard;Olaf der Barde
Olbertus;Olbertus
Old Man Ral;Alter Mann Ral
Old Man Yarlo;Alter Mann Yarlo
Old crone;Altes Weib
Old dwarf;Alter Zwerg
Old man;Alter Mann
Oldak;Oldak
Olivia;Olivia
Ollie the Camel;Ollie das Kamel
Olmlet;Olmlet
Omart;Omart
Oneiromancer;Oneiromant
Oobapohk;Oobapohk
Oomlie bird;Oomlie-Vogel
Oozing barrier;Nässende Barriere
Operator;Operator
Oracle;Orakel
Orange salamander;Orangensalamander
Ordan;Ordan
Ork;Ork
Orlando Smith;Orlando Smith
Oronwen;Oronwen
Oropher;Oropher
Orophin;Orophin
Orrvor quo Maten;Orrvor quo Maten
Osian;Osian
Osman;Osman
Ospak;Ospak
Osten;Osten
Osvald;Osvald
Oswald;Oswald
Oswallt;Oswallt
Othainian;Othainisch
Other Half-Zombie;Anderer Halbzombie
Otherworldly being;Jenseitiges Wesen
Otto Godblessed;Otto von Gott gesegnet
Ouditor;Auditor
Ouhai;Ouhai
Outlaw;Verbieten
Overgrown cat;Übergroße Katze
Overgrown hellcat;Überwucherte Höllenkatze
Owl;Eule
Oxi;Oxi
Oziach;Oziach
PKMaster0036;PKMaster0036
Padulah;Padula
Pagida;Pagida
Painted One;Gemalt
Paladin;Paladin
Palmer;Palmer
Pandur Hosidius;Pandur Hosidius
Panning guide;Schwenkanleitung
Parasite;Parasit
Parrot;Papagei
Parrots;Papageien
Parroty Pete;Parroty Pete
Party Pete;Party Pete
Passive Tar Monster;Passives Teermonster
Patchy;Lückenhaft
Patrick;Patrick
Patrolman;Streifenpolizist
Patrolwoman;Streifenpolizistin
Pauline Polaris;Pauline Polaris
Peaceful barbarian spirit;Friedlicher barbarischer Geist
Peasant;Bauer
Pebble;Kiesel
Pee Hat;Pinkelmütze
Peer the Seer;Peer der Seher
Peksa;Peksa
Pelican;Pelikan
Penance Fighter;Buße-Kämpfer
Penance Healer;Bußheiler
Penance Pet;Buße Haustier
Penance Queen;Buße-Königin
Penance Ranger;Buße Ranger
Penance Runner;Bußeläufer
Penda;Penda
Penguin;Pinguin
Penguin display;Pinguin-Ausstellung
Penguin suit;Frack
Pennant;Wimpel
Pentyn;Pentyn
Penwie;Penwie
Perdu;Perdu
Perfect gold ore;Perfektes Golderz
Perrdur;Perrdur
Perry;Perry
Pescaling Pax;Pescaling Pax
Pestilent Bloat;Schädlingsaufblähung
Pet rock;Haustierfelsen
Peter;Peter
Petra Fiyed;Petra Fiyed
Petrified Pete;Der versteinerte Pete
Phabelle Bile;Phabelle Galle
Phantom Hand;Phantomhand
Phantuwti Fanstuwi Farsight;Phantuwti Fanstuwi Farsight
Pheasant;Fasan
Phials;Fläschchen
Phillipa;Phillipa
Philop;Philop
Phingspet;Phingspet
Phluxia bat;Phluxia-Fledermaus
Phoenix;Phönix
Phosani's Nightmare;Phosanis Albtraum
Phrin Shade;Phrin Shade
Phrin Shadow;Phrin Shadow
Pierre;Pierre
Pieve;Pieve
Pig;Schwein
Pig Thing;Schweine-Sache
Piglet;Ferkel
Pile of bones;Knochenhaufen
Piles;Stapel
Pilg;Pilger
Piliar;Piliar
Pillory Guard;Prangerwächter
Ping;Klingeln
Pipistrelle Draynar;Pipistrelle Draynar
Pirate;Pirat
Pirate Guard;Piratenwache
Pirate Jackie the Fruit;Pirat Jackie die Frucht
Pirate Pete;Pirat Pete
Pit Scorpion;Grubenskorpion
Pizazz Hat;Pizazz-Hut
Plague cow;Pestkuh
Plague frog;Pestfrosch
Poison Salesman;Giftverkäufer
Poison Scorpion;Giftskorpion
Poison spider;Giftspinne
Polar eagle;Polaradler
Polmafi Ferdygris;Polmafi Ferdygris
Poltenip;Poltenip
Pong;Pong
Pontak;Pontak
Ponts the Bridgemaster;Ponts der Brückenmeister
Poor looking man;Arm aussehender Mann
Poor looking woman;Arm aussehende Frau
Porazdir;Porazdir
Port Official;Hafenbeamter
Port worker;Hafenarbeiter
Portal;Portal
Portal of Death;Portal des Todes
Portobello;Portobello
Possessed Priest;Besessener Priester
Possessed pickaxe;Besessene Spitzhacke
Postie Pete;Postbote Pete
Pox;Pocken
Prael bat;Prael-Fledermaus
Praistan Ebola;Praistan Ebola
Prayer tutor;Gebetslehrer
Preswylwyr Dall;Preswylwyr Dall
Prickly kebbit;Stacheliger Kebbit
Priest;Priester
Priestess Zul-Gwenwynig;Priesterin Zul-Gwenwynig
Prifddinas guard;Prifddinas Wache
Primula;Primel
Prince Ali;Prinz Ali
Prince Black Dragon;Prinz Schwarzer Drache
Prince Brand;Prinz Brand
Princess Astrid;Prinzessin Astrid
Prison Pete;Gefängnis Pete
Prisoner;Gefangene
Prissy Scilla;Zimperliche Scilla
Private Paldo;Privat Paldo
Private Paldon;Privat Paldon
Private Pendron;Privater Pendron
Private Pierreb;Privat Pierreb
Probita;Probita
Professor Gracklebone;Professor Gracklebone
Professor Imblewyn;Professor Imblewyn
Professor Manglethorp;Professor Manglethorp
Professor Oddenstein;Professor Oddenstein
Professor Onglewip;Professor Onglewip
Prosecutor;Staatsanwalt
Prospector Percy;Prospektor Percy
Protest Leader;Protestführer
Protester;Demonstrant
Psykk bat;Psykk-Fledermaus
Puffer Fish;Kugelfisch
Puffin;Papageientaucher
Pumpy;Pumpy
Puppadile;Welpe
Purepker895;Purepker895
Purple Pewter Director;Direktor aus violettem Zinn
Purple Pewter Secretary;Sekretär aus violettem Zinn
Pusskins;Pusskins
Pyramid block;Pyramidenblock
Pyrefiend;Pyrefinend
Pyrelord;Pyrelord
Pyromancer;Pyromant
Quartermaster;Quartiermeister
Queen Ellamaria;Königin Ellamaria
Queen Sigrid;Königin Sigrid
Queen Zyanyi Arkan;Königin Zyanyi Arkan
Queen spawn;Königinbrut
Quest Guide;Questführer
Quiz Master;Quizmeister
Qutiedoll;Qutiedoll
R4ng3rNo0b889;R4ng3rNo0b889
Rabbit;Kaninchen
Raccoon;Waschbär
Rachael;Rachael
Radat;Radat
Radigad Ponfit;Radigad Ponfit
Radimus Erkle;Radimus Erkle
Radu;Radu
Raeli;Raeli
Raetul;Raetul
Ragnar;Ragnar
Ragnvald;Ragnvald
Rakkar;Rakkar
Ram;RAM
Ramara du Croissant;Ramara du Croissant
Ramarno;Ramarno
Ramocean;Ramocean
Ranael;Ranael
Ranalph Devere;Ranalph Devere
Randivor;Randivor
Ranged combat tutor;Fernkampflehrer
Ranger;Ranger
Ranger (medium);Ranger (mittel)
Ranging Guild Doorman;Türsteher der Ranging-Gilde
Ranis Drakan;Ranis Drakan
Rannveig;Rannveig
Rantz;Rantz
Raqueel;Raqueel
Rashiliyia;Rashiliyia
Rasolo;Rasolo
Rassain;Rassain
Rat;Ratte
Rat Burgiss;Ratte Burgiss
Rauborn;Rauborn
Raulyn;Raulyn
Raum Urda-Stein;Raum Urda-Stein
Ravager;Verwüster
Raven;Rabe
Razmire Keelgan;Razmire Keelgan
Razvan;Razvan
Reach;Erreichen
Reacher;Reacher
Reanimated TzHaar;Wiederbelebte TzHaar
Reanimated abyssal;Wiederbelebter Abgrund
Reanimated aviansie;Wiederbelebter Vogel
Reanimated bear;Wiederbelebter Bär
Reanimated bloodveld;Wiederbelebtes Blutveld
Reanimated chaos druid;Wiederbelebter Chaosdruide
Reanimated dagannoth;Wiederbelebter Dagannoth
Reanimated demon;Wiederbelebter Dämon
Reanimated demon spawn;Wiederbelebter Dämonenbrut
Reanimated dog;Wiederbelebter Hund
Reanimated dragon;Wiederbelebter Drache
Reanimated elf;Wiederbelebter Elf
Reanimated giant;Wiederbelebter Riese
Reanimated goblin;Wiederbelebter Kobold
Reanimated horror;Wiederbelebter Horror
Reanimated imp;Wiederbelebter Kobold
Reanimated kalphite;Wiederbelebter Kalphit
Reanimated minotaur;Wiederbelebter Minotaurus
Reanimated monkey;Wiederbelebter Affe
Reanimated ogre;Wiederbelebter Oger
Reanimated scorpion;Wiederbelebter Skorpion
Reanimated troll;Wiederbelebter Troll
Reanimated unicorn;Wiederbelebtes Einhorn
Rebel Archer;Rebellenbogenschütze
Rebel Scout;Rebellen-Scout
Rebel Warrior;Rebellenkrieger
Recruiter;Personalvermittler
Red;Rot
Red Axe Cat;Rote Axt-Katze
Red Axe Director;Red Axe-Direktor
Red Axe Henchman;Handlanger der Roten Axt
Red Axe Secretary;Red-Axe-Sekretär
Red Monkey;Roter Affe
Red Panda;Roter Panda
Red Sheep;Rotes Schaf
Red dragon;Roter Drache
Red fireflies;Rote Glühwürmchen
Red salamander;Roter Salamander
Redbeard Frank;Rotbart Frank
Reese;Reese
Reeso;Reeso
Ref;Ref
Refugee;Flüchtling
Regath;Regath
Reginald;Reginald
Reinald;Reinald
Reinn;Reinn
Reldak;Reldak
Reldo;Reldo
Relobo Blinyo (logs);Relobo Blinyo (Protokolle)
Remsai;Remsai
Remus Kaninus;Remus Kaninus
Renegade Knight;Abtrünniger Ritter
Renegade knight;Abtrünniger Ritter
Repugnant spectre;Abscheuliches Gespenst
Researcher;Forscher
Reshi;Reshi
Resistance Fighter;Widerstandskämpfer
Respiratory system;Atmungssystem
Restless ghost;Unruhiger Geist
Retired sailor;Matrose im Ruhestand
Revenant cyclops;Wiedergänger-Zyklopen
Revenant dark beast;Wiedergängerisches dunkles Biest
Revenant demon;Wiedergänger-Dämon
Revenant dragon;Wiedergänger-Drache
Revenant goblin;Wiedergänger-Kobold
Revenant hellhound;Wiedergänger-Höllenhund
Revenant hobgoblin;Wiedergänger-Hobkobold
Revenant imp;Wiedergänger-Kobold
Revenant knight;Wiedergängerritter
Revenant ork;Wiedergänger-Ork
Revenant pyrefiend;Wiedergänger-Pyrenfeind
Rewards Guardian;Belohnungswächter
Rhazien;Rhazien
Rhiannon;Rhiannon
Rhoddwr Tan;Rhoddwr Tan
Rhonen;Rhönen
Rhyfel;Rhyfel
Richard;Richard
Richard Flintmaul;Richard Flintmaul
Rick;Rick
Rick Turpentine;Rick Terpentin
Ricketty door;Ricketty-Tür
Rift guardian;Risswächter
Right head;Rechter Kopf
Riki the sculptor's model;Riki, das Modell des Bildhauers
Rimae Sirsalis;Rimae Sirsalis
Rind the gardener;Rinde den Gärtner
Rionasta;Rionasta
River troll;Flusstroll
Riyl Shade;Riyl Shade
Riyl Shadow;Riyl Schatten
Riyl shadow;Riyl-Schatten
Roachey;Roachey
Roavar;Roavar
Robert Boss;Robert Boss
Robert O'Reilly;Robert O'Reilly
Robert the Strong;Robert der Starke
Robin;Robin
Robyn;Robyn
Rock;Felsen
Rock Crab;Felsenkrabbe
Rock Golem;Felsgolem
Rock lobster;Languste
Rock pile;Steinhaufen
Rocks;Felsen
Rockslug;Rockslug
Rocky;Felsig
Rocnar;Rocnar
Rod Fishing spot;Angelplatz für Angelruten
Rogue;Schurke
Rogue Guard;Schurkenwache
Rohak;Rohak
Rokuh;Rokuh
Rolad;Rolad
Rolayne Twickit (hard);Rolayne Twickit (hart)
Romeo;Romeo
Rometti;Rometti
Romily Weaklax;Romily Weaklax
Rommik;Rommik
Ron Gadderanks;Ron Gadderanks
Rooster;Hahn
Root;Wurzel
Rory;Rory
Rosie;Rosie
Ross;Ross
Ross and Ben;Ross und Ben
Rowdy Guard;Rowdy Guard
Rowdy dwarf;Rowdy Zwerg
Rowdy slave;Rowdy-Sklave
Roy;Roy
Roy jr.;Roy jr.
Royal Guard;Königliche Garde
Ruantun;Ruantun
Ruby harvest;Rubinernte
Rufus;Rufus
Rug Merchant;Teppichhändler
Runa;Runa
Rune dragon;Runendrache
Runite Golem;Runitischer Golem
Runite Minor;Runit Minor
Runite ore;Runiterz
Runolf;Runolf
