 Sneaky undead fowl;Poule morte-vivante sournoise
Kruk;Kruk
Kryket bat;Chauve-souris Kryket
Krystilia;Krystilia
Ksenia;Ksénia
Kualti;Kualti
Kubec Unkar;Kubec Unkar
Kurask;Kourask
Kurt;Kurt
Kylie Minnow;Kylie Minnow
Lacey;Lacey
Lady Carys Hefin;Dame Carys Hefin
Lady Crombwick;Dame Crombwick
Lady Ffion Meilyr;Dame Ffion Meilyr
Lady Keli;Dame Kéli
Lady Kelyn Ithell;Dame Kelyn Ithell
Lady Nadezhda Shadum;Dame Nadejda Shadum
Lady Servil;Dame Servil
Lady Shauna Piscarilius;Dame Shauna Piscarilius
Lady Table;Table de dame
Lady Tangwen Trahaearn;Dame Tangwen Trahaearn
Lady Vulcana Lovakengj;Dame Vulcana Lovakengj
Lahsram;Lahsram
Lalli;Lalli
Lamb;Agneau
Lammy Langle;Lammy Langle
Lan the Butcher;Lan le boucher
Lanthus;Lanthe
Lanzig;Lanzig
Large mosquito;Gros moustique
Large zombie monkey;Grand singe zombie
Larran;Larran
Larrissa;Larissa
Larry;Larry
Larxus;Larxus
Lasenna Rasputin;Lasenna Raspoutine
Lathas;Lattes
Latlink Fastbell;Latlink Fastbell
Launa;Launa
Lauretta;Laurette
Lava beast;Bête de lave
Lava dragon;Dragon de lave
Layleen;Layleen
Lazim;Lazim
Lazy cat;Chat paresseux
Lazy hellcat;Chat de l'enfer paresseux
Le-sabrè;Le-sabré
Lead Navigator;Navigateur principal
Leagues Assistant;Assistante des Ligues
Leagues Tutor;Tuteur de ligues
Leatherworker;Travailleur du cuir
Lector Gura;Lecteur Gura
Leech;Sangsue
Leech display;Affichage des sangsues
Leela;Leela
Leenz;Leenz
Left head;Tête gauche
Legends guard;Garde des légendes
Leke quo Keran;Leke quo Keran
Lenny;Lénny
Lensa;Lensa
Lenwe;Lenwe
Lenyig Karna;Lenyig Karna
Leo;Lion
Leon;Léon
Leon d'Cour;Léon d'Cour
Lesser Demon Champion;Champion Démon Mineur
Lesser Fanatic;Petit fanatique
Lesser demon;Petit démon
Lesser ghostly thrall;Petit esclave fantomatique
Lesser skeletal thrall;Moins d'emprise squelettique
Lesser zombified thrall;Petit esclave zombifié
Lev;Lév
Li'l lamb;Petit agneau
Liam;Liam
Librarian;Bibliothécaire
Lidio;Lidio
Lieutenant Schepbur;Lieutenant Schepbur
Lieve McCracken;Lieve McCracken
Light creature;Créature légère
Lil' Bloat;Petit ballonnement
Lil' Creator;Petit Créateur
Lil' Destructor;Petit Destructeur
Lil' Maiden;Petite fille
Lil' Nylo;P'tit Nylo
Lil' Sot;P'tit Sot
Lil' Xarp;Petit Xarp
Lil' Zik;Petit Zik
Lilifang;Lilifang
Liliwen;Liliwen
Liliya;Lilia
Lillia;Lilia
Lilly;Lily
Lindir;Lindir
Linen worker;Ouvrière du linge
Lisa;Lisa
Lisse Isaakson;Lisse Isaakson
Litara;Litara
Lithil;Lithile
Little Nightmare;Petit cauchemar
Little Parasite;Petit parasite
Lizard;Lézard
Lizard display;Affichage lézard
Lizardman;Homme-lézard
Lizardman brute;Brute homme-lézard
Lizardman shaman;Chaman homme-lézard
Lleidr Golau;Lleidr Golau
Lliann;Lliann
Llio;Llio
Loading crane;Grue de chargement
Loar Shade;Ombre de Loar
Loar Shadow;Ombre de Loar
Lobstrosity;Homostosité
Local;Locale
Local Gnome;Gnome local
Locust;Criquet
Locust rider;Cavalier criquet
Lofu;Lofu
Logava;Logava
Logios;Logios
Logosia;Logosie
Loinur;Loinur
Lokar Searunner;Coureur de mer Lokar
Loki;Loki
Lokraa quo Sihar;Lokraa quo Sihar
Lollk;Lollk
Long-tailed Wyvern;Wyverne à longue queue
Longbow Ben;Ben arc long
Longhall Bouncer;Videur Longhall
Look-out;Attention
Looming shadow;Ombre imminente
Lord Alexei Jovkai;Seigneur Alexei Jovkai
Lord Baxtorian Cadarn;Seigneur Baxtorian Cadarn
Lord Crombwick;Seigneur Crombwick
Lord Daquarius;Seigneur Daquarius
Lord Iestin Iorwerth;Seigneur Iestin Iorwerth
Lord Ieuan Amlodd;Seigneur Ieuan Amlodd
Lord Iorwerth;Seigneur Iorwerth
Lord Kandur Hosidius;Seigneur Kandur Hosidius
Lord Marshal Brogan;Seigneur maréchal Brogan
Lord Mischa Myrmel;Seigneur Mischa Myrmel
Lord Pandur Hosidius;Seigneur Pandur Hosidius
Lord Piquan Crwys;Seigneur Piquan Crwys
Lord Rologarth;Seigneur Rologarth
Lord Shiro Shayzien;Seigneur Shiro Shayzien
Lord Trobin Arceuus;Seigneur Trobin Arceuus
Lorelai;Lorelaï
Lornor quo Narga;Lornor quo Narga
Lorraine;Lorraine
Lost barbarian;Barbare perdu
Louie Legs;Jambes de Louie
Louisa;Louise
Lovada;Lovada
Lovakengj Engineer;Ingénieur Lovakengj
Love Cats;Aimer les chats
Lowe;Lowe
Lowerniel Drakan;Drakan du Bas-Niel
Lubufu;Lubufu
Lucien;Lucien
Lucky impling;Chanceux implicite
Lucy;Lucie
Lumberjack Leif;Bûcheron Leif
Lumbridge Guide;Guide de Lumbridge
Lumdo;Lumdo
Lumiere;Lumière
Luminata;Lumineuse
Lumo;Lumo
Luna;Lune
Lundail;Lundail
Lunderwin;Lunderwin
Lurgon;Lurgon
Luscion;Luscion
Luthas;Luthas
Lutwidge;Lutwidge
Lux grub;Larve de Lux
Lynx;Lynx
Lynx Tamer;Dompteur de lynx
Lyra;Lyre
Mac;Mac
Macaroni Penguin;Macaroni Pingouin
Mad skavid;Skavid fou
Madame Caldarium;Madame Caldarium
Maedhros;Maedhros
Maeglin;Maeglin
Mage (easy);Mage (facile)
Mage of Zamorak;Mage de Zamorak
Magic Instructor;Instructeur de magie
Magic axe;Hache magique
Magic combat tutor;Professeur de combat magique
Magnus Gram;Magnus Gramme
Magpie impling;Pie impliquant
Mahtan;Mahtan
Maid;Femme de ménage
Mairin;Mairin
Maisa;Maïsa
Major Attack;Attaque majeure
Major Collect;Collecte majeure
Major Defend;Défense majeure
Major Heal;Guérison majeure
Make-over mage;Mage de relooking
Malak;Malak
Male slave;Esclave mâle
Malevolent Mage;Mage malveillant
Malignius Mortifer;Malignius Mortifère
Mallak quo Keran;Mallak quo Keran
Mama;Maman
Mamma Bufetta;Maman Buffet
Mammoth;Mammouth
Man;Homme
Mandrith;Mandrith
Mandy;Mandy
Maniacal Monkey Archer;Archer singe maniaque
Maniacal monkey;Singe maniaque
Manni the Reveller;Manni le fêtard
Marble gargoyle;Gargouille de marbre
Marfet;Marfet
Maria Gadderanks;Maria Gadderanks
Maria Gunnars;Maria Gunnars
Mariah;Mariah
Marisi;Marisi
Marius;Marius
Marius Giste;Marius Giste
Mark;Marque
Market Guard;Garde du marché
Market seller;Vendeur sur le marché
Markog;Markog
Marley;Marly
Marlo;Marlo
Marmor quo Narga;Marmor quo Narga
Marten;Martre
Martha Rehnison;Martha Rehnison
Martin Holt;Martin Holt
Martin Thwait;Martin Thwait
Martin the Master Gardener;Martin le maître jardinier
Martina Scorsby;Martina Scorsby
Marwolaeth Dawnsio;Marwolaeth Dawnsio
Mary;Marie
Master Chef;Maître cuisinier
Master Crafter;Maître artisan
Master Farmer;Maître fermier
Master Navigator;Maître Navigateur
Master fisher;Maître pêcheur
Master smithing tutor;Professeur de maître forgeron
Matilda;Mathilde
Matthew;Matthieu
Matthias;Mathias
Mattimeo;Mattimeo
Mawnis Burowgar;Mawnis Burowgar
Mawrth;Mawrth
Mayor Hobb;Maire Hobb
Maz;Maz
Mazchna;Mazchna
Maze Guardian;Gardien du labyrinthe
Mazion;Mazion
Me;Moi
Me (hard);Moi (dur)
Meddwl Ymlaen Llaw;Meddwl Ymlaen Llaw
Medium ninja monkey;Singe ninja moyen
Meegle;Meegle
Megan;Mégane
Meiyerditch citizen;Citoyen de Meiyerditch
Meiyerditch miner;Mineur de Meiyerditch
Mekritus A'hara;Mekritus A'hara
Melana Moonlander;Melana Moonlander
Melee combat tutor;Professeur de combat au corps à corps
Meleti;Méléti
Melina;Mélina
Melvin;Melvin
Melzar the Mad;Melzar le Fou
Memory of Seren;Mémoire de Seren
Menaphite Leader;Chef Ménaphite
Menaphite Thug;Voyou Ménaphite
Menaphite guard;Garde ménaphite
Mercenary;Mercenaire
Mercenary Captain;Capitaine mercenaire
Mercy;Miséricorde
Meredith;Meredith
Merlin;Merlin
Mernia;Mernia
Mernik;Mernik
Meskhenet;Meskhenet
Metarialus;Métariale
Meteora;Météores
Mi-Gor;Mi-Gor
Mia;Mia
Miala;Miala
Miazrqa;Miazrqa
Middle head;Tête moyenne
Midnight;Minuit
Mihail;Mihail
Mike;Micro
Miles;Milles
Milla;Milla
Milli Rehnison;Milli Rehnison
Millie Miller;Millie Miller
Miltog;Miltog
Mime;Mime
Mimm;Mimm
Mind Golem;Golem mental
Mine Cart;Chariot de mine
Mine cart;Chariot de mine
Mine cart driver;Chauffeur de chariot minier
Mine supervisor;Surveillant de mine
Miner;Mineur
Miner Magnus;Mineur Magnus
Miniature chaotic clouds;Nuages ​​chaotiques miniatures
Mining Instructor;Instructeur minier
Mining tutor;Tuteur minier
Minotaur;Minotaure
Miodvetnir;Miodvetnir
Miriam;Myriam
Miriel;Miriel
Mischievous ghost;Fantôme espiègle
Misdrievus Shadum;Misdrievus Shadum
Mishkal'un Dorn;Mishkal'un Dorn
Miss Cheevers;Mademoiselle Cheevers
Miss Schism;Miss Schisme
Mist;Brume
Mistag;Erreur
Mithrellas;Mithrelles
Mithril dragon;Dragon en mithril
Mithril ore;Minerai de mithril
Mittens;Mitaines
Mizaru;Mizaru
Moe;Moé
Mofina;Mofina
Moggy;Minou
Mogre;Mogre
Mogre Guard;Garde Mogre
Mogrim;Mogrim
Molanisk;Molanisk
Moldof;Moldavie
Mole display;Affichage des taupes
Molly;Molly
Monk;Moine
Monk of Entrana;Moine d'Entrana
Monk of Zamorak;Moine de Zamorak
Monkey;Singe
Monkey Archer;Archer Singe
Monkey Child;Enfant Singe
Monkey Guard;Garde de singe
Monkey Zombie;Singe-Zombie
Monkey display;Exposition de singes
Monkey guard;Garde de singe
Monkey minder;Gardien de singe
Monkey on unicorn;Singe sur licorne
Monstrous Basilisk;Basilic monstrueux
Monstrous basilisk;Basilic monstrueux
Mord Gunnars;Mord Gunnars
Mordan Nikazsi;Mordan Nikazisi
Morgan;Morgan
Morgan Le Faye;Morgane Le Faye
Mori;Mori
Morris;Morris
Mort Nightshade;Morelle mortelle
Mort'ton Local;Local de Mort'ton
Mort'ton local;Local de Mort'ton
Morten Holdstrom;Morten Holdstrom
Mortina Daubenton;Mortine Daubenton
Morvran;Morvran
Mosol Rei;Mosol Rei
Mosquito swarm;Essaim de moustiques
Moss Giant;Géant de mousse
Moss Guardian;Gardien de mousse
Moss Guardian (hard);Gardien de mousse (difficile)
Moss giant;Géant de mousse
Most of a Zombie;La plupart d'un zombie
Mother;Mère
Mother Mallum;Mère Mallum
Moths;Papillons de nuit
Mountain Dwarf;Nain des montagnes
Mountain Goat;Chèvre de montagne
Mountain Guide;Guide de montagne
Mountain goat;Chèvre de montagne
Mountain troll;Troll des montagnes
Mounted terrorbird gnome;Gnome oiseau-terror monté
Mounted terrorchick gnome;Gnome de poussin terroriste monté
Mourner;Pleureuse
Mouse;Souris
Movario;Movario
Mr. Mordaut;M. Mordaut
Ms. Hynn Terprett;Mme Hynn Terprett
Mubariz;Moubariz
Mudskipper;Passe-boue
Mugger;Agresseur
Mummy;Momie
Mummy ashes;Cendres de maman
Munty;Munty
Murcaily;Murcaily
Murfet;Murfet
Murky Matt (runes);Murky Matt (runes)
Murky Pat;Pat trouble
Murng bat;Chauve-souris murng
Murphy;Murphy
Muruwoi;Muruwoi
Museum guard;Gardien du musée
Mushroom;Champignon
Mutant tarn;Tarn mutant
Mutated Bloodveld;Bloodveld muté
Muttadile;Muttadile
My Arm;Mon bras
Myndill;Myndill
Myre Blamish Snail;Escargot Myre Blamish
Mysterious Adventurer;Aventurier mystérieux
Mysterious Figure;Personnage mystérieux
Mysterious Old Man;Vieil homme mystérieux
Mysterious Stranger;Mystérieux étranger
Mysterious Voice;Voix mystérieuse
Mysterious ghost;Fantôme mystérieux
Mystery figure;Personnage mystère
Naghead;Naghead
Nail beast;Bête des ongles
Nakasa Jovkai;Nakasa Jovkai
Nardah Banker;Nardah banquier
Nardok;Nardok
Narf;Narf
Natalidae Shadum;Natalidés Shadum
Nathifa;Nathifa
Natural Historian;Historien naturel
Natural historian;Historien naturel
Nature Spirit;Esprit Nature
Nature impling;Nature impliquant
Nazastarool;Nazastarool
Nazastarool (hard);Nazastarool (dur)
Nechryael;Nechryaël
Nechryarch;Néchryarque
Necromancer;Nécromancien
Necrovarus;Nécrovare
Ned;Ned
Neferti the Camel;Néferti le chameau
Neil;Daniel
Neite;Neite
Nellas;Nellas
Nemishka;Nemishka
Nerdanel;Nerdanel
Nesty;Nesty
New Recruit Tony;Nouvelle recrue Tony
Newtroost;Nouveautroost
Nezikchened;Nézikchened
Nezikchened (hard);Nezikchened (dur)
Nia;Nia
Nicholas;Nicolas
Nick;Entaille
Nickolaus;Nicolas
Nicoleta;Nicolette
Nieve;Nieve
Nigel;Nigel
Night beast;Bête de nuit
Nikita;Nikita
Nikkie;Nikki
Nikolai;Nicolas
Niles;Nils
Niloof;Niloof
Nimloth;Nimloth
Nimrodel;Nimrodel
Ninja impling;Ninja impliquant
Nipper;Pince
Nirrie;Nirrie
Nisha;Nisha
Nkuku;Nkuku
Noctillion Lugosi;Noctillion Lugosi
Noella;Noëlla
Nolar;Nolar
Nomad;Nomade
Noodle;Nouille
Noon;Midi
Nora T. Hagg;Nora T. Hagg
Noranna Tytanin;Noranna Tytanin
Norman;normand
Not Bob;Pas Bob
Noterazzo;Noterazzo
Novice;Novice
Nuclear smoke devil;Diable de fumée nucléaire
Nulodion;Nulodion
Numpty;Numpty
Nung;Nong
Nurmof;Nurmof
Nurse Boubou;Infirmière Boubou
Nurse Emma Gentsy;Infirmière Emma Gentsy
Nurse Inn'Juree;Infirmière Inn'Juree
Nurse Sarah;Infirmière Sarah
Nurse Wooned;Infirmière courtisée
Nylocas;Nylocas
Nylocas Athanatos;Nylocas Athanatos
Nylocas Hagios;Nylocas Hagios
Nylocas Ischyros;Nylocas Ischyros
Nylocas Matomenos;Nylocas Matomenos
Nylocas Prinkipas;Nylocas Prinkipas
Nylocas Queen;Reine Nylocas
Nylocas Toxobolos;Nylocas Toxobolos
Nylocas Vasilias;Nylocas Vasilias
Oaknock the Engineer;Oaknock l'ingénieur
Oath Lord D'rows;Serment Seigneur D'rows
Oathbreaker B'ats;Oathbreaker B'ats
Oathbreaker E'piws;E'piws briseur de serment
Oathbreaker M'als;Oathbreaker M'als
Obli;Obli
Obor;Obor
Observatory assistant;Assistante Observatoire
Observatory professor;Professeur de l'Observatoire
Ocga;Ocga
Ochre Blamish Snail;Escargot blême ocre
Odd Mushroom;Champignon étrange
Odd Old Man;Vieil homme étrange
Odd Stone;Pierre étrange
Odmar;Odmar
Odovacar;Odovacar
Odysseus;Ulysse
Og;Og
Ogre;Ogre
Ogre boat;Bateau Ogre
Ogre chieftain;Chef ogre
Ogre guard;Garde ogre
Ogre merchant;Marchand d'ogres
Ogre shaman;Chaman ogre
Ogre trader;Marchand d'ogres
Ogress Shaman;Chaman Ogresse
Ogress Warrior;Guerrier Ogresse
Oipuis;Oipuis
Olaf Hradson;Olaf Hradson
Olaf the Bard;Olaf le barde
Olbertus;Olbertus
Old Man Ral;Le vieil homme Ral
Old Man Yarlo;Le vieil homme Yarlo
Old crone;Vieille vieille
Old dwarf;Vieux nain
Old man;Vieillard
Oldak;Oldak
Olivia;Olivia
Ollie the Camel;Ollie le chameau
Olmlet;Olmlet
Omart;Omart
Oneiromancer;Oniromancien
Oobapohk;Oobapohk
Oomlie bird;Oiseau Oomlie
Oozing barrier;Barrière suintante
Operator;Opérateur
Oracle;Oracle
Orange salamander;Salamandre orange
Ordan;Ordan
Ork;Orks
Orlando Smith;Orlando Smith
Oronwen;Oronwen
Oropher;Oropher
Orophin;Orophine
Orrvor quo Maten;Orrvor quo Maten
Osian;Osien
Osman;Osman
Ospak;Ospak
Osten;Osten
Osvald;Osvald
Oswald;Oswald
Oswallt;Oswallt
Othainian;Othaïnien
Other Half-Zombie;Autre demi-zombie
Otherworldly being;Être d'un autre monde
Otto Godblessed;Otto béni par Dieu
Ouditor;Auditeur
Ouhai;Ouhai
Outlaw;Interdire
Overgrown cat;Chat envahi par la végétation
Overgrown hellcat;Hellcat envahi par la végétation
Owl;Hibou
Oxi;Oxy
Oziach;Oziach
PKMaster0036;PKMaster0036
Padulah;Padulah
Pagida;Page
Painted One;Peint un
Paladin;Paladin
Palmer;Palmer
Pandur Hosidius;Pandur Hosidius
Panning guide;Guide de panoramique
Parasite;Parasite
Parrot;Perroquet
Parrots;Perroquets
Parroty Pete;Pete le perroquet
Party Pete;Fête Pete
Passive Tar Monster;Monstre de goudron passif
Patchy;Inégal
Patrick;Patrick
Patrolman;Patrouilleur
Patrolwoman;Patrouilleuse
Pauline Polaris;Pauline Polaris
Peaceful barbarian spirit;Esprit barbare paisible
Peasant;Paysan
Pebble;Caillou
Pee Hat;Chapeau pipi
Peer the Seer;Observez le voyant
Peksa;Pékin
Pelican;Pélican
Penance Fighter;Combattant de pénitence
Penance Healer;Guérisseur de pénitence
Penance Pet;Animal de compagnie de pénitence
Penance Queen;Reine de la Pénitence
Penance Ranger;Ranger de pénitence
Penance Runner;Coureur de pénitence
Penda;Penda
Penguin;Manchot
Penguin display;Exposition de pingouins
Penguin suit;Costume de pingouin
Pennant;Fanion
Pentyn;Pentyne
Penwie;Penwie
Perdu;Perdu
Perfect gold ore;Minerai d'or parfait
Perrdur;Perrdur
Perry;Poiré
Pescaling Pax;Pescaling Pax
Pestilent Bloat;Ballonnement pestilentiel
Pet rock;Rocher pour animaux de compagnie
Peter;Pierre
Petra Fiyed;Petra Fiyed
Petrified Pete;Pete pétrifié
Phabelle Bile;Phabelle Bile
Phantom Hand;Main fantôme
Phantuwti Fanstuwi Farsight;Phantuwti Fanstuwi Farsight
Pheasant;Faisan
Phials;Ampoules
Phileas Rimor;Philéas Rimor
Philipe Carnillean;Philippe Carnilléen
Phillipa;Philippe
Philop;Philop
Phingspet;Phingspet
Phluxia bat;Chauve-souris Phluxia
Phoenix;Phénix
Phosani's Nightmare;Le cauchemar de Phosani
Phrin Shade;Ombre Phrin
Phrin Shadow;Ombre de Phrin
Pierre;Pierre
Pieve;Pieve
Pig;Cochon
Pig Thing;Chose de cochon
Piglet;Porcelet
Pile of bones;Tas d'os
Piles;Pieux
Pilg;Pèlerin
Piliar;Pilier
Pillory Guard;Garde du pilori
Ping;Ping
Pipistrelle Draynar;Pipistrelle Draynar
Pirate;Pirate
Pirate Guard;Garde pirate
Pirate Jackie the Fruit;Pirate Jackie le fruit
Pirate Pete;Pierre le pirate
Pit Scorpion;Scorpion des fosses
Pizazz Hat;Chapeau Pizzazz
Plague cow;Vache peste
Plague frog;Grenouille de la peste
Poison Salesman;Vendeur de poison
Poison Scorpion;Scorpion venimeux
Poison spider;Araignée venimeuse
Polar eagle;Aigle polaire
Polmafi Ferdygris;Polmafi Ferdygris
Poltenip;Polténip
Pong;Pong
Pontak;Pontak
Ponts the Bridgemaster;Ponts le maître de pont
Poor looking man;Pauvre homme
Poor looking woman;Pauvre femme
Porazdir;Porazdir
Port Official;Officier portuaire
Port worker;Ouvrier portuaire
Portal;Portail
Portal of Death;Portail de la mort
Portobello;Portobello
Possessed Priest;Prêtre possédé
Possessed pickaxe;Pioche possédée
Postie Pete;Postie Pete
Pox;Variole
Prael bat;Chauve-souris Prael
Praistan Ebola;Pristan Ebola
Prayer tutor;Professeur de prière
Preswylwyr Dall;Preswylwyr Dall
Prickly kebbit;Kebbit épineux
Priest;Prêtre
Priestess Zul-Gwenwynig;Prêtresse Zul-Gwenwynig
Prifddinas guard;Garde de Prifddinas
Primula;Primula
Prince Ali;Prince Ali
Prince Black Dragon;Prince Dragon Noir
Prince Brand;Marque Prince
Princess Astrid;Princesse Astrid
Prison Pete;Pierre en prison
Prisoner;Prisonnier
Prissy Scilla;Prissy Scilla
Private Paldo;Soldat Paldo
Private Paldon;Soldat Paldon
Private Pendron;Soldat Pendron
Private Pierreb;Soldat Pierreb
Probita;Probita
Professor Gracklebone;Professeur Gracklebone
Professor Imblewyn;Professeur Imblewyn
Professor Manglethorp;Professeur Manglethorp
Professor Oddenstein;Professeur Oddenstein
Professor Onglewip;Professeur Onglewip
Prosecutor;Procureur
Prospector Percy;Prospecteur Percy
Protest Leader;Chef de la protestation
Protester;Manifestant
Psykk bat;Chauve-souris psykk
Puffer Fish;Poisson-globe
Puffin;Macareux
Pumpy;Pompé
Puppadile;Puppadile
Purepker895;Purepker895
Purple Pewter Director;Directeur de Purple Pewter
Purple Pewter Secretary;Secrétaire en étain violet
Pusskins;Les chatons
Pyramid block;Bloc pyramide
Pyrefiend;Démon du feu
Pyrelord;Seigneur des Pyres
Pyromancer;Pyromancien
Quartermaster;Intendant
Queen Ellamaria;Reine Ellamaria
Queen Sigrid;Reine Sigrid
Queen Zyanyi Arkan;Reine Zyanyi Arkan
Queen spawn;Reine frayer
Quest Guide;Guide de quête
Quiz Master;Maître du quiz
Qutiedoll;Qutiedoll
R4ng3rNo0b889;R4ng3rNo0b889
Rabbit;Lapin
Raccoon;Raton laveur
Rachael;Rachel
Radat;Radar
Radigad Ponfit;Radigad Ponfit
Radimus Erkle;Raymus Erkle
Radu;Radu
Raeli;Raëli
Raetul;Raetul
Ragnar;Ragnar
Ragnvald;Ragnvald
Rakkar;Rakkar
Ram;Bélier
Ramara du Croissant;Ramara du Croissant
Ramarno;Ramarno
Ramocean;Ramocéan
Ranael;Ranael
Ranalph Devere;Ranalph Devere
Randivor;Randivore
Ranged combat tutor;Professeur de combat à distance
Ranger;Ranger
Ranger (medium);Ranger (moyen)
Ranging Guild Doorman;Portier de la guilde à distance
Ranis Drakan;Ranis Drakan
Rannveig;Rannveig
Rantz;Rantz
Raqueel;Raquel
Rashiliyia;Rashiliyia
Rasolo;Rasolo
Rassain;Rassain
Rat;Rat
Rat Burgiss;Rat Burgiss
Rauborn;Rauborn
Raulyn;Raulyn
Raum Urda-Stein;Raum Urda-Stein
Ravager;Ravageur
Raven;Corbeau
Razmire Keelgan;Razmire Keelgan
Razvan;Razvan
Reach;Atteindre
Reacher;Atteindre
Reanimated TzHaar;TzHaar réanimé
Reanimated abyssal;Abyssal réanimé
Reanimated aviansie;Aviansie réanimée
Reanimated bear;Ours réanimé
Reanimated bloodveld;Bloodveld réanimé
Reanimated chaos druid;Druide du chaos réanimé
Reanimated dagannoth;Dagannoth réanimé
Reanimated demon;Démon réanimé
Reanimated demon spawn;Apparition de démon réanimé
Reanimated dog;Chien réanimé
Reanimated dragon;Dragon réanimé
Reanimated elf;Elfe réanimé
Reanimated giant;Géant réanimé
Reanimated goblin;Gobelin réanimé
Reanimated horror;Horreur réanimé
Reanimated imp;Diablotin réanimé
Reanimated kalphite;Kalphite réanimée
Reanimated minotaur;Minotaure réanimé
Reanimated monkey;Singe réanimé
Reanimated ogre;Ogre réanimé
Reanimated scorpion;Scorpion réanimé
Reanimated troll;Troll réanimé
Reanimated unicorn;Licorne réanimée
Rebel Archer;Archer rebelle
Rebel Scout;Éclaireur rebelle
Rebel Warrior;Guerrier rebelle
Recruiter;Recruteur
Red;Rouge
Red Axe Cat;Chat hache rouge
Red Axe Director;Directeur de la hache rouge
Red Axe Henchman;Homme de main de la hache rouge
Red Axe Secretary;Secrétaire de la hache rouge
Red Monkey;Singe rouge
Red Panda;Panda roux
Red Sheep;Mouton rouge
Red dragon;Dragon rouge
Red fireflies;Lucioles rouges
Red salamander;Salamandre rouge
Redbeard Frank;Frank Barbe-Rousse
Reese;Reese
Reeso;Réso
Ref;Réf
Refugee;Réfugié
Regath;Régate
Reginald;Réginald
Reinald;Réald
Reinn;Rein
Reldak;Reldak
Reldo;Reldo
Relobo Blinyo (logs);Relobo Blinyo (journaux)
Remsai;Remsaï
Remus Kaninus;Rémus Kaninus
Renegade Knight;Chevalier renégat
Renegade knight;Chevalier renégat
Repugnant spectre;Spectre répugnant
Researcher;Chercheur
Reshi;Reshi
Resistance Fighter;Combattant de la Résistance
Respiratory system;Système respiratoire
Restless ghost;Fantôme agité
Retired sailor;Marin à la retraite
Revenant cyclops;Cyclope revenant
Revenant dark beast;Bête noire revenante
Revenant demon;Démon revenant
Revenant dragon;Dragon revenant
Revenant goblin;Gobelin revenant
Revenant hellhound;Chien de l'enfer revenant
Revenant hobgoblin;Hobgobelin revenant
Revenant imp;Diablotin Revenant
Revenant knight;Chevalier revenant
Revenant ork;Ork revenant
Revenant pyrefiend;Démon du feu revenant
Rewards Guardian;Gardien des récompenses
Rhazien;Rhazien
Rhiannon;Rhiannon
Rhoddwr Tan;Rhoddwr Tan
Rhonen;Rhônen
Rhyfel;Rhyfel
Richard;Richard
Richard Flintmaul;Richard Cogne-Flint
Rick;Meule
Rick Turpentine;Rick Térébenthine
Ricketty door;Porte branlante
Rift guardian;Gardien de la faille
Right head;Tête droite
Riki the sculptor's model;Riki le modèle du sculpteur
Rimae Sirsalis;Rimae Sirsalis
Rind the gardener;Couenne le jardinier
Rionasta;Rionasta
River troll;Troll de rivière
Riyl Shade;Riyl Ombre
Riyl Shadow;Riyl Ombre
Riyl shadow;L'ombre de Riyl
Roachey;Cafard
Roavar;Roavar
Robert Boss;Robert Patron
Robert O'Reilly;Robert O'Reilly
Robert the Strong;Robert le Fort
Robin;Robin
Robyn;Robyn
Rock;Rocher
Rock Crab;Crabe commun
Rock Golem;Golem de roche
Rock lobster;Langouste
Rock pile;Tas de pierres
Rocks;Roches
Rockslug;Limace-rock
Rocky;Rocheux
Rocnar;Rocnar
Rod Fishing spot;Lieu de pêche à la canne
Rogue;Voyou
Rogue Guard;Garde voyou
Rohak;Rohak
Rokuh;Rokuh
Rolad;Rola
Rolayne Twickit (hard);Rolayne Twickit (dur)
Romeo;Roméo
Rometti;Rometti
Romily Weaklax;Romily Weaklax
Rommik;Rommik
Ron Gadderanks;Ron Gadderanks
Rooster;Coq
Root;Racine
Rory;Rory
Rosie;Rosie
Ross;Ross
Ross and Ben;Ross et Ben
Rowdy Guard;Garde tapageur
Rowdy dwarf;Nain tapageur
Rowdy slave;Esclave tapageur
Roy;Roy
Roy jr.;Roy jr.
Royal Guard;Garde royale
Ruantun;Ruantun
Ruby harvest;Récolte de rubis
Rufus;Rufus
Rug Merchant;Marchand de tapis
Runa;Runa
Rune dragon;Dragon runique
Runite Golem;Golem runique
Runite Minor;Runite mineure
Runite ore;Minerai de runite
Runolf;Runolf
Runvastr;Runvastr
Rupert the Beard;Rupert la barbe
Rusty;Rouillé
Saba;Saba
Sabeil;Sabeil
Saboteur;Saboteur
Sabre-toothed kebbit;Kebbit à dents de sabre
Sabre-toothed kyatt;Kyatt à dents de sabre
Sabreen;Sabreen
Sacrifice;Sacrifier
Sadwrn;Triste
Saeros;Saéros
Saeth;Saeth
Safalaan Hallow;Sanctuaire Safalaan
Safta Doc;Doc Safta
Sagira;Sagira
Sailor;Marin
Salarin the twisted;Salarin le tordu
Salenab;Salenab
Salgant;Salgant
Sam;Sam
Sammy Servil;Sammy Servil
San Fan;San Fan
San Tojalon;San Tojalón
Sand Crab;Crabe des sables
Sand Snake;Serpent de sable
Sand Snake (hard);Serpent des sables (dur)
Sand storm;Tempête de sable
Sandicrahb;Sandicrahb
Sandwich lady;Dame sandwich
Sandy;Sablonneux
Sandy Boulder;Rocher de Sable
Sandy rocks;Rochers sablonneux
Sanfew;Sanfew
Sani Piliu;Sani Piliu
