A Clam Shell;Une coquille de palourde
Inconspicuous hole (hard);Trou discret (dur)
Inconspicuous hole (master);Trou discret (maître)
Inconspicuous hole (medium);Trou discret (moyen)
Inconspicuous rocks (easy);Rochers peu visibles (facile)
Inconspicuous rocks (elite);Rochers discrets (élite)
Inconspicuous rocks (hard);Roches peu visibles (dures)
Inconspicuous rocks (master);Rochers discrets (maître)
Inconspicuous rocks (medium);Roches peu visibles (moyennes)
Incubation chamber;Chambre d'incubation
Incubator;Incubateur
Infernal chart;Carte infernale
Information;Information
Information Scroll;Défilement d'informations
Information booth;Stand d'informations
Information scroll;Défilement des informations
Injured fairy;Fée blessée
Insurance stall;Stand d'assurance
Interdimensional rift;Faille interdimensionnelle
Intermediate Flag;Drapeau intermédiaire
Interrogation chair;Chaise d'interrogatoire
Iorwerth Banner;Bannière d'Iorwerth
Iron Winch;Treuil en fer
Iron ladder;Échelle de fer
Iron railings;Garde-corps en fer
Ironman & Ultimate Ironwoman;Ironman et Ironwoman ultime
Isafdar painting;Peinture d'Isafdar
Item Chest;Coffre d'objets
Ithell Banner;Bannière d'Ithell
Ivory table;Table en ivoire
Jacky Jester;Jacky Jester
Jagged wall;Mur déchiqueté
Jail Door;Porte de prison
Jangerberry bush;Buisson de jangerberry
Javelin;Javelot
Jenkins;Jenkins
Jewellery box space;Espace boîte à bijoux
Jewellery stall;Stand de bijoux
Jolly Roger;Jolly Roger
Juliet;Juliette
Juna;Juna
Junction box;Boîte de jonction
Jungle Bush;Buisson de la jungle
Jungle Flower;Fleur de la jungle
Jungle Grass;Herbe de la jungle
Jungle Palm;Palmier de la jungle
Jungle Plant;Plante de la jungle
Jungle Tree;Arbre de la jungle
Jungle Tree Stump;Souche d'arbre de la jungle
Jungle flower;Fleur de jungle
Jungle plant;Plante de la jungle
Junk;Ordure
Justiciar Statue;Statue du Justicier
Justiciar armour;Armure de justicier
Jute;Jute
Jutting wall;Mur en saillie
KBD heads;Têtes KBD
KQ head;Tête KQ
Kaleef's body;Le corps de Kaleef
Kalphite Queen;Reine Kalphite
Kalphite Queen Topiary;Topiaire Reine Kalphite
Kalphite Queen display;Présentoir Reine Kalphite
Kalphite Soldier;Soldat kalphite
Kalphite queen legs;Jambes de reine Kalphite
Karamja painting;Peinture de Karamja
Kebab;Kebab
Keg;Tonnelet
Kelda Hops;Houblon Kelda
Kelda Hops Patch;Patch de houblon Kelda
Kelda Stout;Kelda Stout
Kelp;Varech
Kennith's ball;Le bal de Kennith
Kettle;Bouilloire
Key;Clé
Keyhole;Trou de serrure
Kharidian cactus (Dry);Cactus Kharidien (sec)
Kharidian cactus (Healthy);Cactus Kharidien (sain)
Kharyrll Portal;Portail Kharyrll
King Arthur;Le roi Arthur
Kings' ladder;L'échelle des rois
Kitchen Drawers;Tiroirs de cuisine
Kitchen cabinet;Armoire de cuisine
Kitchen gate;Porte de cuisine
Kitchen table;Table de cuisine
Kite shield;Bouclier de cerf-volant
Knight;Chevalier
Knight Statue;Statue de chevalier
Kourend Portal;Portail Kourend
Kourend map display case;Vitrine cartographique de Kourend
Kourend sigil;Sceau de Kourend
Kraken Topiary;Topiaire Kraken
Kraken display;Affichage Kraken
Krandorian Hops;Houblon Krandorien
Kronos plant;Usine de Cronos
Kurask head;Tête de Kourask
Lab table;Table de laboratoire
Lab tube;Tube de laboratoire
Ladder;Échelle
Ladder space;Espace échelle
Ladder top;Dessus d'échelle
Lalli's Stew;Le ragoût de Lalli
Lamp;Lampe
Lamp oil still;Lampe à huile encore
Lamp space;Espace lampe
Lamp stall;Stand de lampe
Lamp still;Lampe encore
Lamppost;Lampadaire
Lancalliums;Lancalliums
Lander boat;Bateau atterrisseur
Lander hatch;Trappe d'atterrisseur
Landscape;Paysage
Landscape space;Espace paysager
Lantern;Lanterne
Larder;Cellier
Larder space;Espace de garde-manger
Large Barrel;Grand baril
Large Boulder;Gros rocher
Large Cage;Grande cage
Large Crystal;Grand cristal
Large Display;Grand écran
Large Fossil Display;Grand affichage de fossiles
Large Fossil Support;Grand support fossile
Large Geyser;Grand geyser
Large Rock;Gros rocher
Large Table;Grande Table
Large bone;Gros os
Large boulder;Gros rocher
Large cave;Grande grotte
Large crystals;Gros cristaux
Large cupboard;Grand placard
Large door;Grande porte
Large doors;Grandes portes
Large fountain;Grande fontaine
Large geyser;Grand geyser
Large grave;Grande tombe
Large grave stone;Grande pierre tombale
Large hole;Grand trou
Large open cupboard;Grand placard ouvert
Large orrery;Grand planétaire
Large oven;Grand four
Large rock;Gros rocher
Large sewer pipe;Gros tuyau d'égout
Large stalagmite;Grande stalagmite
Large storage unit;Grand meuble de rangement
Large table;Grande table
Large urn;Grande urne
Large vase;Grand vase
Large-leaf Plant;Plante à grandes feuilles
Larran's big chest;Le gros coffre de Larran
Larran's small chest;Le petit coffre de Larran
Lathe;Tour
Laundry Basket;Panier à linge
Lava;Lave
Lava Monster;Monstre de lave
Lava crater;Cratère de lave
Lava forge;Forge de lave
Lava gap;Trou de lave
Lava trough;Auge de lave
Law rift;Faille juridique
Lazim's statue;La statue de Lazim
Leaflet;Brochure
Leaflets;Dépliants
Leafy Palm Tree;Palmier feuillu
Leafy tree;Arbre feuillu
League Accomplishment Scroll;Parchemin de réussite de ligue
League Firsts Board;Tableau des premières ligues
League statue;Statue de la Ligue
Leak;Fuir
Leather shields;Boucliers en cuir
Leaves;Feuilles
Lectern;Lutrin
Lectern space;Espace pupitre
Ledge;Rebord
Left side of a fireplace;Côté gauche d'une cheminée
Leftovers;Restes
Legends Guild door;Porte de la Guilde des Légendes
Letter;Lettre
Lever;Levier
Lever A;Levier A
Lever B;Levier B
Lever C;Levier C
Lever D;Levier D
Lever E;Levier E
Lever F;Levier F
Lever bracket;Support de levier
Lever space;Espace levier
Levers;Leviers
Leviathan;Léviathan
Life buoy;Bouée de sauvetage
Lifeless Matter;Matière sans vie
Lifelilly;Lilly
Lift;Ascenseur
Lift Engine;Moteur de levage
Lift Platform;Plateforme élévatrice
Light;Lumière
Light Jungle;Jungle légère
Light door;Porte lumineuse
Lighting mechanism;Mécanisme d'éclairage
Lighting space;Espace d'éclairage
Lightning;Foudre
Lightning conductor;Paratonnerre
Limestone fireplace;Cheminée en pierre calcaire
Limpwurt plant;Plante de limpwurt
Linum Tirinum;Linum Tirinum
Linum Tirinum (Depleted);Linum Tirinum (épuisé)
Lion Statue;Statue de Lion
Little boulder;Petit rocher
Little crack;Petite fissure
Little tent;Petite tente
Lizard dwelling;Habitation du lézard
Lizardman corpse;Cadavre de l'homme-lézard
Lizardman eggs;Oeufs d'homme-lézard
Lizardman head;Tête d'homme-lézard
Lizardman lair;Repaire de l'homme-lézard
Loader;Chargeur
Lobstrosity;Homostosité
Lock;Verrouillage
Locked Ogre chest;Coffre Ogre verrouillé
Locked chest;Coffre verrouillé
Locked door;Porte verrouillée
Locked gate;Portail verrouillé
Locker;Casier
Lockers;Casiers
Log Store;Magasin de journaux
Log balance;Journaliser le solde
Log pile;Tas de bûches
Log raft;Radeau en rondins
Log storage;Stockage des journaux
Logavano plant;Usine de Logavano
Logavano seedling;Semis de Logavano
Logs;Journaux
Long branched tree;Arbre à longues branches
Long grass;Herbe haute
Long planks;Longues planches
Longhall door;Porte du long couloir
Loom;Métier à tisser
Loose Mud;Boue meuble
Loose Railing;Garde-corps lâche
Loose panel;Panneau lâche
Loose rocks;Rochers meubles
Lovakengj statue;Statue de Lovakengj
Lovakite furnace;Four à Lovakite
Low fence;Clôture basse
Low wall;Muret
Lumbridge Guide;Guide de Lumbridge
Lumbridge Portal;Portail de Lumbridge
Lumbridge painting;Peinture de Lumbridge
Lumpy rug;Tapis grumeleux
Lunar Altar;Autel lunaire
Lunar Isle Portal;Portail de l'île lunaire
Lunar globe;Globe lunaire
Lure cave;Grotte de leurre
Machine;Machine
Machine panel;Panneau des machines
Machinery;Machinerie
Magenta Crystal;Cristal magenta
Magenta crystal;Cristal magenta
Magenta door;Porte magenta
Magic Gate;Porte Magique
Magic Mirror;Miroir Magique
Magic Mushtree;Champignon magique
Magic Portal;Portail magique
Magic Stall;Stalle magique
Magic Tree;Arbre magique
Magic Tree Stump;Souche d'arbre magique
Magic ball;Boule magique
Magic barrier;Barrière magique
Magic birdhouse;Nichoir magique
Magic birdhouse (empty);Nichoir magique (vide)
Magic box;Boîte magique
Magic box failed;La boîte magique a échoué
Magic cape rack;Porte-cape magique
Magic chest;Coffre magique
Magic circle;Cercle magique
Magic door;Porte magique
Magic guild door;Porte de guilde magique
Magic spell;Sort magique
Magic table;Table magique
Magic tree;Arbre magique
Magic wardrobe;Garde-robe magique
Magic wardrobe space;Espace armoire magique
Magic well;Puits magique
Magic wheat;Blé magique
Magical Animator;Animateur magique
Magical Barrier;Barrière magique
Magical Chest;Coffre magique
Magical Fire;Feu magique
Magical Obelisk;Obélisque magique
Magical fire;Feu magique
Magical pumpkin;Citrouille magique
Magical shield;Bouclier magique
Magical symbol;Symbole magique
Magical wheat;Blé magique
Mahogany;Acajou
Mahogany Adventure Log;Journal d'aventure en acajou
Mahogany Wardrobe;Armoire en Acajou
Mahogany bench;Banc en acajou
Mahogany birdhouse;Nichoir en acajou
Mahogany birdhouse (empty);Nichoir en acajou (vide)
Mahogany cape rack;Porte-cape en acajou
Mahogany chest;Coffre en acajou
Mahogany feeder;Mangeoire en acajou
Mahogany house;Maison en acajou
Mahogany outfit stand;Support à tenues en acajou
Mahogany prize chest;Coffre en acajou
Mahogany sapling;Jeune arbre d'acajou
Mahogany scratching post;Arbre à chat en acajou
Mahogany table;Table en acajou
Mahogany tree;Acajou
Mahogany tree stump;Souche d'acajou
Mahogany trophy case;Coffret à trophées en acajou
Mahogany wall decoration;Décoration murale en acajou
Making Friends with My Arm display;Affichage Se faire des amis avec mon bras
Man hidden;Homme caché
Man trap;Piège à homme
Mandibular Maximus;Maxime mandibulaire
Mangle;Mutiler
Manhole;Regard
Manhole cover;Couvercle de regard
Mannequin;Mannequin
Map;Carte
Map space;Espace cartographique
Map table;Tableau cartographique
Maple Tree;Érable
Maple birdhouse;Nichoir en érable
Maple birdhouse (empty);Nichoir en érable (vide)
Maple tree;Érable
Marble adventure log;Journal d'aventure en marbre
Marble bench;Banc en marbre
Marble cape rack;Support à cape en marbre
Marble fireplace;Cheminée en marbre
Marble hidden;Marbre caché
Marble trap;Piège à marbre
Marble wall;Mur de marbre
Marigold;Souci
Marigolds;Soucis
Marim Portal;Portail Marim
Mark of Darkness;Marque des ténèbres
Mark of Power;Marque de pouvoir
Marked wall;Mur marqué
Marker;Marqueur
Market Stall;Étal de marché
Market stall;Étal de marché
Marshy jungle vine;Vigne de la jungle marécageuse
Marv (Well);Marv (Eh bien)
Marv (ghastly!);Marv (horrible !)
Marv (sick);Marv (malade)
Marv (very sick);Marv (très malade)
Massive ribs;Côtes massives
Massive storage unit;Unité de stockage massive
Mast;Mât
Master clue scroll display;Affichage du défilement de l'indice principal
Mature Asgarnian Ale;Bière asgarnienne mature
Mature Axeman's Folly;La folie de l'homme à la hache mature
Mature Chef's Delight;Délice du chef mature
Mature Cider;Cidre vieilli
Mature Dragon Bitter;Dragon mature amer
Mature Dwarven Stout;Stout nain mature
Mature Greenmans Ale;Bière Greenmans mature
Mature Moonlight Mead;Hydromel au clair de lune mature
Mature Slayer's Respite;Le répit du tueur mature
Mature Wizards Mind Bomb;Bombe mentale des sorciers matures
Mature juniper tree;Genévrier mature
Mausoleum;Mausolée
Mausoleum Door;Porte du mausolée
Mausoleum door;Porte du mausolée
Meat table;Table de viande
Meat tree;Arbre à viande
Medical table;Table médicale
Medium Boulder;Rocher moyen
Medium Fossil Display;Affichage fossile moyen
Medium Jungle;Jungle moyenne
Medium fence;Clôture moyenne
Medium storage unit;Meuble de rangement moyen
Medivaemia root;Racine de Médivémie
Medpack Box;Boîte Medpack
Meilyr Banner;Bannière Meilyr
Melting Pot;Pot de fusion
Memorial;Mémorial
Memoriam Device;Dispositif de mémoire
Mercenary;Mercenaire
Merfolk Skeleton;Squelette d'Ondin
Metal;Métal
Metal Press;Presse à métaux
Metal bird;Oiseau en métal
Metal door;Porte métallique
Metal gate;Portail métallique
Metal ladder;Échelle en métal
Metal pieces;Pièces métalliques
Metal stand;Support en métal
Mighty torrent;Torrent puissant
Milk Urns;Urnes à lait
Mill;Moulin
Millstones;Meules
Mind Altar Portal;Portail de l'autel mental
Mind Door;Porte de l'esprit
Mind rift;Faille mentale
Mine Cart;Chariot de mine
Mine cart;Chariot de mine
Mine cart sign;Panneau de chariot de mine
Mine cave;Grotte minière
Mine door;Porte de la mine
Mine door entrance;Entrée de la porte de la mine
Minecart;Chariot de mine
Mineral vein;Veine minérale
Mirror;Miroir
Mithril armour;Armure en mithril
Mithril door;Porte en mithril
Molanisk;Molanisk
Mole hill;La taupinière
Money Pot;Pot d'argent
Monkey Madness 2 display;Affichage de Monkey Madness 2
Monkey Statue;Statue de singe
Monkey bars;Barres de singe
Monkey trap;Piège à singe
Monkeybars;Barres de singe
Monster space;Espace monstre
Monument;Monument
Monumental chest;Coffre monumental
Moonlight Mead;Hydromel au clair de lune
Morytania painting;Peinture de Morytanie
Mossy branch;Branche moussue
Mossy rock;Rocher moussu
Moth;Papillon de nuit
Moths;Papillons de nuit
Mould;Moule
Mound of earth;Monticule de terre
Mounted Achievement Diary Cape;Cape du journal des réalisations montées
Mounted Agility Cape;Cape d'agilité montée
Mounted Agility Cape (t);Cape d'agilité montée (t)
Mounted Attack Cape;Cape d'attaque montée
Mounted Attack Cape (t);Cape d'attaque montée (t)
Mounted Champion's Cape;Cape de champion monté
Mounted Coins;Pièces montées
Mounted Construction Cape;Cape de construction montée
Mounted Construction Cape (t);Cape de construction montée (t)
Mounted Cooking Cape;Cape de cuisine montée
Mounted Cooking Cape (t);Cape de Cuisson Montée (t)
Mounted Crafting Cape;Cape d'artisanat montée
Mounted Crafting Cape (t);Cape de fabrication montée (t)
Mounted Defence Cape;Cape de défense montée
Mounted Defence Cape (t);Cape de défense montée (t)
Mounted Emblem;Emblème monté
Mounted Farming Cape;Cape agricole montée
Mounted Farming Cape (t);Cape agricole montée (t)
Mounted Fire Cape;Cape de feu montée
Mounted Firemaking Cape;Cape de feu montée
Mounted Firemaking Cape (t);Cape de feu montée (t)
Mounted Fishing Cape;Cape de pêche montée
Mounted Fishing Cape (t);Cape de pêche montée (t)
Mounted Fletching Cape;Cape d'empennage montée
Mounted Fletching Cape (t);Cape d'empennage montée (t)
Mounted Head;Tête montée
Mounted Head Space;Espace de tête monté
Mounted Herblore Cape;Cape d'herboristerie montée
Mounted Herblore Cape (t);Cape d'herboristerie montée (t)
Mounted Hitpoints Cape;Cape de points de vie montés
Mounted Hitpoints Cape (t);Cap de points de vie montés (t)
Mounted Hunting Cape;Cape de chasse montée
Mounted Hunting Cape (t);Cape de chasse montée (t)
Mounted Infernal Cape;Cape infernale montée
Mounted Magic Cape;Cape magique montée
Mounted Magic Cape (t);Cape magique montée (t)
Mounted Max Cape;Cape Max montée
Mounted Mining Cape;Cape minière montée
Mounted Mining Cape (t);Cap minier monté (t)
Mounted Music Cape;Cape Musique Montée
Mounted Mythical Cape;Cape mythique montée
Mounted Prayer Cape;Cape de prière montée
Mounted Prayer Cape (t);Cape de prière montée (t)
Mounted Quest Cape;Cape de quête montée
Mounted Ranged Cape;Cape à distance montée
Mounted Ranged Cape (t);Cape à distance montée (t)
Mounted Runecrafting Cape;Cape de création de runes montée
Mounted Runecrafting Cape (t);Cape de création de runes montée (t)
Mounted Slayer Cape;Cape de tueur montée
Mounted Slayer Cape (t);Cape de tueur monté (t)
Mounted Smithing Cape;Cape de forge montée
Mounted Smithing Cape (t);Cape de forge montée (t)
Mounted Strength Cape;Cape de force montée
Mounted Strength Cape (t);Cape de force montée (t)
Mounted Thieving Cape;Cape de voleur montée
Mounted Thieving Cape (t);Cape de voleur montée (t)
Mounted Woodcutting Cape;Cape de coupe de bois montée
Mounted Woodcutting Cape (t);Cape de coupe de bois montée (t)
Mounted Xeric's Champion;Champion de Xeric monté
Mounted Xeric's General;Général de Xeric monté
Mounted Xeric's Guard;Garde de Xeric montée
Mounted Xeric's Sentinel;Monté la Sentinelle de Xeric
Mounted Xeric's Warrior;Guerrier de Xeric monté
Mounted harpoonfish;Poisson harpon monté
Mounted sea bass;Bar monté
Mounted shark;Requin monté
Mounted swordfish;Espadon monté
Mourner;Pleureuse
Mouse hole;Trou de souris
Mud;Boue
Mud mound;Monticule de boue
Mud patch;Boue
Mud pile;Tas de boue
Mud pit;Fosse à boue
Muddy patch;Zone boueuse
Mudpile;Tas de boue
Multicannon parts;Pièces multicanons
Mummy;Momie
Mural;Mural
Mushroo;Champignon
Mushroom;Champignon
Mushroom patch;Champ de champignons
Mushroom torch;Torche aux champignons
Mushrooms;Champignons
Mushtoise;Mushtoise
Mushtree;Champignon
Mushy Bed;Lit pâteux
Music Scores;Partitions musicales
Music Stand;Pupitre
Musical space;Espace musical
Musty bookshelf;Bibliothèque moisie
My life;Ma vie
Mysterious glow;Lueur mystérieuse
Mysterious pipe;Pipe mystérieuse
Mysterious pool;Piscine mystérieuse
Mysterious ruins;Ruines mystérieuses
Mysterious statue;Statue mystérieuse
Mysterious stone;Pierre mystérieuse
Mystic portal;Portail mystique
Mystic symbol;Symbole mystique
Mystical barrier;Barrière mystique
Mystical barrier (orange);Barrière mystique (orange)
Mystical barrier (red);Barrière mystique (rouge)
Mystical door;Porte mystique
Mystical mirror;Miroir mystique
Mythic Statue;Statue mythique
Mythical cape;Cape mythique
Nails;Clous
Narrow gap;Écart étroit
Narrow wall;Mur étroit
Nasturtium;Capucine
Nature house;Maison nature
Nature rift;Faille naturelle
Navigator's table;Table du navigateur
Ned's Table;La table de Ned
Nest;Nid
Net;Filet
Net trap;Piège à filet
Nettles;Orties
Neutral Barrier;Barrière neutre
New farming patch;Nouveau patch agricole
Newspapers;Journaux
Nightmare;Cauchemar
Nightmare Berries;Baies de cauchemar
Nightmare Blossom;Fleur de cauchemar
Nightmare Topiary;Topiaire de Cauchemar
Nightmare display;Affichage de cauchemar
Nightmare zone display;Affichage de la zone de cauchemar
Nine;Neuf
Node;Nœud
Note;Note
Nothing;Rien
Notice;Avis
Notice board;Tableau d'affichage
Noticeboard;Tableau d'affichage
Notices;Avis
Novice Flag;Drapeau novice
Novice flag;Drapeau novice
Noxious tendrils;Vrilles nuisibles
Oak;Chêne
Oak Tree;Chêne
Oak bench;Banc en chêne
Oak birdhouse;Nichoir en chêne
Oak birdhouse (empty);Nichoir en chêne (vide)
Oak cape rack;Support à capes en chêne
Oak chair;Chaise en chêne
Oak chest;Coffre en chêne
Oak drawers;Tiroirs en chêne
Oak feeder;Mangeoire en chêne
Oak house;Maison en chêne
Oak outfit stand;Support à tenues en chêne
Oak prize chest;Coffre en chêne
Oak scratching post;Arbre à chat en chêne
Oak table;Table en chêne
Oak tree;Chêne
Oak tree stump;Souche de chêne
Oak trophy case;Coffret à trophées en chêne
Oak wall decoration;Décoration murale en chêne
Oak wardrobe;Armoire en chêne
Oaknock statue;Statue de chêne
Oaknock's Machine;La machine d'Oaknock
Oaknock's exchanger;L'échangeur d'Oaknock
Oaknock's machine;La machine d'Oaknock
Obelisk;Obélisque
Obelisk of Air;Obélisque de l'Air
Obelisk of Earth;Obélisque de la Terre
Obelisk of Fire;Obélisque de feu
Obelisk of Water;Obélisque d'Eau
Obsidian bench;Banc d'obsidienne
Obsidian fence;Clôture d'obsidienne
Obsidian fence post;Poteau de clôture en obsidienne
Obstacle;Obstacle
Obstacle net;Filet d'obstacles
Obstacle pipe;Tuyau d'obstacle
Occupied Cormorant perch;Perche de cormoran occupée
Occupied perch;Perchoir occupé
Odd looking wall;Mur étrange
Odd markings;Des marquages ​​étranges
Office table;Table de bureau
Official Order of Construction;Ordre Officiel de Construction
Ogre Coffin;Cercueil d'ogre
Ogre Drums;Tambours ogres
Ogre barricade;Barricade des ogres
Ogre bed;Lit d'ogre
Ogre bench;Banc Ogre
Ogre fire;Feu d'ogre
Ogre spit-roast;Ogre rôti à la broche
Ogre stone door;Porte en pierre Ogre
Oil lamp;Lampe à huile
Olaf's boat;Le bateau d'Olaf
Old Bookshelf;Ancienne bibliothèque
Old Crane;Vieille grue
Old Memorial;Ancien Mémorial
Old Shrine;Ancien sanctuaire
Old Stall;Ancien stand
Old axe;Vieille hache
Old bookshelf;Ancienne bibliothèque
Old crane;Vieille grue
Old fire pit;Ancien foyer
Old log;Ancien journal
Old passageway;Ancien passage
Old ruin entrance;Entrée d'une ancienne ruine
Old sacks;Vieux sacs
Old tools;Outils anciens
Old tree;Vieil arbre
Old wall;Vieux mur
Old well;Vieux puits
Olmic pillar;Pilier olmique
Ominous Fishing Spot;Lieu de pêche inquiétant
One;Un
Onion;Oignon
Onion basket;Panier d'oignons
Onion plant;Usine d'oignon
Onion seeds;Graines d'oignon
Oojimaflip;Oojimaflip
Oozing barrier;Barrière suintante
Open Chest;Coffre ouvert
Open Cupboard;Placard Ouvert
Open Door;Porte ouverte
Open chest;Poitrine ouverte
Open gate;Porte ouverte
Open hot vent door;Ouvrir la porte de ventilation chaude
Open statue;Statue ouverte
Open trapdoor;Trappe ouverte
Opened gold chest;Coffre en or ouvert
Opening;Ouverture
Operating Table;Table d'opération
Operating table;Table d'opération
Operation chair;Chaise d'opération
Operation table;Tableau d'opération
Opulent rug;Tapis opulent
Opulent table;Table opulente
Orange door;Porte orange
Orange tree;Oranger
Orange tree stump;Souche d'oranger
Orb;Orbe
Orchid;Orchidée
Orchids;Orchidées
Ore crate;Caisse de minerai
Ore sack;Sac de minerai
Ore stones;Pierres de minerai
Ore table;Tableau du minerai
Ore vein;Veine de minerai
Organ;Organe
Ornament;Ornement
Ornamental anvil;Enclume ornementale
Ornamental fountain;Fontaine ornementale
Ornamental globe;Globe ornemental
Ornate Jewellery Box;Boîte à bijoux ornée
Ornate banner stand;Support de bannière orné
Ornate candle;Bougie ornée
Ornate combat dummy;Mannequin de combat orné
Ornate dragon combat dummy;Mannequin de combat de dragon orné
Ornate kalphite combat dummy;Mannequin de combat en kalphite orné
Ornate kurask combat dummy;Mannequin de combat kourask orné
Ornate league statue;Statue de la Ligue ornée
Ornate lockbox;Coffret orné
Ornate pool of Rejuvenation;Piscine ornée de rajeunissement
Ornate railing;Garde-corps orné
Ornate trophy pedestal;Piédestal de trophée orné
Ornate undead combat dummy;Mannequin de combat mort-vivant orné
Ornate vampyre combat dummy;Mannequin de combat de vampire orné
Ornate vase;Vase orné
Ornate wilderness combat dummy;Mannequin de combat orné en pleine nature
Orrery;Planétaire
Otherworldly garden;Jardin d'un autre monde
Otherworldly theme;Thème d'un autre monde
Our lives;Nos vies
Outfit stand space;Espace de stand pour tenues
Output Tap;Prise de sortie
Oven;Four
Overhanging rock;Rocher en surplomb
Overload potion;Potion de surcharge
Owl Statue;Statue de chouette
Pack;Paquet
Pagoda Fungus;Champignon de la pagode
Painting;Peinture
Painting stand;Support de peinture
Paladin;Paladin
Palm;Palmier
Palm tree;Palmier
Palm tree stump;Souche de palmier
Panel;Panneau
Panning point;Point de panoramique
Panning tray;Plateau panoramique
Papaya tree;Papayer
Papaya tree stump;Souche de papayer
Paper;Papier
Parasol;Parasol
Parchment;Parchemin
Partial fence;Clôture partielle
Partially broken bridge;Pont partiellement cassé
Party Balloon;Ballon de fête
Passage;Passage
Passageway;Passage
Patched Wall;Mur rapiécé
Patched wall;Mur rapiécé
Path;Chemin
Pear tree;Poirier
Pebbles;Cailloux
Pedals;Pédales
Pedestal;Piédestal
Pedestal space;Espace sur le socle
Peephole;Judas
Pen Door;Porte-stylo
Penance Fighter statue;Statue du combattant de la pénitence
Penance Healer statue;Statue du guérisseur de pénitence
Penance Queen spawn statue;Statue d'apparition de la reine de la pénitence
Penance Ranger statue;Statue du Ranger de pénitence
Penance Runner statue;Statue du coureur de pénitence
Penance cave;Grotte de pénitence
Pendant;Pendentif
Pendulum;Pendule
Pentamid Pile;Pile de pentamide
Perch;Perche
Pet basket;Panier pour animaux de compagnie
Pet blanket;Couverture pour animaux de compagnie
Pet feeder space;Espace mangeoire pour animaux
Pet house space;Espace animalerie
Pet list;Liste des animaux
Pet list space;Espace liste d'animaux
Petrified Large Mushroom;Gros champignon pétrifié
Petrified Mushtree;Champignon pétrifié
Petrified Pitcher;Pichet pétrifié
Petrified Pufferfish;Poisson-globe pétrifié
Petrified Spine Plant;Plante à colonne vertébrale pétrifiée
Petrified mushroom;Champignon pétrifié
Pew;Banc
Phren Roots;Racines de Phren
Phren Roots (Depleted);Racines de Phren (épuisées)
Piano;Piano
Piano stool;Tabouret de piano
Pickaxe;Pioche
Picket fence;Clôture
Picnic bench;Banc de pique-nique
Picnic table;Table de pique-nique
Picture;Image
Picture wall;Mur d'images
Pie stall;Étal de tarte
Pigeon;Pigeon
Pile of Ancient Books;Pile de livres anciens
Pile of Fishbowls;Pile de bocaux à poissons
Pile of Rock;Tas de roche
Pile of bricks;Tas de briques
Pile of canes;Tas de cannes
Pile of fish;Tas de poisson
Pile of rocks;Tas de roches
Pile of rope;Tas de corde
Pile of rubble;Tas de décombres
Pile of rubble.;Tas de décombres.
Pile of skulls;Pile de crânes
Pillar;Pilier
Pillar of Light;Pilier de Lumière
Pin;Épingle
Pinball Post;Poste de flipper
Pinboard;Tableau d'affichage
Pine;Pin
Pineapple Plant;Plante d'ananas
Pineapple plant;Plante d'ananas
Pineapple plant stump;Souche de plante d'ananas
Pink rose bush patch;Patch de rosier rose
Pipe;Tuyau
Pipe machine;Machine à tuyaux
Pipes;Tuyaux
Piping;Tuyauterie
Pirate Captain;Capitaine pirate
Pirate Flag;Drapeau Pirate
Pirate Pete;Pierre le pirate
Pirate Sign;Signe de pirate
Pirate map;Carte des pirates
Piscarilius statue;Statue de Piscarile
Pit;Fosse
Pitcher plant;Plante à pichet
Pitfall;Piège
Plank;Planche
Plant;Usine
Plant Fossil Display;Affichage de fossiles végétaux
Plant door;Porte plante
Planter;Planteur
Plantpot;Pot de fleurs
Plaque;Plaque
Platform;Plate-forme
Platform edge;Bord de plateforme
Platform support;Prise en charge de la plateforme
Play blocks;Jouer aux blocs
Plinth;Socle
Plough;Charrue
Plunder Storage;Stockage du pillage
Points settings;Paramètres de points
Poison Ivy bush;Buisson de sumac vénéneux
Poison crater;Cratère empoisonné
Pokers;Pokers
Pole;Pôle
Pole-vault;Saut à la perche
Poll booth;Isoloir
Polluted water;Eau polluée
Pond;Étang
Pool of Dreams;Piscine de rêves
Pool of Nightmares;Bassin des cauchemars
Pool of Refreshment;Bassin de rafraîchissement
Pool of Rejuvenation;Piscine de rajeunissement
Pool of Restoration;Bassin de Restauration
Pool of Revitalisation;Bassin de revitalisation
Pool of Slime;Bassin de Slime
Pool of blood;Mare de sang
Pool space;Espace piscine
Poor Bed;Mauvais lit
Portal;Portail
Portal Home;Accueil du portail
Portal Nexus;Portail Nexus
Portal Nexus space;Espace Portail Nexus
Portal frame;Cadre de portail
Portal machine;Machine de portail
Portal of Champions;Portail des Champions
Portal of Death;Portail de la mort
Portal of Heroes;Portail des héros
Portal of Legends;Portail des Légendes
Portal space;Espace portail
Portcullis;Herse
Portrait;Portrait
Portrait space;Espace portrait
Posh bell-pull;Tirette de cloche chic
Post;Poste
Poster;Affiche
Posts;Messages
Pot;Pot
Pot of Gold;Pot d'or
Pot of dynamite;Pot de dynamite
Pot-boiler;Œuvre alimentaire
Potato;Pomme de terre
Potato basket;Panier de pommes de terre
Potato cactus;Cactus de pomme de terre
Potato plant;Plant de pomme de terre
Potato plants;Plants de pommes de terre
Potato seed;Semence de pomme de terre
Potatoes;Pommes de terre
Potential fire;Incendie potentiel
Potion of power table;Tableau des potions de pouvoir
Potion shelf;Étagère à potions
