 Sneaky undead fowl;Smygande odöda höns
Lasenna Rasputin;Lasenna Rasputin
Lathas;Lathas
Latlink Fastbell;Latlink Fastbell
Launa;Launa
Lauretta;Lauretta
Lava beast;Lava best
Lava dragon;Lava drake
Layleen;Layleen
Lazim;Lazim
Lazy cat;Lat katt
Lazy hellcat;Lat helkatt
Le-sabrè;Le-sabrè
Lead Navigator;Lead Navigator
Leagues Assistant;Ligor assistent
Leagues Tutor;Ligor handledare
Leatherworker;Läderarbetare
Lector Gura;Lector Gura
Leech;Igel
Leech display;Leech display
Leela;Leela
Leenz;Leenz
Left head;Vänster huvud
Legends guard;Legends vakt
Leke quo Keran;Leke quo Keran
Lenny;Lenny
Lensa;Lensa
Lenwe;Lenwe
Lenyig Karna;Lenyig Karna
Leo;Leo
Leon;Leon
Leon d'Cour;Leon d'Cour
Lesser Demon Champion;Lesser Demon Champion
Lesser Fanatic;Mindre fanatiker
Lesser demon;Mindre demon
Lesser ghostly thrall;Mindre spöklik träl
Lesser skeletal thrall;Mindre skelettträl
Lesser zombified thrall;Mindre zombifierad träl
Lev;Lev
Li'l lamb;Li'l lamm
Liam;Liam
Librarian;Bibliotekarie
Lidio;Lidio
Lieutenant Schepbur;Löjtnant Schepbur
Lieve McCracken;Lieve McCracken
Light creature;Ljus varelse
Lil' Bloat;Lil' Bloat
Lil' Creator;Lil' Skapare
Lil' Destructor;Lil' Destructor
Lil' Maiden;Lil' Maiden
Lil' Nylo;Lil' Nylo
Lil' Sot;Lil' Sot
Lil' Xarp;Lil' Xarp
Lil' Zik;Lil' Zik
Lilifang;Lilifang
Liliwen;Liliwen
Liliya;Liliya
Lillia;Lillia
Lilly;Lilly
Lindir;Lindir
Linen worker;Linnearbetare
Lisa;Lisa
Lisse Isaakson;Lisse Isaakson
Litara;Litara
Lithil;Lithil
Little Nightmare;Lilla mardröm
Little Parasite;Liten parasit
Lizard;Ödla
Lizard display;Ödla display
Lizardman;Lizardman
Lizardman brute;Lizardman brute
Lizardman shaman;Lizardman shaman
Lleidr Golau;Lleidr Golau
Lliann;Lliann
Llio;Llio
Loading crane;Lastkran
Loar Shade;Loar Shade
Loar Shadow;Loar Shadow
Lobstrosity;Lobstrositet
Local;Lokal
Local Gnome;Lokal Gnome
Locust;Gräshoppa
Locust rider;Gräshoppryttare
Lofu;Lofu
Logava;Logava
Logios;Logotyper
Logosia;Logosia
Loinur;Loinur
Lokar Searunner;Lokar Searunner
Loki;Loke
Lokraa quo Sihar;Lokraa quo Sihar
Lollk;Lollk
Long-tailed Wyvern;Långsvansad Wyvern
Longbow Ben;Långbåge Ben
Longhall Bouncer;Longhall Bouncer
Look-out;Håll utkik
Looming shadow;Hotande skugga
Lord Alexei Jovkai;Lord Alexei Jovkai
Lord Baxtorian Cadarn;Lord Baxtorian Cadarn
Lord Crombwick;Lord Crombwick
Lord Daquarius;Lord Daquarius
Lord Iestin Iorwerth;Lord Iestin Iorwerth
Lord Ieuan Amlodd;Lord Ieuan Amlodd
Lord Iorwerth;Lord Iorwerth
Lord Kandur Hosidius;Lord Kandur Hosidius
Lord Marshal Brogan;Lord Marshal Brogan
Lord Mischa Myrmel;Lord Mischa Myrmel
Lord Pandur Hosidius;Lord Pandur Hosidius
Lord Piquan Crwys;Lord Piquan Crwys
Lord Rologarth;Lord Rologarth
Lord Shiro Shayzien;Lord Shiro Shayzien
Lord Trobin Arceuus;Lord Trobin Arceuus
Lorelai;Lorelai
Lornor quo Narga;Lornor quo Narga
Lorraine;Lorraine
Lost barbarian;Förlorad barbar
Louie Legs;Louie ben
Louisa;Louisa
Lovada;Lovada
Lovakengj Engineer;Lovakengja Ingenjör
Love Cats;Älskar katter
Lowe;Lowe
Lowerniel Drakan;Lowerniel Drakan
Lubufu;Lubufu
Lucien;Lucien
Lucky impling;Tur att impla
Lucy;Lucy
Lumberjack Leif;Skogshuggare Leif
Lumbridge Guide;Lumbridge Guide
Lumdo;Lumdo
Lumiere;Lumiere
Luminata;Luminata
Lumo;Lumo
Luna;Luna
Lundail;Lundail
Lunderwin;Lunderwin
Lurgon;Lurgon
Luscion;Luscion
Luthas;Luthas
Lutwidge;Lutwidge
Lux grub;Lux grub
Lynx;Lodjur
Lynx Tamer;Lynx Tamer
Lyra;Lyra
Mac;Mac
Macaroni Penguin;Makaronpingvin
Mad skavid;Galen skavid
Madame Caldarium;Madame Caldarium
Maedhros;Maedhros
Maeglin;Maeglin
Mage (easy);Mage (lätt)
Mage of Zamorak;Mage av Zamorak
Magic Instructor;Magisk instruktör
Magic axe;Magisk yxa
Magic combat tutor;Magisk stridslärare
Magnus Gram;Magnus Gram
Magpie impling;Skata impling
Mahtan;Mahtan
Maid;Hembiträde
Mairin;Mairin
Maisa;Maisa
Major Attack;Stor attack
Major Collect;Major Samla
Major Defend;Major Defence
Major Heal;Major Heal
Make-over mage;Make-over mage
Malak;Malak
Male slave;Manlig slav
Malevolent Mage;Skadlig mage
Malignius Mortifer;Malignius Mortifer
Mallak quo Keran;Mallak quo Keran
Mama;Mamma
Mamma Bufetta;Mamma Bufetta
Mammoth;Mammut
Man;Man
Mandrith;Mandrith
Mandy;Mandy
Maniacal Monkey Archer;Maniacal Monkey Archer
Maniacal monkey;Manikal apa
Manni the Reveller;Manni the Reveler
Marble gargoyle;Gargoyle i marmor
Marfet;Marfet
Maria Gadderanks;Maria Gadderanks
Maria Gunnars;Maria Gunnars
Mariah;Mariah
Marisi;Marisi
Marius;Marius
Marius Giste;Marius Giste
Mark;Mark
Market Guard;Marknadsvakt
Market seller;Marknadssäljare
Markog;Markog
Marley;Marley
Marlo;Marlo
Marmor quo Narga;Marmor quo Narga
Marten;Mård
Martha Rehnison;Martha Rehnison
Martin Holt;Martin Holt
Martin Thwait;Martin Twait
Martin the Master Gardener;Martin trädgårdsmästaren
Martina Scorsby;Martina Scorsby
Marwolaeth Dawnsio;Marwolaeth Dawnsio
Mary;Mary
Master Chef;Mästerkock
Master Crafter;Master Crafter
Master Farmer;Bondemästare
Master Navigator;Master Navigator
Master fisher;Mästare fiskare
Master smithing tutor;Lärare i smidesmästare
Matilda;Matilda
Matthew;Matthew
Matthias;Mattias
Mattimeo;Mattimeo
Mawnis Burowgar;Mawnis Burowgar
Mawrth;Mawrth
Mayor Hobb;Borgmästare Hobb
Maz;Maz
Mazchna;Mazchna
Maze Guardian;Maze Guardian
Mazion;Mazion
Me;Mig
Me (hard);Jag (hårt)
Meddwl Ymlaen Llaw;Meddwl Ymlaen Llaw
Medium ninja monkey;Medium ninja apa
Meegle;Meegle
Megan;Megan
Meiyerditch citizen;Meiyerditch medborgare
Meiyerditch miner;Meiyerditch gruvarbetare
Mekritus A'hara;Mekritus A'hara
Melana Moonlander;Melana Moonlander
Melee combat tutor;Närstridshandledare
Meleti;Meleti
Melina;Melina
Melvin;Melvin
Melzar the Mad;Melzar den galna
Memory of Seren;Minne av Seren
Menaphite Leader;Menafitledare
Menaphite Thug;Menaphite Thug
Menaphite guard;Menafitvakt
Mercenary;Legosoldat
Mercenary Captain;legosoldat kapten
Mercy;Barmhärtighet
Meredith;Meredith
Merlin;Merlin
Mernia;Mernia
Mernik;Mernik
Meskhenet;Meskhenet
Metarialus;Metarialus
Meteora;Meteora
Mi-Gor;Mi-Gor
Mia;Mia
Miala;Miala
Miazrqa;Miazrqa
Middle head;Mellanhuvud
Midnight;Midnatt
Mihail;Mihail
Mike;Mikrofon
Miles;Miles
Milla;Milla
Milli Rehnison;Milli Rehnison
Millie Miller;Millie Miller
Miltog;Miltog
Mime;Mima
Mimm;Mimm
Mind Golem;Tänk på Golem
Mine Cart;Min vagn
Mine cart;Min vagn
Mine cart driver;Min vagnsförare
Mine supervisor;Min handledare
Miner;Gruvarbetare
Miner Magnus;Bergsman Magnus
Miniature chaotic clouds;Kaotiska miniatyrmoln
Mining Instructor;Gruvinstruktör
Mining tutor;Gruvlärare
Minotaur;Minotaurus
Miodvetnir;Miodvetnir
Miriam;Miriam
Miriel;Miriel
Mischievous ghost;Busigt spöke
Misdrievus Shadum;Misdrievus Shadum
Mishkal'un Dorn;Mishkal'un Dorn
Miss Cheevers;Miss Cheevers
Miss Schism;Fröken schism
Mist;Dimma
Mistag;Mitag
Mithrellas;Mithrellas
Mithril dragon;Mithril drake
Mithril ore;Mithril malm
Mittens;Vantar
Mizaru;Mizaru
Moe;Moe
Mofina;Mofina
Moggy;Moggy
Mogre;Mogre
Mogre Guard;Mogregardet
Mogrim;Mogrim
Molanisk;Molanisk
Moldof;Moldof
Mole display;Mullvad display
Molly;Molly
Monk;Munk
Monk of Entrana;Munk av Entrana
Monk of Zamorak;Munk av Zamorak
Monkey;Apa
Monkey Archer;Monkey Archer
Monkey Child;Apbarn
Monkey Guard;Apvakt
Monkey Zombie;Monkey Zombie
Monkey display;Monkey display
Monkey guard;Apvakt
Monkey minder;Apskötare
Monkey on unicorn;Apa på enhörning
Monstrous Basilisk;Monstruös basilisk
Monstrous basilisk;Monstruös basilisk
Mord Gunnars;Mörd Gunnars
Mordan Nikazsi;Mordan Nikazsi
Morgan;Morgan
Morgan Le Faye;Morgan Le Faye
Mori;Mori
Morris;Morris
Mort Nightshade;Mort Nightshade
Mort'ton Local;Mort'ton Local
Mort'ton local;Mort'ton lokal
Morten Holdstrom;Morten Holdström
Mortina Daubenton;Mortina Daubenton
Morvran;Morvran
Mosol Rei;Mosol Rei
Mosquito swarm;Myggsvärm
Moss Giant;Moss jätte
Moss Guardian;Moss Guardian
Moss Guardian (hard);Moss Guardian (hårt)
Moss giant;Moss jätte
Most of a Zombie;Det mesta av en zombie
Mother;Mor
Mother Mallum;Mamma Mallum
Moths;Malar
Mountain Dwarf;Bergsdvärg
Mountain Goat;Bergsget
Mountain Guide;Bergsguide
Mountain goat;Bergsget
Mountain troll;Bergstroll
Mounted terrorbird gnome;Beriden terrorbird gnome
Mounted terrorchick gnome;Uppsatt terrorchick-tomte
Mourner;Sörjande
Mouse;Mus
Movario;Movario
Mr. Mordaut;Herr Mordaut
Ms. Hynn Terprett;Ms Hynn Terprett
Mubariz;Mubariz
Mudskipper;Mudskipper
Mugger;Rånare
Mummy;Mamma
Mummy ashes;Mamma aska
Munty;Munty
Murcaily;Murcaily
Murfet;Murfet
Murky Matt (runes);Murky Matt (runor)
Murky Pat;Murky Pat
Murng bat;Murng bat
Murphy;Murphy
Muruwoi;Muruwoi
Museum guard;Museivakt
Mushroom;Svamp
Mutant tarn;Mutant tarn
Mutated Bloodveld;Muterad Bloodveld
Muttadile;Mutadile
My Arm;Min arm
Myndill;Myndill
Myre Blamish Snail;Myre Blamish Snigel
Mysterious Adventurer;Mystisk äventyrare
Mysterious Figure;Mystisk figur
Mysterious Old Man;Mystisk gammal man
Mysterious Stranger;Mystisk främling
Mysterious Voice;Mystisk röst
Mysterious ghost;Mystiskt spöke
Mystery figure;Mystisk figur
Naghead;Naghead
Nail beast;Nageldjur
Nakasa Jovkai;Nakasa Jovkai
Nardah Banker;Nardah Banker
Nardok;Nardok
Narf;Narf
Natalidae Shadum;Natalidae Shadum
Nathifa;Nathifa
Natural Historian;Naturhistoriker
Natural historian;Naturhistoriker
Nature Spirit;Natur Ande
Nature impling;Naturen implerande
Nazastarool;Nazastarool
Nazastarool (hard);Nazastarool (hårt)
Nechryael;Nechryael
Nechryarch;Nechryarch
Necromancer;Andebesvärjare
Necrovarus;Necrovarus
Ned;Ned
Neferti the Camel;Kamelen Neferti
Neil;Neil
Neite;Neite
Nellas;Nellas
Nemishka;Nemishka
Nerdanel;Nerdanel
Nesty;Nesty
New Recruit Tony;Nyrekryterad Tony
Newtroost;Newtroost
Nezikchened;Nezikchened
Nezikchened (hard);Nezikchened (hårt)
Nia;Nia
Nicholas;Nicholas
Nick;Nick
Nickolaus;Nickolaus
Nicoleta;Nicoleta
Nieve;Nieve
Nigel;Nigel
Night beast;Nattdjur
Nikita;Nikita
Nikkie;Nikkie
Nikolai;Nikolai
Niles;Niles
Niloof;Niloof
Nimloth;Nimloth
Nimrodel;Nimrodel
Ninja impling;Ninja implar
Nipper;Avbitartång
Nirrie;Nirrie
Nisha;Nisha
Nkuku;Nkuku
Noctillion Lugosi;Noctillion Lugosi
Noella;Noella
Nolar;Nolar
Nomad;Nomad
Noodle;Nudel
Noon;Middag
Nora T. Hagg;Nora T. Hagg
Noranna Tytanin;Noranna Tytanin
Norman;Norman
Not Bob;Inte Bob
Noterazzo;Noterazzo
Novice;Nybörjare
Nuclear smoke devil;Nukleär rökdjävul
Nulodion;Nulodion
Numpty;Numpty
Nung;Nung
Nurmof;Nurmof
Nurse Boubou;Sjuksköterska Boubou
Nurse Emma Gentsy;Sjuksköterska Emma Gentsy
Nurse Inn'Juree;Sjuksköterska Inn'Juree
Nurse Sarah;Sjuksköterska Sarah
Nurse Wooned;Sjuksköterska Wooned
Nylocas;Nylocas
Nylocas Athanatos;Nylocas Athanatos
Nylocas Hagios;Nylocas Hagios
Nylocas Ischyros;Nylocas Ischyros
Nylocas Matomenos;Nylocas Matomenos
Nylocas Prinkipas;Nylocas Prinkipas
Nylocas Queen;Nylocas drottning
Nylocas Toxobolos;Nylocas Toxobolos
Nylocas Vasilias;Nylocas Vasilias
Oaknock the Engineer;Ingenjören Oaknock
Oath Lord D'rows;Oath Lord D'rows
Oathbreaker B'ats;Oathbreaker B'ats
Oathbreaker E'piws;Oathbreaker E'piws
Oathbreaker M'als;Oathbreaker M'als
Obli;Obli
Obor;Obor
Observatory assistant;Observationsassistent
Observatory professor;Observatorieprofessor
Ocga;Ocga
Ochre Blamish Snail;Ochre Blamish Snigel
Odd Mushroom;Udda svamp
Odd Old Man;Konstig gammal man
Odd Stone;Udda sten
Odmar;Odmar
Odovacar;Odovacar
Odysseus;odysseus
Og;Og
Ogre;Troll
Ogre boat;Ogre båt
Ogre chieftain;Ogre hövding
Ogre guard;Ogre guard
Ogre merchant;Ogre köpman
Ogre shaman;Ogre shaman
Ogre trader;Ogre handlare
Ogress Shaman;Ogress Shaman
Ogress Warrior;Ogress Warrior
Oipuis;Oipuis
Olaf Hradson;Olaf Hradson
Olaf the Bard;Olaf barden
Olbertus;Olbertus
Old Man Ral;Gubben Ral
Old Man Yarlo;Gamle Yarlo
Old crone;Gammal crone
Old dwarf;Gammal dvärg
Old man;Gubbe
Oldak;Oldak
Olivia;Olivia
Ollie the Camel;Kamelen Ollie
Olmlet;Olmlet
Omart;Omart
Oneiromancer;Oneiromancer
Oobapohk;Oobapohk
Oomlie bird;Oomlie fågel
Oozing barrier;Osande barriär
Operator;Operatör
Oracle;Orakel
Orange salamander;Orange salamander
Ordan;Ordan
Ork;Ork
Orlando Smith;Orlando Smith
Oronwen;Oronwen
Oropher;Oropher
Orophin;Orofin
Orrvor quo Maten;Orrvor quo Maten
Osian;Osian
Osman;Osman
Ospak;Ospak
Osten;Osten
Osvald;Osvald
Oswald;Oswald
Oswallt;Oswallt
Othainian;Othainian
Other Half-Zombie;Annan Half-Zombie
Otherworldly being;Utomjordisk varelse
Otto Godblessed;Otto Godblessed
Ouditor;Ouditor
Ouhai;Ouhai
Outlaw;Fredlös
Overgrown cat;Övervuxen katt
Overgrown hellcat;Förvuxen hellcat
Owl;Uggla
Oxi;Oxi
Oziach;Oziach
PKMaster0036;PKMaster0036
Padulah;Padulah
Pagida;Pagida
Painted One;En målad
Paladin;Paladin
Palmer;Palmer
Pandur Hosidius;Pandur Hosidius
Panning guide;Panoreringsguide
Parasite;Parasit
Parrot;Papegoja
Parrots;Papegojor
Parroty Pete;Parroty Pete
Party Pete;Fest Pete
Passive Tar Monster;Passivt tjärmonster
Patchy;Ojämn
Patrick;Patrick
Patrolman;Patrullman
Patrolwoman;Patrullkvinna
Pauline Polaris;Pauline Polaris
Peaceful barbarian spirit;Fridsam barbaranda
Peasant;Bonde
Pebble;Sten
Pee Hat;Pee Hat
Peer the Seer;Peer Siaren
Peksa;Peksa
Pelican;Pelikan
Penance Fighter;Penance Fighter
Penance Healer;Botningsläkare
Penance Pet;Penance Pet
Penance Queen;Botningsdrottning
Penance Ranger;Penance Ranger
Penance Runner;Penance Runner
Penda;Penda
Penguin;Pingvin
Penguin display;Pingvin display
Penguin suit;Pingvin kostym
Pennant;Vimpel
Pentyn;Pentyn
Penwie;Penwie
Perdu;Perdu
Perfect gold ore;Perfekt guldmalm
Perrdur;Perrdur
Perry;Päronvin
Pescaling Pax;Pescaling Pax
Pestilent Bloat;Pestilent uppblåsthet
Pet rock;Pet rock
Peter;Peter
Petra Fiyed;Petra Fiyed
Petrified Pete;Förstenade Pete
Phabelle Bile;Phabelle Bile
Phantom Hand;Fantom Hand
Phantuwti Fanstuwi Farsight;Phantuwti Fanstuwi Farsight
Pheasant;Fasan
Phials;Flaskor
Phileas Rimor;Phileas Rimor
Philipe Carnillean;Philipe Carnillean
Phillipa;Phillipa
Philop;Philop
Phingspet;Phingspet
Phluxia bat;Phluxia fladdermus
Phoenix;Fågel Fenix
Phosani's Nightmare;Phosanis mardröm
Phrin Shade;Phrin Shade
Phrin Shadow;Phrin Shadow
Pierre;Pierre
Pieve;Pieve
Pig;Gris
Pig Thing;gris sak
Piglet;Smågris
Pile of bones;Hög med ben
Piles;Högar
Pilg;Pilg
Piliar;Piliar
Pillory Guard;Pilry Guard
Ping;Ping
Pipistrelle Draynar;Pipistrelle Draynar
Pirate;Pirat
Pirate Guard;Piratvakt
Pirate Jackie the Fruit;Piraten Jackie the Fruit
Pirate Pete;Piraten Pete
Pit Scorpion;Pit Scorpion
Pizazz Hat;Pizza hatt
Plague cow;Pest ko
Plague frog;Pestgroda
Poison Salesman;Giftförsäljare
Poison Scorpion;Poison Scorpion
Poison spider;Gift spindel
Polar eagle;Isörn
Polmafi Ferdygris;Polmafi Ferdygris
Poltenip;Poltenip
Pong;Pong
Pontak;Pontak
Ponts the Bridgemaster;Ponts bromästaren
Poor looking man;Dålig man
Poor looking woman;Dålig kvinna
Porazdir;Porazdir
Port Official;Hamntjänsteman
Port worker;Hamnarbetare
Portal;Portal
Portal of Death;Dödens portal
Portobello;Portobello
Possessed Priest;Besatt präst
Possessed pickaxe;Besatt hacka
Postie Pete;Poste Pete
Pox;Pox
Prael bat;Prael bat
Praistan Ebola;Praistan Ebola
Prayer tutor;Bön handledare
Preswylwyr Dall;Preswylwyr Dall
Prickly kebbit;Taggig kebbit
Priest;Präst
Priestess Zul-Gwenwynig;Prästinnan Zul-Gwenwynig
Prifddinas guard;Prifddinas vakt
Primula;Primula
Prince Ali;Prins Ali
Prince Black Dragon;Prince Black Dragon
Prince Brand;Prince Brand
Princess Astrid;Prinsessan Astrid
Prison Pete;Pete fängelse
Prisoner;Fånge
Prissy Scilla;Prissy Scilla
Private Paldo;Privat Paldo
Private Paldon;Privat Paldon
Private Pendron;Privat Pendron
Private Pierreb;Menig Pierreb
Probita;Probita
Professor Gracklebone;Professor Gracklebone
Professor Imblewyn;Professor Imblewyn
Professor Manglethorp;Professor Mangethorp
Professor Oddenstein;Professor Oddenstein
Professor Onglewip;Professor Onglewip
Prosecutor;Åklagare
Prospector Percy;Prospektör Percy
Protest Leader;Protestledare
Protester;Demonstranter
Psykk bat;Psykk bat
Puffer Fish;Puffer fisk
Puffin;Lunnefågel
Pumpy;Pumpig
Puppadile;Puppadile
Purepker895;Purepker895
Purple Pewter Director;Regissör för Purple Pewter
Purple Pewter Secretary;Sekreterare i lila tenn
Pusskins;Pusskinn
Pyramid block;Pyramid block
Pyrefiend;Pyrefiend
Pyrelord;Pyrelord
Pyromancer;Pyromantiker
Quartermaster;Styrman
Queen Ellamaria;Drottning Ellamaria
Queen Sigrid;Drottning Sigrid
Queen Zyanyi Arkan;Drottning Zyanyi Arkan
Queen spawn;Queen spawn
Quest Guide;Quest Guide
Quiz Master;Quizmästare
Qutiedoll;Qutiedoll
R4ng3rNo0b889;R4ng3rNo0b889
Rabbit;Kanin
Raccoon;tvättbjörn
Rachael;Rachael
Radat;Radat
Radigad Ponfit;Radigad Ponfit
Radimus Erkle;Radimus Erkle
Radu;Radu
Raeli;Raeli
Raetul;Raetul
Ragnar;Ragnar
Ragnvald;Ragnvald
Rakkar;Rakkar
Ram;Ram
Ramara du Croissant;Ramara du Croissant
Ramarno;Ramarno
Ramocean;Ramocean
Ranael;Ranael
Ranalph Devere;Ranalph Devere
Randivor;Randivor
Ranged combat tutor;Ranged strid handledare
Ranger;Ranger
Ranger (medium);Ranger (medium)
Ranging Guild Doorman;Ranging Guild Doorman
Ranis Drakan;Ranis Drakan
Rannveig;Rannveig
Rantz;Rantz
Raqueel;Raqueel
Rashiliyia;Rashiliyia
Rasolo;Rasolo
Rassain;Rassain
Rat;Råtta
Rat Burgiss;Råtta Burgiss
Rauborn;Rauborn
Raulyn;Raulyn
Raum Urda-Stein;Raum Urda-Stein
Ravager;Ravager
Raven;Korp
Razmire Keelgan;Razmire Keelgan
Razvan;Razvan
Reach;Nå
Reacher;Reacher
Reanimated TzHaar;Reanimated TzHaar
Reanimated abyssal;Återupplivad avgrund
Reanimated aviansie;Reanimerad aviansie
Reanimated bear;Återupplivad björn
Reanimated bloodveld;Återupplivat blodfält
Reanimated chaos druid;Återupplivad kaos druid
Reanimated dagannoth;Reanimerad dagannoth
Reanimated demon;Återupplivad demon
Reanimated demon spawn;Reanimerad demon spawn
Reanimated dog;Reanimerad hund
Reanimated dragon;Reanimerad drake
Reanimated elf;Reanimerad tomte
Reanimated giant;Återupplivad jätte
Reanimated goblin;Reanimerad troll
Reanimated horror;Återupplivad skräck
Reanimated imp;Reanimerad imp
Reanimated kalphite;Reanimerad kalfit
Reanimated minotaur;Reanimerad minotaur
Reanimated monkey;Återupplivad apa
Reanimated ogre;Reanimerad ogre
Reanimated scorpion;Reanimerad skorpion
Reanimated troll;Återupplivat troll
Reanimated unicorn;Reanimerad enhörning
Rebel Archer;Rebell Archer
Rebel Scout;Rebellscout
Rebel Warrior;Rebellkrigare
Recruiter;Rekryterare
Red;Röd
Red Axe Cat;Röd Yxa Katt
Red Axe Director;Red Axe direktör
Red Axe Henchman;Red Axe Hanchman
Red Axe Secretary;Red Axe sekreterare
Red Monkey;Röda apan
Red Panda;Röd panda
Red Sheep;Röda får
Red dragon;Röd drake
Red fireflies;Röda eldflugor
Red salamander;Röd salamander
Redbeard Frank;Rödskägg Frank
Reese;Reese
Reeso;Reeso
Ref;Ref
Refugee;Flykting
Regath;Regath
Reginald;Reginald
Reinald;Reinald
Reinn;Reinn
Reldak;Reldak
Reldo;Reldo
Relobo Blinyo (logs);Relobo Blinyo (loggar)
Remsai;Remsai
Remus Kaninus;Remus Kaninus
Renegade Knight;Renegade Knight
Renegade knight;Renegade riddare
Repugnant spectre;Motbjudande spöke
Researcher;Forskare
Reshi;Reshi
Resistance Fighter;Motståndskämpe
Respiratory system;Andningsorganen
Restless ghost;Rastlöst spöke
Retired sailor;Pensionerad sjöman
Revenant cyclops;Revenant cyklop
Revenant dark beast;Revenant mörkt odjur
Revenant demon;Revenant demon
Revenant dragon;Revenant drake
Revenant goblin;Revenant goblin
Revenant hellhound;Revenant helveteshund
Revenant hobgoblin;Revenant hobgoblin
Revenant imp;Revenant imp
Revenant knight;Revenant riddare
Revenant ork;Revenant ork
Revenant pyrefiend;Revenant pyrefiend
Rewards Guardian;Belöningar Guardian
Rhazien;Rhazien
Rhiannon;Rhiannon
Rhoddwr Tan;Rhoddwr Tan
Rhonen;Rhonen
Rhyfel;Rhyfel
Richard;Richard
Richard Flintmaul;Richard Flintmaul
Rick;Stack
Rick Turpentine;Rick Terpentine
Ricketty door;Rakig dörr
Rift guardian;Rift väktare
Right head;Höger huvud
Riki the sculptor's model;Riki skulptörens modell
Rimae Sirsalis;Rimae Sirsalis
Rind the gardener;Rensa trädgårdsmästaren
Rionasta;Rionasta
River troll;Flodtroll
Riyl Shade;Riyl Shade
Riyl Shadow;Riyl Shadow
Riyl shadow;Riyl skugga
Roachey;Roachey
Roavar;Roavar
Robert Boss;Robert Boss
Robert O'Reilly;Robert O'Reilly
Robert the Strong;Robert den starka
Robin;Robin
Robyn;Robyn
Rock;Sten
Rock Crab;Rock Crab
Rock Golem;Rock Golem
Rock lobster;Stenhummer
Rock pile;Stenhög
Rocks;Stenar
Rockslug;Rockslug
Rocky;Klippig
Rocnar;Rocnar
Rod Fishing spot;Spö fiskeplats
Rogue;Skurk
Rogue Guard;Rogue Guard
Rohak;Rohak
Rokuh;Rokuh
Rolad;Rolad
Rolayne Twickit (hard);Rolayne Twickit (hård)
Romeo;Romeo
Rometti;Rometti
Romily Weaklax;Romily Weaklax
Rommik;Rommik
Ron Gadderanks;Ron Gadderanks
Rooster;Tupp
Root;Rot
Rory;Rory
Rosie;Rosie
Ross;Ross
Ross and Ben;Ross och Ben
Rowdy Guard;Bråkig vakt
Rowdy dwarf;Bråkig dvärg
Rowdy slave;Bråkig slav
Roy;Roy
Roy jr.;Roy jr.
Royal Guard;Kungliga gardet
Ruantun;Ruantun
Ruby harvest;Rubinskörd
Rufus;Rufus
Rug Merchant;Matthandlare
Runa;Runa
Rune dragon;Rune drake
Runite Golem;Runit Golem
Runite Minor;Runit moll
Runite ore;Runitmalm
Runolf;Runolf
Runvastr;Runvastr
Rupert the Beard;Skägget Rupert
Rusty;Rostig
Saba;Saba
Sabeil;Sabeil
Saboteur;Sabotör
Sabre-toothed kebbit;Sabeltandad kebbit
Sabre-toothed kyatt;Sabeltandad kyatt
Sabreen;Sabreen
Sacrifice;Offra
Sadwrn;Sadwrn
Saeros;Saeros
Saeth;Saeth
Safalaan Hallow;Safalaan Hallow
Safta Doc;Safta Doc
Sagira;Sagira
Sailor;Sjöman
Salarin the twisted;Salarin den vridna
Salenab;Salenab
Salgant;Salgant
Sam;Sam
Sammy Servil;Sammy Servil
San Fan;San Fan
San Tojalon;San Tojalon
Sand Crab;Sandkrabba
Sand Snake;Sandorm
Sand Snake (hard);Sand Snake (hård)
Sand storm;Sandstorm
Sandicrahb;Sandicrahb
Sandwich lady;Smörgås dam
Sandy;Sandig
Sandy Boulder;Sandy Boulder
Sandy rocks;Sandiga stenar
Sanfew;Sanfew
Sani Piliu;Sani Piliu
Saniboch;Saniboch
Santiri;Santiri
Sapphire glacialis;Safir glacialis
Sarachnis;Sarachnis
Saradomin priest;Saradomin präst
Saradomin wizard;Saradomin-trollkarlen
Saradominist recruiter;Saradoministisk rekryterare
Sarah;Sarah
Sarble;Sarble
Sarius Guile;Sarius Guile
Saro;Saro
Sassilik;Sassilik
Savant;Lärd
Sawmill Operator;Sågverksoperatör
Sawmill operator;Sågverksoperatör
Sbott;Sbott
Scabaras;Scabaras
Scarab mage;Scarab mage
Scarab swarm;Scarab svärm
Scarabs;Scarabs
Scared skavid;Rädd skavid
Scarg;Scarg
Scavenger beast;Åtdjur
Scavvo;Scavvo
Schoolboy;Skolpojke
Schoolgirl;Skolflicka
Scion;Ättling
Scorpia;Skorpia
Scorpia's guardian;Scorpias väktare
Scorpia's offspring;Scorpias avkomma
Scorpion;Skorpion
Scout;Spana
Screaming banshee;Skrikande banshee
Screaming twisted banshee;Skrikande vriden banshee
Scrubfoot;Skrubbfot
Sea Snake Hatchling;Havssnake Hatchling
Sea Snake Young;Sea Snake Young
Sea Troll General;sjötrollgeneral
Sea Troll Queen;Sea Troll Queen
Sea slug;Havssnigel
Sea slugs display;Havssniglar visas
Sea troll;Havstroll
Seagull;Fiskmås
Seaman Lorris;Sjöman Lorris
Seaman Morris;Sjöman Morris
Seaman Thresnor;Sjöman Thresnor
Secretary;Sekreterare
Security Guard;Säkerhetsvakt
Seddu;Seddu
Sedridor;Sedridor
Seer;Siare
Selena;Selena
Selene;Selene
Seravel;Seravel
Seren;Seren
Sergeant;Sergeant
Sergeant Damien;Sergeant Damien
