 Sneaky undead fowl;Galinha morta-viva sorrateira
King's Messenger;Mensageiro do Rei
Kitten;Gatinho
Kjedelig Uppsen;Kjedelig Uppsen
Kjut;Kjut
Klank;Klank
Klarense;Klarense
Klenter;Klenter
Knight;Cavaleiro
Knight of Ardougne;Cavaleiro de Ardonha
Knight of Saradomin;Cavaleiro de Saradomin
Knight of Varlamore;Cavaleiro de Varlamore
Knight of the Lion;Cavaleiro do Leão
Knight of the Owl;Cavaleiro da Coruja
Knight of the Unicorn;Cavaleiro do Unicórnio
Knight of the Wolf;Cavaleiro do Lobo
Koanee;Koanee
Kob;Kob
Koftik;Koftik
Kolodion;Kolodion
Konar quo Maten;Konar quo Maten
Konoo;Konoo
Kormar quo Maten;Kormar quo Maten
Kortan;Kortan
Koschei the Deathless;Koschei, o Imortal
Koschei the deathless;Koschei, o imortal
Kragen;Kragen
Kraka;Cracóvia
Kraken;Kraken
Krato;Krato
Kree'arra;Kree'arra
Kree'arra Jr.;Kree'arra Jr.
Kroy;Croy
Kruk;Kruk
Kryket bat;Morcego Kryket
Krystilia;Kristilia
Ksenia;Xênia
Kualti;Kualti
Kubec Unkar;Kubec Unkar
Kurask;Kurask
Kurt;Kurt
Kylie Minnow;Kylie peixinho
Lacey;Lacey
Lady Carys Hefin;Senhora Carys Hefin
Lady Crombwick;Senhora Crombwick
Lady Ffion Meilyr;Senhora Ffion Meilyr
Lady Keli;Senhora Keli
Lady Kelyn Ithell;Lady Kelyn Ithell
Lady Nadezhda Shadum;Senhora Nadezhda Shadum
Lady Servil;Senhora Servil
Lady Shauna Piscarilius;Senhora Shauna Piscarilius
Lady Table;Senhora Mesa
Lady Tangwen Trahaearn;Senhora Tangwen Trahaearn
Lady Vulcana Lovakengj;Senhora Vulcana Lovakengj
Lahsram;Lahsram
Lalli;Lalli
Lamb;Cordeiro
Lammy Langle;Lammy Langle
Lan the Butcher;Lan, o Açougueiro
Lanthus;Lanthus
Lanzig;Lanzig
Large mosquito;Mosquito grande
Large zombie monkey;Grande macaco zumbi
Larran;Larran
Larrissa;Larissa
Larry;Larry
Larxus;Larxus
Lasenna Rasputin;Lasena Rasputin
Lathas;Lathas
Latlink Fastbell;Latlink Fastbell
Launa;Launa
Lauretta;Lauretta
Lava beast;Besta de lava
Lava dragon;Dragão de lava
Layleen;Laylene
Lazim;Lazim
Lazy cat;Gato preguiçoso
Lazy hellcat;Gato infernal preguiçoso
Le-sabrè;Le-sabre
Lead Navigator;Navegador Líder
Leagues Assistant;Assistente de Ligas
Leagues Tutor;Tutor de Ligas
Leatherworker;Couro
Lector Gura;Leitor Gura
Leech;Sanguessuga
Leech display;Exibição de sanguessuga
Leela;Leela
Leenz;Leenz
Left head;Cabeça esquerda
Legends guard;Guarda de lendas
Leke quo Keran;Leke quo Keran
Lenny;Lenny
Lensa;Lente
Lenwe;Lenwe
Lenyig Karna;Lenyig Karna
Leo;Leão
Leon;Leão
Leon d'Cour;Léon d’Cour
Lesser Demon Champion;Campeão do Demônio Menor
Lesser Fanatic;Menor Fanático
Lesser demon;Demônio menor
Lesser ghostly thrall;Escravo fantasma menor
Lesser skeletal thrall;Escravo esquelético menor
Lesser zombified thrall;Escravo zumbificado menor
Lev;Leão
Li'l lamb;Pequeno cordeiro
Liam;Liam
Librarian;Bibliotecário
Lidio;Lidio
Lieutenant Schepbur;Tenente Schepbur
Lieve McCracken;Lieve McCracken
Light creature;Criatura leve
Lil' Bloat;Pequeno inchaço
Lil' Creator;Pequeno Criador
Lil' Destructor;Pequeno Destruidor
Lil' Maiden;Pequena donzela
Lil' Nylo;Lil'Nylo
Lil' Sot;Lil'Sot
Lil' Xarp;Lil' Xarp
Lil' Zik;Lil' Zik
Lilifang;Lilifang
Liliwen;Liliwen
Liliya;Liliya
Lillia;Lília
Lilly;Lilly
Lindir;Lindir
Linen worker;Trabalhador de linho
Lisa;Lisa
Lisse Isaakson;Lisse Isaacson
Litara;Litara
Lithil;Lithil
Little Nightmare;Pequeno pesadelo
Little Parasite;Pequeno Parasita
Lizard;Lagarto
Lizard display;Exibição de lagarto
Lizardman;Homem Lagarto
Lizardman brute;Homem-lagarto bruto
Lizardman shaman;Xamã homem-lagarto
Lleidr Golau;Lleidr Golau
Lliann;Lliann
Llio;Llio
Loading crane;Carregando guindaste
Loar Shade;Sombra Loar
Loar Shadow;Loar Sombra
Lobstrosity;Lagostrosidade
Local;Local
Local Gnome;Gnomo local
Locust;Gafanhoto
Locust rider;Cavaleiro gafanhoto
Lofu;Lofu
Logava;Logava
Logios;Logótipos
Logosia;Logosia
Loinur;Loinur
Lokar Searunner;Lokar Corredor do Mar
Loki;Loki
Lokraa quo Sihar;Lokraa quo Sihar
Lollk;haha
Long-tailed Wyvern;Wyvern de cauda longa
Longbow Ben;Arco longo Ben
Longhall Bouncer;Segurança de Longhall
Look-out;Olhe
Looming shadow;Sombra iminente
Lord Alexei Jovkai;Senhor Alexei Jovkai
Lord Baxtorian Cadarn;Lorde Baxtorian Cadarn
Lord Crombwick;Lorde Crombwick
Lord Daquarius;Lorde Daquário
Lord Iestin Iorwerth;Senhor Iestin Iorwerth
Lord Ieuan Amlodd;Senhor Ieuan Amlodd
Lord Iorwerth;Senhor Iorwerth
Lord Kandur Hosidius;Lorde Kandur Hosidius
Lord Marshal Brogan;Lorde Marechal Brogan
Lord Mischa Myrmel;Senhor Mischa Myrmel
Lord Pandur Hosidius;Lorde Pandur Hosidius
Lord Piquan Crwys;Lorde Piquan Crwys
Lord Rologarth;Lorde Rologarth
Lord Shiro Shayzien;Senhor Shiro Shayzien
Lord Trobin Arceuus;Lorde Trobin Arceuus
Lorelai;Lorelai
Lornor quo Narga;Lornor quo Narga
Lorraine;Lorena
Lost barbarian;Bárbaro perdido
Louie Legs;Louie Pernas
Louisa;Luísa
Lovada;Lovada
Lovakengj Engineer;Engenheiro Lovakengj
Love Cats;Amo gatos
Lowe;Lowe
Lowerniel Drakan;Lowerniel Drakan
Lubufu;Lubufu
Lucien;Lucien
Lucky impling;Implicante sortudo
Lucy;Lúcia
Lumberjack Leif;Lenhador Leif
Lumbridge Guide;Guia de Lumbridge
Lumdo;Lumdo
Lumiere;Lumière
Luminata;Luminata
Lumo;Lumo
Luna;Lua
Lundail;Lundail
Lunderwin;Lunderwin
Lurgon;Lurgon
Luscion;Luscion
Luthas;Lutas
Lutwidge;Lutwidge
Lux grub;Comida luxuosa
Lynx;Lince
Lynx Tamer;Domador de Lince
Lyra;Lira
Mac;Mac
Macaroni Penguin;Pinguim Macarrão
Mad skavid;Skavid louco
Madame Caldarium;Madame Caldário
Maedhros;Maedhros
Maeglin;Maeglin
Mage (easy);Mago (fácil)
Mage of Zamorak;Mago de Zamorak
Magic Instructor;Instrutor de Magia
Magic axe;Machado mágico
Magic combat tutor;Tutor de combate mágico
Magnus Gram;Magnus Gram
Magpie impling;Pega implicável
Mahtan;Mahtan
Maid;Empregada doméstica
Mairin;Mairin
Maisa;Maisa
Major Attack;Ataque Maior
Major Collect;Coleta principal
Major Defend;Defesa Principal
Major Heal;Cura Maior
Make-over mage;Mago da transformação
Malak;Malak
Male slave;Escravo masculino
Malevolent Mage;Mago Malévolo
Malignius Mortifer;Mortifero Malignius
Mallak quo Keran;Mallak quo Keran
Mama;Mamãe
Mamma Bufetta;Mamãe Bufetta
Mammoth;Mamute
Man;Homem
Mandrith;Mandrith
Mandy;Mandy
Maniacal Monkey Archer;Macaco Arqueiro Maníaco
Maniacal monkey;Macaco maníaco
Manni the Reveller;Manni, o Folião
Marble gargoyle;Gárgula de mármore
Marfet;Marfet
Maria Gadderanks;Maria Gadderanks
Maria Gunnars;Maria Gunnars
Mariah;Mariah
Marisi;Marisi
Marius;Mário
Marius Giste;Marius Gist
Mark;Marca
Market Guard;Guarda de Mercado
Market seller;Vendedor de mercado
Markog;Markog
Marley;Marley
Marlo;Marlo
Marmor quo Narga;Marmor quo Narga
Marten;Marta
Martha Rehnison;Martha Rehnison
Martin Holt;Martin Holt
Martin Thwait;Martin Thwait
Martin the Master Gardener;Martin, o Mestre Jardineiro
Martina Scorsby;Martina Scorsby
Marwolaeth Dawnsio;Marwolaeth Dawnsio
Mary;Mary
Master Chef;Mestre Chef
Master Crafter;Mestre Artesão
Master Farmer;Mestre Fazendeiro
Master Navigator;Mestre Navegador
Master fisher;Mestre pescador
Master smithing tutor;Tutor de mestre em ferraria
Matilda;Matilde
Matthew;Mateus
Matthias;Matias
Mattimeo;Mattimeo
Mawnis Burowgar;Mawnis Burowgar
Mawrth;Mawrth
Mayor Hobb;Prefeito Hobb
Maz;Maz
Mazchna;Mazchna
Maze Guardian;Guardião do Labirinto
Mazion;Mazião
Me;Meu
Me (hard);Eu (difícil)
Meddwl Ymlaen Llaw;Meddwl Ymlaen Llaw
Medium ninja monkey;Macaco ninja médio
Meegle;Meegle
Megan;Megan
Meiyerditch citizen;Cidadão de Meiyerditch
Meiyerditch miner;Mineiro de Meiyerditch
Mekritus A'hara;Mekritus A'hara
Melana Moonlander;Melana Moonlander
Melee combat tutor;Tutor de combate corpo a corpo
Meleti;Meleti
Melina;Melina
Melvin;Melvin
Melzar the Mad;Melzar, o Louco
Memory of Seren;Memória de Seren
Menaphite Leader;Líder Menaphita
Menaphite Thug;Bandido Menaphita
Menaphite guard;Guarda menaphita
Mercenary;Mercenário
Mercenary Captain;Capitão Mercenário
Mercy;Misericórdia
Meredith;Meredith
Merlin;Merlim
Mernia;Mérnia
Mernik;Mernik
Meskhenet;Mesquenet
Metarialus;Metarialus
Meteora;Meteora
Mi-Gor;Mi-Gor
Mia;Mia
Miala;Miala
Miazrqa;Miazrqa
Middle head;Cabeça do meio
Midnight;Meia-noite
Mihail;Mihail
Mike;Microfone
Miles;Milhas
Milla;Mila
Milli Rehnison;Milli Rehnison
Millie Miller;Milie Miller
Miltog;Miltog
Mime;Mime
Mimm;Mim
Mind Golem;Golem da Mente
Mine Cart;Meu carrinho
Mine cart;Meu carrinho
Mine cart driver;Motorista de carrinho de mina
Mine supervisor;Supervisor de mina
Miner;Mineiro
Miner Magnus;Mineiro Magno
Miniature chaotic clouds;Nuvens caóticas em miniatura
Mining Instructor;Instrutor de Mineração
Mining tutor;Tutor de mineração
Minotaur;Minotauro
Miodvetnir;Miodvetnir
Miriam;Míriam
Miriel;Miriel
Mischievous ghost;Fantasma travesso
Misdrievus Shadum;Misdrievus Shadum
Mishkal'un Dorn;Mishkal’un Dorn
Miss Cheevers;Senhorita Cheevers
Miss Schism;Senhorita Cisma
Mist;Névoa
Mistag;Erro
Mithrellas;Mitrelas
Mithril dragon;Dragão Mithril
Mithril ore;Minério de mithril
Mittens;Luvas
Mizaru;Mizaru
Moe;Moe
Mofina;Mofina
Moggy;Moggy
Mogre;Mogre
Mogre Guard;Guarda Mogre
Mogrim;Mogrim
Molanisk;Molanisco
Moldof;Moldávia
Mole display;Exibição de toupeira
Molly;Molly
Monk;Monge
Monk of Entrana;Monge de Entrana
Monk of Zamorak;Monge de Zamorak
Monkey;Macaco
Monkey Archer;Macaco Arqueiro
Monkey Child;Criança Macaco
Monkey Guard;Guarda Macaco
Monkey Zombie;Macaco Zumbi
Monkey display;Exibição de macaco
Monkey guard;Guarda Macaco
Monkey minder;Cuidador de macaco
Monkey on unicorn;Macaco no unicórnio
Monstrous Basilisk;Basilisco Monstruoso
Monstrous basilisk;Basilisco monstruoso
Mord Gunnars;Mord Gunnars
Mordan Nikazsi;Mordan Nikazsi
Morgan;Morgan
Morgan Le Faye;Morgan Le Faye
Mori;Mori
Morris;Morris
Mort Nightshade;Mort Sombra Noturna
Mort'ton Local;Mort'ton Local
Mort'ton local;Local de Mort'ton
Morten Holdstrom;Morten Holdstrom
Mortina Daubenton;Mortina Daubenton
Morvran;Morvran
Mosol Rei;Mosol Rei
Mosquito swarm;Enxame de mosquitos
Moss Giant;Musgo Gigante
Moss Guardian;Musgo Guardião
Moss Guardian (hard);Guardião Musgo (difícil)
Moss giant;Gigante de musgo
Most of a Zombie;A maior parte de um zumbi
Mother;Mãe
Mother Mallum;Mãe Mallum
Moths;Mariposas
Mountain Dwarf;Anão da Montanha
Mountain Goat;Cabra da Montanha
Mountain Guide;Guia de montanha
Mountain goat;Cabra montesa
Mountain troll;Troll da montanha
Mounted terrorbird gnome;Gnomo Terrorbird montado
Mounted terrorchick gnome;Gnomo terrorchick montado
Mourner;Enlutado
Mouse;Rato
Movario;Movario
Mr. Mordaut;Sr.
Ms. Hynn Terprett;Sra.
Mubariz;Mubariz
Mudskipper;Saltador de lama
Mugger;Assaltante
Mummy;Múmia
Mummy ashes;Cinzas de múmia
Munty;Munty
Murcaily;Murcaily
Murfet;Murfet
Murky Matt (runes);Murky Matt (runas)
Murky Pat;Murky Pat
Murng bat;Morcego Murng
Murphy;Murphy
Muruwoi;Muruwoi
Museum guard;Guarda do museu
Mushroom;Cogumelo
Mutant tarn;Lago mutante
Mutated Bloodveld;Bloodveld Mutante
Muttadile;Muttadile
My Arm;Meu braço
Myndill;Myndill
Myre Blamish Snail;Caracol Myre Blamish
Mysterious Adventurer;Aventureiro Misterioso
Mysterious Figure;Figura misteriosa
Mysterious Old Man;Velho Misterioso
Mysterious Stranger;Estranho Misterioso
Mysterious Voice;Voz Misteriosa
Mysterious ghost;Fantasma misterioso
Mystery figure;Figura misteriosa
Naghead;Naghead
Nail beast;Besta de unhas
Nakasa Jovkai;Nakasa Jovkai
Nardah Banker;Banqueiro Nardah
Nardok;Nardok
Narf;Narf
Natalidae Shadum;Natalidae Shadum
Nathifa;Nathifa
Natural Historian;Historiador Natural
Natural historian;Historiador natural
Nature Spirit;Espírito da Natureza
Nature impling;Natureza impingindo
Nazastarool;Nazastarool
Nazastarool (hard);Nazastarool (difícil)
Nechryael;Necriael
Nechryarch;Necriarca
Necromancer;Necromante
Necrovarus;Necrovaro
Ned;Ned
Neferti the Camel;Neferti, o Camelo
Neil;Neil
Neite;Neite
Nellas;Nelas
Nemishka;Nemishka
Nerdanel;Nerdanel
Nesty;Nesty
New Recruit Tony;Novo recruta Tony
Newtroost;Newtroost
Nezikchened;Nezikchened
Nezikchened (hard);Nezikchened (difícil)
Nia;Nia
Nicholas;Nicolau
Nick;Nick
Nickolaus;Nickolaus
Nicoleta;Nicoleta
Nieve;Neve
Nigel;Nigel
Night beast;Besta da noite
Nikita;Nikita
Nikkie;Nikki
Nikolai;Nicolau
Niles;Nilos
Niloof;Niloof
Nimloth;Nimloth
Nimrodel;Nimrodel
Ninja impling;Impelimento Ninja
Nipper;Pinça
Nirrie;Nirrie
Nisha;Nisha
Nkuku;Nkuku
Noctillion Lugosi;Noctilhão Lugosi
Noella;Noela
Nolar;Nolar
Nomad;Nômade
Noodle;Macarrão
Noon;Meio-dia
Nora T. Hagg;Nora T. Hagg
Noranna Tytanin;Noranna Tytanin
Norman;normando
Not Bob;Não Bob
Noterazzo;Notazzo
Novice;Novato
Nuclear smoke devil;Diabo de fumaça nuclear
Nulodion;Nulodiona
Numpty;Entorpecido
Nung;Nung
Nurmof;Nurmof
Nurse Boubou;Enfermeira Boubou
Nurse Emma Gentsy;Enfermeira Emma Gentsy
Nurse Inn'Juree;Enfermeira Inn'Juree
Nurse Sarah;Enfermeira Sara
Nurse Wooned;Enfermeira Wooned
Nylocas;Nylocas
Nylocas Athanatos;Nylocas Athanatos
Nylocas Hagios;Nylocas Hagios
Nylocas Ischyros;Nylocas Ischyros
Nylocas Matomenos;Nylocas Matomenos
Nylocas Prinkipas;Nylocas Prinkipas
Nylocas Queen;Rainha Nylocas
Nylocas Toxobolos;Nylocas Toxóbolos
Nylocas Vasilias;Nylocas Vasilias
Oaknock the Engineer;Oaknock, o Engenheiro
Oath Lord D'rows;Juramento Senhor D'rows
Oathbreaker B'ats;Quebrador de Juramento B'ats
Oathbreaker E'piws;E'piws Quebrador de Juramento
Oathbreaker M'als;Quebrador de juramento M'als
Obli;Oblí
Obor;Obor
Observatory assistant;Assistente de observatório
Observatory professor;Professor observatório
Ocga;Ocga
Ochre Blamish Snail;Caracol Ocre Blamish
Odd Mushroom;Cogumelo Estranho
Odd Old Man;Velho Estranho
Odd Stone;Pedra Estranha
Odmar;Odmar
Odovacar;Odovacar
Odysseus;Odisseu
Og;Ah
Ogre;Ogro
Ogre boat;Barco ogro
Ogre chieftain;Chefe ogro
Ogre guard;Guarda ogro
Ogre merchant;Comerciante ogro
Ogre shaman;Ogro Xamã
Ogre trader;Comerciante ogro
Ogress Shaman;Ogra Xamã
Ogress Warrior;Guerreiro Ogro
Oipuis;Oipuis
Olaf Hradson;Olaf Hradson
Olaf the Bard;Olavo, o Bardo
Olbertus;Olberto
Old Man Ral;Velho Ral
Old Man Yarlo;Velho Yarlo
Old crone;velha velha
Old dwarf;Velho anão
Old man;Velho
Oldak;Oldak
Olivia;Olívia
Ollie the Camel;Ollie, o Camelo
Olmlet;Olmete
Omart;Omart
Oneiromancer;Oneiromante
Oomlie bird;Pássaro Oomlie
Oozing barrier;Barreira de gotejamento
Operator;Operador
Oracle;Oráculo
Orange salamander;Salamandra laranja
Ordan;Ordã
Ork;Ok
Orlando Smith;Orlando Smith
Oronwen;Oronwen
Oropher;orofar
Orophin;Orofina
Orrvor quo Maten;Orrvor quo Maten
Osian;Osiano
Osman;Osman
Ospak;Ospak
Osten;Osten
Osvald;Osvaldo
Oswald;Osvaldo
Oswallt;Oswallt
Othainian;Othainiano
Other Half-Zombie;Outro meio-zumbi
Otherworldly being;Ser de outro mundo
Otto Godblessed;Otto abençoado por Deus
Ouditor;Auditor
Ouhai;Ouhai
Outlaw;Foragido
Overgrown cat;Gato crescido
Overgrown hellcat;Gato infernal crescido
Owl;Coruja
Oxi;Oxi
Oziach;Oziach
PKMaster0036;PKMaster0036
Padulah;Padulah
Pagida;Pagida
Painted One;Pintado Um
Paladin;Paladino
Palmer;Palmer
Pandur Hosidius;Pandur Hosídio
Panning guide;Guia panorâmico
Parasite;Parasita
Parrot;Papagaio
Parrots;Papagaios
Parroty Pete;Papagaio Pete
Party Pete;Festa Pete
Passive Tar Monster;Monstro de Alcatrão Passivo
Patchy;Desigual
Patrick;Patrício
Patrolman;Patrulheiro
Patrolwoman;Patrulheira
Pauline Polaris;Pauline Polaris
Peaceful barbarian spirit;Espírito bárbaro pacífico
Peasant;Camponês
Pebble;Seixo
Pee Hat;Chapéu de xixi
Peer the Seer;Observe o Vidente
Peksa;Peksa
Pelican;Pelicano
Penance Fighter;Lutador da Penitência
Penance Healer;Curador da Penitência
Penance Pet;Animal de estimação da penitência
Penance Queen;Rainha da Penitência
Penance Ranger;Ranger da Penitência
Penance Runner;Corredor da Penitência
Penda;Penda
Penguin;Pinguim
Penguin display;Exibição de pinguim
Penguin suit;Traje de pinguim
Pennant;Galhardete
Pentyn;Pentyn
Penwie;Penwie
Perdu;Perdu
Perfect gold ore;Minério de ouro perfeito
Perrdur;Perrdur
Perry;Perada
Pescaling Pax;Pesca Pax
Pestilent Bloat;Inchaço Pestilento
Pet rock;Pedra de estimação
Peter;Peter
Petra Fiyed;Petra Fiyed
Petrified Pete;Pete Petrificado
Phabelle Bile;Phabelle Bile
Phantom Hand;Mão Fantasma
Phantuwti Fanstuwi Farsight;Visão Phantuwti Fanstuwi
Pheasant;Faisão
Phials;Frascos
Phileas Rimor;Phileas Rimor
Philipe Carnillean;Philipe Carnillean
Phillipa;Phillipa
Philop;Filipe
Phingspet;Phingspet
Phluxia bat;Morcego Phluxia
Phoenix;Fênix
Phosani's Nightmare;O Pesadelo de Phosani
Phrin Shade;Sombra Phrin
Phrin Shadow;Sombra Phrin
Pierre;Pedro
Pieve;Pieve
Pig;Porco
Pig Thing;Coisa de porco
Piglet;Leitão
Pile of bones;Pilha de ossos
Piles;Pilhas
Pilg;pilha
Piliar;Pilar
Pillory Guard;Guarda Pelourinho
Ping;Pingar
Pipistrelle Draynar;Pipistrelle Draynar
Pirate;Pirata
Pirate Guard;Guarda Pirata
Pirate Jackie the Fruit;Pirata Jackie, a Fruta
Pirate Pete;Pirata Pete
Pit Scorpion;Escorpião do Poço
Pizazz Hat;Chapéu Pizzazz
Plague cow;Vaca pestilenta
Plague frog;Sapo da peste
Poison Salesman;Vendedor de veneno
Poison Scorpion;Escorpião Venenoso
Poison spider;Aranha venenosa
Polar eagle;Águia polar
Polmafi Ferdygris;Polmafi Ferdygris
Poltenip;Poltenip
Pong;Pong
Pontak;Pontak
Ponts the Bridgemaster;Ponts, o Mestre da Ponte
Poor looking man;Homem de aparência pobre
Poor looking woman;Mulher de aparência pobre
Porazdir;Porazdir
Port Official;Oficial do Porto
Port worker;Trabalhador portuário
Portal;Portal
Portal of Death;Portal da Morte
Portobello;Portobello
Possessed Priest;Sacerdote Possuído
Possessed pickaxe;Picareta possuída
Postie Pete;Postie Pete
Pox;Varíola
Prael bat;Morcego Prael
Praistan Ebola;Praistão Ébola
Prayer tutor;Tutor de oração
Preswylwyr Dall;Preswylwyr Dall
Prickly kebbit;Kebbit espinhoso
Priest;Padre
Priestess Zul-Gwenwynig;Sacerdotisa Zul-Gwenwynig
Prifddinas guard;Guarda Prifdinas
Primula;Prímula
Prince Ali;Príncipe Ali
Prince Black Dragon;Príncipe Dragão Negro
Prince Brand;Marca Príncipe
Princess Astrid;Princesa Astrid
Prison Pete;Prisão Pete
Prisoner;Prisioneiro
Prissy Scilla;Prissy Scilla
Private Paldo;Paldo Privado
Private Paldon;Soldado Paldon
Private Pendron;Pendron Soldado
Private Pierreb;Soldado Pierreb
Probita;Probita
Professor Gracklebone;Professor Gracklebone
Professor Imblewyn;Professor Imbwyn
Professor Manglethorp;Professor Manglethorp
Professor Oddenstein;Professor Oddenstein
Professor Onglewip;Professor Onglewip
Prosecutor;Promotor
Prospector Percy;Garimpeiro Percy
Protest Leader;Líder do protesto
Protester;Manifestante
Psykk bat;Morcego Psykk
Puffer Fish;Baiacu
Puffin;Papagaio-do-mar
Pumpy;Bombado
Puppadile;Filhote de cachorro
Purepker895;Purepker895
Purple Pewter Director;Diretor de Estanho Roxo
Purple Pewter Secretary;Secretária de estanho roxo
Pusskins;Gatos
Pyramid block;Bloco pirâmide
Pyrefiend;Pirademônio
Pyrelord;Senhor do Pirelo
Pyromancer;Piromante
Quartermaster;Intendente
Queen Ellamaria;Rainha Ellamaria
Queen Sigrid;Rainha Sigrid
Queen Zyanyi Arkan;Rainha Zyanyi Arkan
Queen spawn;Rainha desova
Quest Guide;Guia de missão
Quiz Master;Mestre do questionário
Qutiedoll;Qutiedoll
R4ng3rNo0b889;R4ng3rNo0b889
Rabbit;Coelho
Raccoon;Guaxinim
Rachael;Raquel
Radat;Radat
Radigad Ponfit;Radigad Ponfit
Radimus Erkle;Radimus Erkle
Radu;Radu
Raeli;Raeli
Raetul;Raetul
Ragnar;Ragnar
Ragnvald;Ragnvald
Rakkar;Rakkar
Ram;Bater
Ramara du Croissant;Ramara du Croissant
Ramarno;Ramarno
Ramocean;Ramoceano
Ranael;Ranael
Ranalph Devere;Ranalph Devere
Randivor;Randivor
Ranged combat tutor;Tutor de combate à distância
Ranger;Guarda-florestal
Ranger (medium);Ranger (médio)
Ranging Guild Doorman;Porteiro da Guilda Variante
Ranis Drakan;Ranis Drakan
Rannveig;Rannveig
Rantz;Rantz
Raqueel;Raquel
Rashiliyia;Rashiliyia
Rasolo;Rasolo
Rassain;Rassain
Rat;Rato
Rat Burgiss;Rato Burgiss
Rauborn;Rauborn
Raulyn;Raullyn
Raum Urda-Stein;Raum Urda-Stein
Ravager;Devastador
Raven;Corvo
Razmire Keelgan;Razmire Keelgan
Razvan;Razvan
Reach;Alcançar
Reacher;Alcançador
Reanimated TzHaar;TzHaar reanimado
Reanimated abyssal;Abissal reanimado
Reanimated aviansie;Aviária reanimada
Reanimated bear;Urso reanimado
Reanimated bloodveld;Sangue reanimado
Reanimated chaos druid;Druida do caos reanimado
Reanimated dagannoth;Dagannoth reanimado
Reanimated demon;Demônio reanimado
Reanimated demon spawn;Geração de demônio reanimado
Reanimated dog;Cachorro reanimado
Reanimated dragon;Dragão reanimado
Reanimated elf;Elfo reanimado
Reanimated giant;Gigante reanimado
Reanimated goblin;Goblin reanimado
Reanimated horror;Terror reanimado
Reanimated imp;Diabrete reanimado
Reanimated kalphite;Kalphita reanimada
Reanimated minotaur;Minotauro reanimado
Reanimated monkey;Macaco reanimado
Reanimated ogre;Ogro reanimado
Reanimated scorpion;Escorpião reanimado
Reanimated troll;Troll reanimado
Reanimated unicorn;Unicórnio reanimado
Rebel Archer;Arqueiro Rebelde
Rebel Scout;Escoteiro Rebelde
Rebel Warrior;Guerreiro Rebelde
Recruiter;Recrutador
Red;Vermelho
Red Axe Cat;Gato Machado Vermelho
Red Axe Director;Diretor do Machado Vermelho
Red Axe Henchman;Capanga do Machado Vermelho
Red Axe Secretary;Secretário do Machado Vermelho
Red Monkey;Macaco Vermelho
Red Panda;Panda Vermelho
Red Sheep;Ovelha Vermelha
Red dragon;Dragão vermelho
Red fireflies;Vaga-lumes vermelhos
Red salamander;Salamandra vermelha
Redbeard Frank;Frank Barba Ruiva
Reese;Reese
Reeso;Reeso
Ref;Referência
Refugee;Refugiado
Regath;Regath
Reginald;Reginaldo
Reinald;Reinaldo
Reinn;Reinar
Reldak;Reldak
Reldo;Reldo
Relobo Blinyo (logs);Relobo Blinyo (logs)
Remsai;Remsai
Remus Kaninus;Remo Kaninus
Renegade Knight;Cavaleiro Renegado
Renegade knight;Cavaleiro renegado
Repugnant spectre;Espectro repugnante
Researcher;Pesquisador
Reshi;Reshi
Resistance Fighter;Lutador da Resistência
Respiratory system;Sistema respiratório
Restless ghost;Fantasma inquieto
Retired sailor;Marinheiro aposentado
Revenant cyclops;Ciclope Revenant
Revenant dark beast;Besta negra revenant
Revenant demon;Demônio fantasma
Revenant dragon;Dragão Revenant
Revenant goblin;Goblin Revenant
Revenant hellhound;Cão infernal revenant
Revenant hobgoblin;Hobgoblin Revenant
Revenant imp;diabinho fantasma
Revenant knight;Cavaleiro Revenant
Revenant ork;Ork Revenant
Revenant pyrefiend;Pirademônio Revenant
Rewards Guardian;Guardião de recompensas
Rhazien;Rhazien
Rhiannon;Rhiannon
Rhoddwr Tan;Rhoddwr Tan
Rhonen;Rhonen
Rhyfel;Rhyfel
Richard;Ricardo
Richard Flintmaul;Ricardo Flintmaul
Rick;Rick
Rick Turpentine;Rick Terebintina
Ricketty door;Porta frágil
Rift guardian;Guardião da fenda
Right head;Cabeça direita
Riki the sculptor's model;Riki, o modelo do escultor
Rimae Sirsalis;Rimae Sirsalis
Rind the gardener;Descasque o jardineiro
Rionasta;Rionasta
River troll;Troll do rio
Riyl Shade;Sombra Riyl
Riyl Shadow;Riyl Sombra
Riyl shadow;Sombra Riyl
Roachey;Barata
Roavar;Roavar
Robert Boss;Roberto Chefe
Robert O'Reilly;Robert O'Reilly
Robert the Strong;Roberto, o Forte
Robin;Robin
Robyn;Robin
Rock;Pedra
Rock Crab;Caranguejo da Rocha
Rock Golem;Golem de rocha
Rock lobster;Lagosta
Rock pile;Pilha de pedras
Rocks;Rochas
Rockslug;Rockslug
Rocky;Rochoso
Rocnar;Rocnar
Rod Fishing spot;Local de pesca com vara
Rogue;Por conta própria
Rogue Guard;Guarda Ladino
Rohak;Rohak
Rokuh;Rokuh
Rolad;Rolad
Rolayne Twickit (hard);Rolayne Twickit (difícil)
Romeo;Romeu
Rometti;Rometti
Romily Weaklax;Romily Weaklax
Rommik;Rommik
Ron Gadderanks;Ron Gadderanks
Rooster;Galo
Root;Raiz
Rory;Rory
Rosie;Rosie
Ross;Ross
Ross and Ben;Ross e Ben
Rowdy Guard;Guarda Desordeiro
Rowdy dwarf;Anão turbulento
Rowdy slave;Escravo turbulento
Roy;Roy
